Answer.time_in_minutes,workerid,valence,rating_other,type,Answer.condition,percent_middle,rating1,rating2,image
4.60615,0,negative,0.96,aisle-negative,undefined,60,0,0.04,./stim/images/33_aisle_60_v10.png
4.60615,0,positive,0,window-positive,undefined,60,0.5200000000000001,0.48,./stim/images/6_window_60_v7.png
4.60615,0,negative,0,aisle-negative,undefined,90,0.5,0.5,./stim/images/35_aisle_90_v7.png
4.60615,0,negative,0,window-negative,undefined,40,0.5,0.5,./stim/images/13_window_40_v9.png
4.60615,0,negative,0,aisle-negative,undefined,40,0.5,0.5,./stim/images/31_aisle_40_v4.png
4.60615,0,negative,0,window-negative,undefined,60,0.24,0.7600000000000001,./stim/images/15_window_60_v4.png
4.60615,0,positive,0.26000000000000023,window-positive,undefined,40,0.23999999999999977,0.5,./stim/images/4_window_40_v3.png
4.60615,0,positive,0.26000000000000023,aisle-positive,undefined,10,0.23999999999999977,0.5,./stim/images/20_aisle_10_v8.png
4.60615,0,positive,0.26000000000000023,window-positive,undefined,75,0.23999999999999977,0.5,./stim/images/7_window_75_v4.png
4.60615,0,negative,0.26000000000000023,window-negative,undefined,75,0.23999999999999977,0.5,./stim/images/16_window_75_v10.png
4.60615,0,negative,0.26000000000000023,window-negative,undefined,50,0.23999999999999977,0.5,./stim/images/14_window_50_v1.png
4.60615,0,positive,0.26000000000000023,aisle-positive,undefined,25,0.23999999999999977,0.5,./stim/images/21_aisle_25_v8.png
4.60615,0,negative,0.26000000000000023,aisle-negative,undefined,100,0.23999999999999977,0.5,./stim/images/36_aisle_100_v2.png
4.60615,0,negative,0.26000000000000023,window-negative,undefined,100,0.23999999999999977,0.5,./stim/images/18_window_100_v5.png
4.60615,0,negative,0.26000000000000023,aisle-negative,undefined,25,0.23999999999999977,0.5,./stim/images/30_aisle_25_v8.png
4.60615,0,positive,0.26000000000000023,aisle-positive,undefined,90,0.23999999999999977,0.5,./stim/images/26_aisle_90_v10.png
4.60615,0,negative,0.26000000000000023,window-negative,undefined,10,0.23999999999999977,0.5,./stim/images/11_window_10_v5.png
4.60615,0,negative,0.26000000000000023,aisle-negative,undefined,10,0.23999999999999977,0.5,./stim/images/29_aisle_10_v3.png
4.60615,0,negative,0.26000000000000023,aisle-negative,undefined,75,0.23999999999999977,0.5,./stim/images/34_aisle_75_v2.png
4.60615,0,positive,0.26000000000000023,window-positive,undefined,10,0.23999999999999977,0.5,./stim/images/2_window_10_v10.png
4.60615,0,negative,0.26000000000000023,window-negative,undefined,0,0.23999999999999977,0.5,./stim/images/10_window_0_v3.png
4.60615,0,positive,0.26000000000000023,window-positive,undefined,50,0.23999999999999977,0.5,./stim/images/5_window_50_v10.png
4.60615,0,positive,0.26000000000000023,window-positive,undefined,25,0.23999999999999977,0.5,./stim/images/3_window_25_v4.png
4.60615,0,positive,0.26000000000000023,aisle-positive,undefined,75,0.23999999999999977,0.5,./stim/images/25_aisle_75_v7.png
4.60615,0,negative,0.26000000000000023,aisle-negative,undefined,50,0.23999999999999977,0.5,./stim/images/32_aisle_50_v10.png
4.60615,0,positive,0.26000000000000023,window-positive,undefined,100,0.23999999999999977,0.5,./stim/images/9_window_100_v3.png
4.60615,0,positive,0.26000000000000023,aisle-positive,undefined,60,0.23999999999999977,0.5,./stim/images/24_aisle_60_v7.png
4.60615,0,positive,0.26000000000000023,aisle-positive,undefined,50,0.23999999999999977,0.5,./stim/images/23_aisle_50_v8.png
4.60615,0,positive,0.26000000000000023,aisle-positive,undefined,0,0.23999999999999977,0.5,./stim/images/19_aisle_0_v7.png
4.60615,0,negative,0.26000000000000023,window-negative,undefined,25,0.23999999999999977,0.5,./stim/images/12_window_25_v7.png
4.60615,0,positive,0.26000000000000023,aisle-positive,undefined,100,0.23999999999999977,0.5,./stim/images/27_aisle_100_v7.png
4.60615,0,negative,0.26000000000000023,aisle-negative,undefined,0,0.23999999999999977,0.5,./stim/images/28_aisle_0_v3.png
4.60615,0,positive,0.26000000000000023,window-positive,undefined,0,0.23999999999999977,0.5,./stim/images/1_window_0_v7.png
4.60615,0,positive,0.26000000000000023,aisle-positive,undefined,40,0.23999999999999977,0.5,./stim/images/22_aisle_40_v7.png
4.60615,0,positive,0.26000000000000023,window-positive,undefined,90,0.23999999999999977,0.5,./stim/images/8_window_90_v1.png
4.60615,0,negative,0.26000000000000023,window-negative,undefined,90,0.23999999999999977,0.5,./stim/images/17_window_90_v2.png
