percent_middle,sentence2,workerid,sentence1,modal1,rating2,rating_other,type,image,valence,rating1,modal2,reverse_sent_order,Answer.condition,Answer.time_in_minutes
,You might get a window seat,0,You'll probably get a window seat,,1,0,test,./stim/images/4_window_40_v1.png,,0,,,undefined,6.936066666666667
100,You might get an aisle seat,0,You'll probably get an aisle seat,probably,0,1,aisle-positive,./stim/images/27_aisle_100_v2.png,positive,0,might,1,undefined,6.936066666666667
0,You might get a middle seat,0,You'll probably get a middle seat,probably,0,1,aisle-negative,./stim/images/28_aisle_0_v10.png,negative,0,might,1,undefined,6.936066666666667
100,You might get a middle seat,0,You'll probably get a middle seat,probably,0,0,window-negative,./stim/images/18_window_100_v4.png,negative,1,might,1,undefined,6.936066666666667
75,You might get a middle seat,0,You'll probably get a middle seat,probably,0.55,0,window-negative,./stim/images/16_window_75_v9.png,negative,0.44999999999999996,might,1,undefined,6.936066666666667
10,You might get an aisle seat,0,You'll probably get an aisle seat,probably,0.59,0,aisle-positive,./stim/images/20_aisle_10_v10.png,positive,0.4099999999999999,might,1,undefined,6.936066666666667
50,You might get a middle seat,0,You'll probably get a middle seat,probably,0.61,0,aisle-negative,./stim/images/32_aisle_50_v4.png,negative,0.3899999999999999,might,1,undefined,6.936066666666667
25,You might get a middle seat,0,You'll probably get a middle seat,probably,0.5,0,aisle-negative,./stim/images/30_aisle_25_v5.png,negative,0.5,might,1,undefined,6.936066666666667
25,You might get a middle seat,0,You'll probably get a middle seat,probably,0.66,0.3400000000000001,window-negative,./stim/images/12_window_25_v6.png,negative,0,might,1,undefined,6.936066666666667
10,You might get a window seat,0,You'll probably get a window seat,probably,0.71,0.29000000000000004,window-positive,./stim/images/2_window_10_v7.png,positive,0,might,1,undefined,6.936066666666667
90,You might get a middle seat,0,You'll probably get a middle seat,probably,0,0,aisle-negative,./stim/images/35_aisle_90_v1.png,negative,1,might,1,undefined,6.936066666666667
50,You might get a window seat,0,You'll probably get a window seat,probably,0.51,0,window-positive,./stim/images/5_window_50_v9.png,positive,0.49,might,1,undefined,6.936066666666667
0,You might get a middle seat,0,You'll probably get a middle seat,probably,0,1,window-negative,./stim/images/10_window_0_v7.png,negative,0,might,1,undefined,6.936066666666667
0,You might get an aisle seat,0,You'll probably get an aisle seat,probably,0.5,0,aisle-positive,./stim/images/19_aisle_0_v9.png,positive,0.5,might,1,undefined,6.936066666666667
25,You might get a window seat,0,You'll probably get a window seat,probably,0.49,0.5099999999999999,window-positive,./stim/images/3_window_25_v9.png,positive,0,might,1,undefined,6.936066666666667
60,You might get an aisle seat,0,You'll probably get an aisle seat,probably,0.5,0.4999999999999999,aisle-positive,./stim/images/24_aisle_60_v1.png,positive,0,might,1,undefined,6.936066666666667
90,You might get a middle seat,0,You'll probably get a middle seat,probably,0,0,window-negative,./stim/images/17_window_90_v7.png,negative,1,might,1,undefined,6.936066666666667
90,You might get an aisle seat,0,You'll probably get an aisle seat,probably,0,1,aisle-positive,./stim/images/26_aisle_90_v10.png,positive,0,might,1,undefined,6.936066666666667
60,You might get a middle seat,0,You'll probably get a middle seat,probably,0,0.29999999999999993,window-negative,./stim/images/15_window_60_v7.png,negative,0.7,might,1,undefined,6.936066666666667
40,You might get a middle seat,0,You'll probably get a middle seat,probably,0.52,0.4800000000000001,window-negative,./stim/images/13_window_40_v8.png,negative,0,might,1,undefined,6.936066666666667
75,You might get a middle seat,0,You'll probably get a middle seat,probably,0,0.44000000000000006,aisle-negative,./stim/images/34_aisle_75_v8.png,negative,0.56,might,1,undefined,6.936066666666667
75,You might get a window seat,0,You'll probably get a window seat,probably,0.48,0.52,window-positive,./stim/images/7_window_75_v2.png,positive,0,might,1,undefined,6.936066666666667
40,You might get a window seat,0,You'll probably get a window seat,probably,0.53,0.47,window-positive,./stim/images/4_window_40_v8.png,positive,0,might,1,undefined,6.936066666666667
10,You might get a middle seat,0,You'll probably get a middle seat,probably,0.45,0.5499999999999999,aisle-negative,./stim/images/29_aisle_10_v9.png,negative,0,might,1,undefined,6.936066666666667
0,You might get a window seat,0,You'll probably get a window seat,probably,0,0,window-positive,./stim/images/1_window_0_v9.png,positive,1,might,1,undefined,6.936066666666667
100,You might get a middle seat,0,You'll probably get a middle seat,probably,0,0,aisle-negative,./stim/images/36_aisle_100_v4.png,negative,1,might,1,undefined,6.936066666666667
40,You might get a middle seat,0,You'll probably get a middle seat,probably,0.54,0.4600000000000001,aisle-negative,./stim/images/31_aisle_40_v6.png,negative,0,might,1,undefined,6.936066666666667
50,You might get a middle seat,0,You'll probably get a middle seat,probably,0.52,0.48,window-negative,./stim/images/14_window_50_v9.png,negative,0,might,1,undefined,6.936066666666667
25,You might get an aisle seat,0,You'll probably get an aisle seat,probably,0.52,0.4800000000000001,aisle-positive,./stim/images/21_aisle_25_v9.png,positive,0,might,1,undefined,6.936066666666667
40,You might get an aisle seat,0,You'll probably get an aisle seat,probably,0.5,0.5,aisle-positive,./stim/images/22_aisle_40_v3.png,positive,0,might,1,undefined,6.936066666666667
10,You might get a middle seat,0,You'll probably get a middle seat,probably,0.5,0.5,window-negative,./stim/images/11_window_10_v7.png,negative,0,might,1,undefined,6.936066666666667
90,You might get a window seat,0,You'll probably get a window seat,probably,0,1,window-positive,./stim/images/8_window_90_v2.png,positive,0,might,1,undefined,6.936066666666667
75,You might get an aisle seat,0,You'll probably get an aisle seat,probably,0.5,0.5,aisle-positive,./stim/images/25_aisle_75_v10.png,positive,0,might,1,undefined,6.936066666666667
50,You might get an aisle seat,0,You'll probably get an aisle seat,probably,0.51,0.48,aisle-positive,./stim/images/23_aisle_50_v9.png,positive,0,might,1,undefined,6.936066666666667
60,You might get a window seat,0,You'll probably get a window seat,probably,0.51,0.49,window-positive,./stim/images/6_window_60_v9.png,positive,0,might,1,undefined,6.936066666666667
100,You might get a window seat,0,You'll probably get a window seat,probably,0,1,window-positive,./stim/images/9_window_100_v3.png,positive,0,might,1,undefined,6.936066666666667
60,You might get a middle seat,0,You'll probably get a middle seat,probably,0.47,0,aisle-negative,./stim/images/33_aisle_60_v2.png,negative,0.53,might,1,undefined,6.936066666666667
,You might get a window seat,1,You'll probably get a window seat,,0.5499999999999999,0.020000000000000018,test,./stim/images/4_window_40_v1.png,,0.43,,,undefined,13.68585
60,You might get a middle seat,1,You'll probably get a middle seat,probably,0.46,0.17999999999999994,aisle-negative,./stim/images/33_aisle_60_v5.png,negative,0.36,might,0,undefined,13.68585
40,You might get an aisle seat,1,You'll probably get an aisle seat,probably,0.41,0.18999999999999995,aisle-positive,./stim/images/22_aisle_40_v10.png,positive,0.4,might,0,undefined,13.68585
25,You might get a window seat,1,You'll probably get a window seat,probably,0.33,0.11999999999999988,window-positive,./stim/images/3_window_25_v8.png,positive,0.55,might,0,undefined,13.68585
10,You might get a window seat,1,You'll probably get a window seat,probably,0.31,0.21999999999999997,window-positive,./stim/images/2_window_10_v10.png,positive,0.47,might,0,undefined,13.68585
75,You might get a middle seat,1,You'll probably get a middle seat,probably,0.26,0.54,window-negative,./stim/images/16_window_75_v9.png,negative,0.19999999999999996,might,0,undefined,13.68585
100,You might get a middle seat,1,You'll probably get a middle seat,probably,0.43,0.33000000000000007,window-negative,./stim/images/18_window_100_v7.png,negative,0.24,might,0,undefined,13.68585
90,You might get a window seat,1,You'll probably get a window seat,probably,0.3,0.1100000000000001,window-positive,./stim/images/8_window_90_v6.png,positive,0.59,might,0,undefined,13.68585
60,You might get a window seat,1,You'll probably get a window seat,probably,0.43,0.10000000000000009,window-positive,./stim/images/6_window_60_v4.png,positive,0.47,might,0,undefined,13.68585
0,You might get a middle seat,1,You'll probably get a middle seat,probably,0.38,0.3999999999999999,window-negative,./stim/images/10_window_0_v2.png,negative,0.22,might,0,undefined,13.68585
0,You might get a middle seat,1,You'll probably get a middle seat,probably,0.32999999999999985,0.5000000000000001,aisle-negative,./stim/images/28_aisle_0_v5.png,negative,0.17,might,0,undefined,13.68585
25,You might get a middle seat,1,You'll probably get a middle seat,probably,0.29,0.5499999999999999,aisle-negative,./stim/images/30_aisle_25_v1.png,negative,0.16,might,0,undefined,13.68585
10,You might get an aisle seat,1,You'll probably get an aisle seat,probably,0.36,0.17999999999999983,aisle-positive,./stim/images/20_aisle_10_v9.png,positive,0.46,might,0,undefined,13.68585
