rating2,modal2,reverse_sent_order,sentence2,sentence1,Answer.condition,condition,percent_window,modal1,Answer.time_in_minutes,rating_other,workerid,type,rating1,image
0,,,,,undefined,happy,,,5.797616666666666,,0,test,0.7,
0.14,might,1,You might get an aisle seat,You'll probably get an aisle seat,undefined,,25,probably,5.797616666666666,0,0,aislehappy,0.8599999999999999,./stim/images/prob_25_1.png
0,might,1,You might get a window seat,You'll probably get a window seat,undefined,,0,probably,5.797616666666666,1,0,window_happy,0,./stim/images/prob_0_1.png
0.84,might,1,You might get an aisle seat,You'll probably get an aisle seat,undefined,,60,probably,5.797616666666666,0,0,aislehappy,0.16,./stim/images/prob_60_4.png
0.51,might,1,You might get an aisle seat,You'll probably get an aisle seat,undefined,,40,probably,5.797616666666666,0,0,aislehappy,0.49,./stim/images/prob_40_4.png
0.24,might,1,You might get a window seat,You'll probably get a window seat,undefined,,10,probably,5.797616666666666,0.76,0,window_happy,0,./stim/images/prob_10_5.png
0.17,might,1,You might get a window seat,You'll probably get a window seat,undefined,,25,probably,5.797616666666666,0.8300000000000001,0,window_happy,0,./stim/images/prob_25_2.png
0.21999999999999986,might,1,You might get a window seat,You'll probably get a window seat,undefined,,60,probably,5.797616666666666,0,0,window_happy,0.78,./stim/images/prob_60_2.png
0.4099999999999999,might,1,You might get an aisle seat,You'll probably get an aisle seat,undefined,,40,probably,5.797616666666666,0,0,aislehappy,0.59,./stim/images/prob_40_1.png
0.18,might,1,You might get a window seat,You'll probably get a window seat,undefined,,10,probably,5.797616666666666,0.8200000000000001,0,window_happy,0,./stim/images/prob_10_5.png
0,might,1,You might get an aisle seat,You'll probably get an aisle seat,undefined,,0,probably,5.797616666666666,0.61,0,aislehappy,0.3900000000000001,./stim/images/prob_0_4.png
0,might,1,You might get a window seat,You'll probably get a window seat,undefined,,100,probably,5.797616666666666,0.19999999999999996,0,window_happy,0.8,./stim/images/prob_100_2.png
0.16000000000000014,might,1,You might get a window seat,You'll probably get a window seat,undefined,,90,probably,5.797616666666666,0,0,window_happy,0.84,./stim/images/prob_90_2.png
0,might,1,You might get a window seat,You'll probably get a window seat,undefined,,0,probably,5.797616666666666,1,0,window_happy,0,./stim/images/prob_0_4.png
0.8400000000000001,might,1,You might get an aisle seat,You'll probably get an aisle seat,undefined,,75,probably,5.797616666666666,0.15999999999999992,0,aislehappy,0,./stim/images/prob_75_4.png
0.26,might,1,You might get an aisle seat,You'll probably get an aisle seat,undefined,,10,probably,5.797616666666666,0,0,aislehappy,0.74,./stim/images/prob_10_4.png
0.67,might,1,You might get an aisle seat,You'll probably get an aisle seat,undefined,,75,probably,5.797616666666666,0.33000000000000007,0,aislehappy,0,./stim/images/prob_75_3.png
0.65,might,1,You might get a window seat,You'll probably get a window seat,undefined,,50,probably,5.797616666666666,0,0,window_happy,0.35,./stim/images/prob_50_4.png
0.38,might,1,You might get an aisle seat,You'll probably get an aisle seat,undefined,,60,probably,5.797616666666666,0.6200000000000001,0,aislehappy,0,./stim/images/prob_60_3.png
0.24,might,1,You might get a window seat,You'll probably get a window seat,undefined,,25,probably,5.797616666666666,0.76,0,window_happy,0,./stim/images/prob_25_1.png
0.31,might,1,You might get a window seat,You'll probably get a window seat,undefined,,40,probably,5.797616666666666,0.69,0,window_happy,0,./stim/images/prob_40_5.png
