sentence1,modal1,Answer.time_in_minutes,rating2,percent_window,modal2,sentence2,condition,type,Answer.condition,rating1,reverse_sent_order,rating_other,image,workerid
You'll probably get one.,probably,9.412666666666667,0,100,might,You might get one.,1,aisle_1,undefined,0,0,1,./stim/images/prob_100_5.png,0
You'll probably get one.,probably,9.412666666666667,0,75,might,You might get one.,1,window_1,undefined,1,0,0,./stim/images/prob_75_2.png,0
You'll probably get one.,probably,9.412666666666667,1,25,might,You might get one.,1,window_1,undefined,0,0,0,./stim/images/prob_25_1.png,0
You'll probably get one.,probably,9.412666666666667,1,60,might,You might get one.,1,window_1,undefined,0,0,0,./stim/images/prob_60_1.png,0
You'll probably get one.,probably,9.412666666666667,0,75,might,You might get one.,1,window_1,undefined,1,0,0,./stim/images/prob_75_1.png,0
You'll probably get one.,probably,9.412666666666667,0,0,might,You might get one.,1,aisle_1,undefined,0,0,1,./stim/images/prob_0_4.png,0
You'll probably get one.,probably,9.412666666666667,0,90,might,You might get one.,1,window_1,undefined,1,0,0,./stim/images/prob_90_1.png,0
You'll probably get one.,probably,9.412666666666667,0,100,might,You might get one.,1,aisle_1,undefined,0,0,1,./stim/images/prob_100_2.png,0
You'll probably get one.,probably,9.412666666666667,1,40,might,You might get one.,1,aisle_1,undefined,0,0,0,./stim/images/prob_40_4.png,0
You'll probably get one.,probably,9.412666666666667,1,50,might,You might get one.,1,window_1,undefined,0,0,0,./stim/images/prob_50_2.png,0
You'll probably get one.,probably,9.412666666666667,0,100,might,You might get one.,1,window_1,undefined,0,0,1,./stim/images/prob_100_3.png,0
You'll probably get one.,probably,9.412666666666667,1,10,might,You might get one.,1,window_1,undefined,0,0,0,./stim/images/prob_10_1.png,0
You'll probably get one.,probably,9.412666666666667,0,25,might,You might get one.,1,aisle_1,undefined,1,0,0,./stim/images/prob_25_1.png,0
You'll probably get one.,probably,9.412666666666667,0,100,might,You might get one.,1,window_1,undefined,0,0,1,./stim/images/prob_100_5.png,0
You'll probably get one.,probably,9.412666666666667,0,10,might,You might get one.,1,aisle_1,undefined,1,0,0,./stim/images/prob_10_5.png,0
You'll probably get one.,probably,9.412666666666667,0,10,might,You might get one.,1,aisle_1,undefined,1,0,0,./stim/images/prob_10_2.png,0
You'll probably get one.,probably,9.412666666666667,1,90,might,You might get one.,1,aisle_1,undefined,0,0,0,./stim/images/prob_90_1.png,0
You'll probably get one.,probably,9.412666666666667,0,0,might,You might get one.,1,aisle_1,undefined,0,0,1,./stim/images/prob_0_1.png,0
You'll probably get one.,probably,9.412666666666667,1,50,might,You might get one.,1,window_1,undefined,0,0,0,./stim/images/prob_50_1.png,0
You'll probably get one.,probably,9.412666666666667,1,10,might,You might get one.,1,window_1,undefined,0,0,0,./stim/images/prob_10_5.png,0
You'll probably get one.,probably,9.412666666666667,1,40,might,You might get one.,1,aisle_1,undefined,0,0,0,./stim/images/prob_40_3.png,0
You'll probably get one.,probably,9.412666666666667,1,60,might,You might get one.,1,aisle_1,undefined,0,0,0,./stim/images/prob_60_2.png,0
You'll probably get one.,probably,9.412666666666667,1,40,might,You might get one.,1,window_1,undefined,0,0,0,./stim/images/prob_40_5.png,0
You'll probably get one.,probably,9.412666666666667,1,60,might,You might get one.,1,aisle_1,undefined,0,0,0,./stim/images/prob_60_5.png,0
You'll probably get one.,probably,9.412666666666667,0,60,might,You might get one.,1,window_1,undefined,1,0,0,./stim/images/prob_60_3.png,0
You'll probably get one.,probably,9.412666666666667,0,90,might,You might get one.,1,window_1,undefined,1,0,0,./stim/images/prob_90_1.png,0
You'll probably get one.,probably,9.412666666666667,0,0,might,You might get one.,1,window_1,undefined,0,0,1,./stim/images/prob_0_2.png,0
You'll probably get one.,probably,9.412666666666667,0,25,might,You might get one.,1,aisle_1,undefined,1,0,0,./stim/images/prob_25_1.png,0
You'll probably get one.,probably,9.412666666666667,1,75,might,You might get one.,1,aisle_1,undefined,0,0,0,./stim/images/prob_75_3.png,0
You'll probably get one.,probably,9.412666666666667,1,50,might,You might get one.,1,aisle_1,undefined,0,0,0,./stim/images/prob_50_3.png,0
You'll probably get one.,probably,9.412666666666667,1,90,might,You might get one.,1,aisle_1,undefined,0,0,0,./stim/images/prob_90_2.png,0
You'll probably get one.,probably,9.412666666666667,1,40,might,You might get one.,1,window_1,undefined,0,0,0,./stim/images/prob_40_4.png,0
You'll probably get one.,probably,9.412666666666667,1,50,might,You might get one.,1,aisle_1,undefined,0,0,0,./stim/images/prob_50_3.png,0
You'll probably get one.,probably,9.412666666666667,1,25,might,You might get one.,1,window_1,undefined,0,0,0,./stim/images/prob_25_4.png,0
You'll probably get one.,probably,9.412666666666667,0,0,might,You might get one.,1,window_1,undefined,0,0,1,./stim/images/prob_0_3.png,0
You'll probably get one.,probably,9.412666666666667,1,75,might,You might get one.,1,aisle_1,undefined,0,0,0,./stim/images/prob_75_5.png,0
