type,sentence2,Answer.condition,rating_other,modal2,sentence1,rating1,image,workerid,reverse_sent_order,modal1,Answer.time_in_minutes,condition,rating2,percent_window
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.83,./stim/images/prob_90_1.png,0,1,probably,9.803316666666667,3,0.16999999999999993,90
window_3,You might get one.,undefined,0.8799999999999999,might,You'll probably get one.,0,./stim/images/prob_10_1.png,0,1,probably,9.803316666666667,3,0.12,10
window_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_0_4.png,0,1,probably,9.803316666666667,3,0,0
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.09000000000000008,./stim/images/prob_60_1.png,0,1,probably,9.803316666666667,3,0.91,60
window_3,You might get one.,undefined,0.8,might,You'll probably get one.,0.2,./stim/images/prob_100_4.png,0,1,probably,9.803316666666667,3,0,100
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.27,./stim/images/prob_75_2.png,0,1,probably,9.803316666666667,3,0.73,75
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.25,./stim/images/prob_75_1.png,0,1,probably,9.803316666666667,3,0.75,75
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.18999999999999995,./stim/images/prob_25_5.png,0,1,probably,9.803316666666667,3,0.81,25
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.09999999999999987,./stim/images/prob_40_1.png,0,1,probably,9.803316666666667,3,0.9,40
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.8799999999999999,./stim/images/prob_10_3.png,0,1,probably,9.803316666666667,3,0.12,10
aisle_3,You might get one.,undefined,0.98,might,You'll probably get one.,0.02,./stim/images/prob_0_1.png,0,1,probably,9.803316666666667,3,0,0
aisle_3,You might get one.,undefined,0,might,You'll probably get one.,0.1399999999999999,./stim/images/prob_90_1.png,0,1,probably,9.803316666666667,3,0.86,90
window_3,You might get one.,undefined,0,might,You'll probably get one.,0.11999999999999988,./stim/images/prob_25_3.png,0,1,probably,9.803316666666667,3,0.88,25
aisle_3,You might get one.,undefined,1,might,You'll probably get one.,0,./stim/images/prob_100_3.png,0,1,probably,9.803316666666667,3,0,100
