reverse_sent_order,modal2,condition,sentence2,type,Answer.time_in_minutes,sentence1,rating2,Answer.condition,rating_other,rating1,image,workerid,modal1,percent_window
1,might,2,You might get one.,aisle_2,15.205083333333333,You'll probably get one.,0,undefined,1,0,./stim/images/prob_0_2.png,0,probably,0
1,might,2,You might get one.,window_2,15.205083333333333,You'll probably get one.,0.61,undefined,0,0.3899999999999999,./stim/images/prob_25_4.png,0,probably,25
1,might,2,You might get one.,window_2,15.205083333333333,You'll probably get one.,0,undefined,0,1,./stim/images/prob_60_4.png,0,probably,60
1,might,2,You might get one.,window_2,15.205083333333333,You'll probably get one.,0.3999999999999999,undefined,0,0.6,./stim/images/prob_40_3.png,0,probably,40
1,might,2,You might get one.,aisle_2,15.205083333333333,You'll probably get one.,0,undefined,1,0,./stim/images/prob_100_4.png,0,probably,100
1,might,2,You might get one.,aisle_2,15.205083333333333,You'll probably get one.,0,undefined,0.89,0.10999999999999988,./stim/images/prob_10_3.png,0,probably,10
1,might,2,You might get one.,window_2,15.205083333333333,You'll probably get one.,0,undefined,1,0,./stim/images/prob_100_1.png,0,probably,100
1,might,2,You might get one.,aisle_2,15.205083333333333,You'll probably get one.,0.97,undefined,0,0.030000000000000138,./stim/images/prob_75_3.png,0,probably,75
1,might,2,You might get one.,window_2,15.205083333333333,You'll probably get one.,0,undefined,0.39,0.61,./stim/images/prob_90_3.png,0,probably,90
1,might,2,You might get one.,window_2,15.205083333333333,You'll probably get one.,0.72,undefined,0,0.2799999999999999,./stim/images/prob_10_4.png,0,probably,10
1,might,2,You might get one.,window_2,15.205083333333333,You'll probably get one.,0.76,undefined,0,0.24,./stim/images/prob_25_1.png,0,probably,25
1,might,2,You might get one.,window_2,15.205083333333333,You'll probably get one.,0.050000000000000044,undefined,0,0.95,./stim/images/prob_90_2.png,0,probably,90
1,might,2,You might get one.,aisle_2,15.205083333333333,You'll probably get one.,0.79,undefined,0,0.20999999999999996,./stim/images/prob_90_5.png,0,probably,90
1,might,2,You might get one.,aisle_2,15.205083333333333,You'll probably get one.,0.3400000000000001,undefined,0,0.66,./stim/images/prob_60_5.png,0,probably,60
1,might,2,You might get one.,aisle_2,15.205083333333333,You'll probably get one.,0.39,undefined,0,0.61,./stim/images/prob_40_3.png,0,probably,40
1,might,2,You might get one.,window_2,15.205083333333333,You'll probably get one.,0.15000000000000013,undefined,0,0.85,./stim/images/prob_75_1.png,0,probably,75
1,might,2,You might get one.,aisle_2,15.205083333333333,You'll probably get one.,0,undefined,1,0,./stim/images/prob_0_5.png,0,probably,0
1,might,2,You might get one.,aisle_2,15.205083333333333,You'll probably get one.,0.15000000000000002,undefined,0,0.85,./stim/images/prob_25_4.png,0,probably,25
1,might,2,You might get one.,window_2,15.205083333333333,You'll probably get one.,0.35,undefined,0,0.65,./stim/images/prob_50_5.png,0,probably,50
1,might,2,You might get one.,window_2,15.205083333333333,You'll probably get one.,0.44999999999999984,undefined,0,0.55,./stim/images/prob_50_1.png,0,probably,50
1,might,2,You might get one.,aisle_2,15.205083333333333,You'll probably get one.,0.2600000000000001,undefined,0,0.74,./stim/images/prob_40_3.png,0,probably,40
1,might,2,You might get one.,aisle_2,15.205083333333333,You'll probably get one.,0,undefined,1,0,./stim/images/prob_100_5.png,0,probably,100
1,might,2,You might get one.,window_2,15.205083333333333,You'll probably get one.,0.35,undefined,0,0.6500000000000001,./stim/images/prob_60_2.png,0,probably,60
1,might,2,You might get one.,aisle_2,15.205083333333333,You'll probably get one.,0.12,undefined,0,0.88,./stim/images/prob_10_3.png,0,probably,10
1,might,2,You might get one.,aisle_2,15.205083333333333,You'll probably get one.,0.8,undefined,0,0.19999999999999996,./stim/images/prob_75_1.png,0,probably,75
1,might,2,You might get one.,aisle_2,15.205083333333333,You'll probably get one.,0.18000000000000005,undefined,0,0.82,./stim/images/prob_50_3.png,0,probably,50
1,might,2,You might get one.,aisle_2,15.205083333333333,You'll probably get one.,1,undefined,0,0,./stim/images/prob_90_4.png,0,probably,90
1,might,2,You might get one.,window_2,15.205083333333333,You'll probably get one.,0,undefined,1,0,./stim/images/prob_0_5.png,0,probably,0
1,might,2,You might get one.,aisle_2,15.205083333333333,You'll probably get one.,0.09999999999999987,undefined,0,0.9,./stim/images/prob_25_5.png,0,probably,25
1,might,2,You might get one.,window_2,15.205083333333333,You'll probably get one.,0,undefined,1,0,./stim/images/prob_100_2.png,0,probably,100
1,might,2,You might get one.,window_2,15.205083333333333,You'll probably get one.,0.85,undefined,0,0.15000000000000002,./stim/images/prob_10_2.png,0,probably,10
1,might,2,You might get one.,window_2,15.205083333333333,You'll probably get one.,0,undefined,1,0,./stim/images/prob_0_5.png,0,probably,0
1,might,2,You might get one.,window_2,15.205083333333333,You'll probably get one.,0.56,undefined,0,0.44,./stim/images/prob_40_3.png,0,probably,40
1,might,2,You might get one.,window_2,15.205083333333333,You'll probably get one.,0.2400000000000001,undefined,0,0.76,./stim/images/prob_75_2.png,0,probably,75
1,might,2,You might get one.,aisle_2,15.205083333333333,You'll probably get one.,0.45999999999999996,undefined,0,0.54,./stim/images/prob_60_3.png,0,probably,60
1,might,2,You might get one.,aisle_2,15.205083333333333,You'll probably get one.,0.31999999999999995,undefined,0,0.68,./stim/images/prob_50_5.png,0,probably,50
