image,modal,check1,text,mood,seat,workerid,catch_trial,catch_trial_answer_correct,condtion,check2,audio,request,order
./stim/images/exposure_60_4.png,might,./stim/images/prob_100_1.png,You might get one.,pessimist,window,0,0,-1,3,./stim/images/exposure_60_4.png,./stim/audio/angry_might1_s1.mp3,./stim/text/text-1.png,1
./stim/images/prob_100_1.png,bare,./stim/images/prob_100_1.png,You'll get one.,pessimist,window,0,1,0,3,./stim/images/exposure_60_7.png,./stim/audio/angry_bare_s1.mp3,./stim/text/text-1.png,0
./stim/images/exposure_40_1.png,might,./stim/images/prob_100_1.png,You might get one.,pessimist,aisle,0,1,1,3,./stim/images/exposure_40_1.png,./stim/audio/angry_might2_s1.mp3,./stim/text/text-2.png,1
./stim/images/exposure_10_5.png,probably,./stim/images/exposure_10_5.png,You'll probably get one.,pessimist,aisle,0,0,-1,3,./stim/images/exposure_75_5.png,./stim/audio/angry_probably2_s1.mp3,./stim/text/text-2.png,0
./stim/images/exposure_40_8.png,might,./stim/images/exposure_40_8.png,You might get one.,pessimist,aisle,0,0,-1,3,./stim/images/prob_100_1.png,./stim/audio/angry_might2_s1.mp3,./stim/text/text-2.png,0
./stim/images/exposure_60_8.png,might,./stim/images/exposure_60_8.png,You might get one.,pessimist,window,0,0,-1,3,./stim/images/prob_100_1.png,./stim/audio/angry_might1_s1.mp3,./stim/text/text-1.png,0
./stim/images/exposure_40_4.png,might,./stim/images/prob_100_1.png,You might get one.,pessimist,aisle,0,0,-1,3,./stim/images/exposure_40_4.png,./stim/audio/angry_might2_s1.mp3,./stim/text/text-2.png,1
./stim/images/exposure_40_7.png,might,./stim/images/prob_100_1.png,You might get one.,pessimist,aisle,0,1,1,3,./stim/images/exposure_40_7.png,./stim/audio/angry_might2_s1.mp3,./stim/text/text-2.png,1
./stim/images/exposure_10_1.png,probably,./stim/images/exposure_10_1.png,You'll probably get one.,pessimist,aisle,0,1,1,3,./stim/images/exposure_75_1.png,./stim/audio/angry_probably2_s1.mp3,./stim/text/text-2.png,0
./stim/images/exposure_60_7.png,might,./stim/images/exposure_60_7.png,You might get one.,pessimist,window,0,1,1,3,./stim/images/prob_100_1.png,./stim/audio/angry_might1_s1.mp3,./stim/text/text-1.png,0
./stim/images/exposure_90_4.png,probably,./stim/images/exposure_90_4.png,You'll probably get one.,pessimist,window,0,0,-1,3,./stim/images/exposure_25_4.png,./stim/audio/angry_probably1_s1.mp3,./stim/text/text-1.png,0
./stim/images/prob_100_1.png,bare,./stim/images/exposure_60_5.png,You'll get one.,pessimist,window,0,0,-1,3,./stim/images/prob_100_1.png,./stim/audio/angry_bare_s1.mp3,./stim/text/text-1.png,1
./stim/images/exposure_90_1.png,probably,./stim/images/exposure_90_1.png,You'll probably get one.,pessimist,window,0,1,1,3,./stim/images/exposure_25_1.png,./stim/audio/angry_probably1_s1.mp3,./stim/text/text-1.png,0
./stim/images/exposure_10_7.png,probably,./stim/images/exposure_75_7.png,You'll probably get one.,pessimist,aisle,0,1,1,3,./stim/images/exposure_10_7.png,./stim/audio/angry_probably2_s1.mp3,./stim/text/text-2.png,1
./stim/images/exposure_60_1.png,might,./stim/images/exposure_60_1.png,You might get one.,pessimist,window,0,1,1,3,./stim/images/prob_100_1.png,./stim/audio/angry_might1_s1.mp3,./stim/text/text-1.png,0
./stim/images/exposure_90_7.png,probably,./stim/images/exposure_25_7.png,You'll probably get one.,pessimist,window,0,1,1,3,./stim/images/exposure_90_7.png,./stim/audio/angry_probably1_s1.mp3,./stim/text/text-1.png,1
./stim/images/prob_100_1.png,bare,./stim/images/exposure_60_4.png,You'll get one.,pessimist,window,0,0,-1,3,./stim/images/prob_100_1.png,./stim/audio/angry_bare_s1.mp3,./stim/text/text-1.png,1
./stim/images/prob_100_1.png,bare,./stim/images/exposure_60_1.png,You'll get one.,pessimist,window,0,1,1,3,./stim/images/prob_100_1.png,./stim/audio/angry_bare_s1.mp3,./stim/text/text-1.png,1
./stim/images/exposure_60_5.png,might,./stim/images/exposure_60_5.png,You might get one.,pessimist,window,0,0,-1,3,./stim/images/prob_100_1.png,./stim/audio/angry_might1_s1.mp3,./stim/text/text-1.png,0
./stim/images/exposure_10_4.png,probably,./stim/images/exposure_75_4.png,You'll probably get one.,pessimist,aisle,0,0,-1,3,./stim/images/exposure_10_4.png,./stim/audio/angry_probably2_s1.mp3,./stim/text/text-2.png,1
./stim/images/exposure_90_5.png,probably,./stim/images/exposure_25_5.png,You'll probably get one.,pessimist,window,0,0,-1,3,./stim/images/exposure_90_5.png,./stim/audio/angry_probably1_s1.mp3,./stim/text/text-1.png,1
./stim/images/exposure_90_8.png,probably,./stim/images/exposure_25_8.png,You'll probably get one.,pessimist,window,0,0,-1,3,./stim/images/exposure_90_8.png,./stim/audio/angry_probably1_s1.mp3,./stim/text/text-1.png,1
./stim/images/prob_100_1.png,bare,./stim/images/exposure_60_8.png,You'll get one.,pessimist,window,0,0,-1,3,./stim/images/prob_100_1.png,./stim/audio/angry_bare_s1.mp3,./stim/text/text-1.png,1
./stim/images/exposure_40_5.png,might,./stim/images/prob_100_1.png,You might get one.,pessimist,aisle,0,0,-1,3,./stim/images/exposure_40_5.png,./stim/audio/angry_might2_s1.mp3,./stim/text/text-2.png,1
./stim/images/exposure_10_8.png,probably,./stim/images/exposure_75_8.png,You'll probably get one.,pessimist,aisle,0,0,-1,3,./stim/images/exposure_10_8.png,./stim/audio/angry_probably2_s1.mp3,./stim/text/text-2.png,1
