text,condtion,modal,seat,catch_trial_answer_correct,order,request,check1,catch_trial,image,mood,audio,workerid,check2
You might get one.,1,might,aisle,-1,0,./stim/text/text-2.png,./stim/images/exposure_75_6.png,0,./stim/images/exposure_75_6.png,optimist,./stim/audio/happy_might2_s2.mp3,0,./stim/images/exposure_10_6.png
You'll probably get one.,1,probably,window,1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,1,./stim/images/exposure_60_3.png,optimist,./stim/audio/happy_probably1_s2.mp3,0,./stim/images/exposure_60_3.png
You'll probably get one.,1,probably,window,-1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,0,./stim/images/exposure_60_2.png,optimist,./stim/audio/happy_probably1_s2.mp3,0,./stim/images/exposure_60_2.png
You'll get one.,1,bare,window,-1,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,0,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s2.mp3,0,./stim/images/exposure_60_2.png
You'll probably get one.,1,probably,window,-1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,0,./stim/images/exposure_60_8.png,optimist,./stim/audio/happy_probably1_s2.mp3,0,./stim/images/exposure_60_8.png
You might get one.,1,might,aisle,-1,1,./stim/text/text-2.png,./stim/images/exposure_10_8.png,0,./stim/images/exposure_75_8.png,optimist,./stim/audio/happy_might2_s2.mp3,0,./stim/images/exposure_75_8.png
You'll probably get one.,1,probably,window,-1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,0,./stim/images/exposure_60_6.png,optimist,./stim/audio/happy_probably1_s2.mp3,0,./stim/images/exposure_60_6.png
You'll get one.,1,bare,window,1,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,1,./stim/images/prob_100_1.png,optimist,./stim/audio/happy_bare_s2.mp3,0,./stim/images/exposure_60_3.png
You might get one.,1,might,window,1,0,./stim/text/text-1.png,./stim/images/exposure_25_3.png,1,./stim/images/exposure_25_3.png,optimist,./stim/audio/happy_might1_s2.mp3,0,./stim/images/exposure_90_3.png
You might get one.,1,might,window,-1,1,./stim/text/text-1.png,./stim/images/exposure_90_6.png,0,./stim/images/exposure_25_6.png,optimist,./stim/audio/happy_might1_s2.mp3,0,./stim/images/exposure_25_6.png
