condtion,request,image,catch_trial_answer_correct,workerid,modal,order,check2,audio,text,mood,check1,catch_trial,seat
2,./stim/text/text-1.png,./stim/images/prob_100_1.png,0,0,bare,0,./stim/images/exposure_60_8.png,./stim/audio/control_bare_s2.mp3,You'll get one.,control,./stim/images/prob_100_1.png,1,window
2,./stim/text/text-1.png,./stim/images/exposure_25_6.png,-1,0,might,1,./stim/images/exposure_25_6.png,./stim/audio/control_might1_s2.mp3,You might get one.,control,./stim/images/exposure_90_6.png,0,window
2,./stim/text/text-2.png,./stim/images/exposure_75_5.png,1,0,might,1,./stim/images/exposure_75_5.png,./stim/audio/control_might2_s2.mp3,You might get one.,control,./stim/images/exposure_10_5.png,1,aisle
2,./stim/text/text-2.png,./stim/images/exposure_40_8.png,1,0,probably,1,./stim/images/exposure_40_8.png,./stim/audio/control_probably2_s2.mp3,You'll probably get one.,control,./stim/images/prob_100_1.png,1,aisle
2,./stim/text/text-1.png,./stim/images/exposure_60_6.png,-1,0,probably,0,./stim/images/prob_100_1.png,./stim/audio/control_probably1_s2.mp3,You'll probably get one.,control,./stim/images/exposure_60_6.png,0,window
2,./stim/text/text-1.png,./stim/images/exposure_60_5.png,1,0,probably,1,./stim/images/exposure_60_5.png,./stim/audio/control_probably1_s2.mp3,You'll probably get one.,control,./stim/images/prob_100_1.png,1,window
2,./stim/text/text-2.png,./stim/images/exposure_40_6.png,-1,0,probably,0,./stim/images/prob_100_1.png,./stim/audio/control_probably2_s2.mp3,You'll probably get one.,control,./stim/images/exposure_40_6.png,0,aisle
2,./stim/text/text-1.png,./stim/images/exposure_25_3.png,-1,0,might,1,./stim/images/exposure_25_3.png,./stim/audio/control_might1_s2.mp3,You might get one.,control,./stim/images/exposure_90_3.png,0,window
2,./stim/text/text-1.png,./stim/images/exposure_60_10.png,-1,0,probably,0,./stim/images/prob_100_1.png,./stim/audio/control_probably1_s2.mp3,You'll probably get one.,control,./stim/images/exposure_60_10.png,0,window
2,./stim/text/text-1.png,./stim/images/prob_100_1.png,1,0,bare,1,./stim/images/prob_100_1.png,./stim/audio/control_bare_s2.mp3,You'll get one.,control,./stim/images/exposure_60_5.png,1,window
2,./stim/text/text-1.png,./stim/images/prob_100_1.png,-1,0,bare,0,./stim/images/exposure_60_6.png,./stim/audio/control_bare_s2.mp3,You'll get one.,control,./stim/images/prob_100_1.png,0,window
2,./stim/text/text-1.png,./stim/images/exposure_60_3.png,-1,0,probably,1,./stim/images/exposure_60_3.png,./stim/audio/control_probably1_s2.mp3,You'll probably get one.,control,./stim/images/prob_100_1.png,0,window
2,./stim/text/text-2.png,./stim/images/exposure_75_6.png,-1,0,might,0,./stim/images/exposure_10_6.png,./stim/audio/control_might2_s2.mp3,You might get one.,control,./stim/images/exposure_75_6.png,0,aisle
2,./stim/text/text-2.png,./stim/images/exposure_75_10.png,-1,0,might,0,./stim/images/exposure_10_10.png,./stim/audio/control_might2_s2.mp3,You might get one.,control,./stim/images/exposure_75_10.png,0,aisle
2,./stim/text/text-1.png,./stim/images/exposure_25_5.png,1,0,might,0,./stim/images/exposure_90_5.png,./stim/audio/control_might1_s2.mp3,You might get one.,control,./stim/images/exposure_25_5.png,1,window
2,./stim/text/text-1.png,./stim/images/prob_100_1.png,-1,0,bare,0,./stim/images/exposure_60_10.png,./stim/audio/control_bare_s2.mp3,You'll get one.,control,./stim/images/prob_100_1.png,0,window
2,./stim/text/text-2.png,./stim/images/exposure_75_8.png,1,0,might,0,./stim/images/exposure_10_8.png,./stim/audio/control_might2_s2.mp3,You might get one.,control,./stim/images/exposure_75_8.png,1,aisle
2,./stim/text/text-2.png,./stim/images/exposure_75_3.png,-1,0,might,1,./stim/images/exposure_75_3.png,./stim/audio/control_might2_s2.mp3,You might get one.,control,./stim/images/exposure_10_3.png,0,aisle
2,./stim/text/text-2.png,./stim/images/exposure_40_10.png,-1,0,probably,0,./stim/images/prob_100_1.png,./stim/audio/control_probably2_s2.mp3,You'll probably get one.,control,./stim/images/exposure_40_10.png,0,aisle
2,./stim/text/text-1.png,./stim/images/prob_100_1.png,-1,0,bare,1,./stim/images/prob_100_1.png,./stim/audio/control_bare_s2.mp3,You'll get one.,control,./stim/images/exposure_60_3.png,0,window
2,./stim/text/text-2.png,./stim/images/exposure_40_5.png,1,0,probably,0,./stim/images/prob_100_1.png,./stim/audio/control_probably2_s2.mp3,You'll probably get one.,control,./stim/images/exposure_40_5.png,1,aisle
2,./stim/text/text-1.png,./stim/images/exposure_25_8.png,1,0,might,0,./stim/images/exposure_90_8.png,./stim/audio/control_might1_s2.mp3,You might get one.,control,./stim/images/exposure_25_8.png,1,window
2,./stim/text/text-1.png,./stim/images/exposure_60_8.png,1,0,probably,1,./stim/images/exposure_60_8.png,./stim/audio/control_probably1_s2.mp3,You'll probably get one.,control,./stim/images/prob_100_1.png,1,window
2,./stim/text/text-2.png,./stim/images/exposure_40_3.png,-1,0,probably,1,./stim/images/exposure_40_3.png,./stim/audio/control_probably2_s2.mp3,You'll probably get one.,control,./stim/images/prob_100_1.png,0,aisle
2,./stim/text/text-1.png,./stim/images/exposure_25_10.png,-1,0,might,1,./stim/images/exposure_25_10.png,./stim/audio/control_might1_s2.mp3,You might get one.,control,./stim/images/exposure_90_10.png,0,window
2,./stim/text/text-2.png,./stim/images/exposure_40_10.png,1,1,probably,1,./stim/images/exposure_40_10.png,./stim/audio/control_probably2_s2.mp3,You'll probably get one.,control,./stim/images/prob_100_1.png,1,aisle
