modal2,sentence1,Answer.time_in_minutes,Answer.condition,sentence2,percent_window,condition,reverse_sent_order,rating_other,type,workerid,rating1,image,modal1,rating2
might,You'll probably get one.,10.5843,undefined,You might get one.,75,2,1,0,aisle_2,0,0,./stim/images/prob_75_1.png,probably,1
might,You'll probably get one.,10.5843,undefined,You might get one.,60,2,1,0,window_2,0,1,./stim/images/prob_60_4.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,10,2,1,0,aisle_2,0,1,./stim/images/prob_10_4.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,90,2,1,0,window_2,0,1,./stim/images/prob_90_4.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,100,2,1,1,aisle_2,0,0,./stim/images/prob_100_5.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,50,2,1,0,window_2,0,0,./stim/images/prob_50_1.png,probably,1
might,You'll probably get one.,10.5843,undefined,You might get one.,40,2,1,0,aisle_2,0,1,./stim/images/prob_40_5.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,100,2,1,1,window_2,0,0,./stim/images/prob_100_5.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,25,2,1,0,aisle_2,0,1,./stim/images/prob_25_2.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,40,2,1,0,window_2,0,0,./stim/images/prob_40_5.png,probably,1
might,You'll probably get one.,10.5843,undefined,You might get one.,90,2,1,0,aisle_2,0,0,./stim/images/prob_90_5.png,probably,1
might,You'll probably get one.,10.5843,undefined,You might get one.,0,2,1,1,aisle_2,0,0,./stim/images/prob_0_1.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,100,2,1,1,aisle_2,0,0,./stim/images/prob_100_4.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,25,2,1,0,window_2,0,0,./stim/images/prob_25_3.png,probably,1
might,You'll probably get one.,10.5843,undefined,You might get one.,0,2,1,1,window_2,0,0,./stim/images/prob_0_4.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,75,2,1,0,aisle_2,0,0,./stim/images/prob_75_5.png,probably,1
might,You'll probably get one.,10.5843,undefined,You might get one.,25,2,1,0,window_2,0,0,./stim/images/prob_25_4.png,probably,1
might,You'll probably get one.,10.5843,undefined,You might get one.,50,2,1,0,window_2,0,0,./stim/images/prob_50_1.png,probably,1
might,You'll probably get one.,10.5843,undefined,You might get one.,75,2,1,0,window_2,0,1,./stim/images/prob_75_4.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,10,2,1,0,aisle_2,0,1,./stim/images/prob_10_5.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,75,2,1,0,window_2,0,1,./stim/images/prob_75_5.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,10,2,1,0,window_2,0,0,./stim/images/prob_10_2.png,probably,1
might,You'll probably get one.,10.5843,undefined,You might get one.,10,2,1,0,window_2,0,0,./stim/images/prob_10_4.png,probably,1
might,You'll probably get one.,10.5843,undefined,You might get one.,0,2,1,1,window_2,0,0,./stim/images/prob_0_4.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,40,2,1,0,aisle_2,0,1,./stim/images/prob_40_2.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,90,2,1,0,aisle_2,0,0,./stim/images/prob_90_5.png,probably,1
might,You'll probably get one.,10.5843,undefined,You might get one.,50,2,1,0,aisle_2,0,0,./stim/images/prob_50_4.png,probably,1
might,You'll probably get one.,10.5843,undefined,You might get one.,40,2,1,0,window_2,0,0,./stim/images/prob_40_5.png,probably,1
might,You'll probably get one.,10.5843,undefined,You might get one.,0,2,1,1,aisle_2,0,0,./stim/images/prob_0_4.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,60,2,1,0,aisle_2,0,0,./stim/images/prob_60_4.png,probably,1
might,You'll probably get one.,10.5843,undefined,You might get one.,100,2,1,1,window_2,0,0,./stim/images/prob_100_4.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,25,2,1,0,aisle_2,0,1,./stim/images/prob_25_5.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,90,2,1,0,window_2,0,1,./stim/images/prob_90_5.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,60,2,1,0,aisle_2,0,0,./stim/images/prob_60_2.png,probably,1
might,You'll probably get one.,10.5843,undefined,You might get one.,60,2,1,0,window_2,0,1,./stim/images/prob_60_4.png,probably,0
might,You'll probably get one.,10.5843,undefined,You might get one.,50,2,1,0,aisle_2,0,1,./stim/images/prob_50_1.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,100,2,1,0,window_2,1,1,./stim/images/prob_100_5.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,100,2,1,1,aisle_2,1,0,./stim/images/prob_100_2.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,10,2,1,1,window_2,1,0,./stim/images/prob_10_2.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,90,2,1,0,window_2,1,1,./stim/images/prob_90_4.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,75,2,1,0,window_2,1,0.89,./stim/images/prob_75_3.png,probably,0.10999999999999988
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,0,2,1,1,window_2,1,0,./stim/images/prob_0_5.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,100,2,1,0,window_2,1,1,./stim/images/prob_100_5.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,90,2,1,1,aisle_2,1,0,./stim/images/prob_90_4.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,10,2,1,1,window_2,1,0,./stim/images/prob_10_4.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,50,2,1,0,window_2,1,0,./stim/images/prob_50_3.png,probably,1
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,0,2,1,0,window_2,1,1,./stim/images/prob_0_5.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,40,2,1,0,aisle_2,1,0,./stim/images/prob_40_4.png,probably,1
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,50,2,1,0,window_2,1,0,./stim/images/prob_50_5.png,probably,1
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,25,2,1,0,aisle_2,1,1,./stim/images/prob_25_2.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,0,2,1,0,aisle_2,1,1,./stim/images/prob_0_5.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,100,2,1,1,aisle_2,1,0,./stim/images/prob_100_5.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,10,2,1,0,aisle_2,1,1,./stim/images/prob_10_1.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,60,2,1,0,aisle_2,1,0,./stim/images/prob_60_3.png,probably,1
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,40,2,1,0,aisle_2,1,0,./stim/images/prob_40_2.png,probably,1
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,60,2,1,0,window_2,1,0,./stim/images/prob_60_2.png,probably,1
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,75,2,1,0.8999999999999999,aisle_2,1,0,./stim/images/prob_75_2.png,probably,0.1
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,10,2,1,0,aisle_2,1,1,./stim/images/prob_10_2.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,25,2,1,0.79,window_2,1,0,./stim/images/prob_25_5.png,probably,0.21
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,50,2,1,0.5,aisle_2,1,0,./stim/images/prob_50_5.png,probably,0.5000000000000001
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,75,2,1,0,window_2,1,1,./stim/images/prob_75_1.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,40,2,1,0.43999999999999995,window_2,1,0,./stim/images/prob_40_5.png,probably,0.56
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,90,2,1,0,window_2,1,1,./stim/images/prob_90_2.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,60,2,1,0,aisle_2,1,0,./stim/images/prob_60_3.png,probably,1
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,60,2,1,0,window_2,1,0,./stim/images/prob_60_2.png,probably,1
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,40,2,1,0.45999999999999996,window_2,1,0,./stim/images/prob_40_4.png,probably,0.54
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,90,2,1,0,aisle_2,1,1,./stim/images/prob_90_4.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,50,2,1,0.52,aisle_2,1,0,./stim/images/prob_50_4.png,probably,0.48
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,25,2,1,0.89,window_2,1,0,./stim/images/prob_25_3.png,probably,0.10999999999999988
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,0,2,1,0,aisle_2,1,1,./stim/images/prob_0_5.png,probably,0
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,25,2,1,0,aisle_2,1,0.9,./stim/images/prob_25_1.png,probably,0.10000000000000009
might,You'll probably get one.,12.946866666666667,undefined,You might get one.,75,2,1,0.7,aisle_2,1,0,./stim/images/prob_75_1.png,probably,0.3
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,0,2,0,1,window_2,2,0,./stim/images/prob_0_5.png,probably,0
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,60,2,0,0,window_2,2,0.86,./stim/images/prob_60_2.png,probably,0.14
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,75,2,0,0,aisle_2,2,0,./stim/images/prob_75_1.png,probably,1
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,50,2,0,0,aisle_2,2,0,./stim/images/prob_50_4.png,probably,1
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,50,2,0,0,window_2,2,0,./stim/images/prob_50_1.png,probably,1
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,25,2,0,0,window_2,2,0,./stim/images/prob_25_5.png,probably,1
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,0,2,0,1,aisle_2,2,0,./stim/images/prob_0_2.png,probably,0
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,75,2,0,0,aisle_2,2,0,./stim/images/prob_75_1.png,probably,1
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,100,2,0,1,window_2,2,0,./stim/images/prob_100_5.png,probably,0
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,40,2,0,0,aisle_2,2,1,./stim/images/prob_40_2.png,probably,0
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,100,2,0,1,window_2,2,0,./stim/images/prob_100_1.png,probably,0
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,75,2,0,0,window_2,2,1,./stim/images/prob_75_5.png,probably,0
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,25,2,0,0,aisle_2,2,1,./stim/images/prob_25_1.png,probably,0
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,50,2,0,0,window_2,2,0,./stim/images/prob_50_3.png,probably,1
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,90,2,0,0,aisle_2,2,0,./stim/images/prob_90_2.png,probably,1
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,25,2,0,0,aisle_2,2,1,./stim/images/prob_25_1.png,probably,0
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,60,2,0,0,window_2,2,0.18,./stim/images/prob_60_1.png,probably,0.82
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,10,2,0,0,aisle_2,2,1,./stim/images/prob_10_2.png,probably,0
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,0,2,0,1,window_2,2,0,./stim/images/prob_0_3.png,probably,0
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,25,2,0,0,window_2,2,0,./stim/images/prob_25_4.png,probably,1
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,90,2,0,0,aisle_2,2,0,./stim/images/prob_90_1.png,probably,1
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,10,2,0,0,window_2,2,0,./stim/images/prob_10_3.png,probably,1
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,90,2,0,0,window_2,2,1,./stim/images/prob_90_3.png,probably,0
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,40,2,0,0,window_2,2,0,./stim/images/prob_40_3.png,probably,1
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,50,2,0,0,aisle_2,2,0,./stim/images/prob_50_4.png,probably,1
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,75,2,0,0,window_2,2,1,./stim/images/prob_75_1.png,probably,0
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,40,2,0,0,window_2,2,0,./stim/images/prob_40_5.png,probably,1
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,60,2,0,0,aisle_2,2,0,./stim/images/prob_60_4.png,probably,1
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,100,2,0,1,aisle_2,2,0,./stim/images/prob_100_1.png,probably,0
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,100,2,0,1,aisle_2,2,0,./stim/images/prob_100_3.png,probably,0
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,40,2,0,0,aisle_2,2,1,./stim/images/prob_40_1.png,probably,0
might,You'll probably get one.,15.652316666666668,undefined,You might get one.,60,2,0,0,aisle_2,2,0,./stim/images/prob_60_1.png,probably,1
