mood_rating,workerid,type
0.06,0,mood1
0.89,0,mood2
0.02,1,mood1
0.77,1,mood2
0,2,mood1
1,2,mood2
0.02,3,mood1
0.72,3,mood2
0,4,mood1
0.57,4,mood2
0,5,mood1
1,5,mood2
0,6,mood1
0.93,6,mood2
0.69,7,mood1
0.33,7,mood1
0.6,7,mood2
0.09,8,mood1
0.7,8,mood2
0,9,mood1
0.55,9,mood2
0.46,10,mood1
0.81,10,mood2
0.01,11,mood1
0.96,11,mood2
0,12,mood1
1,12,mood2
0.08,13,mood1
0.73,13,mood2
0.02,14,mood1
0.97,14,mood2
0,15,mood1
1,15,mood2
0,16,mood1
0.99,16,mood2
0,17,mood1
0.57,17,mood2
0.07,18,mood1
0.48,18,mood2
0.08,19,mood1
0.75,19,mood2
0.07,20,mood1
0.55,20,mood2
0,21,mood1
0.55,21,mood2
0.03,22,mood1
0.87,22,mood2
0,23,mood1
1,23,mood2
0.02,24,mood1
0.69,24,mood2
0.02,25,mood1
0.8,25,mood2
0,26,mood1
0.58,26,mood2
0.12,27,mood1
0.48,27,mood2
0.09,28,mood1
0.54,28,mood2
0,29,mood1
1,29,mood2
0,30,mood1
0.81,30,mood2
0.51,31,mood1
0.2,31,mood1
0.7,31,mood2
0.15,32,mood1
0.59,32,mood2
0,33,mood1
0.73,33,mood2
0,34,mood1
0.97,34,mood2
0.31,35,mood1
0.71,35,mood2
0.01,36,mood1
0.86,36,mood2
0,37,mood1
0.67,37,mood2
0.01,38,mood1
0.82,38,mood2
0.1,39,mood1
0.87,39,mood2
0.01,40,mood1
1,40,mood2
0.05,41,mood1
0.93,41,mood2
0.01,42,mood1
0.9,42,mood2
0,43,mood1
0.94,43,mood2
0,44,mood1
1,44,mood2
0.27,45,mood1
0.59,45,mood2
0,46,mood1
1,46,mood2
0.03,47,mood1
0.96,47,mood2
0.08,48,mood1
0.81,48,mood2
0,49,mood1
0.82,49,mood2
0.05,50,mood1
0.7,50,mood2
0.1,51,mood1
0.62,51,mood2
0,52,mood1
0.51,52,mood2
0.05,53,mood1
0.86,53,mood2
0,54,mood1
0.97,54,mood2
0,55,mood1
1,55,mood2
0.17,56,mood1
0.81,56,mood2
0.19,57,mood1
0.44,57,mood2
0.13,58,mood1
0.67,58,mood2
0.16,59,mood1
0.9,59,mood2
0.16,60,mood1
0.83,60,mood2
0.16,61,mood1
0.7,61,mood2
0.16,62,mood1
0.82,62,mood2
0.01,63,mood1
0.94,63,mood2
0.08,64,mood1
0.98,64,mood2
0.06,65,mood1
0.71,65,mood2
0.04,66,mood1
0.48,66,mood2
0,67,mood1
0.99,67,mood2
0,68,mood1
0.7,68,mood2
0.02,69,mood1
0.84,69,mood2
0,70,mood1
1,70,mood2
0,71,mood1
0.44,71,mood2
0,72,mood1
1,72,mood2
0,73,mood1
0.99,73,mood2
0.02,74,mood1
0.76,74,mood2
0.18,75,mood1
0.85,75,mood2
0.11,76,mood1
0.7,76,mood2
0.02,77,mood1
1,77,mood2
0.01,78,mood1
0.9,78,mood2
0,79,mood1
0.85,79,mood2
