order,seat,text,mood,image,modal,prob_rating,check2,request,check1,condtion,workerid,catch_trial,audio
1,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_2.png,probably,0.18,./stim/images/exposure_90_2.png,./stim/text/text-1.png,./stim/images/exposure_25_2.png,4,0,1,./stim/audio/control_probably1_s1.mp3
1,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_2.png,might,0.91,./stim/images/exposure_40_2.png,./stim/text/text-2.png,./stim/images/prob_100_1.png,4,0,1,./stim/audio/control_might2_s1.mp3
0,an aisle seat (blue),You'll probably get one.,control,./stim/images/exposure_10_2.png,probably,1,./stim/images/exposure_75_2.png,./stim/text/text-2.png,./stim/images/exposure_10_2.png,4,0,1,./stim/audio/control_probably2_s1.mp3
1,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_7.png,might,0.82,./stim/images/exposure_40_7.png,./stim/text/text-2.png,./stim/images/prob_100_1.png,4,0,0,./stim/audio/control_might2_s1.mp3
1,a window seat (red),You might get one.,control,./stim/images/exposure_60_7.png,might,1,./stim/images/exposure_60_7.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,0,0,./stim/audio/control_might1_s1.mp3
0,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_5.png,probably,1,./stim/images/exposure_25_5.png,./stim/text/text-1.png,./stim/images/exposure_90_5.png,4,0,0,./stim/audio/control_probably1_s1.mp3
1,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,1,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_2.png,4,0,1,./stim/audio/control_bare_s1.mp3
0,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,1,./stim/images/exposure_60_5.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,0,0,./stim/audio/control_bare_s1.mp3
0,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_5.png,might,0.49,./stim/images/prob_100_1.png,./stim/text/text-2.png,./stim/images/exposure_40_5.png,4,0,0,./stim/audio/control_might2_s1.mp3
1,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_7.png,probably,1,./stim/images/exposure_90_7.png,./stim/text/text-1.png,./stim/images/exposure_25_7.png,4,0,0,./stim/audio/control_probably1_s1.mp3
0,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,1,./stim/images/exposure_60_7.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,0,0,./stim/audio/control_bare_s1.mp3
1,a window seat (red),You might get one.,control,./stim/images/exposure_60_2.png,might,0.47,./stim/images/exposure_60_2.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,0,1,./stim/audio/control_might1_s1.mp3
1,an aisle seat (blue),You'll probably get one.,control,./stim/images/exposure_10_7.png,probably,1,./stim/images/exposure_10_7.png,./stim/text/text-2.png,./stim/images/exposure_75_7.png,4,0,0,./stim/audio/control_probably2_s1.mp3
1,an aisle seat (blue),You'll probably get one.,control,./stim/images/exposure_10_7.png,probably,1,./stim/images/exposure_10_7.png,./stim/text/text-2.png,./stim/images/exposure_75_7.png,4,0,0,./stim/audio/control_probably2_s1.mp3
0,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_9.png,probably,1,./stim/images/exposure_25_9.png,./stim/text/text-1.png,./stim/images/exposure_90_9.png,4,1,1,./stim/audio/control_probably1_s1.mp3
1,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_9.png,might,0.63,./stim/images/exposure_40_9.png,./stim/text/text-2.png,./stim/images/prob_100_1.png,4,1,1,./stim/audio/control_might2_s1.mp3
1,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_7.png,might,0.64,./stim/images/exposure_40_7.png,./stim/text/text-2.png,./stim/images/prob_100_1.png,4,1,0,./stim/audio/control_might2_s1.mp3
0,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_5.png,might,0.47,./stim/images/prob_100_1.png,./stim/text/text-2.png,./stim/images/exposure_40_5.png,4,1,0,./stim/audio/control_might2_s1.mp3
1,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_5.png,probably,0.99,./stim/images/exposure_90_5.png,./stim/text/text-1.png,./stim/images/exposure_25_5.png,4,1,0,./stim/audio/control_probably1_s1.mp3
0,a window seat (red),You might get one.,control,./stim/images/exposure_60_9.png,might,0.75,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_9.png,4,1,1,./stim/audio/control_might1_s1.mp3
1,an aisle seat (blue),You'll probably get one.,control,./stim/images/exposure_10_9.png,probably,0.9,./stim/images/exposure_10_9.png,./stim/text/text-2.png,./stim/images/exposure_75_9.png,4,1,1,./stim/audio/control_probably2_s1.mp3
