image,sentence1,percent_window,Answer.condition,type,sentence2,workerid,rating1,modal1,reverse_sent_order,rating_other,modal2,rating2,condition,Answer.time_in_minutes
./stim/images/prob_40_3.png,You'll probably get one.,40,undefined,window_1,You might get one.,0,0.87,probably,1,0,might,0.13,1,6.78725
./stim/images/prob_60_5.png,You'll probably get one.,60,undefined,aisle_1,You might get one.,0,0,probably,1,0,might,1,1,6.78725
./stim/images/prob_50_3.png,You'll probably get one.,50,undefined,window_1,You might get one.,0,0,probably,1,0,might,1,1,6.78725
./stim/images/prob_25_4.png,You'll probably get one.,25,undefined,window_1,You might get one.,0,0,probably,1,0,might,1,1,6.78725
./stim/images/prob_0_3.png,You'll probably get one.,0,undefined,window_1,You might get one.,0,0,probably,1,1,might,0,1,6.78725
./stim/images/prob_50_2.png,You'll probably get one.,50,undefined,aisle_1,You might get one.,0,0,probably,1,0,might,1,1,6.78725
./stim/images/prob_75_1.png,You'll probably get one.,75,undefined,window_1,You might get one.,0,1,probably,1,0,might,0,1,6.78725
./stim/images/prob_25_5.png,You'll probably get one.,25,undefined,aisle_1,You might get one.,0,1,probably,1,0,might,0,1,6.78725
./stim/images/prob_25_4.png,You'll probably get one.,25,undefined,window_1,You might get one.,0,0,probably,1,0,might,1,1,6.78725
./stim/images/prob_40_3.png,You'll probably get one.,40,undefined,aisle_1,You might get one.,0,1,probably,1,0,might,0,1,6.78725
./stim/images/prob_60_2.png,You'll probably get one.,60,undefined,window_1,You might get one.,0,1,probably,1,0,might,0,1,6.78725
./stim/images/prob_100_4.png,You'll probably get one.,100,undefined,aisle_1,You might get one.,0,0,probably,1,1,might,0,1,6.78725
./stim/images/prob_10_2.png,You'll probably get one.,10,undefined,aisle_1,You might get one.,0,1,probably,1,0,might,0,1,6.78725
./stim/images/prob_90_2.png,You'll probably get one.,90,undefined,window_1,You might get one.,0,1,probably,1,0,might,0,1,6.78725
./stim/images/prob_90_3.png,You'll probably get one.,90,undefined,aisle_1,You might get one.,0,0,probably,1,0,might,1,1,6.78725
./stim/images/prob_75_5.png,You'll probably get one.,75,undefined,aisle_1,You might get one.,0,0,probably,1,0,might,1,1,6.78725
./stim/images/prob_10_2.png,You'll probably get one.,10,undefined,aisle_1,You might get one.,0,1,probably,1,0,might,0,1,6.78725
./stim/images/prob_0_5.png,You'll probably get one.,0,undefined,aisle_1,You might get one.,0,0,probably,1,1,might,0,1,6.78725
./stim/images/prob_10_2.png,You'll probably get one.,10,undefined,window_1,You might get one.,0,0,probably,1,0,might,1,1,6.78725
./stim/images/prob_100_2.png,You'll probably get one.,100,undefined,window_1,You might get one.,0,0,probably,1,1,might,0,1,6.78725
./stim/images/prob_60_1.png,You'll probably get one.,60,undefined,window_1,You might get one.,0,1,probably,1,0,might,0,1,6.78725
./stim/images/prob_50_1.png,You'll probably get one.,50,undefined,window_1,You might get one.,0,0,probably,1,0,might,1,1,6.78725
./stim/images/prob_60_4.png,You'll probably get one.,60,undefined,aisle_1,You might get one.,0,0,probably,1,0,might,1,1,6.78725
./stim/images/prob_40_3.png,You'll probably get one.,40,undefined,aisle_1,You might get one.,0,0,probably,1,0,might,1,1,6.78725
./stim/images/prob_75_2.png,You'll probably get one.,75,undefined,aisle_1,You might get one.,0,0,probably,1,0,might,1,1,6.78725
./stim/images/prob_10_4.png,You'll probably get one.,10,undefined,window_1,You might get one.,0,0,probably,1,0,might,1,1,6.78725
./stim/images/prob_10_4.png,You'll probably get one.,10,undefined,window_1,You might get one.,0,0,probably,1,0,might,1,1,6.78725
./stim/images/prob_90_1.png,You'll probably get one.,90,undefined,window_1,You might get one.,0,1,probably,1,0,might,0,1,6.78725
./stim/images/prob_100_1.png,You'll probably get one.,100,undefined,aisle_1,You might get one.,0,0,probably,1,1,might,0,1,6.78725
./stim/images/prob_90_5.png,You'll probably get one.,90,undefined,aisle_1,You might get one.,0,0,probably,1,0,might,1,1,6.78725
./stim/images/prob_25_3.png,You'll probably get one.,25,undefined,aisle_1,You might get one.,0,1,probably,1,0,might,0,1,6.78725
./stim/images/prob_50_4.png,You'll probably get one.,50,undefined,aisle_1,You might get one.,0,0,probably,1,0,might,1,1,6.78725
./stim/images/prob_75_3.png,You'll probably get one.,75,undefined,window_1,You might get one.,0,1,probably,1,0,might,0,1,6.78725
./stim/images/prob_0_5.png,You'll probably get one.,0,undefined,aisle_1,You might get one.,0,0,probably,1,1,might,0,1,6.78725
./stim/images/prob_40_3.png,You'll probably get one.,40,undefined,window_1,You might get one.,0,0,probably,1,0,might,1,1,6.78725
./stim/images/prob_0_2.png,You'll probably get one.,0,undefined,window_1,You might get one.,0,0,probably,1,1,might,0,1,6.78725
