image,percent_window,condition,rating2,workerid,modal1,modal2,Answer.time_in_minutes,sentence2,rating_other,rating1,sentence1,Answer.condition,reverse_sent_order,type
./stim/images/prob_100_3.png,100,3,0.11,0,probably,might,16.581466666666667,You might get one.,0,0.89,You'll probably get one.,undefined,0,aisle_3
./stim/images/prob_60_2.png,60,3,1,0,probably,might,16.581466666666667,You might get one.,0,0,You'll probably get one.,undefined,0,aisle_3
./stim/images/prob_90_1.png,90,3,0.31000000000000005,0,probably,might,16.581466666666667,You might get one.,0,0.69,You'll probably get one.,undefined,0,window_3
./stim/images/prob_60_5.png,60,3,0.93,0,probably,might,16.581466666666667,You might get one.,0.06999999999999984,0,You'll probably get one.,undefined,0,window_3
./stim/images/prob_10_5.png,10,3,0.22999999999999998,0,probably,might,16.581466666666667,You might get one.,0,0.77,You'll probably get one.,undefined,0,aisle_3
./stim/images/prob_90_1.png,90,3,0.47,0,probably,might,16.581466666666667,You might get one.,0.53,0,You'll probably get one.,undefined,0,aisle_3
./stim/images/prob_50_5.png,50,3,1,0,probably,might,16.581466666666667,You might get one.,0,0,You'll probably get one.,undefined,0,aisle_3
./stim/images/prob_60_5.png,60,3,1,0,probably,might,16.581466666666667,You might get one.,0,0,You'll probably get one.,undefined,0,window_3
./stim/images/prob_75_1.png,75,3,1,0,probably,might,16.581466666666667,You might get one.,0,0,You'll probably get one.,undefined,0,aisle_3
./stim/images/prob_60_1.png,60,3,1,0,probably,might,16.581466666666667,You might get one.,0,0,You'll probably get one.,undefined,0,aisle_3
./stim/images/prob_50_3.png,50,3,1,0,probably,might,16.581466666666667,You might get one.,0,0,You'll probably get one.,undefined,0,aisle_3
./stim/images/prob_0_5.png,0,3,0,0,probably,might,16.581466666666667,You might get one.,1,0,You'll probably get one.,undefined,0,window_3
./stim/images/prob_25_5.png,25,3,1,0,probably,might,16.581466666666667,You might get one.,0,0,You'll probably get one.,undefined,0,window_3
./stim/images/prob_40_3.png,40,3,1,0,probably,might,16.581466666666667,You might get one.,0,0,You'll probably get one.,undefined,0,window_3
./stim/images/prob_90_4.png,90,3,1,0,probably,might,16.581466666666667,You might get one.,0,0,You'll probably get one.,undefined,0,aisle_3
./stim/images/prob_25_1.png,25,3,0.24,0,probably,might,16.581466666666667,You might get one.,0,0.76,You'll probably get one.,undefined,0,aisle_3
./stim/images/prob_0_1.png,0,3,0.1,0,probably,might,16.581466666666667,You might get one.,0.73,0.17,You'll probably get one.,undefined,0,aisle_3
./stim/images/prob_10_4.png,10,3,0,0,probably,might,16.581466666666667,You might get one.,0,1,You'll probably get one.,undefined,0,aisle_3
./stim/images/prob_0_5.png,0,3,0,0,probably,might,16.581466666666667,You might get one.,1,0,You'll probably get one.,undefined,0,window_3
./stim/images/prob_10_4.png,10,3,1,0,probably,might,16.581466666666667,You might get one.,0,0,You'll probably get one.,undefined,0,window_3
./stim/images/prob_75_3.png,75,3,0.65,0,probably,might,16.581466666666667,You might get one.,0.010000000000000009,0.34,You'll probably get one.,undefined,0,window_3
./stim/images/prob_100_3.png,100,3,0,0,probably,might,16.581466666666667,You might get one.,1,0,You'll probably get one.,undefined,0,window_3
./stim/images/prob_0_2.png,0,3,0,0,probably,might,16.581466666666667,You might get one.,1,0,You'll probably get one.,undefined,0,aisle_3
./stim/images/prob_100_2.png,100,3,0,0,probably,might,16.581466666666667,You might get one.,1,0,You'll probably get one.,undefined,0,window_3
./stim/images/prob_25_1.png,25,3,0.31999999999999984,0,probably,might,16.581466666666667,You might get one.,0,0.68,You'll probably get one.,undefined,0,aisle_3
./stim/images/prob_75_2.png,75,3,1,0,probably,might,16.581466666666667,You might get one.,0,0,You'll probably get one.,undefined,0,aisle_3
./stim/images/prob_10_2.png,10,3,1,0,probably,might,16.581466666666667,You might get one.,0,0,You'll probably get one.,undefined,0,window_3
./stim/images/prob_90_3.png,90,3,0.15999999999999992,0,probably,might,16.581466666666667,You might get one.,0,0.84,You'll probably get one.,undefined,0,window_3
./stim/images/prob_75_5.png,75,3,1,0,probably,might,16.581466666666667,You might get one.,0,0,You'll probably get one.,undefined,0,window_3
./stim/images/prob_100_2.png,100,3,0,0,probably,might,16.581466666666667,You might get one.,1,0,You'll probably get one.,undefined,0,aisle_3
./stim/images/prob_40_5.png,40,3,0.4099999999999999,0,probably,might,16.581466666666667,You might get one.,1.1102230246251565e-16,0.59,You'll probably get one.,undefined,0,aisle_3
./stim/images/prob_50_2.png,50,3,1,0,probably,might,16.581466666666667,You might get one.,0,0,You'll probably get one.,undefined,0,window_3
./stim/images/prob_40_5.png,40,3,0.33999999999999986,0,probably,might,16.581466666666667,You might get one.,0,0.66,You'll probably get one.,undefined,0,aisle_3
./stim/images/prob_25_3.png,25,3,1,0,probably,might,16.581466666666667,You might get one.,0,0,You'll probably get one.,undefined,0,window_3
./stim/images/prob_50_3.png,50,3,1,0,probably,might,16.581466666666667,You might get one.,0,0,You'll probably get one.,undefined,0,window_3
./stim/images/prob_40_1.png,40,3,0.61,0,probably,might,16.581466666666667,You might get one.,0.11,0.27,You'll probably get one.,undefined,0,window_3
