modal1,sentence2,sentence1,Answer.condition,rating2,condition,image,type,rating_other,percent_window,modal2,reverse_sent_order,workerid,Answer.time_in_minutes,rating1
probably,You might get one.,You'll probably get one.,undefined,0,3,./stim/images/prob_100_3.png,aisle_3,1,100,might,0,0,10.5068,0
probably,You might get one.,You'll probably get one.,undefined,0.69,3,./stim/images/prob_90_1.png,aisle_3,0.16999999999999993,90,might,0,0,10.5068,0.14
probably,You might get one.,You'll probably get one.,undefined,0.49,3,./stim/images/prob_60_2.png,aisle_3,0.18999999999999995,60,might,0,0,10.5068,0.32
probably,You might get one.,You'll probably get one.,undefined,0,3,./stim/images/prob_90_4.png,window_3,0,90,might,0,0,10.5068,1
probably,You might get one.,You'll probably get one.,undefined,0.78,3,./stim/images/prob_50_2.png,aisle_3,0,50,might,0,0,10.5068,0.21999999999999997
probably,You might get one.,You'll probably get one.,undefined,0.18999999999999995,3,./stim/images/prob_10_2.png,aisle_3,0,10,might,0,0,10.5068,0.81
probably,You might get one.,You'll probably get one.,undefined,0,3,./stim/images/prob_100_5.png,window_3,0,100,might,0,0,10.5068,1
probably,You might get one.,You'll probably get one.,undefined,0.72,3,./stim/images/prob_25_5.png,window_3,0,25,might,0,0,10.5068,0.28000000000000014
probably,You might get one.,You'll probably get one.,undefined,0.5999999999999999,3,./stim/images/prob_50_2.png,window_3,0,50,might,0,0,10.5068,0.4
probably,You might get one.,You'll probably get one.,undefined,0.6100000000000001,3,./stim/images/prob_40_5.png,aisle_3,0,40,might,0,0,10.5068,0.39
probably,You might get one.,You'll probably get one.,undefined,0.58,3,./stim/images/prob_25_2.png,window_3,0.28,25,might,0,0,10.5068,0.14
probably,You might get one.,You'll probably get one.,undefined,0,3,./stim/images/prob_100_5.png,aisle_3,1,100,might,0,0,10.5068,0
probably,You might get one.,You'll probably get one.,undefined,0.66,3,./stim/images/prob_40_5.png,window_3,0,40,might,0,0,10.5068,0.33999999999999986
probably,You might get one.,You'll probably get one.,undefined,0,3,./stim/images/prob_0_2.png,aisle_3,0,0,might,0,0,10.5068,1
probably,You might get one.,You'll probably get one.,undefined,0,3,./stim/images/prob_0_1.png,aisle_3,0,0,might,0,0,10.5068,1
probably,You might get one.,You'll probably get one.,undefined,0,3,./stim/images/prob_0_1.png,window_3,1,0,might,0,0,10.5068,0
probably,You might get one.,You'll probably get one.,undefined,0.71,3,./stim/images/prob_50_3.png,window_3,0,50,might,0,0,10.5068,0.29000000000000004
probably,You might get one.,You'll probably get one.,undefined,0.75,3,./stim/images/prob_75_1.png,aisle_3,0,75,might,0,0,10.5068,0.25
probably,You might get one.,You'll probably get one.,undefined,0.75,3,./stim/images/prob_10_1.png,window_3,0.25,10,might,0,0,10.5068,0
probably,You might get one.,You'll probably get one.,undefined,0.18999999999999995,3,./stim/images/prob_75_2.png,window_3,0,75,might,0,0,10.5068,0.81
probably,You might get one.,You'll probably get one.,undefined,0.87,3,./stim/images/prob_90_3.png,aisle_3,0.13000000000000012,90,might,0,0,10.5068,0
probably,You might get one.,You'll probably get one.,undefined,0.69,3,./stim/images/prob_40_4.png,window_3,0.31000000000000016,40,might,0,0,10.5068,0
probably,You might get one.,You'll probably get one.,undefined,0.6799999999999999,3,./stim/images/prob_60_5.png,window_3,0,60,might,0,0,10.5068,0.32
probably,You might get one.,You'll probably get one.,undefined,0.2799999999999999,3,./stim/images/prob_25_4.png,aisle_3,0,25,might,0,0,10.5068,0.72
probably,You might get one.,You'll probably get one.,undefined,0.26,3,./stim/images/prob_60_4.png,window_3,0,60,might,0,0,10.5068,0.74
probably,You might get one.,You'll probably get one.,undefined,0,3,./stim/images/prob_0_4.png,window_3,1,0,might,0,0,10.5068,0
probably,You might get one.,You'll probably get one.,undefined,0.79,3,./stim/images/prob_50_2.png,aisle_3,0.21000000000000008,50,might,0,0,10.5068,0
probably,You might get one.,You'll probably get one.,undefined,0.82,3,./stim/images/prob_10_2.png,window_3,0.18000000000000005,10,might,0,0,10.5068,0
probably,You might get one.,You'll probably get one.,undefined,0.18000000000000016,3,./stim/images/prob_75_3.png,window_3,0,75,might,0,0,10.5068,0.82
probably,You might get one.,You'll probably get one.,undefined,0.10999999999999988,3,./stim/images/prob_90_3.png,window_3,0,90,might,0,0,10.5068,0.89
probably,You might get one.,You'll probably get one.,undefined,0.13,3,./stim/images/prob_10_2.png,aisle_3,0,10,might,0,0,10.5068,0.87
probably,You might get one.,You'll probably get one.,undefined,0.2599999999999999,3,./stim/images/prob_40_3.png,aisle_3,0,40,might,0,0,10.5068,0.74
probably,You might get one.,You'll probably get one.,undefined,0.73,3,./stim/images/prob_60_4.png,aisle_3,0.27,60,might,0,0,10.5068,0
probably,You might get one.,You'll probably get one.,undefined,0,3,./stim/images/prob_100_1.png,window_3,0,100,might,0,0,10.5068,1
probably,You might get one.,You'll probably get one.,undefined,0.63,3,./stim/images/prob_75_3.png,aisle_3,0.37,75,might,0,0,10.5068,0
probably,You might get one.,You'll probably get one.,undefined,0.27,3,./stim/images/prob_25_1.png,aisle_3,0,25,might,0,0,10.5068,0.73
