Answer.condition,modal2,rating2,sentence2,percent_window,rating_other,modal1,sentence1,image,workerid,reverse_sent_order,rating1,condition,Answer.time_in_minutes,type
undefined,,0.05,,,,,,,0,,0.9299999999999999,happy,6.912266666666667,test
undefined,might,0.06999999999999995,You might get an aisle seat,10,0,probably,You'll probably get an aisle seat,./stim/images/prob_10_1.png,0,0,0.93,,6.912266666666667,aislehappy
undefined,might,0.060000000000000164,You might get a window seat,90,0,probably,You'll probably get a window seat,./stim/images/prob_90_4.png,0,0,0.94,,6.912266666666667,window_happy
undefined,might,0.45999999999999996,You might get a window seat,10,0,probably,You'll probably get a window seat,./stim/images/prob_10_5.png,0,0,0.54,,6.912266666666667,window_happy
undefined,might,0.1399999999999999,You might get a window seat,25,0,probably,You'll probably get a window seat,./stim/images/prob_25_4.png,0,0,0.86,,6.912266666666667,window_happy
undefined,might,0,You might get a window seat,0,1,probably,You'll probably get a window seat,./stim/images/prob_0_4.png,0,0,0,,6.912266666666667,window_happy
undefined,might,0.3799999999999999,You might get an aisle seat,75,0,probably,You'll probably get an aisle seat,./stim/images/prob_75_2.png,0,0,0.62,,6.912266666666667,aislehappy
undefined,might,0.42000000000000004,You might get an aisle seat,75,0,probably,You'll probably get an aisle seat,./stim/images/prob_75_5.png,0,0,0.58,,6.912266666666667,aislehappy
undefined,might,0,You might get a window seat,100,0,probably,You'll probably get a window seat,./stim/images/prob_100_5.png,0,0,1,,6.912266666666667,window_happy
undefined,might,0.28,You might get a window seat,40,0,probably,You'll probably get a window seat,./stim/images/prob_40_4.png,0,0,0.72,,6.912266666666667,window_happy
undefined,might,0.45000000000000007,You might get an aisle seat,60,0,probably,You'll probably get an aisle seat,./stim/images/prob_60_4.png,0,0,0.55,,6.912266666666667,aislehappy
undefined,might,0.6699999999999999,You might get an aisle seat,90,0,probably,You'll probably get an aisle seat,./stim/images/prob_90_3.png,0,0,0.33,,6.912266666666667,aislehappy
undefined,might,0,You might get a window seat,75,0,probably,You'll probably get a window seat,./stim/images/prob_75_2.png,0,0,1,,6.912266666666667,window_happy
undefined,might,0,You might get an aisle seat,100,1,probably,You'll probably get an aisle seat,./stim/images/prob_100_4.png,0,0,0,,6.912266666666667,aislehappy
undefined,might,0,You might get an aisle seat,40,0,probably,You'll probably get an aisle seat,./stim/images/prob_40_4.png,0,0,1,,6.912266666666667,aislehappy
undefined,might,0,You might get an aisle seat,25,0,probably,You'll probably get an aisle seat,./stim/images/prob_25_2.png,0,0,1,,6.912266666666667,aislehappy
undefined,might,0,You might get a window seat,50,0,probably,You'll probably get a window seat,./stim/images/prob_50_2.png,0,0,1,,6.912266666666667,window_happy
undefined,might,0.72,You might get an aisle seat,90,0,probably,You'll probably get an aisle seat,./stim/images/prob_90_2.png,0,0,0.2799999999999999,,6.912266666666667,aislehappy
undefined,might,0,You might get a window seat,50,0,probably,You'll probably get a window seat,./stim/images/prob_50_2.png,0,0,1,,6.912266666666667,window_happy
undefined,might,0,You might get a window seat,90,0,probably,You'll probably get a window seat,./stim/images/prob_90_4.png,0,0,1,,6.912266666666667,window_happy
undefined,might,0.30000000000000016,You might get an aisle seat,50,0,probably,You'll probably get an aisle seat,./stim/images/prob_50_5.png,0,0,0.7,,6.912266666666667,aislehappy
undefined,might,0.4999999999999999,You might get a window seat,25,0,probably,You'll probably get a window seat,./stim/images/prob_25_5.png,0,0,0.5,,6.912266666666667,window_happy
undefined,might,0.26,You might get a window seat,40,0,probably,You'll probably get a window seat,./stim/images/prob_40_4.png,0,0,0.74,,6.912266666666667,window_happy
undefined,might,0,You might get a window seat,60,0,probably,You'll probably get a window seat,./stim/images/prob_60_4.png,0,0,1,,6.912266666666667,window_happy
undefined,might,0,You might get an aisle seat,10,0,probably,You'll probably get an aisle seat,./stim/images/prob_10_3.png,0,0,1,,6.912266666666667,aislehappy
undefined,might,0.61,You might get a window seat,10,0.09000000000000008,probably,You'll probably get a window seat,./stim/images/prob_10_4.png,0,0,0.3,,6.912266666666667,window_happy
