reverse_sent_order,type,Answer.time_in_minutes,sentence1,workerid,percent_window,Answer.condition,rating2,modal1,rating_other,image,modal2,sentence2,condition,rating1
,test,9.3171,,0,,undefined,0.8500000000000001,,,,,,angry,0.15
1,window_angry,9.3171,You'll probably get a window seat,0,0,undefined,0.75,probably,0,./stim/images/prob_0_1.png,might,You might get a window seat,,0.2499999999999999
1,aisleangry,9.3171,You'll probably get an aisle seat,0,90,undefined,0.83,probably,0,./stim/images/prob_90_3.png,might,You might get an aisle seat,,0.16999999999999993
1,aisleangry,9.3171,You'll probably get an aisle seat,0,60,undefined,0.5,probably,0,./stim/images/prob_60_3.png,might,You might get an aisle seat,,0.5
1,window_angry,9.3171,You'll probably get a window seat,0,100,undefined,0.09,probably,0,./stim/images/prob_100_4.png,might,You might get a window seat,,0.9099999999999999
1,aisleangry,9.3171,You'll probably get an aisle seat,0,75,undefined,0.61,probably,0,./stim/images/prob_75_1.png,might,You might get an aisle seat,,0.3900000000000001
1,aisleangry,9.3171,You'll probably get an aisle seat,0,10,undefined,0.25,probably,0,./stim/images/prob_10_3.png,might,You might get an aisle seat,,0.7500000000000001
1,window_angry,9.3171,You'll probably get a window seat,0,0,undefined,0,probably,1,./stim/images/prob_0_5.png,might,You might get a window seat,,0
1,aisleangry,9.3171,You'll probably get an aisle seat,0,75,undefined,0.75,probably,0,./stim/images/prob_75_5.png,might,You might get an aisle seat,,0.2499999999999999
1,window_angry,9.3171,You'll probably get a window seat,0,75,undefined,0.22,probably,0,./stim/images/prob_75_1.png,might,You might get a window seat,,0.7799999999999999
1,window_angry,9.3171,You'll probably get a window seat,0,50,undefined,0.31,probably,0,./stim/images/prob_50_1.png,might,You might get a window seat,,0.69
1,aisleangry,9.3171,You'll probably get an aisle seat,0,40,undefined,0.48,probably,0,./stim/images/prob_40_3.png,might,You might get an aisle seat,,0.52
1,window_angry,9.3171,You'll probably get a window seat,0,25,undefined,0.82,probably,0,./stim/images/prob_25_3.png,might,You might get a window seat,,0.18000000000000016
1,window_angry,9.3171,You'll probably get a window seat,0,40,undefined,0.56,probably,0,./stim/images/prob_40_1.png,might,You might get a window seat,,0.44000000000000006
1,window_angry,9.3171,You'll probably get a window seat,0,50,undefined,0.55,probably,0,./stim/images/prob_50_5.png,might,You might get a window seat,,0.44999999999999996
1,aisleangry,9.3171,You'll probably get an aisle seat,0,100,undefined,0,probably,1,./stim/images/prob_100_1.png,might,You might get an aisle seat,,0
1,aisleangry,9.3171,You'll probably get an aisle seat,0,0,undefined,0,probably,0,./stim/images/prob_0_2.png,might,You might get an aisle seat,,1
1,aisleangry,9.3171,You'll probably get an aisle seat,0,40,undefined,0.56,probably,0,./stim/images/prob_40_4.png,might,You might get an aisle seat,,0.43999999999999995
1,window_angry,9.3171,You'll probably get a window seat,0,10,undefined,0.78,probably,0,./stim/images/prob_10_4.png,might,You might get a window seat,,0.21999999999999997
1,window_angry,9.3171,You'll probably get a window seat,0,25,undefined,0.94,probably,0,./stim/images/prob_25_3.png,might,You might get a window seat,,0.06000000000000005
1,window_angry,9.3171,You'll probably get a window seat,0,10,undefined,0.94,probably,0,./stim/images/prob_10_4.png,might,You might get a window seat,,0.05999999999999994
1,aisleangry,9.3171,You'll probably get an aisle seat,0,0,undefined,0,probably,0,./stim/images/prob_0_2.png,might,You might get an aisle seat,,1
1,window_angry,9.3171,You'll probably get a window seat,0,40,undefined,0.54,probably,0,./stim/images/prob_40_5.png,might,You might get a window seat,,0.45999999999999985
1,aisleangry,9.3171,You'll probably get an aisle seat,0,100,undefined,0,probably,1,./stim/images/prob_100_2.png,might,You might get an aisle seat,,0
1,window_angry,9.3171,You'll probably get a window seat,0,60,undefined,0.63,probably,0,./stim/images/prob_60_4.png,might,You might get a window seat,,0.3699999999999999
1,aisleangry,9.3171,You'll probably get an aisle seat,0,25,undefined,0,probably,0,./stim/images/prob_25_1.png,might,You might get an aisle seat,,1
1,aisleangry,9.3171,You'll probably get an aisle seat,0,90,undefined,0.86,probably,0,./stim/images/prob_90_1.png,might,You might get an aisle seat,,0.1399999999999999
1,window_angry,9.3171,You'll probably get a window seat,0,100,undefined,0,probably,0,./stim/images/prob_100_1.png,might,You might get a window seat,,1
