Answer.condition,workerid,percent_window,Answer.time_in_minutes,sentence2,image,modal1,rating_other,type,reverse_sent_order,sentence1,rating1,rating2,modal2
undefined,0,0,5.693766666666667,You might get a window seat,./stim/images/prob_0_1.png,probably,0.30000000000000004,window_normal,1,You'll probably get a window seat,0.27,0.43,might
undefined,0,100,5.693766666666667,You might get an aisle seat,./stim/images/prob_100_3.png,probably,0.10999999999999999,aislenormal,1,You'll probably get an aisle seat,0.36,0.53,might
undefined,0,90,5.693766666666667,You might get a window seat,./stim/images/prob_90_4.png,probably,0,window_normal,1,You'll probably get a window seat,0.19999999999999996,0.8,might
undefined,0,0,5.693766666666667,You might get an aisle seat,./stim/images/prob_0_5.png,probably,0,aislenormal,1,You'll probably get an aisle seat,1.1102230246251565e-16,1,might
undefined,0,40,5.693766666666667,You might get an aisle seat,./stim/images/prob_40_1.png,probably,0,aislenormal,1,You'll probably get an aisle seat,0.61,0.39,might
undefined,0,60,5.693766666666667,You might get a window seat,./stim/images/prob_60_1.png,probably,0.16999999999999993,window_normal,1,You'll probably get a window seat,0.52,0.31,might
undefined,0,25,5.693766666666667,You might get a window seat,./stim/images/prob_25_5.png,probably,0,window_normal,1,You'll probably get a window seat,0.73,0.27,might
undefined,0,40,5.693766666666667,You might get a window seat,./stim/images/prob_40_4.png,probably,0,window_normal,1,You'll probably get a window seat,0.77,0.23,might
undefined,0,0,5.693766666666667,You might get an aisle seat,./stim/images/prob_0_5.png,probably,2.220446049250313e-16,aislenormal,1,You'll probably get an aisle seat,0.6099999999999999,0.39,might
undefined,0,90,5.693766666666667,You might get an aisle seat,./stim/images/prob_90_1.png,probably,0,aislenormal,1,You'll probably get an aisle seat,0.25,0.75,might
undefined,0,10,5.693766666666667,You might get a window seat,./stim/images/prob_10_1.png,probably,0,window_normal,1,You'll probably get a window seat,0.8599999999999999,0.14,might
undefined,0,10,5.693766666666667,You might get an aisle seat,./stim/images/prob_10_3.png,probably,0,aislenormal,1,You'll probably get an aisle seat,0.82,0.17999999999999994,might
undefined,0,60,5.693766666666667,You might get an aisle seat,./stim/images/prob_60_3.png,probably,0,aislenormal,1,You'll probably get an aisle seat,0.22,0.78,might
undefined,0,10,5.693766666666667,You might get an aisle seat,./stim/images/prob_10_4.png,probably,0,aislenormal,1,You'll probably get an aisle seat,0.9299999999999999,0.07,might
undefined,0,60,5.693766666666667,You might get a window seat,./stim/images/prob_60_3.png,probably,0,window_normal,1,You'll probably get a window seat,0.35,0.64,might
undefined,0,100,5.693766666666667,You might get a window seat,./stim/images/prob_100_3.png,probably,0,window_normal,1,You'll probably get a window seat,0,1,might
undefined,0,10,5.693766666666667,You might get a window seat,./stim/images/prob_10_5.png,probably,0,window_normal,1,You'll probably get a window seat,0.8799999999999999,0.12,might
undefined,0,90,5.693766666666667,You might get a window seat,./stim/images/prob_90_3.png,probably,0,window_normal,1,You'll probably get a window seat,0.19999999999999996,0.8000000000000002,might
undefined,0,75,5.693766666666667,You might get a window seat,./stim/images/prob_75_2.png,probably,0,window_normal,1,You'll probably get a window seat,0.33000000000000007,0.67,might
undefined,0,75,5.693766666666667,You might get an aisle seat,./stim/images/prob_75_5.png,probably,0,aislenormal,1,You'll probably get an aisle seat,0.38,0.62,might
undefined,0,50,5.693766666666667,You might get an aisle seat,./stim/images/prob_50_3.png,probably,0,aislenormal,1,You'll probably get an aisle seat,0.54,0.46,might
undefined,0,50,5.693766666666667,You might get an aisle seat,./stim/images/prob_50_3.png,probably,0,aislenormal,1,You'll probably get an aisle seat,0.5099999999999999,0.49,might
undefined,0,75,5.693766666666667,You might get an aisle seat,./stim/images/prob_75_1.png,probably,0,aislenormal,1,You'll probably get an aisle seat,0.32999999999999985,0.67,might
undefined,0,25,5.693766666666667,You might get a window seat,./stim/images/prob_25_5.png,probably,0,window_normal,1,You'll probably get a window seat,0.6900000000000001,0.31,might
undefined,0,75,5.693766666666667,You might get a window seat,./stim/images/prob_75_2.png,probably,0,window_normal,1,You'll probably get a window seat,0.23999999999999988,0.76,might
undefined,0,0,5.693766666666667,You might get a window seat,./stim/images/prob_0_2.png,probably,0,window_normal,1,You'll probably get a window seat,1,0,might
undefined,0,100,5.693766666666667,You might get a window seat,./stim/images/prob_100_2.png,probably,0,window_normal,1,You'll probably get a window seat,0,1,might
undefined,0,50,5.693766666666667,You might get a window seat,./stim/images/prob_50_1.png,probably,0,window_normal,1,You'll probably get a window seat,0.19999999999999984,0.8,might
undefined,0,40,5.693766666666667,You might get a window seat,./stim/images/prob_40_1.png,probably,0,window_normal,1,You'll probably get a window seat,0.6400000000000001,0.36,might
undefined,0,50,5.693766666666667,You might get a window seat,./stim/images/prob_50_4.png,probably,0,window_normal,1,You'll probably get a window seat,0.7,0.30000000000000016,might
undefined,0,25,5.693766666666667,You might get an aisle seat,./stim/images/prob_25_1.png,probably,0,aislenormal,1,You'll probably get an aisle seat,0.75,0.2500000000000001,might
undefined,0,40,5.693766666666667,You might get an aisle seat,./stim/images/prob_40_4.png,probably,0,aislenormal,1,You'll probably get an aisle seat,0.5899999999999999,0.41000000000000014,might
undefined,0,100,5.693766666666667,You might get an aisle seat,./stim/images/prob_100_1.png,probably,0,aislenormal,1,You'll probably get an aisle seat,0,1,might
undefined,0,90,5.693766666666667,You might get an aisle seat,./stim/images/prob_90_4.png,probably,0,aislenormal,1,You'll probably get an aisle seat,0.09999999999999998,0.9,might
undefined,0,25,5.693766666666667,You might get an aisle seat,./stim/images/prob_25_4.png,probably,0,aislenormal,1,You'll probably get an aisle seat,0.78,0.21999999999999997,might
