percent_window,Answer.condition,sentence2,rating_other,rating2,workerid,reverse_sent_order,Answer.time_in_minutes,type,modal1,rating1,image,sentence1,condition,modal2
40,undefined,You might get one.,0.14,0.28,0,0,11.580083333333333,window_3,probably,0.58,./stim/images/prob_40_2.png,You'll probably get one.,3,might
60,undefined,You might get one.,0.18999999999999995,0.22,0,0,11.580083333333333,window_3,probably,0.59,./stim/images/prob_60_4.png,You'll probably get one.,3,might
75,undefined,You might get one.,0.14,0.55,0,0,11.580083333333333,aisle_3,probably,0.31000000000000005,./stim/images/prob_75_1.png,You'll probably get one.,3,might
25,undefined,You might get one.,0.04,0.13,0,0,11.580083333333333,aisle_3,probably,0.8300000000000001,./stim/images/prob_25_4.png,You'll probably get one.,3,might
60,undefined,You might get one.,0.06,0.71,0,0,11.580083333333333,aisle_3,probably,0.22999999999999987,./stim/images/prob_60_1.png,You'll probably get one.,3,might
10,undefined,You might get one.,0.27000000000000013,0.67,0,0,11.580083333333333,window_3,probably,0.06,./stim/images/prob_10_4.png,You'll probably get one.,3,might
40,undefined,You might get one.,0.32000000000000006,0.35,0,0,11.580083333333333,aisle_3,probably,0.33,./stim/images/prob_40_4.png,You'll probably get one.,3,might
50,undefined,You might get one.,0.31,0.45000000000000007,0,0,11.580083333333333,aisle_3,probably,0.24,./stim/images/prob_50_2.png,You'll probably get one.,3,might
50,undefined,You might get one.,0.27,0.56,0,0,11.580083333333333,aisle_3,probably,0.17,./stim/images/prob_50_4.png,You'll probably get one.,3,might
90,undefined,You might get one.,0.72,0.25,0,0,11.580083333333333,aisle_3,probably,0.03,./stim/images/prob_90_5.png,You'll probably get one.,3,might
100,undefined,You might get one.,1,0,0,0,11.580083333333333,aisle_3,probably,0,./stim/images/prob_100_3.png,You'll probably get one.,3,might
0,undefined,You might get one.,1,0,0,0,11.580083333333333,window_3,probably,0,./stim/images/prob_0_2.png,You'll probably get one.,3,might
10,undefined,You might get one.,0.6499999999999999,0.35,0,0,11.580083333333333,window_3,probably,0,./stim/images/prob_10_4.png,You'll probably get one.,3,might
40,undefined,You might get one.,0.17999999999999994,0.72,0,0,11.580083333333333,window_3,probably,0.1,./stim/images/prob_40_3.png,You'll probably get one.,3,might
100,undefined,You might get one.,0.32999999999999985,0,0,0,11.580083333333333,window_3,probably,0.67,./stim/images/prob_100_4.png,You'll probably get one.,3,might
100,undefined,You might get one.,0.6599999999999999,0,0,0,11.580083333333333,window_3,probably,0.34,./stim/images/prob_100_5.png,You'll probably get one.,3,might
90,undefined,You might get one.,0.18000000000000016,0,0,0,11.580083333333333,window_3,probably,0.82,./stim/images/prob_90_4.png,You'll probably get one.,3,might
75,undefined,You might get one.,0.17000000000000004,0,0,0,11.580083333333333,window_3,probably,0.83,./stim/images/prob_75_2.png,You'll probably get one.,3,might
25,undefined,You might get one.,0.21000000000000008,0.6,0,0,11.580083333333333,window_3,probably,0.19,./stim/images/prob_25_1.png,You'll probably get one.,3,might
50,undefined,You might get one.,0.21999999999999997,0.46,0,0,11.580083333333333,window_3,probably,0.32,./stim/images/prob_50_2.png,You'll probably get one.,3,might
25,undefined,You might get one.,0.09000000000000019,0.29,0,0,11.580083333333333,aisle_3,probably,0.62,./stim/images/prob_25_2.png,You'll probably get one.,3,might
75,undefined,You might get one.,0.25,0.7,0,0,11.580083333333333,aisle_3,probably,0.05,./stim/images/prob_75_3.png,You'll probably get one.,3,might
60,undefined,You might get one.,0.19000000000000017,0.73,0,0,11.580083333333333,aisle_3,probably,0.08,./stim/images/prob_60_2.png,You'll probably get one.,3,might
50,undefined,You might get one.,0.13,0.79,0,0,11.580083333333333,window_3,probably,0.08,./stim/images/prob_50_1.png,You'll probably get one.,3,might
0,undefined,You might get one.,1,0,0,0,11.580083333333333,window_3,probably,0,./stim/images/prob_0_3.png,You'll probably get one.,3,might
25,undefined,You might get one.,0.16000000000000003,0.75,0,0,11.580083333333333,window_3,probably,0.09,./stim/images/prob_25_1.png,You'll probably get one.,3,might
90,undefined,You might get one.,0,0.09999999999999998,0,0,11.580083333333333,window_3,probably,0.9,./stim/images/prob_90_3.png,You'll probably get one.,3,might
0,undefined,You might get one.,0.42000000000000004,0,0,0,11.580083333333333,aisle_3,probably,0.58,./stim/images/prob_0_1.png,You'll probably get one.,3,might
10,undefined,You might get one.,0.09000000000000008,0.07,0,0,11.580083333333333,aisle_3,probably,0.84,./stim/images/prob_10_5.png,You'll probably get one.,3,might
100,undefined,You might get one.,1,0,0,0,11.580083333333333,aisle_3,probably,0,./stim/images/prob_100_4.png,You'll probably get one.,3,might
75,undefined,You might get one.,0.050000000000000044,0.06,0,0,11.580083333333333,window_3,probably,0.89,./stim/images/prob_75_3.png,You'll probably get one.,3,might
90,undefined,You might get one.,0.21999999999999997,0.78,0,0,11.580083333333333,aisle_3,probably,0,./stim/images/prob_90_2.png,You'll probably get one.,3,might
40,undefined,You might get one.,0.07,0.21999999999999997,0,0,11.580083333333333,aisle_3,probably,0.71,./stim/images/prob_40_2.png,You'll probably get one.,3,might
0,undefined,You might get one.,1,0,0,0,11.580083333333333,aisle_3,probably,0,./stim/images/prob_0_1.png,You'll probably get one.,3,might
60,undefined,You might get one.,0.09,0.17999999999999994,0,0,11.580083333333333,window_3,probably,0.73,./stim/images/prob_60_4.png,You'll probably get one.,3,might
10,undefined,You might get one.,0.03,0.27,0,0,11.580083333333333,aisle_3,probably,0.7,./stim/images/prob_10_4.png,You'll probably get one.,3,might
50,undefined,You might get one.,0,0.71,1,1,14.848866666666666,window_3,probably,0.29000000000000004,./stim/images/prob_50_2.png,You'll probably get one.,3,might
50,undefined,You might get one.,0,0.71,1,1,14.848866666666666,aisle_3,probably,0.29000000000000004,./stim/images/prob_50_1.png,You'll probably get one.,3,might
75,undefined,You might get one.,0,0.13,1,1,14.848866666666666,window_3,probably,0.86,./stim/images/prob_75_5.png,You'll probably get one.,3,might
25,undefined,You might get one.,0,0.09,1,1,14.848866666666666,aisle_3,probably,0.91,./stim/images/prob_25_5.png,You'll probably get one.,3,might
