catch_trial,check1,request,audio,seat,modal,check2,order,text,prob_rating,mood,condtion,image,workerid
1,./stim/images/exposure_90_10.png,./stim/text/text-1.png,./stim/audio/happy_might1_s1.mp3,a window seat (red),might,./stim/images/exposure_25_10.png,1,You might get one.,0.85,optimist,1,./stim/images/exposure_25_10.png,0
1,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/audio/happy_bare_s1.mp3,a window seat (red),bare,./stim/images/exposure_60_10.png,0,You'll get one.,0.99,optimist,1,./stim/images/prob_100_1.png,0
0,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/audio/happy_probably1_s1.mp3,a window seat (red),probably,./stim/images/exposure_60_8.png,1,You'll probably get one.,0.91,optimist,1,./stim/images/exposure_60_8.png,0
0,./stim/images/exposure_60_8.png,./stim/text/text-1.png,./stim/audio/happy_bare_s1.mp3,a window seat (red),bare,./stim/images/prob_100_1.png,1,You'll get one.,0.99,optimist,1,./stim/images/prob_100_1.png,0
1,./stim/images/exposure_10_10.png,./stim/text/text-2.png,./stim/audio/happy_might2_s1.mp3,an aisle seat (blue),might,./stim/images/exposure_75_10.png,1,You might get one.,0.24,optimist,1,./stim/images/exposure_75_10.png,0
0,./stim/images/exposure_25_1.png,./stim/text/text-1.png,./stim/audio/happy_might1_s1.mp3,a window seat (red),might,./stim/images/exposure_90_1.png,0,You might get one.,0.43,optimist,1,./stim/images/exposure_25_1.png,0
0,./stim/images/exposure_60_1.png,./stim/text/text-1.png,./stim/audio/happy_bare_s1.mp3,a window seat (red),bare,./stim/images/prob_100_1.png,1,You'll get one.,0.99,optimist,1,./stim/images/prob_100_1.png,0
1,./stim/images/exposure_60_10.png,./stim/text/text-1.png,./stim/audio/happy_probably1_s1.mp3,a window seat (red),probably,./stim/images/prob_100_1.png,0,You'll probably get one.,0.81,optimist,1,./stim/images/exposure_60_10.png,0
0,./stim/images/exposure_40_1.png,./stim/text/text-2.png,./stim/audio/happy_probably2_s1.mp3,an aisle seat (blue),probably,./stim/images/prob_100_1.png,0,You'll probably get one.,0.78,optimist,1,./stim/images/exposure_40_1.png,0
0,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/audio/happy_probably1_s1.mp3,a window seat (red),probably,./stim/images/exposure_60_1.png,1,You'll probably get one.,0.9,optimist,1,./stim/images/exposure_60_1.png,0
