mood_rating,type,workerid
0.97,mood1,0
0.42,mood2,0
0.98,mood1,1
0.34,mood2,1
0.98,mood1,2
0.27,mood2,2
0.99,mood1,3
0.47,mood2,3
1,mood1,4
0.47,mood2,4
0.61,mood1,5
0.38,mood2,5
0.62,mood1,6
0.48,mood2,6
0.84,mood1,7
0.72,mood2,7
0.85,mood1,8
0.5,mood2,8
1,mood1,9
1,mood2,9
0.65,mood2,9
1,mood1,10
0.78,mood2,10
0.95,mood1,11
0.58,mood2,11
0.96,mood1,12
0.47,mood2,12
0.97,mood1,13
0.48,mood2,13
0.86,mood1,14
0.79,mood2,14
0.81,mood1,15
0.37,mood2,15
0.99,mood1,16
0.81,mood2,16
0.89,mood1,17
0.46,mood2,17
0.93,mood1,18
0.81,mood2,18
0.98,mood1,19
0.52,mood2,19
1,mood1,20
0.51,mood2,20
0.98,mood1,21
0.89,mood2,21
0.97,mood1,22
0.76,mood2,22
1,mood1,23
0.5,mood2,23
0.69,mood1,24
0.78,mood2,24
0.37,mood2,24
1,mood1,25
0.49,mood2,25
0.98,mood1,26
0.87,mood2,26
1,mood1,27
0.68,mood2,27
1,mood1,28
0.47,mood2,28
0.55,mood1,29
0.84,mood1,30
0.86,mood2,30
0.48,mood2,30
0.77,mood1,31
0.98,mood2,31
0.3,mood2,31
0.67,mood1,32
0.56,mood2,32
0.96,mood1,33
0.64,mood2,33
0.71,mood1,34
0.93,mood2,34
0.98,mood2,34
0.98,mood2,34
0.97,mood2,34
0.09,mood2,34
0.97,mood1,35
0.95,mood2,35
0.91,mood1,36
0.75,mood2,36
0.97,mood1,37
0.5,mood2,37
1,mood1,38
0.83,mood2,38
0.96,mood1,39
0.48,mood2,39
0.97,mood1,40
0.48,mood2,40
1,mood1,41
0.48,mood2,41
0.93,mood1,42
0.62,mood2,42
0.95,mood1,43
0.51,mood2,43
1,mood1,44
0.8,mood2,44
0.95,mood1,45
0.69,mood2,45
0.62,mood1,46
0.76,mood2,46
0.06,mood2,46
1,mood1,47
0.88,mood2,47
0.99,mood1,48
0.59,mood2,48
0.98,mood1,49
0.47,mood2,49
0.89,mood1,50
0.16,mood2,50
1,mood1,51
0.99,mood2,51
0.88,mood1,52
0.58,mood2,52
0.95,mood1,53
0.4,mood2,53
0.97,mood1,54
0.74,mood2,54
1,mood1,55
1,mood2,55
0.78,mood2,55
0.94,mood1,56
0.58,mood2,56
0.98,mood1,57
0.77,mood2,57
0.99,mood1,58
0.6,mood2,58
0.74,mood1,59
0.46,mood2,59
0.89,mood1,60
0.81,mood2,60
0.99,mood1,61
0.48,mood2,61
0.75,mood1,62
0.48,mood2,62
1,mood1,63
0.75,mood2,63
0.91,mood1,64
0.64,mood2,64
0.93,mood1,65
0.49,mood2,65
1,mood1,66
0.59,mood2,66
0.98,mood1,67
0.59,mood2,67
0.99,mood1,68
0.91,mood2,68
0.99,mood1,69
0.12,mood2,69
0.9,mood1,70
0.29,mood2,70
0.63,mood1,71
0.7,mood2,71
0.89,mood2,71
0.85,mood2,71
0.83,mood2,71
0.87,mood2,71
0.82,mood2,71
0.52,mood2,71
0.81,mood1,72
0.77,mood2,72
0.97,mood1,73
0.55,mood2,73
1,mood1,74
0.58,mood2,74
0.97,mood1,75
0.59,mood2,75
0.72,mood1,76
0.51,mood2,76
1,mood1,77
0.58,mood2,77
0.94,mood1,78
0.37,mood2,78
0.92,mood1,79
0.5,mood2,79
