audio,prob_rating,check2,text,modal,image,mood,condtion,order,workerid,request,seat,check1,catch_trial
./stim/audio/control_might2_s2.mp3,0.91,./stim/images/prob_100_1.png,You might get one.,might,./stim/images/exposure_40_7.png,control,4,0,0,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_40_7.png,1
./stim/audio/control_might1_s2.mp3,0.71,./stim/images/exposure_60_5.png,You might get one.,might,./stim/images/exposure_60_5.png,control,4,1,0,./stim/text/text-1.png,a window seat (red),./stim/images/prob_100_1.png,0
./stim/audio/control_probably1_s2.mp3,0.87,./stim/images/exposure_90_4.png,You'll probably get one.,probably,./stim/images/exposure_90_4.png,control,4,1,0,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_25_4.png,0
./stim/audio/control_bare_s2.mp3,0.94,./stim/images/prob_100_1.png,You'll get one.,bare,./stim/images/prob_100_1.png,control,4,1,0,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_5.png,0
./stim/audio/control_might1_s2.mp3,0.5,./stim/images/prob_100_1.png,You might get one.,might,./stim/images/exposure_60_7.png,control,4,0,0,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_7.png,1
./stim/audio/control_bare_s2.mp3,1,./stim/images/prob_100_1.png,You'll get one.,bare,./stim/images/prob_100_1.png,control,4,1,0,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_7.png,1
./stim/audio/control_probably1_s2.mp3,0.87,./stim/images/exposure_25_7.png,You'll probably get one.,probably,./stim/images/exposure_90_7.png,control,4,0,0,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_90_7.png,1
./stim/audio/control_might2_s2.mp3,0.25,./stim/images/prob_100_1.png,You might get one.,might,./stim/images/exposure_40_4.png,control,4,0,0,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_40_4.png,0
./stim/audio/control_might2_s2.mp3,0.65,./stim/images/exposure_40_5.png,You might get one.,might,./stim/images/exposure_40_5.png,control,4,1,0,./stim/text/text-2.png,an aisle seat (blue),./stim/images/prob_100_1.png,0
./stim/audio/control_bare_s2.mp3,1,./stim/images/prob_100_1.png,You'll get one.,bare,./stim/images/prob_100_1.png,control,4,1,0,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_60_4.png,0
./stim/audio/control_probably2_s2.mp3,0.87,./stim/images/exposure_10_5.png,You'll probably get one.,probably,./stim/images/exposure_10_5.png,control,4,1,0,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_75_5.png,0
./stim/audio/control_probably2_s2.mp3,0.98,./stim/images/exposure_10_7.png,You'll probably get one.,probably,./stim/images/exposure_10_7.png,control,4,1,0,./stim/text/text-2.png,an aisle seat (blue),./stim/images/exposure_75_7.png,1
./stim/audio/control_probably1_s2.mp3,0.87,./stim/images/exposure_90_5.png,You'll probably get one.,probably,./stim/images/exposure_90_5.png,control,4,1,0,./stim/text/text-1.png,a window seat (red),./stim/images/exposure_25_5.png,0
