reverse_sent_order,sentence2,percent_window,image,type,rating1,sentence1,rating_other,workerid,Answer.condition,rating2,modal2,condition,Answer.time_in_minutes,modal1
1,You might get one.,40,./stim/images/prob_40_5.png,window_4,0.34999999999999987,You'll probably get one.,0,0,undefined,0.65,might,4,9.85665,probably
1,You might get one.,75,./stim/images/prob_75_1.png,aisle_4,0.43999999999999984,You'll probably get one.,0,0,undefined,0.56,might,4,9.85665,probably
1,You might get one.,60,./stim/images/prob_60_4.png,window_4,0.31000000000000016,You'll probably get one.,0,0,undefined,0.69,might,4,9.85665,probably
1,You might get one.,60,./stim/images/prob_60_1.png,aisle_4,0.45999999999999996,You'll probably get one.,0,0,undefined,0.54,might,4,9.85665,probably
1,You might get one.,90,./stim/images/prob_90_5.png,window_4,0.04,You'll probably get one.,0.95,0,undefined,0.01,might,4,9.85665,probably
1,You might get one.,75,./stim/images/prob_75_3.png,window_4,0.3599999999999999,You'll probably get one.,0,0,undefined,0.64,might,4,9.85665,probably
1,You might get one.,0,./stim/images/prob_0_4.png,aisle_4,0,You'll probably get one.,1,0,undefined,0,might,4,9.85665,probably
1,You might get one.,0,./stim/images/prob_0_2.png,window_4,0,You'll probably get one.,1,0,undefined,0,might,4,9.85665,probably
1,You might get one.,25,./stim/images/prob_25_2.png,window_4,0.4600000000000001,You'll probably get one.,0,0,undefined,0.54,might,4,9.85665,probably
1,You might get one.,25,./stim/images/prob_25_4.png,aisle_4,0.21999999999999997,You'll probably get one.,0,0,undefined,0.78,might,4,9.85665,probably
1,You might get one.,60,./stim/images/prob_60_4.png,window_4,0.47,You'll probably get one.,0,0,undefined,0.53,might,4,9.85665,probably
1,You might get one.,90,./stim/images/prob_90_2.png,aisle_4,0,You'll probably get one.,1,0,undefined,0,might,4,9.85665,probably
1,You might get one.,100,./stim/images/prob_100_3.png,window_4,0,You'll probably get one.,1,0,undefined,0,might,4,9.85665,probably
1,You might get one.,50,./stim/images/prob_50_1.png,aisle_4,0.55,You'll probably get one.,0,0,undefined,0.45,might,4,9.85665,probably
1,You might get one.,25,./stim/images/prob_25_1.png,aisle_4,0.53,You'll probably get one.,0,0,undefined,0.47,might,4,9.85665,probably
1,You might get one.,0,./stim/images/prob_0_2.png,window_4,0,You'll probably get one.,1,0,undefined,0,might,4,9.85665,probably
1,You might get one.,40,./stim/images/prob_40_4.png,window_4,0.49,You'll probably get one.,0,0,undefined,0.51,might,4,9.85665,probably
1,You might get one.,10,./stim/images/prob_10_4.png,aisle_4,0.16000000000000003,You'll probably get one.,0,0,undefined,0.84,might,4,9.85665,probably
1,You might get one.,0,./stim/images/prob_0_1.png,aisle_4,0.05,You'll probably get one.,0.8400000000000001,0,undefined,0.11,might,4,9.85665,probably
1,You might get one.,90,./stim/images/prob_90_5.png,aisle_4,0.2499999999999999,You'll probably get one.,0,0,undefined,0.75,might,4,9.85665,probably
1,You might get one.,25,./stim/images/prob_25_4.png,window_4,0.20999999999999996,You'll probably get one.,0,0,undefined,0.79,might,4,9.85665,probably
1,You might get one.,10,./stim/images/prob_10_3.png,aisle_4,0.7699999999999999,You'll probably get one.,0,0,undefined,0.23,might,4,9.85665,probably
1,You might get one.,50,./stim/images/prob_50_4.png,window_4,0.44999999999999996,You'll probably get one.,0,0,undefined,0.55,might,4,9.85665,probably
1,You might get one.,50,./stim/images/prob_50_3.png,window_4,0.14,You'll probably get one.,0,0,undefined,0.86,might,4,9.85665,probably
1,You might get one.,60,./stim/images/prob_60_1.png,aisle_4,0.19,You'll probably get one.,0,0,undefined,0.8099999999999999,might,4,9.85665,probably
1,You might get one.,90,./stim/images/prob_90_2.png,window_4,0.17000000000000015,You'll probably get one.,0,0,undefined,0.83,might,4,9.85665,probably
1,You might get one.,100,./stim/images/prob_100_3.png,aisle_4,0,You'll probably get one.,1,0,undefined,0,might,4,9.85665,probably
1,You might get one.,100,./stim/images/prob_100_1.png,window_4,0.06,You'll probably get one.,0.94,0,undefined,0,might,4,9.85665,probably
1,You might get one.,40,./stim/images/prob_40_3.png,aisle_4,0.42,You'll probably get one.,0,0,undefined,0.5800000000000001,might,4,9.85665,probably
1,You might get one.,10,./stim/images/prob_10_1.png,window_4,0.11,You'll probably get one.,0.8500000000000001,0,undefined,0.04,might,4,9.85665,probably
1,You might get one.,10,./stim/images/prob_10_4.png,window_4,0.13,You'll probably get one.,0.8400000000000001,0,undefined,0.03,might,4,9.85665,probably
1,You might get one.,75,./stim/images/prob_75_1.png,aisle_4,0.66,You'll probably get one.,0,0,undefined,0.3400000000000001,might,4,9.85665,probably
1,You might get one.,50,./stim/images/prob_50_4.png,aisle_4,0.3800000000000001,You'll probably get one.,0,0,undefined,0.62,might,4,9.85665,probably
1,You might get one.,100,./stim/images/prob_100_4.png,aisle_4,0,You'll probably get one.,1,0,undefined,0,might,4,9.85665,probably
1,You might get one.,75,./stim/images/prob_75_4.png,window_4,0.33999999999999986,You'll probably get one.,0,0,undefined,0.66,might,4,9.85665,probably
1,You might get one.,40,./stim/images/prob_40_2.png,aisle_4,0.47,You'll probably get one.,0,0,undefined,0.53,might,4,9.85665,probably
