rating_other,reverse_sent_order,type,sentence1,sentence2,image,modal2,modal1,Answer.time_in_minutes,rating1,Answer.condition,percent_window,condition,workerid,rating2
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_40_1.png,might,probably,11.10855,0,undefined,40,1,0,1
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_60_4.png,might,probably,11.10855,1,undefined,60,1,0,0
1,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_100_5.png,might,probably,11.10855,0,undefined,100,1,0,0
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_50_5.png,might,probably,11.10855,0.8,undefined,50,1,0,0.19999999999999996
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_25_5.png,might,probably,11.10855,0,undefined,25,1,0,1
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_50_5.png,might,probably,11.10855,0.52,undefined,50,1,0,0.48
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_40_4.png,might,probably,11.10855,0.18999999999999984,undefined,40,1,0,0.81
1,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_0_2.png,might,probably,11.10855,0,undefined,0,1,0,0
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_60_1.png,might,probably,11.10855,0,undefined,60,1,0,1
1,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_0_1.png,might,probably,11.10855,0,undefined,0,1,0,0
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_10_2.png,might,probably,11.10855,1,undefined,10,1,0,0
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_40_2.png,might,probably,11.10855,1,undefined,40,1,0,0
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_75_3.png,might,probably,11.10855,0,undefined,75,1,0,1
1,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_0_5.png,might,probably,11.10855,0,undefined,0,1,0,0
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_25_5.png,might,probably,11.10855,1,undefined,25,1,0,0
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_90_5.png,might,probably,11.10855,0,undefined,90,1,0,1
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_90_5.png,might,probably,11.10855,1,undefined,90,1,0,0
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_25_5.png,might,probably,11.10855,1,undefined,25,1,0,0
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_25_3.png,might,probably,11.10855,0,undefined,25,1,0,1
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_75_5.png,might,probably,11.10855,0,undefined,75,1,0,1
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_60_5.png,might,probably,11.10855,1,undefined,60,1,0,0
1,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_100_1.png,might,probably,11.10855,0,undefined,100,1,0,0
1,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_100_5.png,might,probably,11.10855,0,undefined,100,1,0,0
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_10_4.png,might,probably,11.10855,0,undefined,10,1,0,1
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_75_1.png,might,probably,11.10855,1,undefined,75,1,0,0
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_75_1.png,might,probably,11.10855,1,undefined,75,1,0,0
0,1,window_1,You'll probably get one.,You might get one.,./stim/images/prob_10_3.png,might,probably,11.10855,0,undefined,10,1,0,1
0,1,aisle_1,You'll probably get one.,You might get one.,./stim/images/prob_60_3.png,might,probably,11.10855,0,undefined,60,1,0,1
