catch_trial,prob_rating,workerid,condtion,audio,modal,request,order,image,mood,check2,seat,check1,text
0,0.43,0,2,./stim/audio/control_probably1_s2.mp3,probably,./stim/text/text-1.png,0,./stim/images/exposure_60_2.png,control,./stim/images/prob_100_1.png,a window seat (red),./stim/images/exposure_60_2.png,You'll probably get one.
0,0.53,0,2,./stim/audio/control_might1_s2.mp3,might,./stim/text/text-1.png,0,./stim/images/exposure_25_5.png,control,./stim/images/exposure_90_5.png,a window seat (red),./stim/images/exposure_25_5.png,You might get one.
1,0.45,0,2,./stim/audio/control_might1_s2.mp3,might,./stim/text/text-1.png,1,./stim/images/exposure_25_3.png,control,./stim/images/exposure_25_3.png,a window seat (red),./stim/images/exposure_90_3.png,You might get one.
0,0.37,0,2,./stim/audio/control_bare_s2.mp3,bare,./stim/text/text-1.png,0,./stim/images/prob_100_1.png,control,./stim/images/exposure_60_5.png,a window seat (red),./stim/images/prob_100_1.png,You'll get one.
0,0.75,0,2,./stim/audio/control_probably2_s2.mp3,probably,./stim/text/text-2.png,0,./stim/images/exposure_40_5.png,control,./stim/images/prob_100_1.png,an aisle seat (blue),./stim/images/exposure_40_5.png,You'll probably get one.
1,0.74,0,2,./stim/audio/control_probably1_s2.mp3,probably,./stim/text/text-1.png,0,./stim/images/exposure_60_3.png,control,./stim/images/prob_100_1.png,a window seat (red),./stim/images/exposure_60_3.png,You'll probably get one.
0,1,0,2,./stim/audio/control_bare_s2.mp3,bare,./stim/text/text-1.png,1,./stim/images/prob_100_1.png,control,./stim/images/prob_100_1.png,a window seat (red),./stim/images/exposure_60_2.png,You'll get one.
0,0.28,0,2,./stim/audio/control_might2_s2.mp3,might,./stim/text/text-2.png,0,./stim/images/exposure_75_5.png,control,./stim/images/exposure_10_5.png,an aisle seat (blue),./stim/images/exposure_75_5.png,You might get one.
0,0.68,0,2,./stim/audio/control_probably1_s2.mp3,probably,./stim/text/text-1.png,1,./stim/images/exposure_60_5.png,control,./stim/images/exposure_60_5.png,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.
1,0.21,0,2,./stim/audio/control_might2_s2.mp3,might,./stim/text/text-2.png,0,./stim/images/exposure_75_3.png,control,./stim/images/exposure_10_3.png,an aisle seat (blue),./stim/images/exposure_75_3.png,You might get one.
1,0.73,0,2,./stim/audio/control_probably2_s2.mp3,probably,./stim/text/text-2.png,1,./stim/images/exposure_40_3.png,control,./stim/images/exposure_40_3.png,an aisle seat (blue),./stim/images/prob_100_1.png,You'll probably get one.
0,0.35,0,2,./stim/audio/control_might2_s2.mp3,might,./stim/text/text-2.png,0,./stim/images/exposure_75_2.png,control,./stim/images/exposure_10_2.png,an aisle seat (blue),./stim/images/exposure_75_2.png,You might get one.
1,0.99,0,2,./stim/audio/control_bare_s2.mp3,bare,./stim/text/text-1.png,0,./stim/images/prob_100_1.png,control,./stim/images/exposure_60_3.png,a window seat (red),./stim/images/prob_100_1.png,You'll get one.
0,0.5,1,2,./stim/audio/control_probably1_s1.mp3,probably,./stim/text/text-1.png,0,./stim/images/exposure_60_7.png,control,./stim/images/prob_100_1.png,a window seat (red),./stim/images/exposure_60_7.png,You'll probably get one.
1,0.65,1,2,./stim/audio/control_probably2_s1.mp3,probably,./stim/text/text-2.png,0,./stim/images/exposure_40_3.png,control,./stim/images/prob_100_1.png,an aisle seat (blue),./stim/images/exposure_40_3.png,You'll probably get one.
1,0.85,1,2,./stim/audio/control_bare_s1.mp3,bare,./stim/text/text-1.png,1,./stim/images/prob_100_1.png,control,./stim/images/prob_100_1.png,a window seat (red),./stim/images/exposure_60_3.png,You'll get one.
0,1,1,2,./stim/audio/control_bare_s1.mp3,bare,./stim/text/text-1.png,1,./stim/images/prob_100_1.png,control,./stim/images/prob_100_1.png,a window seat (red),./stim/images/exposure_60_6.png,You'll get one.
0,0.63,1,2,./stim/audio/control_probably2_s1.mp3,probably,./stim/text/text-2.png,0,./stim/images/exposure_40_7.png,control,./stim/images/prob_100_1.png,an aisle seat (blue),./stim/images/exposure_40_7.png,You'll probably get one.
0,0.34,1,2,./stim/audio/control_might2_s1.mp3,might,./stim/text/text-2.png,1,./stim/images/exposure_75_6.png,control,./stim/images/exposure_75_6.png,an aisle seat (blue),./stim/images/exposure_10_6.png,You might get one.
1,0.23,1,2,./stim/audio/control_might2_s1.mp3,might,./stim/text/text-2.png,0,./stim/images/exposure_75_3.png,control,./stim/images/exposure_10_3.png,an aisle seat (blue),./stim/images/exposure_75_3.png,You might get one.
0,0.56,1,2,./stim/audio/control_probably1_s1.mp3,probably,./stim/text/text-1.png,0,./stim/images/exposure_60_6.png,control,./stim/images/prob_100_1.png,a window seat (red),./stim/images/exposure_60_6.png,You'll probably get one.
1,0.49,1,2,./stim/audio/control_probably1_s1.mp3,probably,./stim/text/text-1.png,1,./stim/images/exposure_60_3.png,control,./stim/images/exposure_60_3.png,a window seat (red),./stim/images/prob_100_1.png,You'll probably get one.
1,0.3,1,2,./stim/audio/control_might1_s1.mp3,might,./stim/text/text-1.png,1,./stim/images/exposure_25_3.png,control,./stim/images/exposure_25_3.png,a window seat (red),./stim/images/exposure_90_3.png,You might get one.
