text,order,seat,modal,condtion,check2,mood,workerid,prob_rating,check1,image,request,audio,catch_trial
You'll probably get one.,1,an aisle seat (blue),probably,3,./stim/images/exposure_10_2.png,pessimist,0,0.16,./stim/images/exposure_75_2.png,./stim/images/exposure_10_2.png,./stim/text/text-2.png,./stim/audio/angry_probably2_s1.mp3,1
You'll get one.,0,a window seat (red),bare,3,./stim/images/exposure_60_6.png,pessimist,0,1,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/audio/angry_bare_s1.mp3,0
You'll probably get one.,0,a window seat (red),probably,3,./stim/images/exposure_25_3.png,pessimist,0,0.89,./stim/images/exposure_90_3.png,./stim/images/exposure_90_3.png,./stim/text/text-1.png,./stim/audio/angry_probably1_s1.mp3,0
You'll probably get one.,0,a window seat (red),probably,3,./stim/images/exposure_25_6.png,pessimist,0,0.84,./stim/images/exposure_90_6.png,./stim/images/exposure_90_6.png,./stim/text/text-1.png,./stim/audio/angry_probably1_s1.mp3,0
You'll probably get one.,1,a window seat (red),probably,3,./stim/images/exposure_90_2.png,pessimist,0,0.88,./stim/images/exposure_25_2.png,./stim/images/exposure_90_2.png,./stim/text/text-1.png,./stim/audio/angry_probably1_s1.mp3,1
You might get one.,0,an aisle seat (blue),might,3,./stim/images/prob_100_1.png,pessimist,0,0.51,./stim/images/exposure_40_2.png,./stim/images/exposure_40_2.png,./stim/text/text-2.png,./stim/audio/angry_might2_s1.mp3,1
You might get one.,0,an aisle seat (blue),might,3,./stim/images/prob_100_1.png,pessimist,0,0.67,./stim/images/exposure_40_3.png,./stim/images/exposure_40_3.png,./stim/text/text-2.png,./stim/audio/angry_might2_s1.mp3,0
You might get one.,1,a window seat (red),might,3,./stim/images/exposure_60_6.png,pessimist,0,0.57,./stim/images/prob_100_1.png,./stim/images/exposure_60_6.png,./stim/text/text-1.png,./stim/audio/angry_might1_s1.mp3,0
You might get one.,0,a window seat (red),might,3,./stim/images/prob_100_1.png,pessimist,0,0.52,./stim/images/exposure_60_2.png,./stim/images/exposure_60_2.png,./stim/text/text-1.png,./stim/audio/angry_might1_s1.mp3,1
You'll get one.,0,a window seat (red),bare,3,./stim/images/exposure_60_3.png,pessimist,0,1,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/audio/angry_bare_s1.mp3,0
You might get one.,0,an aisle seat (blue),might,3,./stim/images/prob_100_1.png,pessimist,0,0.49,./stim/images/exposure_40_6.png,./stim/images/exposure_40_6.png,./stim/text/text-2.png,./stim/audio/angry_might2_s1.mp3,0
You'll probably get one.,1,an aisle seat (blue),probably,3,./stim/images/exposure_10_6.png,pessimist,0,0.8,./stim/images/exposure_75_6.png,./stim/images/exposure_10_6.png,./stim/text/text-2.png,./stim/audio/angry_probably2_s1.mp3,0
