modal2,condition,reverse_sent_order,sentence2,modal1,Answer.time_in_minutes,rating_other,type,sentence1,Answer.condition,rating1,workerid,percent_window,image,rating2
might,4,0,You might get one.,probably,9.441016666666666,0,window_4,You'll probably get one.,undefined,0,0,10,./stim/images/prob_10_5.png,1
might,4,0,You might get one.,probably,9.441016666666666,0,window_4,You'll probably get one.,undefined,0,0,60,./stim/images/prob_60_1.png,1
might,4,0,You might get one.,probably,9.441016666666666,1,window_4,You'll probably get one.,undefined,0,0,0,./stim/images/prob_0_5.png,0
might,4,0,You might get one.,probably,9.441016666666666,0,aisle_4,You'll probably get one.,undefined,0,0,90,./stim/images/prob_90_3.png,1
might,4,0,You might get one.,probably,9.441016666666666,0,aisle_4,You'll probably get one.,undefined,0,0,25,./stim/images/prob_25_3.png,1
might,4,0,You might get one.,probably,9.441016666666666,0,window_4,You'll probably get one.,undefined,0,0,50,./stim/images/prob_50_2.png,1
might,4,0,You might get one.,probably,9.441016666666666,0,window_4,You'll probably get one.,undefined,0,0,60,./stim/images/prob_60_4.png,1
might,4,0,You might get one.,probably,9.441016666666666,0,window_4,You'll probably get one.,undefined,0,0,40,./stim/images/prob_40_5.png,1
might,4,0,You might get one.,probably,9.441016666666666,0,window_4,You'll probably get one.,undefined,0,0,25,./stim/images/prob_25_5.png,1
might,4,0,You might get one.,probably,9.441016666666666,1,aisle_4,You'll probably get one.,undefined,0,0,0,./stim/images/prob_0_3.png,0
might,4,0,You might get one.,probably,9.441016666666666,0,aisle_4,You'll probably get one.,undefined,0,0,75,./stim/images/prob_75_4.png,1
might,4,0,You might get one.,probably,9.441016666666666,1,aisle_4,You'll probably get one.,undefined,0,0,0,./stim/images/prob_0_2.png,0
might,4,0,You might get one.,probably,9.441016666666666,1,window_4,You'll probably get one.,undefined,0,0,100,./stim/images/prob_100_4.png,0
might,4,0,You might get one.,probably,9.441016666666666,0,aisle_4,You'll probably get one.,undefined,0,0,50,./stim/images/prob_50_4.png,1
might,4,0,You might get one.,probably,9.441016666666666,0,aisle_4,You'll probably get one.,undefined,0,0,75,./stim/images/prob_75_4.png,1
might,4,0,You might get one.,probably,9.441016666666666,1,aisle_4,You'll probably get one.,undefined,0,0,100,./stim/images/prob_100_1.png,0
might,4,0,You might get one.,probably,9.441016666666666,1,window_4,You'll probably get one.,undefined,0,0,100,./stim/images/prob_100_3.png,0
might,4,0,You might get one.,probably,9.441016666666666,0,aisle_4,You'll probably get one.,undefined,0.9,0,10,./stim/images/prob_10_3.png,0.09999999999999998
might,4,0,You might get one.,probably,9.441016666666666,0,aisle_4,You'll probably get one.,undefined,0,0,40,./stim/images/prob_40_3.png,1
might,4,0,You might get one.,probably,9.441016666666666,0.73,aisle_4,You'll probably get one.,undefined,0,0,90,./stim/images/prob_90_4.png,0.27
might,4,0,You might get one.,probably,9.441016666666666,0,aisle_4,You'll probably get one.,undefined,0,0,40,./stim/images/prob_40_3.png,1
might,4,0,You might get one.,probably,9.441016666666666,0,aisle_4,You'll probably get one.,undefined,0,0,60,./stim/images/prob_60_2.png,1
might,4,0,You might get one.,probably,9.441016666666666,0,window_4,You'll probably get one.,undefined,0,0,40,./stim/images/prob_40_5.png,1
might,4,0,You might get one.,probably,9.441016666666666,1,aisle_4,You'll probably get one.,undefined,0,0,100,./stim/images/prob_100_3.png,0
might,4,0,You might get one.,probably,9.441016666666666,0,aisle_4,You'll probably get one.,undefined,1,0,10,./stim/images/prob_10_4.png,0
might,4,0,You might get one.,probably,9.441016666666666,0,window_4,You'll probably get one.,undefined,0,0,75,./stim/images/prob_75_3.png,1
might,4,0,You might get one.,probably,9.441016666666666,0.51,window_4,You'll probably get one.,undefined,0,0,10,./stim/images/prob_10_2.png,0.49
