workerid,mood_rating,type
0,1,mood1
0,0.61,mood2
1,0.92,mood1
1,0.51,mood2
2,1,mood1
2,0.42,mood2
3,0.48,mood1
3,0.98,mood1
3,0.92,mood2
4,0.98,mood1
4,0.59,mood2
5,0.83,mood1
5,0.73,mood2
6,0.97,mood1
6,0.76,mood2
7,0.99,mood1
7,0.03,mood2
8,0.74,mood1
8,0.06,mood2
9,0.81,mood1
9,0.47,mood2
10,0.98,mood1
10,0.99,mood2
10,0.17,mood2
11,0.98,mood1
11,0.5,mood2
12,0.98,mood1
12,0.93,mood2
13,1,mood1
13,0.83,mood2
14,1,mood1
14,0.65,mood2
15,0.95,mood1
15,0.67,mood2
16,1,mood1
16,0.51,mood2
17,0.85,mood1
17,0.57,mood2
18,1,mood1
18,0.5,mood2
19,0.97,mood1
19,1,mood2
19,0.51,mood2
20,1,mood1
20,0.59,mood2
21,1,mood1
21,0.49,mood2
22,1,mood1
22,0.5,mood2
23,0.99,mood1
23,0.36,mood2
24,0.97,mood1
24,0.94,mood2
25,1,mood1
25,0.49,mood2
26,1,mood1
26,0.62,mood2
27,1,mood1
27,0.47,mood2
28,0.78,mood1
28,0.61,mood2
29,0.84,mood1
29,0.48,mood2
30,0.99,mood1
30,0.8,mood2
31,0.16,mood1
31,0.18,mood1
31,0.84,mood1
31,0.47,mood2
32,1,mood1
32,0.65,mood2
33,0.85,mood1
33,0.96,mood2
33,0.8,mood2
34,0.97,mood1
34,0,mood2
35,0.88,mood1
35,0.2,mood2
36,0.98,mood1
36,0.78,mood2
37,1,mood1
37,0.95,mood2
38,1,mood1
38,0.5,mood2
39,1,mood1
39,0.81,mood2
40,0.62,mood1
40,0.86,mood2
40,0.94,mood2
40,0,mood2
41,0.7,mood1
41,0.55,mood2
42,0.98,mood1
42,0.7,mood2
43,0.85,mood1
43,0.93,mood2
43,0.9,mood2
43,0.77,mood2
44,0.94,mood1
44,0.73,mood2
45,0.96,mood1
45,0.61,mood2
46,0.96,mood1
46,0.48,mood2
47,1,mood1
47,0.55,mood2
48,1,mood1
48,0.6,mood2
49,0.59,mood1
49,0.28,mood2
50,0.23,mood1
50,0.85,mood1
50,0.25,mood2
51,1,mood1
51,0.49,mood2
52,1,mood1
52,0.49,mood2
53,0.93,mood1
53,0.37,mood2
54,1,mood1
54,0.84,mood2
55,0.99,mood1
55,0.99,mood2
55,0.71,mood2
56,0.97,mood1
56,0.43,mood2
57,1,mood1
57,0.51,mood2
58,1,mood1
58,0.49,mood2
59,0.95,mood1
59,0.55,mood2
60,1,mood1
60,0.54,mood2
61,0.75,mood1
61,0.52,mood2
62,0.7,mood1
62,1,mood2
62,0,mood2
63,0.85,mood1
63,0.24,mood2
64,1,mood1
64,0.52,mood2
65,0.93,mood1
65,0.52,mood2
66,0.92,mood1
66,0.64,mood2
67,0.4,mood1
67,0.78,mood1
67,0.25,mood2
68,0.92,mood1
68,0.76,mood2
69,0.9,mood1
69,0.87,mood2
70,1,mood1
70,0.58,mood2
71,0.91,mood1
71,0.74,mood2
72,0.58,mood1
72,0.76,mood2
72,0.53,mood2
73,0.9,mood1
73,0.52,mood2
74,0.99,mood1
74,0.69,mood2
75,1,mood1
75,0.5,mood2
76,0.97,mood1
76,0.68,mood2
77,1,mood1
77,0.69,mood2
78,1,mood1
78,0.65,mood2
79,1,mood1
79,0.68,mood2
