modal2,image,Answer.time_in_minutes,rating1,rating_other,sentence2,workerid,rating2,type,modal1,percent_window,condition,reverse_sent_order,sentence1,Answer.condition
might,./stim/images/prob_25_2.png,8.484,0,0.19999999999999996,You might get one.,0,0.8,window_5,probably,25,5,1,You'll probably get one.,undefined
might,./stim/images/prob_50_1.png,8.484,0,0.13,You might get one.,0,0.87,window_5,probably,50,5,1,You'll probably get one.,undefined
might,./stim/images/prob_50_3.png,8.484,0,0.09000000000000008,You might get one.,0,0.91,aisle_5,probably,50,5,1,You'll probably get one.,undefined
might,./stim/images/prob_40_5.png,8.484,0.8499999999999999,0.06,You might get one.,0,0.09,aisle_5,probably,40,5,1,You'll probably get one.,undefined
might,./stim/images/prob_10_4.png,8.484,1,0,You might get one.,0,0,aisle_5,probably,10,5,1,You'll probably get one.,undefined
might,./stim/images/prob_25_3.png,8.484,0.5700000000000002,0,You might get one.,0,0.42999999999999994,aisle_5,probably,25,5,1,You'll probably get one.,undefined
might,./stim/images/prob_0_2.png,8.484,0,1,You might get one.,0,0,aisle_5,probably,0,5,1,You'll probably get one.,undefined
might,./stim/images/prob_60_3.png,8.484,0.31,0.08999999999999997,You might get one.,0,0.6,window_5,probably,60,5,1,You'll probably get one.,undefined
might,./stim/images/prob_90_5.png,8.484,0,0.8700000000000001,You might get one.,0,0.13,aisle_5,probably,90,5,1,You'll probably get one.,undefined
might,./stim/images/prob_75_1.png,8.484,0,0.41,You might get one.,0,0.59,aisle_5,probably,75,5,1,You'll probably get one.,undefined
might,./stim/images/prob_75_3.png,8.484,0.75,0,You might get one.,0,0.25,window_5,probably,75,5,1,You'll probably get one.,undefined
might,./stim/images/prob_100_3.png,8.484,0,1,You might get one.,0,0,aisle_5,probably,100,5,1,You'll probably get one.,undefined
might,./stim/images/prob_0_2.png,8.484,0.28,0.72,You might get one.,0,0,aisle_5,probably,0,5,1,You'll probably get one.,undefined
might,./stim/images/prob_60_2.png,8.484,0,0.29000000000000004,You might get one.,0,0.7100000000000001,aisle_5,probably,60,5,1,You'll probably get one.,undefined
might,./stim/images/prob_40_3.png,8.484,0.69,0.08000000000000007,You might get one.,0,0.23,aisle_5,probably,40,5,1,You'll probably get one.,undefined
might,./stim/images/prob_100_5.png,8.484,0,1,You might get one.,0,0,window_5,probably,100,5,1,You'll probably get one.,undefined
might,./stim/images/prob_10_4.png,8.484,0,0.9099999999999999,You might get one.,0,0.09,window_5,probably,10,5,1,You'll probably get one.,undefined
might,./stim/images/prob_75_2.png,8.484,0.73,0,You might get one.,0,0.27000000000000013,window_5,probably,75,5,1,You'll probably get one.,undefined
might,./stim/images/prob_10_4.png,8.484,0,0.8700000000000001,You might get one.,0,0.13,window_5,probably,10,5,1,You'll probably get one.,undefined
might,./stim/images/prob_25_3.png,8.484,0,0.38,You might get one.,0,0.62,window_5,probably,25,5,1,You'll probably get one.,undefined
might,./stim/images/prob_100_3.png,8.484,0,1,You might get one.,0,0,window_5,probably,100,5,1,You'll probably get one.,undefined
might,./stim/images/prob_40_1.png,8.484,0,0.3700000000000001,You might get one.,0,0.6299999999999998,window_5,probably,40,5,1,You'll probably get one.,undefined
might,./stim/images/prob_60_3.png,8.484,0,0.07000000000000006,You might get one.,0,0.93,aisle_5,probably,60,5,1,You'll probably get one.,undefined
might,./stim/images/prob_60_4.png,8.484,0.82,0.07000000000000006,You might get one.,0,0.11,window_5,probably,60,5,1,You'll probably get one.,undefined
might,./stim/images/prob_100_1.png,8.484,0,1,You might get one.,0,0,aisle_5,probably,100,5,1,You'll probably get one.,undefined
might,./stim/images/prob_0_5.png,8.484,0,1,You might get one.,0,0,window_5,probably,0,5,1,You'll probably get one.,undefined
might,./stim/images/prob_90_1.png,8.484,0.84,0,You might get one.,0,0.16,window_5,probably,90,5,1,You'll probably get one.,undefined
might,./stim/images/prob_10_5.png,8.484,0.9199999999999999,0,You might get one.,0,0.08,aisle_5,probably,10,5,1,You'll probably get one.,undefined
might,./stim/images/prob_50_3.png,8.484,0,0,You might get one.,0,1,window_5,probably,50,5,1,You'll probably get one.,undefined
might,./stim/images/prob_75_3.png,8.484,0,0.1299999999999999,You might get one.,0,0.87,aisle_5,probably,75,5,1,You'll probably get one.,undefined
might,./stim/images/prob_90_1.png,8.484,0.97,0,You might get one.,0,0.03,window_5,probably,90,5,1,You'll probably get one.,undefined
might,./stim/images/prob_50_4.png,8.484,0,0,You might get one.,0,1,aisle_5,probably,50,5,1,You'll probably get one.,undefined
might,./stim/images/prob_90_1.png,8.484,0,0.7999999999999999,You might get one.,0,0.2,aisle_5,probably,90,5,1,You'll probably get one.,undefined
might,./stim/images/prob_40_1.png,8.484,0,0.6299999999999999,You might get one.,0,0.37,window_5,probably,40,5,1,You'll probably get one.,undefined
might,./stim/images/prob_25_2.png,8.484,0.7400000000000001,0,You might get one.,0,0.26,aisle_5,probably,25,5,1,You'll probably get one.,undefined
might,./stim/images/prob_0_3.png,8.484,0,1,You might get one.,0,0,window_5,probably,0,5,1,You'll probably get one.,undefined
might,./stim/images/prob_75_2.png,18.311366666666668,0,0,You might get one.,1,1,window_5,probably,75,5,0,You'll probably get one.,undefined
might,./stim/images/prob_100_2.png,18.311366666666668,0,1,You might get one.,1,0,aisle_5,probably,100,5,0,You'll probably get one.,undefined
might,./stim/images/prob_90_4.png,18.311366666666668,1,0,You might get one.,1,0,window_5,probably,90,5,0,You'll probably get one.,undefined
might,./stim/images/prob_40_1.png,18.311366666666668,0,0,You might get one.,1,1,window_5,probably,40,5,0,You'll probably get one.,undefined
might,./stim/images/prob_10_1.png,18.311366666666668,1,0,You might get one.,1,0,aisle_5,probably,10,5,0,You'll probably get one.,undefined
might,./stim/images/prob_10_4.png,18.311366666666668,0,0,You might get one.,1,1,window_5,probably,10,5,0,You'll probably get one.,undefined
might,./stim/images/prob_60_4.png,18.311366666666668,0,0,You might get one.,1,1,aisle_5,probably,60,5,0,You'll probably get one.,undefined
might,./stim/images/prob_90_5.png,18.311366666666668,0,0,You might get one.,1,1,aisle_5,probably,90,5,0,You'll probably get one.,undefined
might,./stim/images/prob_60_5.png,18.311366666666668,0,0,You might get one.,1,1,aisle_5,probably,60,5,0,You'll probably get one.,undefined
might,./stim/images/prob_75_5.png,18.311366666666668,0,0,You might get one.,1,1,aisle_5,probably,75,5,0,You'll probably get one.,undefined
might,./stim/images/prob_10_5.png,18.311366666666668,1,0,You might get one.,1,0,aisle_5,probably,10,5,0,You'll probably get one.,undefined
might,./stim/images/prob_25_1.png,18.311366666666668,0.64,1.1102230246251565e-16,You might get one.,1,0.36,aisle_5,probably,25,5,0,You'll probably get one.,undefined
might,./stim/images/prob_90_2.png,18.311366666666668,0,0,You might get one.,1,1,aisle_5,probably,90,5,0,You'll probably get one.,undefined
might,./stim/images/prob_40_2.png,18.311366666666668,0,0,You might get one.,1,1,aisle_5,probably,40,5,0,You'll probably get one.,undefined
might,./stim/images/prob_50_5.png,18.311366666666668,0,0,You might get one.,1,1,window_5,probably,50,5,0,You'll probably get one.,undefined
might,./stim/images/prob_25_2.png,18.311366666666668,0,0,You might get one.,1,1,window_5,probably,25,5,0,You'll probably get one.,undefined
might,./stim/images/prob_50_4.png,18.311366666666668,0,0,You might get one.,1,1,aisle_5,probably,50,5,0,You'll probably get one.,undefined
might,./stim/images/prob_0_2.png,18.311366666666668,0,1,You might get one.,1,0,aisle_5,probably,0,5,0,You'll probably get one.,undefined
might,./stim/images/prob_10_1.png,18.311366666666668,0,0,You might get one.,1,1,window_5,probably,10,5,0,You'll probably get one.,undefined
might,./stim/images/prob_75_3.png,18.311366666666668,0,0,You might get one.,1,1,aisle_5,probably,75,5,0,You'll probably get one.,undefined
might,./stim/images/prob_25_3.png,18.311366666666668,0,0,You might get one.,1,1,window_5,probably,25,5,0,You'll probably get one.,undefined
might,./stim/images/prob_60_5.png,18.311366666666668,0.08999999999999986,0,You might get one.,1,0.91,window_5,probably,60,5,0,You'll probably get one.,undefined
might,./stim/images/prob_0_5.png,18.311366666666668,0,1,You might get one.,1,0,window_5,probably,0,5,0,You'll probably get one.,undefined
might,./stim/images/prob_40_4.png,18.311366666666668,0,0,You might get one.,1,1,window_5,probably,40,5,0,You'll probably get one.,undefined
might,./stim/images/prob_0_2.png,18.311366666666668,0,1,You might get one.,1,0,window_5,probably,0,5,0,You'll probably get one.,undefined
might,./stim/images/prob_0_2.png,18.311366666666668,0,1,You might get one.,1,0,aisle_5,probably,0,5,0,You'll probably get one.,undefined
might,./stim/images/prob_50_3.png,18.311366666666668,0,0,You might get one.,1,1,aisle_5,probably,50,5,0,You'll probably get one.,undefined
might,./stim/images/prob_100_2.png,18.311366666666668,0,1,You might get one.,1,0,window_5,probably,100,5,0,You'll probably get one.,undefined
might,./stim/images/prob_25_3.png,18.311366666666668,0.3,0,You might get one.,1,0.7,aisle_5,probably,25,5,0,You'll probably get one.,undefined
might,./stim/images/prob_90_2.png,18.311366666666668,1,0,You might get one.,1,0,window_5,probably,90,5,0,You'll probably get one.,undefined
might,./stim/images/prob_40_1.png,18.311366666666668,0,0,You might get one.,1,1,aisle_5,probably,40,5,0,You'll probably get one.,undefined
might,./stim/images/prob_100_3.png,18.311366666666668,0,1,You might get one.,1,0,window_5,probably,100,5,0,You'll probably get one.,undefined
might,./stim/images/prob_100_3.png,18.311366666666668,0,1,You might get one.,1,0,aisle_5,probably,100,5,0,You'll probably get one.,undefined
might,./stim/images/prob_75_5.png,18.311366666666668,0.31000000000000005,0,You might get one.,1,0.69,window_5,probably,75,5,0,You'll probably get one.,undefined
might,./stim/images/prob_60_3.png,18.311366666666668,0,0,You might get one.,1,1,window_5,probably,60,5,0,You'll probably get one.,undefined
might,./stim/images/prob_50_5.png,18.311366666666668,0,0,You might get one.,1,1,window_5,probably,50,5,0,You'll probably get one.,undefined
