order,prob_rating,audio,mood,check1,workerid,catch_trial,text,condtion,modal,seat,check2,request,image
1,0.42,./stim/audio/angry_probably1_s2.mp3,pessimist,./stim/images/prob_100_1.png,0,0,You'll probably get one.,6,probably,a window seat (red),./stim/images/exposure_60_8.png,./stim/text/text-1.png,./stim/images/exposure_60_8.png
1,0.6,./stim/audio/angry_probably2_s2.mp3,pessimist,./stim/images/prob_100_1.png,0,0,You'll probably get one.,6,probably,an aisle seat (blue),./stim/images/exposure_40_8.png,./stim/text/text-2.png,./stim/images/exposure_40_8.png
0,0.7,./stim/audio/angry_probably1_s2.mp3,pessimist,./stim/images/exposure_60_4.png,0,1,You'll probably get one.,6,probably,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_4.png
1,0.7,./stim/audio/angry_probably2_s2.mp3,pessimist,./stim/images/prob_100_1.png,0,1,You'll probably get one.,6,probably,an aisle seat (blue),./stim/images/exposure_40_4.png,./stim/text/text-2.png,./stim/images/exposure_40_4.png
1,1,./stim/audio/angry_bare_s2.mp3,pessimist,./stim/images/exposure_60_3.png,0,0,You'll get one.,6,bare,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
0,0.31,./stim/audio/angry_might1_s2.mp3,pessimist,./stim/images/exposure_25_8.png,0,0,You might get one.,6,might,a window seat (red),./stim/images/exposure_90_8.png,./stim/text/text-1.png,./stim/images/exposure_25_8.png
0,0.57,./stim/audio/angry_probably1_s2.mp3,pessimist,./stim/images/exposure_60_3.png,0,0,You'll probably get one.,6,probably,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_3.png
0,0.26,./stim/audio/angry_might2_s2.mp3,pessimist,./stim/images/exposure_75_3.png,0,0,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_10_3.png,./stim/text/text-2.png,./stim/images/exposure_75_3.png
0,1,./stim/audio/angry_bare_s2.mp3,pessimist,./stim/images/prob_100_1.png,0,0,You'll get one.,6,bare,a window seat (red),./stim/images/exposure_60_8.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
0,0.15,./stim/audio/angry_might1_s2.mp3,pessimist,./stim/images/exposure_25_4.png,0,1,You might get one.,6,might,a window seat (red),./stim/images/exposure_90_4.png,./stim/text/text-1.png,./stim/images/exposure_25_4.png
1,0.2,./stim/audio/angry_might2_s2.mp3,pessimist,./stim/images/exposure_10_4.png,0,1,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_75_4.png,./stim/text/text-2.png,./stim/images/exposure_75_4.png
1,0.23,./stim/audio/angry_might2_s2.mp3,pessimist,./stim/images/exposure_10_8.png,0,0,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_75_8.png,./stim/text/text-2.png,./stim/images/exposure_75_8.png
0,1,./stim/audio/angry_bare_s2.mp3,pessimist,./stim/images/prob_100_1.png,0,1,You'll get one.,6,bare,a window seat (red),./stim/images/exposure_60_4.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
0,0.99,./stim/audio/angry_bare_s2.mp3,pessimist,./stim/images/prob_100_1.png,1,0,You'll get one.,6,bare,a window seat (red),./stim/images/exposure_60_7.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
1,0.51,./stim/audio/angry_probably1_s2.mp3,pessimist,./stim/images/prob_100_1.png,1,0,You'll probably get one.,6,probably,a window seat (red),./stim/images/exposure_60_1.png,./stim/text/text-1.png,./stim/images/exposure_60_1.png
1,0.22,./stim/audio/angry_might2_s2.mp3,pessimist,./stim/images/exposure_10_7.png,1,0,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_75_7.png,./stim/text/text-2.png,./stim/images/exposure_75_7.png
0,0.99,./stim/audio/angry_bare_s2.mp3,pessimist,./stim/images/prob_100_1.png,1,0,You'll get one.,6,bare,a window seat (red),./stim/images/exposure_60_1.png,./stim/text/text-1.png,./stim/images/prob_100_1.png
1,0.2,./stim/audio/angry_might2_s2.mp3,pessimist,./stim/images/exposure_10_8.png,1,1,You might get one.,6,might,an aisle seat (blue),./stim/images/exposure_75_8.png,./stim/text/text-2.png,./stim/images/exposure_75_8.png
0,0.48,./stim/audio/angry_probably1_s2.mp3,pessimist,./stim/images/exposure_60_8.png,1,1,You'll probably get one.,6,probably,a window seat (red),./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_8.png
