order,seat,mood,condtion,audio,modal,text,catch_trial,image,workerid,request,check1,check2,prob_rating
1,a window seat (red),optimist,5,./stim/audio/happy_might1_s2.mp3,might,You might get one.,0,./stim/images/exposure_60_8.png,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/images/exposure_60_8.png,0.78
0,a window seat (red),optimist,5,./stim/audio/happy_bare_s2.mp3,bare,You'll get one.,0,./stim/images/prob_100_1.png,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/images/exposure_60_8.png,1
1,a window seat (red),optimist,5,./stim/audio/happy_might1_s2.mp3,might,You might get one.,1,./stim/images/exposure_60_9.png,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/images/exposure_60_9.png,0.79
0,a window seat (red),optimist,5,./stim/audio/happy_bare_s2.mp3,bare,You'll get one.,0,./stim/images/prob_100_1.png,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/images/exposure_60_10.png,0.98
1,a window seat (red),optimist,5,./stim/audio/happy_probably1_s2.mp3,probably,You'll probably get one.,0,./stim/images/exposure_90_10.png,0,./stim/text/text-1.png,./stim/images/exposure_25_10.png,./stim/images/exposure_90_10.png,1
1,a window seat (red),optimist,5,./stim/audio/happy_probably1_s2.mp3,probably,You'll probably get one.,0,./stim/images/exposure_90_8.png,0,./stim/text/text-1.png,./stim/images/exposure_25_8.png,./stim/images/exposure_90_8.png,0.96
0,an aisle seat (blue),optimist,5,./stim/audio/happy_might2_s2.mp3,might,You might get one.,0,./stim/images/exposure_40_8.png,0,./stim/text/text-2.png,./stim/images/exposure_40_8.png,./stim/images/prob_100_1.png,0.76
0,an aisle seat (blue),optimist,5,./stim/audio/happy_might2_s2.mp3,might,You might get one.,0,./stim/images/exposure_40_10.png,0,./stim/text/text-2.png,./stim/images/exposure_40_10.png,./stim/images/prob_100_1.png,0.78
0,a window seat (red),optimist,5,./stim/audio/happy_probably1_s2.mp3,probably,You'll probably get one.,1,./stim/images/exposure_90_9.png,0,./stim/text/text-1.png,./stim/images/exposure_90_9.png,./stim/images/exposure_25_9.png,0.92
1,a window seat (red),optimist,5,./stim/audio/happy_bare_s2.mp3,bare,You'll get one.,1,./stim/images/prob_100_1.png,0,./stim/text/text-1.png,./stim/images/exposure_60_9.png,./stim/images/prob_100_1.png,1
1,an aisle seat (blue),optimist,5,./stim/audio/happy_probably2_s2.mp3,probably,You'll probably get one.,0,./stim/images/exposure_10_8.png,0,./stim/text/text-2.png,./stim/images/exposure_75_8.png,./stim/images/exposure_10_8.png,0.87
0,an aisle seat (blue),optimist,5,./stim/audio/happy_probably2_s2.mp3,probably,You'll probably get one.,1,./stim/images/exposure_10_9.png,0,./stim/text/text-2.png,./stim/images/exposure_10_9.png,./stim/images/exposure_75_9.png,0.9
0,an aisle seat (blue),optimist,5,./stim/audio/happy_might2_s2.mp3,might,You might get one.,1,./stim/images/exposure_40_9.png,0,./stim/text/text-2.png,./stim/images/exposure_40_9.png,./stim/images/prob_100_1.png,0.66
1,an aisle seat (blue),optimist,5,./stim/audio/happy_might2_s1.mp3,might,You might get one.,0,./stim/images/exposure_40_7.png,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/images/exposure_40_7.png,0.64
0,an aisle seat (blue),optimist,5,./stim/audio/happy_probably2_s1.mp3,probably,You'll probably get one.,1,./stim/images/exposure_10_9.png,1,./stim/text/text-2.png,./stim/images/exposure_10_9.png,./stim/images/exposure_75_9.png,0.92
0,a window seat (red),optimist,5,./stim/audio/happy_probably1_s1.mp3,probably,You'll probably get one.,0,./stim/images/exposure_90_8.png,1,./stim/text/text-1.png,./stim/images/exposure_90_8.png,./stim/images/exposure_25_8.png,0.94
0,a window seat (red),optimist,5,./stim/audio/happy_probably1_s1.mp3,probably,You'll probably get one.,1,./stim/images/exposure_90_9.png,1,./stim/text/text-1.png,./stim/images/exposure_90_9.png,./stim/images/exposure_25_9.png,0.96
0,a window seat (red),optimist,5,./stim/audio/happy_might1_s1.mp3,might,You might get one.,1,./stim/images/exposure_60_9.png,1,./stim/text/text-1.png,./stim/images/exposure_60_9.png,./stim/images/prob_100_1.png,0.57
1,a window seat (red),optimist,5,./stim/audio/happy_bare_s1.mp3,bare,You'll get one.,1,./stim/images/prob_100_1.png,1,./stim/text/text-1.png,./stim/images/exposure_60_9.png,./stim/images/prob_100_1.png,1
0,a window seat (red),optimist,5,./stim/audio/happy_bare_s1.mp3,bare,You'll get one.,0,./stim/images/prob_100_1.png,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/images/exposure_60_8.png,1
0,an aisle seat (blue),optimist,5,./stim/audio/happy_probably2_s1.mp3,probably,You'll probably get one.,0,./stim/images/exposure_10_7.png,1,./stim/text/text-2.png,./stim/images/exposure_10_7.png,./stim/images/exposure_75_7.png,0.91
0,an aisle seat (blue),optimist,5,./stim/audio/happy_might2_s1.mp3,might,You might get one.,0,./stim/images/exposure_40_8.png,1,./stim/text/text-2.png,./stim/images/exposure_40_8.png,./stim/images/prob_100_1.png,0.63
1,a window seat (red),optimist,5,./stim/audio/happy_probably1_s1.mp3,probably,You'll probably get one.,0,./stim/images/exposure_90_7.png,1,./stim/text/text-1.png,./stim/images/exposure_25_7.png,./stim/images/exposure_90_7.png,0.92
0,a window seat (red),optimist,5,./stim/audio/happy_bare_s1.mp3,bare,You'll get one.,0,./stim/images/prob_100_1.png,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/images/exposure_60_7.png,1
1,an aisle seat (blue),optimist,5,./stim/audio/happy_might2_s1.mp3,might,You might get one.,1,./stim/images/exposure_40_9.png,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/images/exposure_40_9.png,0.69
0,a window seat (red),optimist,5,./stim/audio/happy_might1_s1.mp3,might,You might get one.,0,./stim/images/exposure_60_7.png,1,./stim/text/text-1.png,./stim/images/exposure_60_7.png,./stim/images/prob_100_1.png,0.87
