"","response","response_clean"
"1","pretty good","pretty good"
"2","very tart","TASTE-ADJ"
"3","great","great"
"4","too rich","TASTE-ADJ"
"5","not good","not good"
"6","amazing","amazing"
"7","terrible","terrible"
"8","really good","really good"
"9","not great","not great"
"10","awful","awful"
"11","wonderful","wonderful"
"12","good","good"
"13","side","SPAM"
"14","price","SPAM"
"15","up","SPAM"
"16","house","SPAM"
"17","pie","TAUTOLOGY"
"18","length","SPAM"
"19","car","SPAM"
"20","market","SPAM"
"21","hand","SPAM"
"22","friend","SPAM"
"23","store","SPAM"
"24","nasty","TASTE-ADJ"
"25","gross","TASTE-ADJ"
"26","average","average"
"27","horrible","horrible"
"28","ok","okay"
"29","delicious","TASTE-ADJ"
"30","the best","the best"
"31","very average","very average"
"32","the worst","the worst"
"33","very good","very good"
"34","perfection","perfection"
"35","nearly perfect","nearly perfect"
"36","really bad","really bad"
"37","underwhelming","underwhelming"
"38","okay.","okay"
"39","disappointing","disappointing"
"40","decent","decent"
"41","not stellar","not stellar"
"42","kinda dry","TASTE-ADJ"
"43","exquisite","exquisite"
"44","horrendous","horrendous"
"45","nice","nice"
"46","sweet","TASTE-ADJ"
"47","disgusting","TASTE-ADJ"
"48","bitter","TASTE-ADJ"
"49","quality","SPAM"
"50","tasty","TASTE-ADJ"
"51","Good","good"
"52","Not bad","not bad"
"53","Very bad","very bad"
"54","Bad","bad"
"55","Terrible","terrible"
"56","Very good","very good"
"57","bad","bad"
"58","Nice","nice"
"59","Amazing","amazing"
"60","absolutely horrible","absolutely horrible"
"61","dry","TASTE-ADJ"
"62","abysmal","abysmal"
"63","absolutely perfect","absolutely perfect"
"64","pretty bad","pretty bad"
"65","insanely good","insanely good"
"66","alright","alright"
"67","pretty tasty","TASTE-ADJ"
"68","satisfying decent","decent"
"69","exceptional","exceptional"
"70","sold out","sold out"
"71","lackluster","lackluster"
"72","bland","TASTE-ADJ"
"73","bit disappointing","bit disappointing"
"74","fantastic","fantastic"
"75","superb","superb"
"76","gone","other"
"77","awesome","awesome"
"78","beyond bad","beyond bad"
"79","absolutely delicious","TASTE-ADJ"
"80","so-so","so-so"
"81","not bad","not bad"
"82","rotten","TASTE-ADJ"
"83","definitely foul","TASTE-ADJ"
"84","above average","above average"
"85","badly done","badly done"
"86","pretty lame","pretty lame"
"87","okay","okay"
"88","actually tasty","TASTE-ADJ"
"89","incredible","incredible"
"90","just okay","just okay"
"91","stale","TASTE-ADJ"
"92","old","old"
"93","odd","odd"
"94","not horrible","not horrible"
"95","really tasty","TASTE-ADJ"
"96","smaller","smaller"
"97","aweson delicious","awesome"
"98","rough","TASTE-ADJ"
"99","super","superb"
"100","yummy","TASTE-ADJ"
"101","so good","so good"
"102","good enough","good enough"
"103","very nice","very nice"
"104","very bad","very bad"
"105","pretty awesome","pretty awesome"
"106","fairly great","fairly great"
"107","super bad","super bad"
"108","poor","poor"
"109","so awful","so awful"
"110","fairly average","fairly average"
"111","very soggy","TASTE-ADJ"
"112","very dense","TASTE-ADJ"
"113","sub par","sub par"
"114","lacking cinnamon","DESCRIPTION"
"115","very tasty","TASTE-ADJ"
"116","lacking chocolate","DESCRIPTION"
"117","very sweet","TASTE-ADJ"
"118","finely made","finely made"
"119","absolutely superb","absolutely superb"
"120","absolutely dynamite","absolutely dynamite"
"121","very flat","TASTE-ADJ"
"122","just ok","just okay"
"123","very sour","TASTE-ADJ"
"124","just awful","just awful"
"125","very bland","TASTE-ADJ"
"126","just great","just great"
"127","very dry","TASTE-ADJ"
"128","just right","just right"
"129","superlative","superlative"
"130","inedible","TASTE-ADJ"
"131","nothing special","nothing special"
"132","Decently made","decently made"
"133","Not flavorful","TASTE-ADJ"
"134","Exceptionally good","exceptionally good"
"135","Not good","not good"
"136","Mediocre quality","mediocre quality"
"137","Pretty good","pretty good"
"138","Badly made","badly made"
"139","Moderately good","moderately good"
"140","pretty awful","pretty awful"
"141","absolutely terrible","absolutely terrible"
"142","completely unedible","TASTE-ADJ"
"143","completely inedible","TASTE-ADJ"
"144","phenomenal","phenomenal"
"145","excellent","excellent"
"146","outstanding","outstanding"
"147","below average","below average"
"148","really average","really average"
"149","was ok","okay"
"150","terribel","terrible"
"151","awfulo","awful"
"152","visually appealing","visually appealing"
"153","exquisitely prepared","exquisitely prepared"
"154","not fresh","TASTE-ADJ"
"155","visually unappealing","visually unappealing"
"156","overall tasty","TASTE-ADJ"
"157","generic","generic"
"158","unimpressive","unimpressive"
"159","freshly baked","DESCRIPTION"
"160","too dry","TASTE-ADJ"
"161","unappetizing","TASTE-ADJ"
"162","quite good","quite good"
"163","presented well","DESCRIPTION"
"164","sour","TASTE-ADJ"
"165","yucky","TASTE-ADJ"
"166","tasteless","TASTE-ADJ"
"167","fair","fair"
"168","yurk","TASTE-ADJ"
"169","satisfying","satisfying"
"170","gooey","TASTE-ADJ"
"171","filling","DESCRIPTION"
"172","beyond terrible","beyond terrible"
"173","subpar","sub par"
"174","mediocre","mediocre"
"175","almost perfect","almost perfect"
"176","black","DESCRIPTION"
"177","perfect","perfect"
"178","manageable","manageable"
"179","worse","worse"
"180","sad","sad"
"181","ho hum","ho-hum"
"182","accommodating","accommodating"
"183","basic","basic"
"184","tastie","TASTE-ADJ"
"185","sweat","TASTE-ADJ"
"186","affective tasting","TASTE-ADJ"
"187","delightful","delightful"
"188","unacceptable","unacceptable"
"189","sickening","TASTE-ADJ"
"190","pretty delicious","TASTE-ADJ"
"191","very chocolatey","DESCRIPTION"
"192","absolutely awful","absolutely awful"
"193","very delicious","TASTE-ADJ"
"194","very buttery.","DESCRIPTION"
"195","just average","just average"
"196","absolutely disgusting.","TASTE-ADJ"
"197","absolutely perfect.","absolutely perfect"
"198","very disappointing.","very disappointing"
"199","absolutely delicious.","TASTE-ADJ"
"200","flat","TASTE-ADJ"
"201","pretty okay","pretty okay"
"202","perfectly crisp","TASTE-ADJ"
"203","very undercooked","DESCRIPTION"
"204","moist","TASTE-ADJ"
"205","delectable","TASTE-ADJ"
"206","lacking pecans","DESCRIPTION"
"207","velvet goodness","other"
"208","old tasting","TASTE-ADJ"
