version,adjective,condition,trial,rating,Answer.time_in_minutes,trial_type,workerid,text,sentence,Answer.condition,response
m,terrible,neutral,-1,4,2.5892333333333335,practice,0,,... terrible.,condition 2,0
m,bad,neutral,-1,4,2.5892333333333335,practice,0,,... bad.,condition 2,0.45000000000000007
m,okay,neutral,-1,4,2.5892333333333335,practice,0,,... okay.,condition 2,0.2699999999999998
m,good,neutral,-1,4,2.5892333333333335,practice,0,,... good.,condition 2,0.28
m,amazing,neutral,-1,4,2.5892333333333335,practice,0,,... amazing.,condition 2,0
m,other,neutral,-1,4,2.5892333333333335,practice,0,,,condition 2,0
m,terrible,neutral,1,2,2.5892333333333335,trial,0,The carrot cake was ,... terrible.,condition 2,0.48
m,bad,neutral,1,2,2.5892333333333335,trial,0,The carrot cake was ,... bad.,condition 2,0.32
m,okay,neutral,1,2,2.5892333333333335,trial,0,The carrot cake was ,... okay.,condition 2,0
m,good,neutral,1,2,2.5892333333333335,trial,0,The carrot cake was ,... good.,condition 2,0
m,amazing,neutral,1,2,2.5892333333333335,trial,0,The carrot cake was ,... amazing.,condition 2,0
m,other,neutral,1,2,2.5892333333333335,trial,0,The carrot cake was ,,condition 2,0.19999999999999996
m,terrible,neutral,2,6,2.5892333333333335,trial,0,The apple pie was ,... terrible.,condition 2,0
m,bad,neutral,2,6,2.5892333333333335,trial,0,The apple pie was ,... bad.,condition 2,0
m,okay,neutral,2,6,2.5892333333333335,trial,0,The apple pie was ,... okay.,condition 2,0
m,good,neutral,2,6,2.5892333333333335,trial,0,The apple pie was ,... good.,condition 2,0.050000000000000044
m,amazing,neutral,2,6,2.5892333333333335,trial,0,The apple pie was ,... amazing.,condition 2,0.95
m,other,neutral,2,6,2.5892333333333335,trial,0,The apple pie was ,,condition 2,0
m,terrible,neutral,3,5,2.5892333333333335,trial,0,The bear claw was ,... terrible.,condition 2,0
m,bad,neutral,3,5,2.5892333333333335,trial,0,The bear claw was ,... bad.,condition 2,0
m,okay,neutral,3,5,2.5892333333333335,trial,0,The bear claw was ,... okay.,condition 2,0.71
m,good,neutral,3,5,2.5892333333333335,trial,0,The bear claw was ,... good.,condition 2,0.29
m,amazing,neutral,3,5,2.5892333333333335,trial,0,The bear claw was ,... amazing.,condition 2,0
m,other,neutral,3,5,2.5892333333333335,trial,0,The bear claw was ,,condition 2,0
m,terrible,neutral,4,3,2.5892333333333335,trial,0,The blueberry lavender scone was ,... terrible.,condition 2,0
m,bad,neutral,4,3,2.5892333333333335,trial,0,The blueberry lavender scone was ,... bad.,condition 2,0.56
m,okay,neutral,4,3,2.5892333333333335,trial,0,The blueberry lavender scone was ,... okay.,condition 2,0.43999999999999995
m,good,neutral,4,3,2.5892333333333335,trial,0,The blueberry lavender scone was ,... good.,condition 2,0
m,amazing,neutral,4,3,2.5892333333333335,trial,0,The blueberry lavender scone was ,... amazing.,condition 2,0
m,other,neutral,4,3,2.5892333333333335,trial,0,The blueberry lavender scone was ,,condition 2,0
m,terrible,neutral,5,5,2.5892333333333335,trial,0,The cheesecake was ,... terrible.,condition 2,0
m,bad,neutral,5,5,2.5892333333333335,trial,0,The cheesecake was ,... bad.,condition 2,0
m,okay,neutral,5,5,2.5892333333333335,trial,0,The cheesecake was ,... okay.,condition 2,0.7599999999999998
m,good,neutral,5,5,2.5892333333333335,trial,0,The cheesecake was ,... good.,condition 2,0.2400000000000001
m,amazing,neutral,5,5,2.5892333333333335,trial,0,The cheesecake was ,... amazing.,condition 2,0
m,other,neutral,5,5,2.5892333333333335,trial,0,The cheesecake was ,,condition 2,0
m,terrible,neutral,6,1,2.5892333333333335,trial,0,The croissants were ,... terrible.,condition 2,0.95
m,bad,neutral,6,1,2.5892333333333335,trial,0,The croissants were ,... bad.,condition 2,0.050000000000000044
m,okay,neutral,6,1,2.5892333333333335,trial,0,The croissants were ,... okay.,condition 2,0
