trial_type,rating,adjective,sentence,Answer.time_in_minutes,trial,workerid,condition,response,Answer.condition,text,version
practice,4,terrible,... terrible.,3.045916666666667,-1,0,enemy,0,condition 1,,f
practice,4,bad,... bad.,3.045916666666667,-1,0,enemy,0,condition 1,,f
practice,4,okay,... okay.,3.045916666666667,-1,0,enemy,0.24,condition 1,,f
practice,4,good,... good.,3.045916666666667,-1,0,enemy,0.76,condition 1,,f
practice,4,amazing,... amazing.,3.045916666666667,-1,0,enemy,0,condition 1,,f
practice,4,other,,3.045916666666667,-1,0,enemy,0,condition 1,,f
trial,1,terrible,... terrible.,3.045916666666667,1,0,enemy,1,condition 1,The lemon loaf was ,f
trial,1,bad,... bad.,3.045916666666667,1,0,enemy,0,condition 1,The lemon loaf was ,f
trial,1,okay,... okay.,3.045916666666667,1,0,enemy,0,condition 1,The lemon loaf was ,f
trial,1,good,... good.,3.045916666666667,1,0,enemy,0,condition 1,The lemon loaf was ,f
trial,1,amazing,... amazing.,3.045916666666667,1,0,enemy,0,condition 1,The lemon loaf was ,f
trial,1,other,,3.045916666666667,1,0,enemy,0,condition 1,The lemon loaf was ,f
trial,5,terrible,... terrible.,3.045916666666667,2,0,enemy,0,condition 1,The croissants were ,f
trial,5,bad,... bad.,3.045916666666667,2,0,enemy,0,condition 1,The croissants were ,f
trial,5,okay,... okay.,3.045916666666667,2,0,enemy,0,condition 1,The croissants were ,f
trial,5,good,... good.,3.045916666666667,2,0,enemy,0.76,condition 1,The croissants were ,f
trial,5,amazing,... amazing.,3.045916666666667,2,0,enemy,0.2400000000000001,condition 1,The croissants were ,f
trial,5,other,,3.045916666666667,2,0,enemy,0,condition 1,The croissants were ,f
trial,2,terrible,... terrible.,3.045916666666667,3,0,enemy,0,condition 1,The carrot cake was ,f
trial,2,bad,... bad.,3.045916666666667,3,0,enemy,1,condition 1,The carrot cake was ,f
trial,2,okay,... okay.,3.045916666666667,3,0,enemy,0,condition 1,The carrot cake was ,f
trial,2,good,... good.,3.045916666666667,3,0,enemy,0,condition 1,The carrot cake was ,f
trial,2,amazing,... amazing.,3.045916666666667,3,0,enemy,0,condition 1,The carrot cake was ,f
trial,2,other,,3.045916666666667,3,0,enemy,0,condition 1,The carrot cake was ,f
trial,2,terrible,... terrible.,3.045916666666667,4,0,enemy,0,condition 1,The bear claw was ,f
trial,2,bad,... bad.,3.045916666666667,4,0,enemy,0.89,condition 1,The bear claw was ,f
trial,2,okay,... okay.,3.045916666666667,4,0,enemy,0.1100000000000001,condition 1,The bear claw was ,f
trial,2,good,... good.,3.045916666666667,4,0,enemy,0,condition 1,The bear claw was ,f
trial,2,amazing,... amazing.,3.045916666666667,4,0,enemy,0,condition 1,The bear claw was ,f
trial,2,other,,3.045916666666667,4,0,enemy,0,condition 1,The bear claw was ,f
trial,6,terrible,... terrible.,3.045916666666667,5,0,enemy,0,condition 1,The pecan pie was ,f
trial,6,bad,... bad.,3.045916666666667,5,0,enemy,0,condition 1,The pecan pie was ,f
trial,6,okay,... okay.,3.045916666666667,5,0,enemy,0,condition 1,The pecan pie was ,f
trial,6,good,... good.,3.045916666666667,5,0,enemy,0,condition 1,The pecan pie was ,f
trial,6,amazing,... amazing.,3.045916666666667,5,0,enemy,1,condition 1,The pecan pie was ,f
trial,6,other,,3.045916666666667,5,0,enemy,0,condition 1,The pecan pie was ,f
trial,6,terrible,... terrible.,3.045916666666667,6,0,enemy,0,condition 1,The red velvet cake was ,f
trial,6,bad,... bad.,3.045916666666667,6,0,enemy,0,condition 1,The red velvet cake was ,f
trial,6,okay,... okay.,3.045916666666667,6,0,enemy,0,condition 1,The red velvet cake was ,f
trial,6,good,... good.,3.045916666666667,6,0,enemy,0,condition 1,The red velvet cake was ,f
trial,6,amazing,... amazing.,3.045916666666667,6,0,enemy,1,condition 1,The red velvet cake was ,f
trial,6,other,,3.045916666666667,6,0,enemy,0,condition 1,The red velvet cake was ,f
trial,3,terrible,... terrible.,3.045916666666667,7,0,enemy,0,condition 1,The chocolate chip cookies were ,f
trial,3,bad,... bad.,3.045916666666667,7,0,enemy,0,condition 1,The chocolate chip cookies were ,f
