modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.024777146666666663,0
probably,0,might-probably,0.024777146666666663,0
other,0,might-probably,0.9504457066666666,0
might,5,might-probably,0.1801216174877095,0
probably,5,might-probably,0.07175073619412284,0
other,5,might-probably,0.7481276463181676,0
might,10,might-probably,0.4021112075239387,0
probably,10,might-probably,0.12660477550326074,0
other,10,might-probably,0.47128401697280053,0
might,15,might-probably,0.5319899381402805,0
probably,15,might-probably,0.16101841963231672,0
other,15,might-probably,0.30699164222740283,0
might,20,might-probably,0.5916956544366802,0
probably,20,might-probably,0.18620735587688866,0
other,20,might-probably,0.22209698968643105,0
might,25,might-probably,0.6138545385752774,0
probably,25,might-probably,0.21035128205060685,0
other,25,might-probably,0.17579417937411562,0
might,30,might-probably,0.6149456250952018,0
probably,30,might-probably,0.23669763115552073,0
other,30,might-probably,0.14835674374927743,0
might,35,might-probably,0.6028778654715229,0
probably,35,might-probably,0.2663771776790079,0
other,35,might-probably,0.1307449568494691,0
might,40,might-probably,0.5818564051387833,0
probably,40,might-probably,0.29959195968285846,0
other,40,might-probably,0.11855163517835822,0
might,45,might-probably,0.5544929918729258,0
probably,45,might-probably,0.3360378664859748,0
other,45,might-probably,0.10946914164109929,0
might,50,might-probably,0.5226845958828557,0
probably,50,might-probably,0.3750896609816944,0
other,50,might-probably,0.1022257431354498,0
might,55,might-probably,0.48795823573947583,0
probably,55,might-probably,0.41593124766562695,0
other,55,might-probably,0.09611051659489728,0
might,60,might-probably,0.45157636421145664,0
probably,60,might-probably,0.4576795377026862,0
other,60,might-probably,0.09074409808585712,0
might,65,might-probably,0.4145407272568429,0
probably,65,might-probably,0.49949905706776965,0
other,65,might-probably,0.08596021567538745,0
might,70,might-probably,0.37756514768233396,0
probably,70,might-probably,0.5406880029562716,0
other,70,might-probably,0.08174684936139433,0
might,75,might-probably,0.34104875512173827,0
probably,75,might-probably,0.5807147574227417,0
other,75,might-probably,0.07823648745552006,0
might,80,might-probably,0.3050528879042939,0
probably,80,might-probably,0.6191764675658361,0
other,80,might-probably,0.07577064452986987,0
might,85,might-probably,0.2692634264812196,0
probably,85,might-probably,0.6555907159586616,0
other,85,might-probably,0.07514585756011878,0
might,90,might-probably,0.23291158803971504,0
probably,90,might-probably,0.6886108291369502,0
other,90,might-probably,0.07847758282333465,0
might,95,might-probably,0.19474974486198213,0
probably,95,might-probably,0.7122389926781013,0
other,95,might-probably,0.09301126245991642,0
might,100,might-probably,0.1196055299105697,0
probably,100,might-probably,0.4377287247221807,0
other,100,might-probably,0.44266574536724956,0
might,0,might-probably,0.024777146666666663,1
probably,0,might-probably,0.024777146666666663,1
other,0,might-probably,0.9504457066666666,1
might,5,might-probably,0.18085452407249164,1
probably,5,might-probably,0.07593897191183376,1
other,5,might-probably,0.7432065040156745,1
might,10,might-probably,0.39217752586922183,1
probably,10,might-probably,0.13305306676193765,1
other,10,might-probably,0.47476940736884066,1
might,15,might-probably,0.5178703731395137,1
probably,15,might-probably,0.16885333264190502,1
other,15,might-probably,0.3132762942185813,1
might,20,might-probably,0.5780890446947884,1
probably,20,might-probably,0.1944032259086918,1
other,20,might-probably,0.2275077293965198,1
might,25,might-probably,0.6023944215916234,1
probably,25,might-probably,0.21795842451228045,1
other,25,might-probably,0.17964715389609617,1
might,30,might-probably,0.6062099235294478,1
probably,30,might-probably,0.24297621751696657,1
other,30,might-probably,0.15081385895358557,1
might,35,might-probably,0.597095855308371,1
probably,35,might-probably,0.27078202082629577,1
other,35,might-probably,0.13212212386533323,1
might,40,might-probably,0.5790740744201719,1
probably,40,might-probably,0.30177023950087356,1
other,40,might-probably,0.11915568607895442,1
might,45,might-probably,0.5545904712339506,1
probably,45,might-probably,0.3358446468926095,1
other,45,might-probably,0.10956488187343981,1
might,50,might-probably,0.5253737964456813,1
probably,50,might-probably,0.37259679971149895,1
other,50,might-probably,0.10202940384281964,1
might,55,might-probably,0.49280119397910827,1
probably,55,might-probably,0.4114114474650714,1
other,55,might-probably,0.09578735855582024,1
might,60,might-probably,0.45803014431181355,1
probably,60,might-probably,0.4515616828458068,1
other,60,might-probably,0.09040817284237959,1
might,65,might-probably,0.42201695409577866,1
probably,65,might-probably,0.49230513279388133,1
other,65,might-probably,0.08567791311034005,1
might,70,might-probably,0.3854853071074239,1
probably,70,might-probably,0.5329697860951096,1
other,70,might-probably,0.0815449067974664,1
might,75,might-probably,0.34887881263940856,1
probably,75,might-probably,0.5730074966992094,1
other,75,might-probably,0.07811369066138188,1
might,80,might-probably,0.3123084653442393,1
probably,80,might-probably,0.611979004466109,1
other,80,might-probably,0.07571253018965154,1
might,85,might-probably,0.27548363363437733,1
probably,85,might-probably,0.6493705719631255,1
other,85,might-probably,0.07514579440249722,1
might,90,might-probably,0.23759967927552283,1
probably,90,might-probably,0.6838117732348574,1
other,90,might-probably,0.07858854748961966,1
might,95,might-probably,0.197263927998756,1
probably,95,might-probably,0.7091087682984701,1
other,95,might-probably,0.09362730370277397,1
might,100,might-probably,0.11964206533581567,1
probably,100,might-probably,0.43694998213138647,1
other,100,might-probably,0.44340795253279774,1
might,0,might-probably,0.024777146666666663,2
probably,0,might-probably,0.024777146666666663,2
other,0,might-probably,0.9504457066666666,2
might,5,might-probably,0.18494861141385724,2
probably,5,might-probably,0.07579375067979703,2
other,5,might-probably,0.7392576379063457,2
might,10,might-probably,0.40601760597463965,2
probably,10,might-probably,0.13101274039652008,2
other,10,might-probably,0.46296965362884035,2
might,15,might-probably,0.5329778382244765,2
probably,15,might-probably,0.1643745690049716,2
other,15,might-probably,0.30264759277055187,2
might,20,might-probably,0.5910250527897387,2
probably,20,might-probably,0.18872944551595222,2
other,20,might-probably,0.22024550169430898,2
might,25,might-probably,0.612422147258629,2
probably,25,might-probably,0.21230122173015992,2
other,25,might-probably,0.17527663101121108,2
might,30,might-probably,0.613219143230317,2
probably,30,might-probably,0.23821360349681264,2
other,30,might-probably,0.1485672532728704,2
might,35,might-probably,0.601123498970595,2
probably,35,might-probably,0.26751118267766805,2
other,35,might-probably,0.13136531835173693,2
might,40,might-probably,0.5802520759738591,2
probably,40,might-probably,0.3003485383012451,2
other,40,might-probably,0.11939938572489586,2
might,45,might-probably,0.5531687964652635,2
probably,45,might-probably,0.33640431843785357,2
other,45,might-probably,0.11042688509688282,2
might,50,might-probably,0.5217296679018184,2
probably,50,might-probably,0.3750623345341866,2
other,50,might-probably,0.10320799756399497,2
might,55,might-probably,0.48741445878352385,2
probably,55,might-probably,0.4155388367390671,2
other,55,might-probably,0.09704670447740907,2
might,60,might-probably,0.4514303642403581,2
probably,60,might-probably,0.45700173569841696,2
other,60,might-probably,0.09156790006122484,2
might,65,might-probably,0.4147204264816028,2
probably,65,might-probably,0.4986792830757585,2
other,65,might-probably,0.08660029044263884,2
might,70,might-probably,0.3779429250217482,2
probably,70,might-probably,0.5399419573499885,2
other,70,might-probably,0.08211511762826319,2
might,75,might-probably,0.3414497464700479,2
probably,75,might-probably,0.5803419789015812,2
other,75,might-probably,0.07820827462837085,2
might,80,might-probably,0.3052647017991751,2
probably,80,might-probably,0.619592267087743,2
other,80,might-probably,0.07514303111308196,2
might,85,might-probably,0.26904249379772976,2
probably,85,might-probably,0.6574248186298459,2
other,85,might-probably,0.07353268757242429,2
might,90,might-probably,0.23198069376475938,2
probably,90,might-probably,0.6930378604409836,2
other,90,might-probably,0.07498144579425696,2
might,95,might-probably,0.19278954280742894,2
probably,95,might-probably,0.7224085827602132,2
other,95,might-probably,0.08480187443235782,2
might,100,might-probably,0.1164314715280827,2
probably,100,might-probably,0.43712673055324913,2
other,100,might-probably,0.4464417979186682,2
might,0,might-probably,0.024777146666666663,3
probably,0,might-probably,0.024777146666666663,3
other,0,might-probably,0.9504457066666666,3
might,5,might-probably,0.16849390680403176,3
probably,5,might-probably,0.08336326363723354,3
other,5,might-probably,0.7481428295587347,3
might,10,might-probably,0.38892616636364186,3
probably,10,might-probably,0.14324221259754058,3
other,10,might-probably,0.4678316210388176,3
might,15,might-probably,0.5204389575380771,3
probably,15,might-probably,0.17635152191236148,3
other,15,might-probably,0.30320952054956135,3
might,20,might-probably,0.5812231375205688,3
probably,20,might-probably,0.1991766913944037,3
other,20,might-probably,0.21960017108502755,3
might,25,might-probably,0.603879068795984,3
probably,25,might-probably,0.2214329910123853,3
other,25,might-probably,0.17468794019163064,3
might,30,might-probably,0.6051458200182828,3
probably,30,might-probably,0.2464533610348545,3
other,30,might-probably,0.1484008189468628,3
might,35,might-probably,0.5931692513202829,3
probably,35,might-probably,0.2751590801771112,3
other,35,might-probably,0.13167166850260578,3
might,40,might-probably,0.5723644354864973,3
probably,40,might-probably,0.3075133581982298,3
other,40,might-probably,0.1201222063152729,3
might,45,might-probably,0.5455144323588441,3
probably,45,might-probably,0.3430079006379426,3
other,45,might-probably,0.11147766700321333,3
might,50,might-probably,0.5146251369568727,3
probably,50,might-probably,0.380878289193318,3
other,50,might-probably,0.1044965738498094,3
might,55,might-probably,0.4812503625844574,3
probably,55,might-probably,0.42025505779180206,3
other,55,might-probably,0.09849457962374052,3
might,60,might-probably,0.44659462580483034,3
probably,60,might-probably,0.4602937096099273,3
other,60,might-probably,0.09311166458524225,3
might,65,might-probably,0.4115350797414117,3
probably,65,might-probably,0.5002776432070024,3
other,65,might-probably,0.08818727705158581,3
might,70,might-probably,0.3766261063973303,3
probably,70,might-probably,0.539681716417114,3
other,70,might-probably,0.08369217718555556,3
might,75,might-probably,0.34210557788084783,3
probably,75,might-probably,0.5781920059072914,3
other,75,might-probably,0.07970241621186057,3
might,80,might-probably,0.3078946270628222,3
probably,80,might-probably,0.6156798606039476,3
other,80,might-probably,0.07642551233323018,3
might,85,might-probably,0.2735660440188953,3
probably,85,might-probably,0.6521003448866164,3
other,85,might-probably,0.07433361109448834,3
might,90,might-probably,0.23825064198385368,3
probably,90,might-probably,0.6871352819861127,3
other,90,might-probably,0.07461407603003364,3
might,95,might-probably,0.2005828086240753,3
probably,95,might-probably,0.7185917428217009,3
other,95,might-probably,0.08082544855422363,3
might,100,might-probably,0.1194039479953819,3
probably,100,might-probably,0.4202352470978802,3
other,100,might-probably,0.46036080490673803,3
might,0,might-probably,0.024777146666666663,4
probably,0,might-probably,0.024777146666666663,4
other,0,might-probably,0.9504457066666666,4
might,5,might-probably,0.1863010989923211,4
probably,5,might-probably,0.07753638403290686,4
other,5,might-probably,0.7361625169747721,4
might,10,might-probably,0.40049754901533485,4
probably,10,might-probably,0.13423045264929456,4
other,10,might-probably,0.4652719983353705,4
might,15,might-probably,0.5240724293394354,4
probably,15,might-probably,0.16907973743341226,4
other,15,might-probably,0.30684783322715226,4
might,20,might-probably,0.5815640570923205,4
probably,20,might-probably,0.19440156839958417,4
other,20,might-probably,0.22403437450809524,4
might,25,might-probably,0.6034603157280944,4
probably,25,might-probably,0.21836250942929164,4
other,25,might-probably,0.1781771748426139,4
might,30,might-probably,0.6051744607023619,4
probably,30,might-probably,0.24418986648016877,4
other,30,might-probably,0.1506356728174693,4
might,35,might-probably,0.5942075904914937,4
probably,35,might-probably,0.27302447384022066,4
other,35,might-probably,0.13276793566828543,4
might,40,might-probably,0.5745873520933777,4
probably,40,might-probably,0.30510335297423996,4
other,40,might-probably,0.12030929493238211,4
might,45,might-probably,0.5488134419432984,4
probably,45,might-probably,0.3401849857973034,4
other,45,might-probably,0.11100157225939815,4
might,50,might-probably,0.5186836353232892,4
probably,50,might-probably,0.37773174320699376,4
other,50,might-probably,0.103584621469717,4
might,55,might-probably,0.48562946688409625,4
probably,55,might-probably,0.41702975472220494,4
other,55,might-probably,0.09734077839369878,4
might,60,might-probably,0.45082780405610356,4
probably,60,might-probably,0.45729846378711125,4
other,60,might-probably,0.09187373215678517,4
might,65,might-probably,0.415212532303455,4
probably,65,might-probably,0.4977931831777298,4
other,65,might-probably,0.08699428451881516,4
might,70,might-probably,0.3794501190886822,4
probably,70,might-probably,0.5378865313724018,4
other,70,might-probably,0.0826633495389159,4
might,75,might-probably,0.34390889015138637,4
probably,75,might-probably,0.5771104481403418,4
other,75,might-probably,0.07898066170827175,4
might,80,might-probably,0.30862654213127627,4
probably,80,might-probably,0.6151324393804176,4
other,80,might-probably,0.07624101848830601,4
might,85,might-probably,0.27325902154127013,4
probably,85,might-probably,0.6515861515324028,4
other,85,might-probably,0.07515482692632686,4
might,90,might-probably,0.23698197596633655,4
probably,90,might-probably,0.6853915263632083,4
other,90,might-probably,0.0776264976704551,4
might,95,might-probably,0.198439942131645,4
probably,95,might-probably,0.7113884259631568,4
other,95,might-probably,0.09017163190519821,4
might,100,might-probably,0.11983466453760261,4
probably,100,might-probably,0.428133748838498,4
other,100,might-probably,0.4520315866238993,4
might,0,might-probably,0.024777146666666663,5
probably,0,might-probably,0.024777146666666663,5
other,0,might-probably,0.9504457066666666,5
might,5,might-probably,0.17129008616356245,5
probably,5,might-probably,0.08034706819321652,5
other,5,might-probably,0.7483628456432211,5
might,10,might-probably,0.38611278037820185,5
probably,10,might-probably,0.14060145624351228,5
other,10,might-probably,0.473285763378286,5
might,15,might-probably,0.5157696048242284,5
probably,15,might-probably,0.1759796259543325,5
other,15,might-probably,0.3082507692214391,5
might,20,might-probably,0.5775174964151345,5
probably,20,might-probably,0.20019917343077767,5
other,20,might-probably,0.22228333015408785,5
might,25,might-probably,0.6021234122588962,5
probably,25,might-probably,0.22267097124490703,5
other,25,might-probably,0.17520561649619673,5
might,30,might-probably,0.6056854321170988,5
probably,30,might-probably,0.2470313889785621,5
other,30,might-probably,0.14728317890433906,5
might,35,might-probably,0.5960674410484946,5
probably,35,might-probably,0.2745294695536211,5
other,35,might-probably,0.12940308939788422,5
might,40,might-probably,0.5774681989297491,5
probably,40,might-probably,0.30542702007773326,5
other,40,might-probably,0.11710478099251741,5
might,45,might-probably,0.5524698832097673,5
probably,45,might-probably,0.3394861629136582,5
other,45,might-probably,0.10804395387657431,5
might,50,might-probably,0.5229145920007885,5
probably,50,might-probably,0.3761664131118294,5
other,50,might-probably,0.10091899488738196,5
might,55,might-probably,0.4902628812265659,5
probably,55,might-probably,0.41474680465873437,5
other,55,might-probably,0.0949903141146996,5
might,60,might-probably,0.4557143141613814,5
probably,60,might-probably,0.4544358903954575,5
other,60,might-probably,0.08984979544316105,5
might,65,might-probably,0.4202211572364013,5
probably,65,might-probably,0.4944753225495858,5
other,65,might-probably,0.08530352021401291,5
might,70,might-probably,0.3844629867424688,5
probably,70,might-probably,0.5342222793326398,5
other,70,might-probably,0.08131473392489137,5
might,75,might-probably,0.3488142447059095,5
probably,75,might-probably,0.5731906956197281,5
other,75,might-probably,0.07799505967436228,5
might,80,might-probably,0.3133097803405034,5
probably,80,might-probably,0.6110220373673155,5
other,80,might-probably,0.07566818229218096,5
might,85,might-probably,0.27759022233350816,5
probably,85,might-probably,0.6472974545586918,5
other,85,might-probably,0.07511232310779987,5
might,90,might-probably,0.24079437262375658,5
probably,90,might-probably,0.6807898567153015,5
other,90,might-probably,0.07841577066094198,5
might,95,might-probably,0.2014776066165906,5
probably,95,might-probably,0.7057383621074744,5
other,95,might-probably,0.09278403127593494,5
might,100,might-probably,0.12161754283503692,5
probably,100,might-probably,0.4280899619399793,5
other,100,might-probably,0.4502924952249837,5
might,0,might-probably,0.024777146666666663,6
probably,0,might-probably,0.024777146666666663,6
other,0,might-probably,0.9504457066666666,6
might,5,might-probably,0.1725021133514669,6
probably,5,might-probably,0.07666844395431596,6
other,5,might-probably,0.7508294426942171,6
might,10,might-probably,0.3950282172452031,6
probably,10,might-probably,0.1350290071248734,6
other,10,might-probably,0.4699427756299235,6
might,15,might-probably,0.5276688878384502,6
probably,15,might-probably,0.16939546372442366,6
other,15,might-probably,0.30293564843712606,6
might,20,might-probably,0.5893094432777498,6
probably,20,might-probably,0.1932707567607841,6
other,20,might-probably,0.21741979996146607,6
might,25,might-probably,0.6128443411656596,6
probably,25,might-probably,0.21591352113981707,6
other,25,might-probably,0.17124213769452337,6
might,30,might-probably,0.615042401965507,6
probably,30,might-probably,0.24082469023202366,6
other,30,might-probably,0.14413290780246948,6
might,35,might-probably,0.6039427328759601,6
probably,35,might-probably,0.26916766946087767,6
other,35,might-probably,0.12688959766316205,6
might,40,might-probably,0.583800452380566,6
probably,40,might-probably,0.30113786773384554,6
other,40,might-probably,0.11506167988558845,6
might,45,might-probably,0.557239446832865,6
probably,45,might-probably,0.3364289678545241,6
other,45,might-probably,0.10633158531261085,6
might,50,might-probably,0.5261499640991363,6
probably,50,might-probably,0.37442529217014264,6
other,50,might-probably,0.09942474373072102,6
might,55,might-probably,0.49204291664581457,6
probably,55,might-probably,0.4143301534559667,6
other,55,might-probably,0.09362692989821866,6
might,60,might-probably,0.45616064397925493,6
probably,60,might-probably,0.4552859511224242,6
other,60,might-probably,0.08855340489832071,6
might,65,might-probably,0.4194839844360666,6
probably,65,might-probably,0.4964855760760041,6
other,65,might-probably,0.0840304394879292,6
might,70,might-probably,0.3827067539307789,6
probably,70,might-probably,0.5372571078567518,6
other,70,might-probably,0.08003613821246913,6
might,75,might-probably,0.34620917000788,6
probably,75,might-probably,0.5771023894929497,6
other,75,might-probably,0.07668844049917026,6
might,80,might-probably,0.3100329293579208,6
probably,80,might-probably,0.6156647689653605,6
other,80,might-probably,0.07430230167671859,6
might,85,might-probably,0.2738383581816314,6
probably,85,might-probably,0.6525488802595698,6
other,85,might-probably,0.0736127615587986,6
might,90,might-probably,0.23681353242567055,6
probably,90,might-probably,0.686632763301097,6
other,90,might-probably,0.07655370427323235,6
might,95,might-probably,0.19762931098098308,6
probably,95,might-probably,0.7127472181002575,6
other,95,might-probably,0.08962347091875936,6
might,100,might-probably,0.12057026999524365,6
probably,100,might-probably,0.4382692162553553,6
other,100,might-probably,0.44116051374940113,6
might,0,might-probably,0.024777146666666663,7
probably,0,might-probably,0.024777146666666663,7
other,0,might-probably,0.9504457066666666,7
might,5,might-probably,0.17281318458552544,7
probably,5,might-probably,0.07685058748449382,7
other,5,might-probably,0.7503362279299808,7
might,10,might-probably,0.3951972483654451,7
probably,10,might-probably,0.13465129231174486,7
other,10,might-probably,0.4701514593228099,7
might,15,might-probably,0.5275763347286331,7
probably,15,might-probably,0.1685990775043714,7
other,15,might-probably,0.3038245877669953,7
might,20,might-probably,0.5890196588742828,7
probably,20,might-probably,0.19233314063698106,7
other,20,might-probably,0.218647200488736,7
might,25,might-probably,0.6123648812815863,7
probably,25,might-probably,0.21500834269097102,7
