modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.024777146666666663,0
probably,0,might-probably,0.024777146666666663,0
other,0,might-probably,0.9504457066666666,0
might,5,might-probably,0.26095455250828054,0
probably,5,might-probably,0.026454604694271557,0
other,5,might-probably,0.7125908427974478,0
might,10,might-probably,0.47127349083002046,0
probably,10,might-probably,0.034112604148076105,0
other,10,might-probably,0.4946139050219034,0
might,15,might-probably,0.6004326992885505,0
probably,15,might-probably,0.04759908291582544,0
other,15,might-probably,0.351968217795624,0
might,20,might-probably,0.6704198735769837,0
probably,20,might-probably,0.06588145716236578,0
other,20,might-probably,0.26369866926065044,0
might,25,might-probably,0.7032962411075776,0
probably,25,might-probably,0.0887464351216443,0
other,25,might-probably,0.20795732377077816,0
might,30,might-probably,0.7119712520635744,0
probably,30,might-probably,0.11662956517469715,0
other,30,might-probably,0.1713991827617284,0
might,35,might-probably,0.7032587880472285,0
probably,35,might-probably,0.15028792393795284,0
other,35,might-probably,0.14645328801481855,0
might,40,might-probably,0.6807243233263676,0
probably,40,might-probably,0.19051213378586435,0
other,40,might-probably,0.12876354288776795,0
might,45,might-probably,0.6464259910920043,0
probably,45,might-probably,0.23783634415182411,0
other,45,might-probably,0.11573766475617142,0
might,50,might-probably,0.6019674403927954,0
probably,50,might-probably,0.29224266200571414,0
other,50,might-probably,0.10578989760149042,0
might,55,might-probably,0.5491336392625411,0
probably,55,might-probably,0.3529174596571024,0
other,55,might-probably,0.09794890108035645,0
might,60,might-probably,0.4901948878648942,0
probably,60,might-probably,0.41815318796004464,0
other,60,might-probably,0.09165192417506113,0
might,65,might-probably,0.427894926424892,0
probably,65,might-probably,0.4854698525003597,0
other,65,might-probably,0.0866352210747483,0
might,70,might-probably,0.3651731633290972,0
probably,70,might-probably,0.5519444824024579,0
other,70,might-probably,0.08288235426844488,0
might,75,might-probably,0.3047494798509984,0
probably,75,might-probably,0.6146177425431291,0
other,75,might-probably,0.08063277760587245,0
might,80,might-probably,0.2487439405159455,0
probably,80,might-probably,0.6707433517245587,0
other,80,might-probably,0.08051270775949568,0
might,85,might-probably,0.19847135972687877,0
probably,85,might-probably,0.7175028129917597,0
other,85,might-probably,0.0840258272813616,0
might,90,might-probably,0.15448055931730037,0
probably,90,might-probably,0.7500290406940415,0
other,90,might-probably,0.09549039998865799,0
might,95,might-probably,0.11684001223518897,0
probably,95,might-probably,0.7498447135163605,0
other,95,might-probably,0.13331527424845036,0
might,100,might-probably,0.062005950970109275,0
probably,100,might-probably,0.3683775487594082,0
other,100,might-probably,0.5696165002704826,0
might,0,might-probably,0.024777146666666663,1
probably,0,might-probably,0.024777146666666663,1
other,0,might-probably,0.9504457066666666,1
might,5,might-probably,0.25833652129373064,1
probably,5,might-probably,0.02642870496951894,1
other,5,might-probably,0.7152347737367503,1
might,10,might-probably,0.4679240390797672,1
probably,10,might-probably,0.03399545954800608,1
other,10,might-probably,0.4980805013722267,1
might,15,might-probably,0.5977703430042091,1
probably,15,might-probably,0.04736294144933506,1
other,15,might-probably,0.35486671554645577,1
might,20,might-probably,0.6688457103168794,1
probably,20,might-probably,0.06551589615946557,1
other,20,might-probably,0.26563839352365487,1
might,25,might-probably,0.7028182197268968,1
probably,25,might-probably,0.08823663449200878,1
other,25,might-probably,0.20894514578109427,1
might,30,might-probably,0.7125058016564022,1
probably,30,might-probably,0.11595353767096903,1
other,30,might-probably,0.1715406606726288,1
might,35,might-probably,0.7047198291259779,1
probably,35,might-probably,0.14942368292237596,1
other,35,might-probably,0.14585648795164619,1
might,40,might-probably,0.6830323909539705,1
probably,40,might-probably,0.18945078320894163,1
other,40,might-probably,0.12751682583708782,1
might,45,might-probably,0.6494911329978935,1
probably,45,might-probably,0.23659873651258054,1
other,45,might-probably,0.11391013048952581,1
might,50,might-probably,0.6056673780992073,1
probably,50,might-probably,0.29089550780462003,1
other,50,might-probably,0.10343711409617244,1
might,55,might-probably,0.553299506684565,1
probably,55,might-probably,0.35158263351478203,1
other,55,might-probably,0.095117859800653,1
might,60,might-probably,0.49461289773370287,1
probably,60,might-probably,0.41700444912253487,1
other,60,might-probably,0.08838265314376223,1
might,65,might-probably,0.432326229135065,1
probably,65,might-probably,0.4847162387395988,1
other,65,might-probably,0.08295753212533617,1
might,70,might-probably,0.36938567484992624,1
probably,70,might-probably,0.5518081446425304,1
other,70,might-probably,0.0788061805075433,1
might,75,might-probably,0.3085490965934192,1
probably,75,might-probably,0.6153220785902017,1
other,75,might-probably,0.07612882481637902,1
might,80,might-probably,0.251992833142651,1
probably,80,might-probably,0.672533820098759,1
other,80,might-probably,0.07547334675859022,1
might,85,might-probably,0.20108772692520543,1
probably,85,might-probably,0.7207410816990324,1
other,85,might-probably,0.07817119137576224,1
might,90,might-probably,0.15642601971173428,1
probably,90,might-probably,0.7555013327211351,1
other,90,might-probably,0.0880726475671307,1
might,95,might-probably,0.1181756721438277,1
probably,95,might-probably,0.7601074746713388,1
other,95,might-probably,0.12171685318483344,1
might,100,might-probably,0.06540613992022114,1
probably,100,might-probably,0.397623200861532,1
other,100,might-probably,0.5369706592182468,1
might,0,might-probably,0.024777146666666663,2
probably,0,might-probably,0.024777146666666663,2
other,0,might-probably,0.9504457066666666,2
might,5,might-probably,0.2610896783760879,2
probably,5,might-probably,0.026427319652183624,2
other,5,might-probably,0.7124830019717285,2
might,10,might-probably,0.47226221316119477,2
probably,10,might-probably,0.033939476293648255,2
other,10,might-probably,0.493798310545157,2
might,15,might-probably,0.6019708066492073,2
probably,15,might-probably,0.04710830940578275,2
other,15,might-probably,0.3509208839450098,2
might,20,might-probably,0.6726046029099544,2
probably,20,might-probably,0.06488881802353522,2
other,20,might-probably,0.2625065790665103,2
might,25,might-probably,0.7063626797240684,2
probably,25,might-probably,0.08704961256291861,2
other,25,might-probably,0.2065877077130131,2
might,30,might-probably,0.7161757472930166,2
probably,30,might-probably,0.11399678442021623,2
other,30,might-probably,0.16982746828676717,2
might,35,might-probably,0.7088524761122951,2
probably,35,might-probably,0.14646440619503864,2
other,35,might-probably,0.1446831176926663,2
might,40,might-probably,0.6879256692910036,2
probably,40,might-probably,0.18525147721660112,2
other,40,might-probably,0.12682285349239517,2
might,45,might-probably,0.6553710910564416,2
probably,45,might-probably,0.23095680547134262,2
other,45,might-probably,0.11367210347221562,2
might,50,might-probably,0.6126452457177601,2
probably,50,might-probably,0.28369827315248886,2
other,50,might-probably,0.10365648112975105,2
might,55,might-probably,0.5613291359727565,2
probably,55,might-probably,0.34286107944941524,2
other,55,might-probably,0.09580978457782831,2
might,60,might-probably,0.5034703852462253,2
probably,60,might-probably,0.40696096011309646,2
other,60,might-probably,0.08956865464067817,2
might,65,might-probably,0.4416310259087898,2
probably,65,might-probably,0.4737042854628224,2
other,65,might-probably,0.08466468862838783,2
might,70,might-probably,0.37866567587788114,2
probably,70,might-probably,0.5402585020702002,2
other,70,might-probably,0.08107582205191856,2
might,75,might-probably,0.3173299844993319,2
probably,75,might-probably,0.6036312299409589,2
other,75,might-probably,0.07903878555970922,2
might,80,might-probably,0.2598799747831012,2
probably,80,might-probably,0.6609361622881815,2
other,80,might-probably,0.07918386292871717,2
might,85,might-probably,0.20781594754301855,2
probably,85,might-probably,0.7091553544404311,2
other,85,might-probably,0.08302869801655031,2
might,90,might-probably,0.16187004399823818,2
probably,90,might-probably,0.7432167716834005,2
other,90,might-probably,0.09491318431836138,2
might,95,might-probably,0.12226638470903108,2
probably,95,might-probably,0.7445071564343032,2
other,95,might-probably,0.1332264588566657,2
might,100,might-probably,0.06426631076959276,2
probably,100,might-probably,0.3669900819835021,2
other,100,might-probably,0.5687436072469051,2
might,0,might-probably,0.024777146666666663,3
probably,0,might-probably,0.024777146666666663,3
other,0,might-probably,0.9504457066666666,3
might,5,might-probably,0.255066662552367,3
probably,5,might-probably,0.026398102151918477,3
other,5,might-probably,0.7185352352957145,3
might,10,might-probably,0.4628891086538418,3
probably,10,might-probably,0.03384256847466128,3
other,10,might-probably,0.5032683228714969,3
might,15,might-probably,0.5928678744885013,3
probably,15,might-probably,0.047036279336183436,3
other,15,might-probably,0.3600958461753152,3
might,20,might-probably,0.6648453728375285,3
probably,20,might-probably,0.06499126857012734,3
other,20,might-probably,0.27016335859234397,3
might,25,might-probably,0.6998897845107986,3
probably,25,might-probably,0.08748447639910528,3
other,25,might-probably,0.2126257390900961,3
might,30,might-probably,0.710623605063236,3
probably,30,might-probably,0.11492873141945417,3
other,30,might-probably,0.1744476635173098,3
might,35,might-probably,0.7038179850476458,3
probably,35,might-probably,0.1480687205044128,3
other,35,might-probably,0.14811329444794125,3
might,40,might-probably,0.6830448197125226,3
probably,40,might-probably,0.18770676424853033,3
other,40,might-probably,0.129248416038947,3
might,45,might-probably,0.6503470743794482,3
probably,45,might-probably,0.2344218704361738,3
other,45,might-probably,0.11523105518437815,3
might,50,might-probably,0.6072723225808745,3
probably,50,might-probably,0.2882754143529117,3
other,50,might-probably,0.10445226306621386,3
might,55,might-probably,0.5555175179295497,3
probably,55,might-probably,0.34855573520913735,3
other,55,might-probably,0.09592674686131278,3
might,60,might-probably,0.4972613415294761,3
probably,60,might-probably,0.4136543235026541,3
other,60,might-probably,0.08908433496786987,3
might,65,might-probably,0.4351884375312416,3
probably,65,might-probably,0.4811555426319173,3
other,65,might-probably,0.08365601983684105,3
might,70,might-probably,0.3722388156446177,3
probably,70,might-probably,0.5481431978842541,3
other,70,might-probably,0.07961798647112815,3
might,75,might-probably,0.3111970542950846,3
probably,75,might-probably,0.6116064118576604,3
other,75,might-probably,0.0771965338472549,3
might,80,might-probably,0.2542925066001864,3
probably,80,might-probably,0.6687133919099925,3
other,80,might-probably,0.07699410148982104,3
might,85,might-probably,0.20296337022303865,3
probably,85,might-probably,0.7165719199466085,3
other,85,might-probably,0.08046470983035274,3
might,90,might-probably,0.15787565889714844,3
probably,90,might-probably,0.7503436202672897,3
other,90,might-probably,0.09178072083556181,3
might,95,might-probably,0.11924479749171335,3
probably,95,might-probably,0.7520744056636134,3
other,95,might-probably,0.12868079684467315,3
might,100,might-probably,0.06410297133341825,3
probably,100,might-probably,0.37849846663822106,3
other,100,might-probably,0.5573985620283606,3
might,0,might-probably,0.024777146666666663,4
probably,0,might-probably,0.024777146666666663,4
other,0,might-probably,0.9504457066666666,4
might,5,might-probably,0.2641486818801819,4
probably,5,might-probably,0.026453580202026154,4
other,5,might-probably,0.7093977379177919,4
might,10,might-probably,0.47721403775583515,4
probably,10,might-probably,0.03407909469136044,4
other,10,might-probably,0.48870686755280435,4
might,15,might-probably,0.606804928518724,4
probably,15,might-probably,0.047414177824497694,4
other,15,might-probably,0.3457808936567783,4
might,20,might-probably,0.6767252783941125,4
probably,20,might-probably,0.06540447645822889,4
other,20,might-probably,0.25787024514765877,4
might,25,might-probably,0.7096952740756798,4
probably,25,might-probably,0.08783720807188407,4
other,25,might-probably,0.2024675178524361,4
might,30,might-probably,0.7187431957750948,4
probably,30,might-probably,0.11514368186847829,4
other,30,might-probably,0.1661131223564268,4
might,35,might-probably,0.7106602448363325,4
probably,35,might-probably,0.1480806007924989,4
other,35,might-probably,0.14125915437116865,4
might,40,might-probably,0.6889467368841233,4
probably,40,might-probably,0.18745891196569678,4
other,40,might-probably,0.12359435115017985,4
might,45,might-probably,0.6555636202999805,4
probably,45,might-probably,0.2338690446677216,4
other,45,might-probably,0.11056733503229776,4
might,50,might-probably,0.6119831413776848,4
probably,50,might-probably,0.287391769667252,4
other,50,might-probably,0.10062508895506313,4
might,55,might-probably,0.5598349292905348,4
probably,55,might-probably,0.34734470659695593,4
other,55,might-probably,0.09282036411250912,4
might,60,might-probably,0.5012389485544158,4
probably,60,might-probably,0.41215547819203124,4
other,60,might-probably,0.08660557325355299,4
might,65,might-probably,0.4388332287759732,4
probably,65,might-probably,0.4794436377960508,4
other,65,might-probably,0.08172313342797605,4
might,70,might-probably,0.37552796547368494,4
probably,70,might-probably,0.5463177300579627,4
other,70,might-probably,0.07815430446835236,4
might,75,might-probably,0.3140968992050315,4
probably,75,might-probably,0.6097746625812485,4
other,75,might-probably,0.07612843821372009,4
might,80,might-probably,0.2567746671004556,4
probably,80,might-probably,0.6669732612309519,4
other,80,might-probably,0.07625207166859238,4
might,85,might-probably,0.2050135878936278,4
probably,85,might-probably,0.715000314889446,4
other,85,might-probably,0.07998609721692612,4
might,90,might-probably,0.1594937101872898,4
probably,90,might-probably,0.7489918266770151,4
other,90,might-probably,0.09151446313569497,4
might,95,might-probably,0.12043545319809498,4
probably,95,might-probably,0.750961959843876,4
other,95,might-probably,0.12860258695802892,4
might,100,might-probably,0.06454607109020613,4
probably,100,might-probably,0.377740344433643,4
other,100,might-probably,0.5577135844761508,4
might,0,might-probably,0.024777146666666663,5
probably,0,might-probably,0.024777146666666663,5
other,0,might-probably,0.9504457066666666,5
might,5,might-probably,0.2573546979940955,5
probably,5,might-probably,0.026427788882982976,5
other,5,might-probably,0.7162175131229215,5
might,10,might-probably,0.46644397481926103,5
probably,10,might-probably,0.03401817223429846,5
other,10,might-probably,0.4995378529464404,5
might,15,might-probably,0.5961692519996676,5
probably,15,might-probably,0.04747442011876685,5
other,15,might-probably,0.35635632788156524,5
might,20,might-probably,0.6673696553265855,5
probably,20,might-probably,0.06581301750680603,5
other,20,might-probably,0.26681732716660833,5
might,25,might-probably,0.7014693600499716,5
probably,25,might-probably,0.08883946288384761,5
other,25,might-probably,0.2096911770661806,5
might,30,might-probably,0.7111466685125183,5
probably,30,might-probably,0.11700444331533327,5
other,30,might-probably,0.17184888817214838,5
might,35,might-probably,0.7031506213988628,5
probably,35,might-probably,0.1510845717354064,5
other,35,might-probably,0.14576480686573068,5
might,40,might-probably,0.681035247919448,5
probably,40,might-probably,0.19188929645499608,5
other,40,might-probably,0.1270754556255558,5
might,45,might-probably,0.6468664026391254,5
probably,45,might-probably,0.23995894850793653,5
other,45,might-probably,0.11317464885293796,5
might,50,might-probably,0.6022733293283375,5
probably,50,might-probably,0.29525518160043196,5
other,50,might-probably,0.10247148907123058,5
might,55,might-probably,0.5490919827004477,5
probably,55,might-probably,0.35690765773520683,5
other,55,might-probably,0.09400035956434541,5
might,60,might-probably,0.48967120982437784,5
probably,60,might-probably,0.42311789502392616,5
other,60,might-probably,0.0872108951516959,5
might,65,might-probably,0.4268506076255948,5
probably,65,might-probably,0.4912979497187925,5
other,65,might-probably,0.08185144265561273,5
might,70,might-probably,0.36366204020401777,5
probably,70,might-probably,0.5584273875743261,5
other,70,might-probably,0.07791057222165616,5
might,75,might-probably,0.30289324306765264,5
probably,75,might-probably,0.6214856254024828,5
other,75,might-probably,0.07562113152986451,5
might,80,might-probably,0.24669715959762778,5
probably,80,might-probably,0.6777147002595276,5
other,80,might-probably,0.07558814014284448,5
might,85,might-probably,0.19639283599144108,5
probably,85,might-probably,0.7243377792036045,5
other,85,might-probably,0.07926938480495442,5
might,90,might-probably,0.1525302330779607,5
probably,90,might-probably,0.7566158418133545,5
other,90,might-probably,0.09085392510868487,5
might,95,might-probably,0.11524908598628524,5
probably,95,might-probably,0.7565857982591558,5
other,95,might-probably,0.12816511575455877,5
might,100,might-probably,0.06241069850538775,5
probably,100,might-probably,0.3793798989248066,5
other,100,might-probably,0.5582094025698056,5
might,0,might-probably,0.024777146666666663,6
probably,0,might-probably,0.024777146666666663,6
other,0,might-probably,0.9504457066666666,6
might,5,might-probably,0.2602143723105566,6
probably,5,might-probably,0.02644694613797087,6
other,5,might-probably,0.7133386815514724,6
might,10,might-probably,0.4709814296559034,6
probably,10,might-probably,0.03409838736890324,6
other,10,might-probably,0.49492018297519325,6
might,15,might-probably,0.6006412285125293,6
probably,15,might-probably,0.04759995027073857,6
other,15,might-probably,0.351758821216732,6
might,20,might-probably,0.671093901664685,6
probably,20,might-probably,0.06593270618548351,6
other,20,might-probably,0.2629733921498314,6
might,25,might-probably,0.7043663214016297,6
probably,25,might-probably,0.08889545561645867,6
other,25,might-probably,0.20673822298191163,6
might,30,might-probably,0.7133424864298552,6
probably,30,might-probably,0.1169375966815212,6
other,30,might-probably,0.1697199168886234,6
might,35,might-probably,0.7048200890897945,6
probably,35,might-probably,0.15083261060947153,6
other,35,might-probably,0.14434730030073384,6
might,40,might-probably,0.6823522243828033,6
probably,40,might-probably,0.1913869199210361,6
other,40,might-probably,0.12626085569616044,6
might,45,might-probably,0.6479889558036571,6
probably,45,might-probably,0.23914347915544312,6
other,45,might-probably,0.11286756504089968,6
might,50,might-probably,0.6033358148721452,6
probably,50,might-probably,0.29407845677487465,6
other,50,might-probably,0.10258572835298013,6
might,55,might-probably,0.5501960626534421,6
probably,55,might-probably,0.3553519157383638,6
other,55,might-probably,0.09445202160819409,6
might,60,might-probably,0.49087694972396,6
probably,60,might-probably,0.42121043476633424,6
other,60,might-probably,0.08791261550970564,6
might,65,might-probably,0.4281725068164671,6
probably,65,might-probably,0.4891183730712235,6
other,65,might-probably,0.08270912011230923,6
might,70,might-probably,0.36507384081464994,6
probably,70,might-probably,0.55610426642488,6
other,70,might-probably,0.07882189276047,6
might,75,might-probably,0.3043408387868901,6
probably,75,might-probably,0.6191860089519639,6
other,75,might-probably,0.07647315226114594,6
might,80,might-probably,0.24811413286041467,6
probably,80,might-probably,0.6756372278817288,6
other,80,might-probably,0.07624863925785663,6
might,85,might-probably,0.1977109700443216,6
probably,85,might-probably,0.722728038831574,6
other,85,might-probably,0.07956099112410443,6
might,90,might-probably,0.15367765641959472,6
probably,90,might-probably,0.7558455543667261,6
other,90,might-probably,0.0904767892136792,6
might,95,might-probably,0.11614146100151218,6
probably,95,might-probably,0.7574809803511955,6
other,95,might-probably,0.12637755864729228,6
might,100,might-probably,0.06330366201014563,6
probably,100,might-probably,0.3849002127304557,6
other,100,might-probably,0.5517961252593986,6
might,0,might-probably,0.024777146666666663,7
probably,0,might-probably,0.024777146666666663,7
other,0,might-probably,0.9504457066666666,7
might,5,might-probably,0.26370000224642365,7
probably,5,might-probably,0.026442990861264143,7
other,5,might-probably,0.7098570068923121,7
might,10,might-probably,0.47655930080978304,7
probably,10,might-probably,0.034012405945267776,7
other,10,might-probably,0.4894282932449493,7
might,15,might-probably,0.6062914204342441,7
probably,15,might-probably,0.04723873371922931,7
other,15,might-probably,0.3464698458465265,7
might,20,might-probably,0.6765267717906371,7
probably,20,might-probably,0.06506690585538054,7
other,20,might-probably,0.25840632235398237,7
might,25,might-probably,0.7098974241102377,7
probably,25,might-probably,0.08727565392019523,7
