modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.024777146666666663,0
probably,0,might-probably,0.024777146666666663,0
other,0,might-probably,0.9504457066666666,0
might,5,might-probably,0.20940419607758146,0
probably,5,might-probably,0.08034073282205352,0
other,5,might-probably,0.7102550711003649,0
might,10,might-probably,0.40830990620606,0
probably,10,might-probably,0.13034855358192757,0
other,10,might-probably,0.46134154021201235,0
might,15,might-probably,0.5255826859219439,0
probably,15,might-probably,0.16048166692139004,0
other,15,might-probably,0.313935647156666,0
might,20,might-probably,0.5864634058241828,0
probably,20,might-probably,0.18165716259902887,0
other,20,might-probably,0.23187943157678842,0
might,25,might-probably,0.6155627794936167,0
probably,25,might-probably,0.20067597185986752,0
other,25,might-probably,0.18376124864651577,0
might,30,might-probably,0.6257937458442157,0
probably,30,might-probably,0.22060584091606172,0
other,30,might-probably,0.15360041323972254,0
might,35,might-probably,0.623593563953169,0
probably,35,might-probably,0.24289753759206006,0
other,35,might-probably,0.13350889845477076,0
might,40,might-probably,0.6122858302563297,0
probably,40,might-probably,0.2683246191553834,0
other,40,might-probably,0.11938955058828672,0
might,45,might-probably,0.593686693903789,0
probably,45,might-probably,0.29733648589967754,0
other,45,might-probably,0.10897682019653337,0
might,50,might-probably,0.5688713325351954,0
probably,50,might-probably,0.33018206923212967,0
other,50,might-probably,0.1009465982326749,0
might,55,might-probably,0.5385559077556556,0
probably,55,might-probably,0.36694801123982745,0
other,55,might-probably,0.09449608100451691,0
might,60,might-probably,0.5032889037887615,0
probably,60,might-probably,0.4075708088635156,0
other,60,might-probably,0.08914028734772289,0
might,65,might-probably,0.4635332343012629,0
probably,65,might-probably,0.45184835017242875,0
other,65,might-probably,0.08461841552630833,0
might,70,might-probably,0.41967685569328106,0
probably,70,might-probably,0.4994539998248432,0
other,70,might-probably,0.08086914448187568,0
might,75,might-probably,0.3719989496494991,0
probably,75,might-probably,0.5499257291882832,0
other,75,might-probably,0.07807532116221752,0
might,80,might-probably,0.32062869134255106,0
probably,80,might-probably,0.6025358705671754,0
other,80,might-probably,0.07683543809027343,0
might,85,might-probably,0.2655730843205263,0
probably,85,might-probably,0.655741697635908,0
other,85,might-probably,0.07868521804356564,0
might,90,might-probably,0.20702506981171567,0
probably,90,might-probably,0.7050228138060451,0
other,90,might-probably,0.08795211638223904,0
might,95,might-probably,0.14657983462185414,0
probably,95,might-probably,0.7317686048648784,0
other,95,might-probably,0.12165156051326731,0
might,100,might-probably,0.06961035000286694,0
probably,100,might-probably,0.3736074876506522,0
other,100,might-probably,0.5567821623464808,0
might,0,might-probably,0.024777146666666663,1
probably,0,might-probably,0.024777146666666663,1
other,0,might-probably,0.9504457066666666,1
might,5,might-probably,0.18879829914247923,1
probably,5,might-probably,0.08723022062087504,1
other,5,might-probably,0.7239714802366457,1
might,10,might-probably,0.39103155096916076,1
probably,10,might-probably,0.13975787557391345,1
other,10,might-probably,0.46921057345692574,1
might,15,might-probably,0.5150602970860784,1
probably,15,might-probably,0.16836951419114324,1
other,15,might-probably,0.31657018872277826,1
might,20,might-probably,0.5799322327035143,1
probably,20,might-probably,0.18714731860114456,1
other,20,might-probably,0.23292044869534093,1
might,25,might-probably,0.6109789903537497,1
probably,25,might-probably,0.20415340896863882,1
other,25,might-probably,0.18486760067761152,1
might,30,might-probably,0.6219733776618962,1
probably,30,might-probably,0.2226794469032542,1
other,30,might-probably,0.15534717543484952,1
might,35,might-probably,0.6198414162378684,1
probably,35,might-probably,0.24411756550772398,1
other,35,might-probably,0.13604101825440762,1
might,40,might-probably,0.6081938967223347,1
probably,40,might-probably,0.2691218173171618,1
other,40,might-probably,0.12268428596050349,1
might,45,might-probably,0.5890488700661841,1
probably,45,might-probably,0.2980098902208004,1
other,45,might-probably,0.11294123971301537,1
might,50,might-probably,0.5636502120103157,1
probably,50,might-probably,0.3308952307479973,1
other,50,might-probably,0.10545455724168691,1
might,55,might-probably,0.5328650936272932,1
probably,55,might-probably,0.36773116553907337,1
other,55,might-probably,0.09940374083363344,1
might,60,might-probably,0.49737027568967285,1
probably,60,might-probably,0.4083358990018262,1
other,60,might-probably,0.09429382530850089,1
might,65,might-probably,0.45771913981693924,1
probably,65,might-probably,0.45242343849627653,1
other,65,might-probably,0.08985742168678423,1
might,70,might-probably,0.4143364572239395,1
probably,70,might-probably,0.499639344709361,1
other,70,might-probably,0.08602419806669932,1
might,75,might-probably,0.36747540693536407,1
probably,75,might-probably,0.5495706868373749,1
other,75,might-probably,0.08295390622726094,1
might,80,might-probably,0.3171761790543073,1
probably,80,might-probably,0.6016418660473544,1
other,80,might-probably,0.0811819548983382,1
might,85,might-probably,0.2632960313788605,1
probably,85,might-probably,0.6546296230451623,1
other,85,might-probably,0.08207434557597719,1
might,90,might-probably,0.20580363021801285,1
probably,90,might-probably,0.7047339224100876,1
other,90,might-probably,0.08946244737189958,1
might,95,might-probably,0.14597165014106633,1
probably,95,might-probably,0.7355219847475385,1
other,95,might-probably,0.11850636511139523,1
might,100,might-probably,0.06751367981519583,1
probably,100,might-probably,0.3651062075775317,1
other,100,might-probably,0.5673801126072724,1
might,0,might-probably,0.024777146666666663,2
probably,0,might-probably,0.024777146666666663,2
other,0,might-probably,0.9504457066666666,2
might,5,might-probably,0.2075275738031242,2
probably,5,might-probably,0.08742953315740282,2
other,5,might-probably,0.7050428930394729,2
might,10,might-probably,0.4088078732264271,2
probably,10,might-probably,0.1379164003407282,2
other,10,might-probably,0.45327572643284464,2
might,15,might-probably,0.5274174778861872,2
probably,15,might-probably,0.1656199525352206,2
other,15,might-probably,0.3069625695785922,2
might,20,might-probably,0.5890498516983748,2
probably,20,might-probably,0.18422386714657202,2
other,20,might-probably,0.22672628115505314,2
might,25,might-probably,0.6187173499328272,2
probably,25,might-probably,0.20109481193002304,2
other,25,might-probably,0.1801878381371498,2
might,30,might-probably,0.6294488540200341,2
probably,30,might-probably,0.2192807901280761,2
other,30,might-probably,0.15127035585188978,2
might,35,might-probably,0.6277166931534174,2
probably,35,might-probably,0.24012927482497523,2
other,35,might-probably,0.13215403202160733,2
might,40,might-probably,0.6168600355582324,2
probably,40,might-probably,0.2643246967404873,2
other,40,might-probably,0.1188152677012801,2
might,45,might-probably,0.5987043924528701,2
probably,45,might-probably,0.2922520636626286,2
other,45,might-probably,0.10904354388450122,2
might,50,might-probably,0.5743285268599082,2
probably,50,might-probably,0.3241174392798617,2
other,50,might-probably,0.10155403386023022,2
might,55,might-probably,0.5444421195480258,2
probably,55,might-probably,0.35998429320338293,2
other,55,might-probably,0.09557358724859129,2
might,60,might-probably,0.5095701622890543,2
probably,60,might-probably,0.39978754661058946,2
other,60,might-probably,0.09064229110035626,2
might,65,might-probably,0.4701270550032389,2
probably,65,might-probably,0.44334979796626117,2
other,65,might-probably,0.0865231470304998,2
might,70,might-probably,0.42642064377073385,2
probably,70,might-probably,0.49040064208019607,2
other,70,might-probably,0.08317871414907019,2
might,75,might-probably,0.37861676568031977,2
probably,75,might-probably,0.5405690432024896,2
other,75,might-probably,0.08081419111719057,2
might,80,might-probably,0.3267057483023582,2
probably,80,might-probably,0.5932530918159852,2
other,80,might-probably,0.08004115988165655,2
might,85,might-probably,0.2705539312412852,2
probably,85,might-probably,0.6470704209732996,2
other,85,might-probably,0.08237564778541513,2
might,90,might-probably,0.21026444769055927,2
probably,90,might-probably,0.6977132376381223,2
other,90,might-probably,0.09202231467131824,2
might,95,might-probably,0.14750304729742858,2
probably,95,might-probably,0.7269567406760735,2
other,95,might-probably,0.12554021202649782,2
might,100,might-probably,0.06907092798719065,2
probably,100,might-probably,0.37587683216782886,2
other,100,might-probably,0.5550522398449805,2
might,0,might-probably,0.024777146666666663,3
probably,0,might-probably,0.024777146666666663,3
other,0,might-probably,0.9504457066666666,3
might,5,might-probably,0.20098323012503816,3
probably,5,might-probably,0.0808941957032548,3
other,5,might-probably,0.7181225741717069,3
might,10,might-probably,0.3980738157708966,3
probably,10,might-probably,0.12973054266735726,3
other,10,might-probably,0.4721956415617461,3
might,15,might-probably,0.518318018283804,3
probably,15,might-probably,0.15846423700392934,3
other,15,might-probably,0.3232177447122666,3
might,20,might-probably,0.5824105631738523,3
probably,20,might-probably,0.17828692790953396,3
other,20,might-probably,0.2393025089166138,3
might,25,might-probably,0.614060683010951,3
probably,25,might-probably,0.19609938582741282,3
other,25,might-probably,0.1898399311616361,3
might,30,might-probably,0.6262433439906626,3
probably,30,might-probably,0.21497960201878769,3
other,30,might-probably,0.15877705399054975,3
might,35,might-probably,0.6255630459058475,3
probably,35,might-probably,0.23636388931840863,3
other,35,might-probably,0.13807306477574377,3
might,40,might-probably,0.6154724892932496,3
probably,40,might-probably,0.26101220311734974,3
other,40,might-probably,0.12351530758940064,3
might,45,might-probably,0.5978745623863576,3
probably,45,might-probably,0.28936703328155244,3
other,45,might-probably,0.11275840433208992,3
might,50,might-probably,0.5739015847333852,3
probably,50,might-probably,0.32167824282595003,3
other,50,might-probably,0.10442017244066473,3
might,55,might-probably,0.5443049779616395,3
probably,55,might-probably,0.3580446012272954,3
other,55,might-probably,0.097650420811065,3
might,60,might-probably,0.5096456992045381,3
probably,60,might-probably,0.39843515176033883,3
other,60,might-probably,0.09191914903512298,3
might,65,might-probably,0.4703670431836283,3
probably,65,might-probably,0.4427175186296406,3
other,65,might-probably,0.08691543818673099,3
might,70,might-probably,0.4267904044454679,3
probably,70,might-probably,0.4906951324538201,3
other,70,might-probably,0.08251446310071191,3
might,75,might-probably,0.3790678497078852,3
probably,75,might-probably,0.5421204970151539,3
other,75,might-probably,0.07881165327696076,3
might,80,might-probably,0.3271421726695218,3
probably,80,might-probably,0.5965778104423944,3
other,80,might-probably,0.07628001688808382,3
might,85,might-probably,0.27082584698162504,3
probably,85,might-probably,0.6528987021221125,3
other,85,might-probably,0.07627545089626232,3
might,90,might-probably,0.21034556454220804,3
probably,90,might-probably,0.7067230576847447,3
other,90,might-probably,0.08293137777304714,3
might,95,might-probably,0.14860780938162266,3
probably,95,might-probably,0.7368691283336513,3
other,95,might-probably,0.11452306228472602,3
might,100,might-probably,0.07227462014923544,3
probably,100,might-probably,0.37218312647151397,3
other,100,might-probably,0.5555422533792505,3
might,0,might-probably,0.024777146666666663,4
probably,0,might-probably,0.024777146666666663,4
other,0,might-probably,0.9504457066666666,4
might,5,might-probably,0.197657188006582,4
probably,5,might-probably,0.07834100418144192,4
other,5,might-probably,0.724001807811976,4
might,10,might-probably,0.40373184666074036,4
probably,10,might-probably,0.1280002756937352,4
other,10,might-probably,0.46826787764552447,4
might,15,might-probably,0.5265138027397297,4
probably,15,might-probably,0.15735526776428485,4
other,15,might-probably,0.31613092949598554,4
might,20,might-probably,0.588905347962984,4
probably,20,might-probably,0.17799344142393328,4
other,20,might-probably,0.2331012106130827,4
might,25,might-probably,0.6174459886305087,4
probably,25,might-probably,0.19708464823708102,4
other,25,might-probably,0.1854693631324103,4
might,30,might-probably,0.6261125398794513,4
probably,30,might-probably,0.21769354751637968,4
other,30,might-probably,0.15619391260416896,4
might,35,might-probably,0.6218207937772037,4
probably,35,might-probably,0.24116861311920493,4
other,35,might-probably,0.13701059310359132,4
might,40,might-probably,0.6081569769664977,4
probably,40,might-probably,0.2681491348580987,4
other,40,might-probably,0.12369388817540358,4
might,45,might-probably,0.5871447280635864,4
probably,45,might-probably,0.2989197155793397,4
other,45,might-probably,0.1139355563570738,4
might,50,might-probably,0.5600705300566395,4
probably,50,might-probably,0.33352829571887754,4
other,50,might-probably,0.10640117422448281,4
might,55,might-probably,0.527877664559064,4
probably,55,might-probably,0.3718281733871913,4
other,55,might-probably,0.10029416205374472,4
might,60,might-probably,0.49134481667679597,4
probably,60,might-probably,0.41350664050310704,4
other,60,might-probably,0.09514854282009706,4
might,65,might-probably,0.45114334527906164,4
probably,65,might-probably,0.4581221235447571,4
other,65,might-probably,0.09073453117618123,4
might,70,might-probably,0.40782176856558017,4
probably,70,might-probably,0.5051451512055087,4
other,70,might-probably,0.08703308022891107,4
might,75,might-probably,0.361752306656976,4
probably,75,might-probably,0.5539673874545068,4
other,75,might-probably,0.08428030588851722,4
might,80,might-probably,0.31307486905703596,4
probably,80,might-probably,0.603780483779794,4
other,80,might-probably,0.08314464716316977,4
might,85,might-probably,0.2616936350182143,4
probably,85,might-probably,0.6530236515560196,4
other,85,might-probably,0.085282713425766,4
might,90,might-probably,0.20747589230869745,4
probably,90,might-probably,0.6971525847414091,4
other,90,might-probably,0.09537152294989328,4
might,95,might-probably,0.151113083804048,4
probably,95,might-probably,0.7166528521797626,4
other,95,might-probably,0.1322340640161893,4
might,100,might-probably,0.07411544172013425,4
probably,100,might-probably,0.37407859318478953,4
other,100,might-probably,0.5518059650950762,4
might,0,might-probably,0.024777146666666663,5
probably,0,might-probably,0.024777146666666663,5
other,0,might-probably,0.9504457066666666,5
might,5,might-probably,0.19231759031697335,5
probably,5,might-probably,0.08009557278266165,5
other,5,might-probably,0.727586836900365,5
might,10,might-probably,0.3931220429298311,5
probably,10,might-probably,0.13081843889818143,5
other,10,might-probably,0.47605951817198744,5
might,15,might-probably,0.5172112041005545,5
probably,15,might-probably,0.16053862670719127,5
other,15,might-probably,0.32225016919225413,5
might,20,might-probably,0.5828230813248304,5
probably,20,might-probably,0.1807158232324748,5
other,20,might-probably,0.23646109544269467,5
might,25,might-probably,0.6146925928097401,5
probably,25,might-probably,0.19877395373483067,5
other,25,might-probably,0.18653345345542915,5
might,30,might-probably,0.626483647065209,5
probably,30,might-probably,0.2179769102125977,5
other,30,might-probably,0.1555394427221932,5
might,35,might-probably,0.6251225547359286,5
probably,35,might-probably,0.23979307848178427,5
other,35,might-probably,0.13508436678228694,5
might,40,might-probably,0.6142258117399519,5
probably,40,might-probably,0.2649515856991575,5
other,40,might-probably,0.12082260256089038,5
might,45,might-probably,0.5958072869590517,5
probably,45,might-probably,0.29382821181987684,5
other,45,might-probably,0.11036450122107137,5
might,50,might-probably,0.5711013551978067,5
probably,50,might-probably,0.3265765811874779,5
other,50,might-probably,0.10232206361471521,5
might,55,might-probably,0.5409681533078736,5
probably,55,might-probably,0.36317217811076163,5
other,55,might-probably,0.09585966858136469,5
might,60,might-probably,0.5060853301963364,5
probably,60,might-probably,0.4034379694813083,5
other,60,might-probably,0.09047670032235532,5
might,65,might-probably,0.4670144309428339,5
probably,65,might-probably,0.44707957294939404,5
other,65,might-probably,0.08590599610777214,5
might,70,might-probably,0.4241864969238365,5
probably,70,might-probably,0.4937305268532304,5
other,70,might-probably,0.08208297622293315,5
might,75,might-probably,0.3778416918295404,5
probably,75,might-probably,0.5429742370510118,5
other,75,might-probably,0.07918407111944772,5
might,80,might-probably,0.3279655612435978,5
probably,80,might-probably,0.594242750251623,5
other,80,might-probably,0.07779168850477906,5
might,85,might-probably,0.27429735031725566,5
probably,85,might-probably,0.6462878882582189,5
other,85,might-probably,0.0794147614245254,5
might,90,might-probably,0.21661870828457008,5
probably,90,might-probably,0.6949767710437845,5
other,90,might-probably,0.08840452067164524,5
might,95,might-probably,0.15603835314317305,5
probably,95,might-probably,0.721242630459062,5
other,95,might-probably,0.12271901639776485,5
might,100,might-probably,0.0753232033194278,5
probably,100,might-probably,0.3596068208685338,5
other,100,might-probably,0.5650699758120384,5
might,0,might-probably,0.024777146666666663,6
probably,0,might-probably,0.024777146666666663,6
other,0,might-probably,0.9504457066666666,6
might,5,might-probably,0.21213777595733357,6
probably,5,might-probably,0.08857738802425365,6
other,5,might-probably,0.6992848360184128,6
might,10,might-probably,0.41172479203467505,6
probably,10,might-probably,0.14029106893560855,6
other,10,might-probably,0.44798413902971634,6
might,15,might-probably,0.5278761353335045,6
probably,15,might-probably,0.16902645632660906,6
other,15,might-probably,0.3030974083398863,6
might,20,might-probably,0.5879070545726967,6
probably,20,might-probably,0.18845303512598566,6
other,20,might-probably,0.22363991030131766,6
might,25,might-probably,0.6165748794134598,6
probably,25,might-probably,0.20596654563151043,6
other,25,might-probably,0.17745857495502962,6
might,30,might-probably,0.6266165924655761,6
probably,30,might-probably,0.22467723592972869,6
other,30,might-probably,0.14870617160469518,6
might,35,might-probably,0.6243276787688792,6
probably,35,might-probably,0.24599045856809706,6
other,35,might-probably,0.12968186266302362,6
might,40,might-probably,0.6129380697193483,6
probably,40,might-probably,0.27063968046179254,6
other,40,might-probably,0.11642224981885914,6
might,45,might-probably,0.5941965610471386,6
probably,45,might-probably,0.2990535302906483,6
other,45,might-probably,0.10674990866221318,6
might,50,might-probably,0.5691214035970285,6
probably,50,might-probably,0.3314786213735045,6
other,50,might-probably,0.09939997502946714,6
might,55,might-probably,0.5383725347377244,6
probably,55,might-probably,0.3680153112077782,6
other,55,might-probably,0.09361215405449747,6
might,60,might-probably,0.5024365968357132,6
probably,60,might-probably,0.40862779778615876,6
other,60,might-probably,0.08893560537812802,6
might,65,might-probably,0.46170576745061265,6
probably,65,might-probably,0.4531518718421981,6
other,65,might-probably,0.08514236070718915,6
might,70,might-probably,0.41649183218181585,6
probably,70,might-probably,0.5012970229901078,6
other,70,might-probably,0.08221114482807634,6
might,75,might-probably,0.3670129532024607,6
probably,75,might-probably,0.5526009912944199,6
other,75,might-probably,0.0803860555031193,6
might,80,might-probably,0.31341359712089645,6
probably,80,might-probably,0.6062101553260153,6
other,80,might-probably,0.08037624755308817,6
might,85,might-probably,0.2559479863104276,6
probably,85,might-probably,0.6601000068916526,6
other,85,might-probably,0.08395200679791978,6
might,90,might-probably,0.19566076759011186,6
probably,90,might-probably,0.7082053947023044,6
other,90,might-probably,0.09613383770758367,6
might,95,might-probably,0.13620546621170587,6
probably,95,might-probably,0.7255951188706635,6
other,95,might-probably,0.13819941491763044,6
might,100,might-probably,0.06587342352992161,6
probably,100,might-probably,0.3831930347642464,6
other,100,might-probably,0.5509335417058319,6
might,0,might-probably,0.024777146666666663,7
probably,0,might-probably,0.024777146666666663,7
other,0,might-probably,0.9504457066666666,7
might,5,might-probably,0.20186971041848953,7
probably,5,might-probably,0.08156533589768268,7
other,5,might-probably,0.7165649536838277,7
might,10,might-probably,0.4106404741589206,7
probably,10,might-probably,0.13045351130962818,7
other,10,might-probably,0.4589060145314512,7
might,15,might-probably,0.5336334092441509,7
probably,15,might-probably,0.15777363239089892,7
other,15,might-probably,0.30859295836495,7
might,20,might-probably,0.5956793267190328,7
probably,20,might-probably,0.17683084249456738,7
other,20,might-probably,0.22748983078639975,7
might,25,might-probably,0.6238268469233085,7
probably,25,might-probably,0.19491601166275999,7
