modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.024777146666666663,0
probably,0,might-probably,0.024777146666666663,0
other,0,might-probably,0.9504457066666666,0
might,5,might-probably,0.1769679057426162,0
probably,5,might-probably,0.06620633540138175,0
other,5,might-probably,0.756825758856002,0
might,10,might-probably,0.39922021172190625,0
probably,10,might-probably,0.10429715356668127,0
other,10,might-probably,0.4964826347114125,0
might,15,might-probably,0.5385193082867976,0
probably,15,might-probably,0.1263012686531286,0
other,15,might-probably,0.33517942306007364,0
might,20,might-probably,0.6085454171560294,0
probably,20,might-probably,0.1425007822651045,0
other,20,might-probably,0.24895380057886612,0
might,25,might-probably,0.6397691005006438,0
probably,25,might-probably,0.15909430482187267,0
other,25,might-probably,0.20113659467748338,0
might,30,might-probably,0.6487855733973874,0
probably,30,might-probably,0.17854315783732536,0
other,30,might-probably,0.1726712687652873,0
might,35,might-probably,0.643707154578483,0
probably,35,might-probably,0.20188768997238132,0
other,35,might-probably,0.15440515544913558,0
might,40,might-probably,0.6286760113964016,0
probably,40,might-probably,0.22963064692929724,0
other,40,might-probably,0.14169334167430103,0
might,45,might-probably,0.6059883138862657,0
probably,45,might-probably,0.262020892286807,0
other,45,might-probably,0.1319907938269273,0
might,50,might-probably,0.5770399213061235,0
probably,50,might-probably,0.2991529477029108,0
other,50,might-probably,0.12380713099096576,0
might,55,might-probably,0.5427475537223362,0
probably,55,might-probably,0.341020408313636,0
other,55,might-probably,0.11623203796402766,0
might,60,might-probably,0.5037338884752213,0
probably,60,might-probably,0.3875627198708105,0
other,60,might-probably,0.10870339165396828,0
might,65,might-probably,0.4604086644153348,0
probably,65,might-probably,0.43870937601999493,0
other,65,might-probably,0.10088195956467037,0
might,70,might-probably,0.41301120490235665,0
probably,70,might-probably,0.4944126238013933,0
other,70,might-probably,0.09257617129625,0
might,75,might-probably,0.3616494557210581,0
probably,75,might-probably,0.5546545181832757,0
other,75,might-probably,0.08369602609566615,0
might,80,might-probably,0.30636034580436766,0
probably,80,might-probably,0.6194053094615066,0
other,80,might-probably,0.07423434473412559,0
might,85,might-probably,0.24722894430000342,0
probably,85,might-probably,0.6884758909539507,0
other,85,might-probably,0.06429516474604582,0
might,90,might-probably,0.18467210125116812,0
probably,90,might-probably,0.7610635294542047,0
other,90,might-probably,0.05426436929462716,0
might,95,might-probably,0.12031041111270845,0
probably,95,might-probably,0.8339157584585078,0
other,95,might-probably,0.04577383042878363,0
might,100,might-probably,0.04960685807519476,0
probably,100,might-probably,0.37681742999157264,0
other,100,might-probably,0.5735757119332326,0
might,0,might-probably,0.024777146666666663,1
probably,0,might-probably,0.024777146666666663,1
other,0,might-probably,0.9504457066666666,1
might,5,might-probably,0.1995312886364606,1
probably,5,might-probably,0.0647037161395982,1
other,5,might-probably,0.7357649952239411,1
might,10,might-probably,0.40155730850055593,1
probably,10,might-probably,0.10261281153593903,1
other,10,might-probably,0.49582987996350514,1
might,15,might-probably,0.5256915113750196,1
probably,15,might-probably,0.12765872771169615,1
other,15,might-probably,0.3466497609132843,1
might,20,might-probably,0.591204962029626,1
probably,20,might-probably,0.1469365952411542,1
other,20,might-probably,0.26185844272921976,1
might,25,might-probably,0.6227989915238622,1
probably,25,might-probably,0.16545593128101796,1
other,25,might-probably,0.21174507719511965,1
might,30,might-probably,0.6341438960776024,1
probably,30,might-probably,0.1856458165816638,1
other,30,might-probably,0.18021028734073383,1
might,35,might-probably,0.6321826625024951,1
probably,35,might-probably,0.20875611501629254,1
other,35,might-probably,0.15906122248121238,1
might,40,might-probably,0.6205270049307422,1
probably,40,might-probably,0.2355303027356782,1
other,40,might-probably,0.14394269233357956,1
might,45,might-probably,0.6011552964153088,1
probably,45,might-probably,0.26646250994549836,1
other,45,might-probably,0.13238219363919287,1
might,50,might-probably,0.5752306213438005,1
probably,50,might-probably,0.30188838516183014,1
other,50,might-probably,0.12288099349436918,1
might,55,might-probably,0.5435046512600069,1
probably,55,might-probably,0.34201638494873693,1
other,55,might-probably,0.11447896379125608,1
might,60,might-probably,0.506518073488875,1
probably,60,might-probably,0.386944292104458,1
other,60,might-probably,0.106537634406667,1
might,65,might-probably,0.4646927191575141,1
probably,65,might-probably,0.43668014324678694,1
other,65,might-probably,0.09862713759569891,1
might,70,might-probably,0.41836313426037675,1
probably,70,might-probably,0.4911729023675606,1
other,70,might-probably,0.09046396337206263,1
might,75,might-probably,0.3677782332019247,1
probably,75,might-probably,0.5503468546750849,1
other,75,might-probably,0.08187491212299047,1
might,80,might-probably,0.31310153650892036,1
probably,80,might-probably,0.6141196956228471,1
other,80,might-probably,0.07277876786823247,1
might,85,might-probably,0.25445088071951816,1
probably,85,might-probably,0.6823560870610942,1
other,85,might-probably,0.06319303221938756,1
might,90,might-probably,0.19207206977497324,1
probably,90,might-probably,0.7546136987607567,1
other,90,might-probably,0.053314231464269946,1
might,95,might-probably,0.12699987277458732,1
probably,95,might-probably,0.8290138151381125,1
other,95,might-probably,0.04398631208730007,1
might,100,might-probably,0.05146666920449949,1
probably,100,might-probably,0.36066531354778364,1
other,100,might-probably,0.5878680172477166,1
might,0,might-probably,0.024777146666666663,2
probably,0,might-probably,0.024777146666666663,2
other,0,might-probably,0.9504457066666666,2
might,5,might-probably,0.18467706062533565,2
probably,5,might-probably,0.06961146411355208,2
other,5,might-probably,0.7457114752611123,2
might,10,might-probably,0.39374673041861585,2
probably,10,might-probably,0.1096418867817831,2
other,10,might-probably,0.49661138279960093,2
might,15,might-probably,0.5248188330612902,2
probably,15,might-probably,0.13361467271864247,2
other,15,might-probably,0.34156649422006735,2
might,20,might-probably,0.5932417400564926,2
probably,20,might-probably,0.15112552253772948,2
other,20,might-probably,0.25563273740577797,2
might,25,might-probably,0.6255944083776435,2
probably,25,might-probably,0.16819542571744536,2
other,25,might-probably,0.20621016590491115,2
might,30,might-probably,0.6367179336705778,2
probably,30,might-probably,0.18742016379636672,2
other,30,might-probably,0.17586190253305545,2
might,35,might-probably,0.6340884079202227,2
probably,35,might-probably,0.2099890702779806,2
other,35,might-probably,0.15592252180179675,2
might,40,might-probably,0.6215865023304613,2
probably,40,might-probably,0.23653500657907517,2
other,40,might-probably,0.14187849109046347,2
might,45,might-probably,0.6013617507567186,2
probably,45,might-probably,0.26743059916273704,2
other,45,might-probably,0.13120765008054427,2
might,50,might-probably,0.5747069931381475,2
probably,50,might-probably,0.3028903142011832,2
other,50,might-probably,0.12240269266066921,2
might,55,might-probably,0.5424712683159706,2
probably,55,might-probably,0.34301357651429754,2
other,55,might-probably,0.1145151551697319,2
might,60,might-probably,0.5052501994914465,2
probably,60,might-probably,0.3878176280165656,2
other,60,might-probably,0.1069321724919879,2
might,65,might-probably,0.4634643222894591,2
probably,65,might-probably,0.43727442335377387,2
other,65,might-probably,0.09926125435676707,2
might,70,might-probably,0.4173829419902918,2
probably,70,might-probably,0.4913482307456296,2
other,70,might-probably,0.09126882726407835,2
might,75,might-probably,0.3671300449128727,2
probably,75,might-probably,0.5500165737917627,2
other,75,might-probably,0.08285338129536446,2
might,80,might-probably,0.31270441597645227,2
probably,80,might-probably,0.6132343288925437,2
other,80,might-probably,0.07406125513100405,2
might,85,might-probably,0.25406438894458694,2
probably,85,might-probably,0.6807317047203946,2
other,85,might-probably,0.06520390633501842,2
might,90,might-probably,0.1914197436493894,2
probably,90,might-probably,0.7512413045172727,2
other,90,might-probably,0.0573389518333378,2
might,95,might-probably,0.12634265747271878,2
probably,95,might-probably,0.8187689553802314,2
other,95,might-probably,0.05488838714704972,2
might,100,might-probably,0.05133583851889869,2
probably,100,might-probably,0.3686489751359977,2
other,100,might-probably,0.5800151863451036,2
might,0,might-probably,0.024777146666666663,3
probably,0,might-probably,0.024777146666666663,3
other,0,might-probably,0.9504457066666666,3
might,5,might-probably,0.18562320026242832,3
probably,5,might-probably,0.0668086598049251,3
other,5,might-probably,0.7475681399326466,3
might,10,might-probably,0.4032729457989903,3
probably,10,might-probably,0.1041553010506402,3
other,10,might-probably,0.4925717531503695,3
might,15,might-probably,0.5378429751415414,3
probably,15,might-probably,0.12603833818367308,3
other,15,might-probably,0.3361186866747855,3
might,20,might-probably,0.6063935782204157,3
probably,20,might-probably,0.14227704599154697,3
other,20,might-probably,0.25132937578803716,3
might,25,might-probably,0.6378058542044905,3
probably,25,might-probably,0.15868631793569624,3
other,25,might-probably,0.20350782785981314,3
might,30,might-probably,0.6477311768073966,3
probably,30,might-probably,0.17766113972654363,3
other,30,might-probably,0.17460768346605968,3
might,35,might-probably,0.64387915358986,3
probably,35,might-probably,0.20027480777381665,3
other,35,might-probably,0.15584603863632324,3
might,40,might-probably,0.6301938911651591,3
probably,40,might-probably,0.22709789741110714,3
other,40,might-probably,0.1427082114237336,3
might,45,might-probably,0.6088396554608053,3
probably,45,might-probably,0.25846945256219644,3
other,45,might-probably,0.13269089197699818,3
might,50,might-probably,0.5811028142913448,3
probably,50,might-probably,0.29459058652255143,3
other,50,might-probably,0.12430659918610369,3
might,55,might-probably,0.5478044780100909,3
probably,55,might-probably,0.33556934596701904,3
other,55,might-probably,0.11662617602289005,3
might,60,might-probably,0.5094868174636137,3
probably,60,might-probably,0.38145795729275644,3
other,60,might-probably,0.10905522524362987,3
might,65,might-probably,0.4664942355104341,3
probably,65,might-probably,0.43229014455229664,3
other,65,might-probably,0.10121561993726924,3
might,70,might-probably,0.4190118594038553,3
probably,70,might-probably,0.48811080946240415,3
other,70,might-probably,0.09287733113374051,3
might,75,might-probably,0.3670989742429317,3
probably,75,might-probably,0.5489790465345099,3
other,75,might-probably,0.08392197922255844,3
might,80,might-probably,0.31074867626143976,3
probably,80,might-probably,0.6149019401264924,3
other,80,might-probably,0.0743493836120678,3
might,85,might-probably,0.2500250498288581,3
probably,85,might-probably,0.6855655737201695,3
other,85,might-probably,0.06440937645097236,3
might,90,might-probably,0.18544314790534533,3
probably,90,might-probably,0.7592846484924352,3
other,90,might-probably,0.05527220360221941,3
might,95,might-probably,0.11940437413033181,3
probably,95,might-probably,0.8275045807856941,3
other,95,might-probably,0.053091045083973915,3
might,100,might-probably,0.049265197337578434,3
probably,100,might-probably,0.39633270804392384,3
other,100,might-probably,0.5544020946184978,3
might,0,might-probably,0.024777146666666663,4
probably,0,might-probably,0.024777146666666663,4
other,0,might-probably,0.9504457066666666,4
might,5,might-probably,0.18247436601807893,4
probably,5,might-probably,0.06616880243015645,4
other,5,might-probably,0.7513568315517646,4
might,10,might-probably,0.39616219631814087,4
probably,10,might-probably,0.10450330536731879,4
other,10,might-probably,0.49933449831454035,4
might,15,might-probably,0.530572831896154,4
probably,15,might-probably,0.12770659974243673,4
other,15,might-probably,0.3417205683614092,4
might,20,might-probably,0.6000712053309645,4
probably,20,might-probably,0.14485856193508048,4
other,20,might-probably,0.255070232733955,4
might,25,might-probably,0.6324435423043722,4
probably,25,might-probably,0.16182770228037646,4
other,25,might-probably,0.20572875541525132,4
might,30,might-probably,0.6431541905693197,4
probably,30,might-probably,0.18114227300049598,4
other,30,might-probably,0.1757035364301843,4
might,35,might-probably,0.6399180230035203,4
probably,35,might-probably,0.20396356561452486,4
other,35,might-probably,0.15611841138195473,4
might,40,might-probably,0.6267054526801511,4
probably,40,might-probably,0.23091415296274986,4
other,40,might-probably,0.1423803943570989,4
might,45,might-probably,0.6057028999747645,4
probably,45,might-probably,0.26236195723281663,4
other,45,might-probably,0.13193514279241877,4
might,50,might-probably,0.5782206080311005,4
probably,50,might-probably,0.2985174157686794,4
other,50,might-probably,0.12326197620022,4
might,55,might-probably,0.5451155823077339,4
probably,55,might-probably,0.3394762733404642,4
other,55,might-probably,0.11540814435180184,4
might,60,might-probably,0.5069850810255486,4
probably,60,might-probably,0.385254073112022,4
other,60,might-probably,0.10776084586242936,4
might,65,might-probably,0.46424873184021254,4
probably,65,might-probably,0.4358244483176792,4
other,65,might-probably,0.09992681984210827,4
might,70,might-probably,0.4171806075175398,4
probably,70,might-probably,0.49115736897910345,4
other,70,might-probably,0.09166202350335653,4
might,75,might-probably,0.3659287478709561,4
probably,75,might-probably,0.5512438112084206,4
other,75,might-probably,0.08282744092062337,4
might,80,might-probably,0.3105512173344034,4
probably,80,might-probably,0.6160795558722938,4
other,80,might-probably,0.0733692267933027,4
might,85,might-probably,0.2511034161366519,4
probably,85,might-probably,0.6855133941250148,4
other,85,might-probably,0.06338318973833322,4
might,90,might-probably,0.18787484202151808,4
probably,90,might-probably,0.7583090615062393,4
other,90,might-probably,0.053816096472242524,4
might,95,might-probably,0.1226804323669397,4
probably,95,might-probably,0.8239328769916413,4
other,95,might-probably,0.05338669064141888,4
might,100,might-probably,0.05027704170792458,4
probably,100,might-probably,0.3773049373511558,4
other,100,might-probably,0.5724180209409195,4
might,0,might-probably,0.024777146666666663,5
probably,0,might-probably,0.024777146666666663,5
other,0,might-probably,0.9504457066666666,5
might,5,might-probably,0.1783502291513907,5
probably,5,might-probably,0.07505124005923482,5
other,5,might-probably,0.7465985307893743,5
might,10,might-probably,0.39314159660418857,5
probably,10,might-probably,0.11530984564365883,5
other,10,might-probably,0.49154855775215267,5
might,15,might-probably,0.5285611344482154,5
probably,15,might-probably,0.13681074048611613,5
other,15,might-probably,0.3346281250656683,5
might,20,might-probably,0.5985196655115003,5
probably,20,might-probably,0.15179416002218032,5
other,20,might-probably,0.24968617446631927,5
might,25,might-probably,0.6312036163177012,5
probably,25,might-probably,0.16687405168622477,5
other,25,might-probably,0.20192233199607407,5
might,30,might-probably,0.6422545089026649,5
probably,30,might-probably,0.18457161609203704,5
other,30,might-probably,0.17317387500529796,5
might,35,might-probably,0.6394734429250613,5
probably,35,might-probably,0.20591729156175806,5
other,35,might-probably,0.1546092655131806,5
might,40,might-probably,0.626889442609602,5
probably,40,might-probably,0.23141189042063928,5
other,40,might-probably,0.14169866696975872,5
might,45,might-probably,0.6067278063308116,5
probably,45,might-probably,0.26133602583305804,5
other,45,might-probably,0.13193616783613024,5
might,50,might-probably,0.5803076412347701,5
probably,50,might-probably,0.2958574269842751,5
other,50,might-probably,0.12383493178095481,5
might,55,might-probably,0.5484499272645459,5
probably,55,might-probably,0.33508482851399085,5
other,55,might-probably,0.11646524422146319,5
might,60,might-probably,0.5116580293361083,5
probably,60,might-probably,0.37911368634213694,5
other,60,might-probably,0.10922828432175473,5
might,65,might-probably,0.4701926167031505,5
probably,65,might-probably,0.4280717821935568,5
other,65,might-probably,0.10173560110329258,5
might,70,might-probably,0.4241042973789345,5
probably,70,might-probably,0.48215698320891276,5
other,70,might-probably,0.09373871941215264,5
might,75,might-probably,0.37326328820513077,5
probably,75,might-probably,0.5416492181087603,5
other,75,might-probably,0.08508749368610888,5
might,80,might-probably,0.31742283855097664,5
probably,80,might-probably,0.6068616556588398,5
other,80,might-probably,0.07571550579018353,5
might,85,might-probably,0.25638045823741273,5
probably,85,might-probably,0.6779459233100686,5
other,85,might-probably,0.06567361845251862,5
might,90,might-probably,0.19040510466673047,5
probably,90,might-probably,0.7542845415324991,5
other,90,might-probably,0.055310353800770394,5
might,95,might-probably,0.12151207778644044,5
probably,95,might-probably,0.8321843355505464,5
other,95,might-probably,0.0463035866630132,5
might,100,might-probably,0.048955629599961074,5
probably,100,might-probably,0.39922266063492995,5
other,100,might-probably,0.5518217097651089,5
might,0,might-probably,0.024777146666666663,6
probably,0,might-probably,0.024777146666666663,6
other,0,might-probably,0.9504457066666666,6
might,5,might-probably,0.18112961914908174,6
probably,5,might-probably,0.061666737682045586,6
other,5,might-probably,0.7572036431688725,6
might,10,might-probably,0.39050231387448786,6
probably,10,might-probably,0.0986991328502724,6
other,10,might-probably,0.5107985532752397,6
might,15,might-probably,0.5250106912741946,6
probably,15,might-probably,0.12272647755683236,6
other,15,might-probably,0.352262831168973,6
might,20,might-probably,0.5961969944483398,6
probably,20,might-probably,0.1408000570625879,6
other,20,might-probably,0.2630029484890722,6
might,25,might-probably,0.630360187088817,6
probably,25,might-probably,0.15831789572822882,6
other,25,might-probably,0.21132191718295412,6
might,30,might-probably,0.642663508221354,6
probably,30,might-probably,0.1778369124029164,6
other,30,might-probably,0.17949957937572952,6
might,35,might-probably,0.6407939040159926,6
probably,35,might-probably,0.20062771238300323,6
other,35,might-probably,0.15857838360100407,6
might,40,might-probably,0.6287156855757227,6
probably,40,might-probably,0.2274261900484047,6
other,40,might-probably,0.14385812437587253,6
might,45,might-probably,0.6085884431934934,6
probably,45,might-probably,0.25870918754010097,6
other,45,might-probably,0.13270236926640566,6
might,50,might-probably,0.5816825255466811,6
probably,50,might-probably,0.29478771462516207,6
other,50,might-probably,0.12352975982815684,6
might,55,might-probably,0.5488209710820369,6
probably,55,might-probably,0.33583992016885195,6
other,55,might-probably,0.115339108749111,6
might,60,might-probably,0.5105919076765943,6
probably,60,might-probably,0.3819318392161577,6
other,60,might-probably,0.107476253107248,6
might,65,might-probably,0.4674439187066548,6
probably,65,might-probably,0.43304297834878336,6
other,65,might-probably,0.09951310294456182,6
might,70,might-probably,0.41972281291765046,6
probably,70,might-probably,0.4890974274415213,6
other,70,might-probably,0.09117975964082818,6
might,75,might-probably,0.36768748905567267,6
probably,75,might-probably,0.5499893537769892,6
other,75,might-probably,0.08232315716733801,6
might,80,might-probably,0.3115376963420069,6
probably,80,might-probably,0.6155790539592447,6
other,80,might-probably,0.07288324969874825,6
might,85,might-probably,0.2514973562788939,6
probably,85,might-probably,0.6856108711485145,6
other,85,might-probably,0.0628917725725915,6
might,90,might-probably,0.18805005736591163,6
probably,90,might-probably,0.7594236375498107,6
other,90,might-probably,0.05252630508427757,6
might,95,might-probably,0.12266308809201572,6
probably,95,might-probably,0.8349290114047975,6
other,95,might-probably,0.042407900503186644,6
might,100,might-probably,0.050560007296875625,6
probably,100,might-probably,0.3784705157049859,6
other,100,might-probably,0.5709694769981385,6
might,0,might-probably,0.024777146666666663,7
probably,0,might-probably,0.024777146666666663,7
other,0,might-probably,0.9504457066666666,7
might,5,might-probably,0.18868792777710203,7
probably,5,might-probably,0.06735207282914266,7
other,5,might-probably,0.7439599993937552,7
might,10,might-probably,0.40290773018683834,7
probably,10,might-probably,0.10528478793795441,7
other,10,might-probably,0.4918074818752074,7
might,15,might-probably,0.5348605779023077,7
probably,15,might-probably,0.1279225983301382,7
other,15,might-probably,0.337216823767554,7
might,20,might-probably,0.6025066891313452,7
probably,20,might-probably,0.1447897606479942,7
other,20,might-probably,0.25270355022066043,7
might,25,might-probably,0.6337918661256245,7
probably,25,might-probably,0.16162680815884797,7
