modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.024777146666666663,0
probably,0,might-probably,0.024777146666666663,0
other,0,might-probably,0.9504457066666666,0
might,5,might-probably,0.14677168725711498,0
probably,5,might-probably,0.044954945589673556,0
other,5,might-probably,0.8082733671532114,0
might,10,might-probably,0.4389899564646471,0
probably,10,might-probably,0.09234987542249874,0
other,10,might-probably,0.46866016811285416,0
might,15,might-probably,0.6179540017118453,0
probably,15,might-probably,0.1255492565382877,0
other,15,might-probably,0.25649674174986686,0
might,20,might-probably,0.6896428549565288,0
probably,20,might-probably,0.14791365044034088,0
other,20,might-probably,0.16244349460313037,0
might,25,might-probably,0.7124035741075815,0
probably,25,might-probably,0.169084132523494,0
other,25,might-probably,0.11851229336892465,0
might,30,might-probably,0.7112861187552543,0
probably,30,might-probably,0.19315015904918062,0
other,30,might-probably,0.09556372219556505,0
might,35,might-probably,0.6959499243489633,0
probably,35,might-probably,0.2217449664092759,0
other,35,might-probably,0.08230510924176056,0
might,40,might-probably,0.670569474820607,0
probably,40,might-probably,0.2554795140903394,0
other,40,might-probably,0.07395101108905353,0
might,45,might-probably,0.6374165720689349,0
probably,45,might-probably,0.29433624711270656,0
other,45,might-probably,0.06824718081835848,0
might,50,might-probably,0.5982018981676065,0
probably,50,might-probably,0.3377613430264064,0
other,50,might-probably,0.0640367588059872,0
might,55,might-probably,0.5545744447014948,0
probably,55,might-probably,0.38472827229484563,0
other,55,might-probably,0.06069728300365958,0
might,60,might-probably,0.5082353428102482,0
probably,60,might-probably,0.4338662139692959,0
other,60,might-probably,0.05789844322045577,0
might,65,might-probably,0.4608546814756588,0
probably,65,might-probably,0.4836586870659869,0
other,65,might-probably,0.05548663145835438,0
might,70,might-probably,0.4139103322513945,0
probably,70,might-probably,0.5326652452371028,0
other,70,might-probably,0.05342442251150266,0
might,75,might-probably,0.368536330911148,0
probably,75,might-probably,0.5797028324963353,0
other,75,might-probably,0.0517608365925167,0
might,80,might-probably,0.3254283232214178,0
probably,80,might-probably,0.6239403472987884,0
other,80,might-probably,0.05063132947979384,0
might,85,might-probably,0.2848080082080422,0
probably,85,might-probably,0.6648851960137745,0
other,85,might-probably,0.05030679577818325,0
might,90,might-probably,0.24642184644289983,0
probably,90,might-probably,0.702227481137578,0
other,90,might-probably,0.05135067241952199,0
might,95,might-probably,0.20966682113246407,0
probably,95,might-probably,0.7353949323665997,0
other,95,might-probably,0.05493824650093615,0
might,100,might-probably,0.13188402087930357,0
probably,100,might-probably,0.4618065041154634,0
other,100,might-probably,0.40630947500523296,0
might,0,might-probably,0.024777146666666663,1
probably,0,might-probably,0.024777146666666663,1
other,0,might-probably,0.9504457066666666,1
might,5,might-probably,0.13334767870572356,1
probably,5,might-probably,0.04712072592636821,1
other,5,might-probably,0.8195315953679082,1
might,10,might-probably,0.42428709662882613,1
probably,10,might-probably,0.09992714358236425,1
other,10,might-probably,0.47578575978880966,1
might,15,might-probably,0.6109937339381225,1
probably,15,might-probably,0.13467663025575474,1
other,15,might-probably,0.2543296358061227,1
might,20,might-probably,0.6864571459123875,1
probably,20,might-probably,0.15589472775233992,1
other,20,might-probably,0.1576481263352724,1
might,25,might-probably,0.7111815410990882,1
probably,25,might-probably,0.1753842977790721,1
other,25,might-probably,0.1134341611218398,1
might,30,might-probably,0.7114892938894477,1
probably,30,might-probably,0.1977866416285919,1
other,30,might-probably,0.09072406448196027,1
might,35,might-probably,0.6974288149110449,1
probably,35,might-probably,0.2248115599207615,1
other,35,might-probably,0.07775962516819357,1
might,40,might-probably,0.6732841876226026,1
probably,40,might-probably,0.25706408509953416,1
other,40,might-probably,0.06965172727786316,1
might,45,might-probably,0.6413408239902302,1
probably,45,might-probably,0.2945291942916348,1
other,45,might-probably,0.06412998171813492,1
might,50,might-probably,0.603281619166796,1
probably,50,might-probably,0.33668033176698725,1
other,50,might-probably,0.060038049066216764,1
might,55,might-probably,0.5607085638562072,1
probably,55,might-probably,0.38253992544732496,1
other,55,might-probably,0.056751510696467784,1
might,60,might-probably,0.5152705842583907,1
probably,60,might-probably,0.43079964821786876,1
other,60,might-probably,0.05392976752374057,1
might,65,might-probably,0.46859114449286443,1
probably,65,might-probably,0.4800115834866182,1
other,65,might-probably,0.05139727202051728,1
might,70,might-probably,0.42211461228453895,1
probably,70,might-probably,0.5288076847615828,1
other,70,might-probably,0.04907770295387827,1
might,75,might-probably,0.37695809164711913,1
probably,75,might-probably,0.5760896587734746,1
other,75,might-probably,0.04695224957940625,1
might,80,might-probably,0.3338153352092403,1
probably,80,might-probably,0.6211534144100297,1
other,80,might-probably,0.045031250380730074,1
might,85,might-probably,0.2929121210619924,1
probably,85,might-probably,0.6637560529399515,1
other,85,might-probably,0.043331825998056024,1
might,90,might-probably,0.2539754879906306,1
probably,90,might-probably,0.7041888249368353,1
other,90,might-probably,0.04183568707253414,1
might,95,might-probably,0.21622564989912613,1
probably,95,might-probably,0.7435458994212862,1
other,95,might-probably,0.04022845067958756,1
might,100,might-probably,0.1337147431595084,1
probably,100,might-probably,0.45855944832475626,1
other,100,might-probably,0.40772580851573537,1
might,0,might-probably,0.024777146666666663,2
probably,0,might-probably,0.024777146666666663,2
other,0,might-probably,0.9504457066666666,2
might,5,might-probably,0.14035384214022592,2
probably,5,might-probably,0.04868278251506549,2
other,5,might-probably,0.8109633753447084,2
might,10,might-probably,0.4322751156412823,2
probably,10,might-probably,0.10056025064483066,2
other,10,might-probably,0.46716463371388706,2
might,15,might-probably,0.614300591744336,2
probably,15,might-probably,0.13324927636648493,2
other,15,might-probably,0.252450131889179,2
might,20,might-probably,0.6880636102478721,2
probably,20,might-probably,0.15334136025102865,2
other,20,might-probably,0.1585950295010993,2
might,25,might-probably,0.7125513875227293,2
probably,25,might-probably,0.1721574046772159,2
other,25,might-probably,0.11529120780005468,2
might,30,might-probably,0.7131010769619238,2
probably,30,might-probably,0.19402581304416217,2
other,30,might-probably,0.09287310999391404,2
might,35,might-probably,0.6994436823616446,2
probably,35,might-probably,0.2205513802963237,2
other,35,might-probably,0.08000493734203165,2
might,40,might-probably,0.6757450565055246,2
probably,40,might-probably,0.2523261010835256,2
other,40,might-probably,0.0719288424109498,2
might,45,might-probably,0.6442141798892653,2
probably,45,might-probably,0.289371511440084,2
other,45,might-probably,0.06641430867065065,2
might,50,might-probably,0.6064541267903077,2
probably,50,might-probably,0.3312308425103172,2
other,50,might-probably,0.062315030699375086,2
might,55,might-probably,0.5639763014974397,2
probably,55,might-probably,0.37701638544621663,2
other,55,might-probably,0.059007313056343644,2
might,60,might-probably,0.518337253763261,2
probably,60,might-probably,0.4255129198992951,2
other,60,might-probably,0.05614982633744391,2
might,65,might-probably,0.4710817301061736,2
probably,65,might-probably,0.4753498719425183,2
other,65,might-probably,0.053568397951308064,2
might,70,might-probably,0.4236025053856638,2
probably,70,might-probably,0.5252053885174357,2
other,70,might-probably,0.05119210609690035,2
might,75,might-probably,0.3769969535380009,2
probably,75,might-probably,0.5739900398794385,2
other,75,might-probably,0.04901300658256042,2
might,80,might-probably,0.33196386574263514,2
probably,80,might-probably,0.6209762392665823,2
other,80,might-probably,0.04705989499078256,2
might,85,might-probably,0.2887394297234739,2
probably,85,might-probably,0.6658798750679648,2
other,85,might-probably,0.045380695208561396,2
might,90,might-probably,0.24703028180381625,2
probably,90,might-probably,0.7089595642818105,2
other,90,might-probably,0.044010153914373254,2
might,95,might-probably,0.2059178360049753,2
probably,95,might-probably,0.7513843122058378,2
other,95,might-probably,0.042697851789186836,2
might,100,might-probably,0.1281914891934477,2
probably,100,might-probably,0.48073276580037905,2
other,100,might-probably,0.39107574500617326,2
might,0,might-probably,0.024777146666666663,3
probably,0,might-probably,0.024777146666666663,3
other,0,might-probably,0.9504457066666666,3
might,5,might-probably,0.13190249304601906,3
probably,5,might-probably,0.05058830150453335,3
other,5,might-probably,0.8175092054494476,3
might,10,might-probably,0.4283382686676659,3
probably,10,might-probably,0.10647436838128146,3
other,10,might-probably,0.4651873629510527,3
might,15,might-probably,0.6151412597758392,3
probably,15,might-probably,0.1391027605558026,3
other,15,might-probably,0.24575597966835822,3
might,20,might-probably,0.689306424870008,3
probably,20,might-probably,0.15787322011337188,3
other,20,might-probably,0.1528203550166201,3
might,25,might-probably,0.7131330380702071,3
probably,25,might-probably,0.17581097326034786,3
other,25,might-probably,0.11105598866944491,3
might,30,might-probably,0.7127425826130254,3
probably,30,might-probably,0.19740020003716946,3
other,30,might-probably,0.08985721734980513,3
might,35,might-probably,0.6979950570502659,3
probably,35,might-probably,0.2241231456502348,3
other,35,might-probably,0.07788179729949918,3
might,40,might-probably,0.6731283302027634,3
probably,40,might-probably,0.25640550917363375,3
other,40,might-probably,0.07046616062360274,3
might,45,might-probably,0.6404680773308522,3
probably,45,might-probably,0.29407692168041144,3
other,45,might-probably,0.06545500098873622,3
might,50,might-probably,0.601773341260946,3
probably,50,might-probably,0.3364710178929726,3
other,50,might-probably,0.061755640846081365,3
might,55,might-probably,0.5587115086376138,3
probably,55,might-probably,0.3825020639936011,3
other,55,might-probably,0.05878642736878505,3
might,60,might-probably,0.5129477668185966,3
probably,60,might-probably,0.43080888469172685,3
other,60,might-probably,0.05624334848967652,3
might,65,might-probably,0.4660558660115526,3
probably,65,might-probably,0.4799557543563028,3
other,65,might-probably,0.05398837963214458,3
might,70,might-probably,0.41937587889629535,3
probably,70,might-probably,0.5286351850164597,3
other,70,might-probably,0.05198893608724499,3
might,75,might-probably,0.37389720052674336,3
probably,75,might-probably,0.575817782850598,3
other,75,might-probably,0.05028501662265859,3
might,80,might-probably,0.3301948798352935,3
probably,80,might-probably,0.6208242526261166,3
other,80,might-probably,0.04898086753858977,3
might,85,might-probably,0.2884023137689111,3
probably,85,might-probably,0.6633264451771159,3
other,85,might-probably,0.048271241053972874,3
might,90,might-probably,0.24817820218154313,3
probably,90,might-probably,0.7032921769423116,3
other,90,might-probably,0.04852962087614524,3
might,95,might-probably,0.20870402854981096,3
probably,95,might-probably,0.7408925843854481,3
other,95,might-probably,0.050403387064740894,3
might,100,might-probably,0.12985821472476905,3
probably,100,might-probably,0.46936013486952344,3
other,100,might-probably,0.40078165040570746,3
might,0,might-probably,0.024777146666666663,4
probably,0,might-probably,0.024777146666666663,4
other,0,might-probably,0.9504457066666666,4
might,5,might-probably,0.149418930609571,4
probably,5,might-probably,0.04725901129748899,4
other,5,might-probably,0.80332205809294,4
might,10,might-probably,0.43133455707573,4
probably,10,might-probably,0.09724297334321662,4
other,10,might-probably,0.4714224695810534,4
might,15,might-probably,0.605452146033811,4
probably,15,might-probably,0.1322373248825324,4
other,15,might-probably,0.2623105290836565,4
might,20,might-probably,0.6774045900302877,4
probably,20,might-probably,0.15555925297743495,4
other,20,might-probably,0.1670361569922771,4
might,25,might-probably,0.7014863124628976,4
probably,25,might-probably,0.1769717112708462,4
other,25,might-probably,0.12154197626625608,4
might,30,might-probably,0.701906673414057,4
probably,30,might-probably,0.20072672856895965,4
other,30,might-probably,0.09736659801698336,4
might,35,might-probably,0.688274676923189,4
probably,35,might-probably,0.22853901736104784,4
other,35,might-probably,0.08318630571576309,4
might,40,might-probably,0.6648019620661987,4
probably,40,might-probably,0.2610779527610039,4
other,40,might-probably,0.07412008517279736,4
might,45,might-probably,0.6337441705207429,4
probably,45,might-probably,0.29841396181556457,4
other,45,might-probably,0.06784186766369242,4
might,50,might-probably,0.5967219653567887,4
probably,50,might-probably,0.34013406873119845,4
other,50,might-probably,0.06314396591201284,4
might,55,might-probably,0.5552388716557171,4
probably,55,might-probably,0.38539890223715845,4
other,55,might-probably,0.059362226107124334,4
might,60,might-probably,0.5108340061977894,4
probably,60,might-probably,0.43304126045337976,4
other,60,might-probably,0.056124733348830884,4
might,65,might-probably,0.46504210809513236,4
probably,65,might-probably,0.48172791521105407,4
other,65,might-probably,0.05322997669381357,4
might,70,might-probably,0.4192618390138506,4
probably,70,might-probably,0.5301587844521126,4
other,70,might-probably,0.0505793765340367,4
might,75,might-probably,0.3746089887016485,4
probably,75,might-probably,0.577256788560777,4
other,75,might-probably,0.04813422273757449,4
might,80,might-probably,0.33180351053799795,4
probably,80,might-probably,0.6223117910489165,4
other,80,might-probably,0.04588469841308548,4
might,85,might-probably,0.29110038734760757,4
probably,85,might-probably,0.6650776194670868,4
other,85,might-probably,0.04382199318530559,4
might,90,might-probably,0.252235828202485,4
probably,90,might-probably,0.705878180829927,4
other,90,might-probably,0.04188599096758781,4
might,95,might-probably,0.21439187054484107,4
probably,95,might-probably,0.7459018831078871,4
other,95,might-probably,0.03970624634727189,4
might,100,might-probably,0.13327218546422928,4
probably,100,might-probably,0.4616133413023462,4
other,100,might-probably,0.40511447323342453,4
might,0,might-probably,0.024777146666666663,5
probably,0,might-probably,0.024777146666666663,5
other,0,might-probably,0.9504457066666666,5
might,5,might-probably,0.14035249311390402,5
probably,5,might-probably,0.04652421849613839,5
other,5,might-probably,0.8131232883899576,5
might,10,might-probably,0.4390938171187193,5
probably,10,might-probably,0.09699604138586507,5
other,10,might-probably,0.46391014149541565,5
might,15,might-probably,0.622458560032188,5
probably,15,might-probably,0.12982596897697973,5
other,15,might-probably,0.24771547099083208,5
might,20,might-probably,0.6943844580256414,5
probably,20,might-probably,0.15069515045020204,5
other,20,might-probably,0.1549203915241566,5
might,25,might-probably,0.7167011629747617,5
probably,25,might-probably,0.17064088083965762,5
other,25,might-probably,0.1126579561855806,5
might,30,might-probably,0.7151351168629074,5
probably,30,might-probably,0.1939040243477676,5
other,30,might-probably,0.0909608587893249,5
might,35,might-probably,0.6993819948787976,5
probably,35,might-probably,0.22204774598241245,5
other,35,might-probably,0.07857025913878993,5
might,40,might-probably,0.6735962110994244,5
probably,40,might-probably,0.2555928783546337,5
other,40,might-probably,0.07081091054594187,5
might,45,might-probably,0.6400613738511732,5
probably,45,might-probably,0.29443038972388347,5
other,45,might-probably,0.06550823642494324,5
might,50,might-probably,0.6005296701133827,5
probably,50,might-probably,0.3379153323527005,5
other,50,might-probably,0.06155499753391684,5
might,55,might-probably,0.5566987561300262,5
probably,55,might-probably,0.3849426660475709,5
other,55,might-probably,0.058358577822402835,5
might,60,might-probably,0.5102998680988142,5
probably,60,might-probably,0.43409533932811706,5
other,60,might-probably,0.05560479257306879,5
might,65,might-probably,0.4629980633844417,5
probably,65,might-probably,0.4838584515568263,5
other,65,might-probably,0.05314348505873201,5
might,70,might-probably,0.41623139004917,5
probably,70,might-probably,0.5328439699289181,5
other,70,might-probably,0.05092464002191176,5
might,75,might-probably,0.3710747993194564,5
probably,75,might-probably,0.5799654871368236,5
other,75,might-probably,0.04895971354371993,5
might,80,might-probably,0.3281663652741582,5
probably,80,might-probably,0.6245329144917088,5
other,80,might-probably,0.04730072023413299,5
might,85,might-probably,0.2876858288638354,5
probably,85,might-probably,0.666279234013892,5
other,85,might-probably,0.04603493712227235,5
might,90,might-probably,0.24934834241419288,5
probably,90,might-probably,0.7053714303008574,5
other,90,might-probably,0.04528022728494961,5
might,95,might-probably,0.2124568058416459,5
probably,95,might-probably,0.7425826071868235,5
other,95,might-probably,0.04496058697153062,5
might,100,might-probably,0.1321522513017732,5
probably,100,might-probably,0.4593269539661826,5
other,100,might-probably,0.40852079473204417,5
might,0,might-probably,0.024777146666666663,6
probably,0,might-probably,0.024777146666666663,6
other,0,might-probably,0.9504457066666666,6
might,5,might-probably,0.1392403738717622,6
probably,5,might-probably,0.04474544072273602,6
other,5,might-probably,0.8160141854055017,6
might,10,might-probably,0.4294590538315942,6
probably,10,might-probably,0.09278446366952213,6
other,10,might-probably,0.4777564824988837,6
might,15,might-probably,0.6138713784059969,6
probably,15,might-probably,0.12630168200750252,6
other,15,might-probably,0.25982693958650055,6
might,20,might-probably,0.6890734145055759,6
probably,20,might-probably,0.14805364453410408,6
other,20,might-probably,0.16287294096032004,6
might,25,might-probably,0.7139624826604866,6
probably,25,might-probably,0.1682126178434141,6
other,25,might-probably,0.11782489949609931,6
might,30,might-probably,0.7144484244596211,6
probably,30,might-probably,0.19110278048105078,6
other,30,might-probably,0.09444879505932809,6
might,35,might-probably,0.7005084655030964,6
probably,35,might-probably,0.21845473549376598,6
other,35,might-probably,0.08103679900313758,6
might,40,might-probably,0.6763832131131227,6
probably,40,might-probably,0.2509638194839909,6
other,40,might-probably,0.07265296740288653,6
might,45,might-probably,0.6442976363303028,6
probably,45,might-probably,0.28871832675634834,6
other,45,might-probably,0.06698403691334878,6
might,50,might-probably,0.6058662423418337,6
probably,50,might-probably,0.3312879323305611,6
other,50,might-probably,0.06284582532760524,6
might,55,might-probably,0.5626360813822524,6
probably,55,might-probably,0.377764491604209,6
other,55,might-probably,0.05959942701353859,6
might,60,might-probably,0.5162358917095135,6
probably,60,might-probably,0.42686175494875,6
other,60,might-probably,0.056902353341736545,6
might,65,might-probably,0.46831501377222573,6
probably,65,might-probably,0.4770928340197572,6
other,65,might-probably,0.054592152208017074,6
might,70,might-probably,0.420385061441109,6
probably,70,might-probably,0.5269877666888871,6
other,70,might-probably,0.052627171870003736,6
might,75,might-probably,0.3736529753602911,6
probably,75,might-probably,0.5752879350138983,6
other,75,might-probably,0.051059089625810586,6
might,80,might-probably,0.3289009696152905,6
probably,80,might-probably,0.6210617272792508,6
other,80,might-probably,0.05003730310545861,6
might,85,might-probably,0.28642386312434304,6
probably,85,might-probably,0.6637050230045588,6
other,85,might-probably,0.04987111387109819,6
might,90,might-probably,0.24600010753354382,6
probably,90,might-probably,0.702761326876484,6
other,90,might-probably,0.05123856558997208,6
might,95,might-probably,0.20696967094636382,6
probably,95,might-probably,0.7372439917399181,6
other,95,might-probably,0.05578633731371801,6
might,100,might-probably,0.13001867307903564,6
probably,100,might-probably,0.47055570911437394,6
other,100,might-probably,0.39942561780659047,6
might,0,might-probably,0.024777146666666663,7
probably,0,might-probably,0.024777146666666663,7
other,0,might-probably,0.9504457066666666,7
might,5,might-probably,0.13751516297522665,7
probably,5,might-probably,0.0481706177010709,7
other,5,might-probably,0.8143142193237024,7
might,10,might-probably,0.42142511849534003,7
probably,10,might-probably,0.09915791440003902,7
other,10,might-probably,0.479416967104621,7
might,15,might-probably,0.6038186318452082,7
probably,15,might-probably,0.13269145889563005,7
other,15,might-probably,0.2634899092591617,7
might,20,might-probably,0.6794828200548204,7
probably,20,might-probably,0.1538840646730809,7
other,20,might-probably,0.16663311527209856,7
might,25,might-probably,0.7050229736315071,7
probably,25,might-probably,0.1737143721741373,7
