modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.024777146666666663,0
probably,0,might-probably,0.024777146666666663,0
other,0,might-probably,0.9504457066666666,0
might,5,might-probably,0.318818931065437,0
probably,5,might-probably,0.026690173972844254,0
other,5,might-probably,0.6544908949617187,0
might,10,might-probably,0.5528280755426207,0
probably,10,might-probably,0.034618785604024,0
other,10,might-probably,0.4125531388533553,0
might,15,might-probably,0.6753851191471535,0
probably,15,might-probably,0.04728147578597172,0
other,15,might-probably,0.27733340506687465,0
might,20,might-probably,0.7349360102580612,0
probably,20,might-probably,0.06347332791144741,0
other,20,might-probably,0.20159066183049146,0
might,25,might-probably,0.7605171643993216,0
probably,25,might-probably,0.08304376285182449,0
other,25,might-probably,0.15643907274885396,0
might,30,might-probably,0.7657864726364018,0
probably,30,might-probably,0.1064052584383208,0
other,30,might-probably,0.12780826892527747,0
might,35,might-probably,0.7570569248177499,0
probably,35,might-probably,0.1342525574832957,0
other,35,might-probably,0.10869051769895419,0
might,40,might-probably,0.7372265605187421,0
probably,40,might-probably,0.16739650034616346,0
other,40,might-probably,0.09537693913509437,0
might,45,might-probably,0.707612407503058,0
probably,45,might-probably,0.20660465979216383,0
other,45,might-probably,0.08578293270477799,0
might,50,might-probably,0.6689121417102343,0
probably,50,might-probably,0.25240695359920906,0
other,50,might-probably,0.07868090469055657,0
might,55,might-probably,0.6217967701997001,0
probably,55,might-probably,0.3048699433976704,0
other,55,might-probably,0.07333328640262941,0
might,60,might-probably,0.5673033988950936,0
probably,60,might-probably,0.3633840226924378,0
other,60,might-probably,0.06931257841246848,0
might,65,might-probably,0.5070460673553803,0
probably,65,might-probably,0.4265375185247632,0
other,65,might-probably,0.06641641411985662,0
might,70,might-probably,0.44321157291234514,0
probably,70,might-probably,0.4921474194142902,0
other,70,might-probably,0.06464100767336463,0
might,75,might-probably,0.3783324799919636,0
probably,75,might-probably,0.5574542288551412,0
other,75,might-probably,0.06421329115289517,0
might,80,might-probably,0.31490341433239055,0
probably,80,might-probably,0.6193600096336775,0
other,80,might-probably,0.06573657603393193,0
might,85,might-probably,0.25497855509322964,0
probably,85,might-probably,0.6743525717902898,0
other,85,might-probably,0.07066887311648051,0
might,90,might-probably,0.1999256953530937,0
probably,90,might-probably,0.7169430836991695,0
other,90,might-probably,0.08313122094773677,0
might,95,might-probably,0.15054421694192208,0
probably,95,might-probably,0.729262319896455,0
other,95,might-probably,0.12019346316162291,0
might,100,might-probably,0.0790100194335047,0
probably,100,might-probably,0.38437484644026043,0
other,100,might-probably,0.536615134126235,0
might,0,might-probably,0.024777146666666663,1
probably,0,might-probably,0.024777146666666663,1
other,0,might-probably,0.9504457066666666,1
might,5,might-probably,0.306755633387722,1
probably,5,might-probably,0.026610600132779532,1
other,5,might-probably,0.6666337664794985,1
might,10,might-probably,0.5367516871491003,1
probably,10,might-probably,0.034317426271552015,1
other,10,might-probably,0.4289308865793475,1
might,15,might-probably,0.6614975442877835,1
probably,15,might-probably,0.04680045119149818,1
other,15,might-probably,0.29170200452071826,1
might,20,might-probably,0.7239708803973736,1
probably,20,might-probably,0.06287387958137088,1
other,20,might-probably,0.21315524002125547,1
might,25,might-probably,0.751971142802354,1
probably,25,might-probably,0.0823547767902212,1
other,25,might-probably,0.16567408040742493,1
might,30,might-probably,0.7590952822541357,1
probably,30,might-probably,0.10562881805326653,1
other,30,might-probably,0.1352758996925977,1
might,35,might-probably,0.751795789618231,1
probably,35,might-probably,0.13337318878259422,1
other,35,might-probably,0.11483102159917474,1
might,40,might-probably,0.7331046400587105,1
probably,40,might-probably,0.16638839129718852,1
other,40,might-probably,0.100506968644101,1
might,45,might-probably,0.7044353260821145,1
probably,45,might-probably,0.2054385025044331,1
other,45,might-probably,0.09012617141345243,1
might,50,might-probably,0.6665461618573465,1
probably,50,might-probably,0.25105766829625964,1
other,50,might-probably,0.08239616984639372,1
might,55,might-probably,0.6201392039972515,1
probably,55,might-probably,0.3033249928652757,1
other,55,might-probably,0.07653580313747253,1
might,60,might-probably,0.5662598350484039,1
probably,60,might-probably,0.3616503068418705,1
other,60,might-probably,0.07208985810972544,1
might,65,might-probably,0.5065157607081472,1
probably,65,might-probably,0.4246436387127359,1
other,65,might-probably,0.06884060057911691,1
might,70,might-probably,0.44308252466310816,1
probably,70,might-probably,0.49013827299520696,1
other,70,might-probably,0.06677920234168494,1
might,75,might-probably,0.378485933313889,1
probably,75,might-probably,0.5553765468114746,1
other,75,might-probably,0.06613751987463629,1
might,80,might-probably,0.3152245852614417,1
probably,80,might-probably,0.6172386763941307,1
other,80,might-probably,0.0675367383444277,1
might,85,might-probably,0.2553686651288677,1
probably,85,might-probably,0.6721530533632794,1
other,85,might-probably,0.07247828150785275,1
might,90,might-probably,0.2003108325197829,1
probably,90,might-probably,0.7144879990446683,1
other,90,might-probably,0.0852011684355488,1
might,95,might-probably,0.15086168683456877,1
probably,95,might-probably,0.7259069742448481,1
other,95,might-probably,0.12323133892058306,1
might,100,might-probably,0.07822697314026512,1
probably,100,might-probably,0.37699677498603457,1
other,100,might-probably,0.5447762518737004,1
might,0,might-probably,0.024777146666666663,2
probably,0,might-probably,0.024777146666666663,2
other,0,might-probably,0.9504457066666666,2
might,5,might-probably,0.3108352435209617,2
probably,5,might-probably,0.02665665394994002,2
other,5,might-probably,0.6625081025290981,2
might,10,might-probably,0.5418953664055929,2
probably,10,might-probably,0.034547529125693886,2
other,10,might-probably,0.4235571044687132,2
might,15,might-probably,0.6656971378592736,2
probably,15,might-probably,0.04731561947317935,2
other,15,might-probably,0.28698724266754705,2
might,20,might-probably,0.7269271395980282,2
probably,20,might-probably,0.06376825729714547,2
other,20,might-probably,0.2093046031048261,2
might,25,might-probably,0.753730503848123,2
probably,25,might-probably,0.08374137056096854,2
other,25,might-probably,0.1625281255909084,2
might,30,might-probably,0.7596948568362936,2
probably,30,might-probably,0.10764823577628108,2
other,30,might-probably,0.13265690738742533,2
might,35,might-probably,0.7512076264694245,2
probably,35,might-probably,0.136193694583382,2
other,35,might-probably,0.11259867894719336,2
might,40,might-probably,0.7312482191058092,2
probably,40,might-probably,0.17019540310640013,2
other,40,might-probably,0.09855637778779062,2
might,45,might-probably,0.701211243166864,2
probably,45,might-probably,0.21041002963500471,2
other,45,might-probably,0.08837872719813117,2
might,50,might-probably,0.6618826593970547,2
probably,50,might-probably,0.2573248026328032,2
other,50,might-probably,0.08079253797014206,2
might,55,might-probably,0.6140456050423204,2
probably,55,might-probably,0.3109228399027882,2
other,55,might-probably,0.07503155505489134,2
might,60,might-probably,0.5588742506032529,2
probably,60,might-probably,0.3704731721511656,2
other,60,might-probably,0.07065257724558138,2
might,65,might-probably,0.4981287715002276,2
probably,65,might-probably,0.43442421749492566,2
other,65,might-probably,0.06744701100484667,2
might,70,might-probably,0.4341214220640396,2
probably,70,might-probably,0.5004675728611035,2
other,70,might-probably,0.06541100507485686,2
might,75,might-probably,0.36945852222260667,2
probably,75,might-probably,0.565766674594999,2
other,75,might-probably,0.0647748031823942,2
might,80,might-probably,0.3066412671319414,2
probably,80,might-probably,0.6272114262818241,2
other,80,might-probably,0.0661473065862344,2
might,85,might-probably,0.24767373282249594,2
probably,85,might-probably,0.6813284866123871,2
other,85,might-probably,0.07099778056511691,2
might,90,might-probably,0.19385087539120383,2
probably,90,might-probably,0.7226655338680655,2
other,90,might-probably,0.08348359074073057,2
might,95,might-probably,0.14591644481923266,2
probably,95,might-probably,0.7332214268546514,2
other,95,might-probably,0.12086212832611579,2
might,100,might-probably,0.07672341816717766,2
probably,100,might-probably,0.3834489290937785,2
other,100,might-probably,0.5398276527390437,2
might,0,might-probably,0.024777146666666663,3
probably,0,might-probably,0.024777146666666663,3
other,0,might-probably,0.9504457066666666,3
might,5,might-probably,0.3048265671085536,3
probably,5,might-probably,0.026624964987488706,3
other,5,might-probably,0.6685484679039575,3
might,10,might-probably,0.5338865260911336,3
probably,10,might-probably,0.034453210872408144,3
other,10,might-probably,0.4316602630364581,3
might,15,might-probably,0.6586717687580241,3
probably,15,might-probably,0.047228470359939344,3
other,15,might-probably,0.2940997608820364,3
might,20,might-probably,0.7211907610338919,3
probably,20,might-probably,0.06376719518939061,3
other,20,might-probably,0.21504204377671737,3
might,25,might-probably,0.7489772237985001,3
probably,25,might-probably,0.08389312281539794,3
other,25,might-probably,0.167129653386102,3
might,30,might-probably,0.7555828547202366,3
probably,30,might-probably,0.10801445783681506,3
other,30,might-probably,0.13640268744294842,3
might,35,might-probably,0.7474575201143593,3
probably,35,might-probably,0.13683647945037633,3
other,35,might-probably,0.11570600043526433,3
might,40,might-probably,0.7276441047681793,3
probably,40,might-probably,0.1711767100261062,3
other,40,might-probably,0.10117918520571438,3
might,45,might-probably,0.6975919546223974,3
probably,45,might-probably,0.21178462783230223,3
other,45,might-probably,0.09062341754530019,3
might,50,might-probably,0.6581399348844608,3
probably,50,might-probably,0.25912737725686935,3
other,50,might-probably,0.08273268785866983,3
might,55,might-probably,0.610128829998094,3
probably,55,might-probably,0.31315181041920215,3
other,55,might-probably,0.07671935958270376,3
might,60,might-probably,0.5547961146978692,3
probably,60,might-probably,0.37307635917421356,3
other,60,might-probably,0.07212752612791719,3
might,65,might-probably,0.4939645438244913,3
probably,65,might-probably,0.4372930061374857,3
other,65,might-probably,0.06874245003802283,3
might,70,might-probably,0.42999653494940104,3
probably,70,might-probably,0.5034444066849738,3
other,70,might-probably,0.06655905836562516,3
might,75,might-probably,0.3655248383380205,3
probably,75,might-probably,0.5686648541607275,3
other,75,might-probably,0.06581030750125183,3
might,80,might-probably,0.3030491265700403,3
probably,80,might-probably,0.6298385821119661,3
other,80,might-probably,0.06711229131799358,3
might,85,might-probably,0.2445503338173759,3
probably,85,might-probably,0.6834988721266286,3
other,85,might-probably,0.07195079405599533,3
might,90,might-probably,0.19129328808418533,3
probably,90,might-probably,0.7241764037028757,3
other,90,might-probably,0.08453030821293886,3
might,95,might-probably,0.14399365603053868,3
probably,95,might-probably,0.7336934684819357,3
other,95,might-probably,0.12231287548752556,3
might,100,might-probably,0.07549150388618193,3
probably,100,might-probably,0.380602728686931,3
other,100,might-probably,0.543905767426887,3
might,0,might-probably,0.024777146666666663,4
probably,0,might-probably,0.024777146666666663,4
other,0,might-probably,0.9504457066666666,4
might,5,might-probably,0.31315454382207486,4
probably,5,might-probably,0.0266674097187361,4
other,5,might-probably,0.660178046459189,4
might,10,might-probably,0.5448574866019279,4
probably,10,might-probably,0.034571404810801086,4
other,10,might-probably,0.420571108587271,4
might,15,might-probably,0.6681624812895092,4
probably,15,might-probably,0.047313514904272,4
other,15,might-probably,0.2845240038062189,4
might,20,might-probably,0.7288269319226399,4
probably,20,might-probably,0.06369903857324341,4
other,20,might-probably,0.20747402950411656,4
might,25,might-probably,0.7552169603266246,4
probably,25,might-probably,0.08356829436354049,4
other,25,might-probably,0.16121474530983482,4
might,30,might-probably,0.760921945175466,4
probably,30,might-probably,0.1073343617570782,4
other,30,might-probably,0.13174369306745587,4
might,35,might-probably,0.7522995267939496,4
probably,35,might-probably,0.1356986055968205,4
other,35,might-probably,0.11200186760922977,4
might,40,might-probably,0.7323026519804,4
probably,40,might-probably,0.16947495656694134,4
other,40,might-probably,0.09822239145265863,4
might,45,might-probably,0.7023042599141327,4
probably,45,might-probably,0.2094194327742165,4
other,45,might-probably,0.08827630731165059,4
might,50,might-probably,0.6630689958419811,4
probably,50,might-probably,0.2560248805260147,4
other,50,might-probably,0.08090612363200418,4
might,55,might-probably,0.6153551481450696,4
probably,55,might-probably,0.30928831436711557,4
other,55,might-probably,0.07535653748781469,4
might,60,might-probably,0.5603074540973335,4
probably,60,might-probably,0.3685001413263518,4
other,60,might-probably,0.07119240457631461,4
might,65,might-probably,0.49965488594720986,4
probably,65,might-probably,0.4321326349177743,4
other,65,might-probably,0.06821247913501588,4
might,70,might-probably,0.4356828114923196,4
probably,70,might-probably,0.49789447813425247,4
other,70,might-probably,0.06642271037342794,4
might,75,might-probably,0.37098177749897765,4
probably,75,might-probably,0.5629473744339273,4
other,75,might-probably,0.06607084806709496,4
might,80,might-probably,0.3080524837169628,4
probably,80,might-probably,0.6241461841119771,4
other,80,might-probably,0.06780133217106,4
might,85,might-probably,0.24891357484795573,4
probably,85,might-probably,0.6779235775030291,4
other,85,might-probably,0.07316284764901508,4
might,90,might-probably,0.19488519227297763,4
probably,90,might-probably,0.7185906411238753,4
other,90,might-probably,0.08652416660314703,4
might,95,might-probably,0.1467070900535243,4
probably,95,might-probably,0.7273381768892885,4
other,95,might-probably,0.12595473305718724,4
might,100,might-probably,0.07543365868054777,4
probably,100,might-probably,0.3701644427991919,4
other,100,might-probably,0.5544018985202601,4
might,0,might-probably,0.024777146666666663,5
probably,0,might-probably,0.024777146666666663,5
other,0,might-probably,0.9504457066666666,5
might,5,might-probably,0.318827039404857,5
probably,5,might-probably,0.026691370550658556,5
other,5,might-probably,0.6544815900444845,5
might,10,might-probably,0.5524246999207674,5
probably,10,might-probably,0.03461948783865116,5
other,10,might-probably,0.4129558122405814,5
might,15,might-probably,0.6748967167209656,5
probably,15,might-probably,0.04728761411434581,5
other,15,might-probably,0.2778156691646885,5
might,20,might-probably,0.7345120176200728,5
probably,20,might-probably,0.06349575667677063,5
other,20,might-probably,0.2019922257031565,5
might,25,might-probably,0.7601832799350382,5
probably,25,might-probably,0.0830936313195645,5
other,25,might-probably,0.1567230887453973,5
might,30,might-probably,0.765528523411533,5
probably,30,might-probably,0.10649384684883802,5
other,30,might-probably,0.1279776297396288,5
might,35,might-probably,0.7568509430310347,5
probably,35,might-probably,0.13439197559252114,5
other,35,might-probably,0.10875708137644403,5
might,40,might-probably,0.7370476081801852,5
probably,40,might-probably,0.16759995332664507,5
other,40,might-probably,0.09535243849316967,5
might,45,might-probably,0.7074371079901759,5
probably,45,might-probably,0.20688586169454462,5
other,45,might-probably,0.08567703031527943,5
might,50,might-probably,0.6687199928615764,5
probably,50,might-probably,0.2527785056226036,5
other,50,might-probably,0.0785015015158202,5
might,55,might-probably,0.6215717735052333,5
probably,55,might-probably,0.3053407618120457,5
other,55,might-probably,0.07308746468272101,5
might,60,might-probably,0.5670360843895668,5
probably,60,might-probably,0.36395634574750657,5
other,60,might-probably,0.06900756986292664,5
might,65,might-probably,0.5067352109506902,5
probably,65,might-probably,0.4272044949222007,5
other,65,might-probably,0.06606029412710905,5
might,70,might-probably,0.4428646208897159,5
probably,70,might-probably,0.49289241622981783,5
other,70,might-probably,0.06424296288046626,5
might,75,might-probably,0.3779640694789451,5
probably,75,might-probably,0.5582524486552343,5
other,75,might-probably,0.06378348186582045,5
might,80,might-probably,0.3145323153663452,5
probably,80,might-probably,0.6201818108507129,5
other,80,might-probably,0.06528587378294198,5
might,85,might-probably,0.25462436178990333,5
probably,85,might-probably,0.6751664634007256,5
other,85,might-probably,0.07020917480937107,5
might,90,might-probably,0.19960726199737233,5
probably,90,might-probably,0.7177145431624835,5
other,90,might-probably,0.08267819484014403,5
might,95,might-probably,0.1502828650623466,5
probably,95,might-probably,0.7299378707969688,5
other,95,might-probably,0.11977926414068454,5
might,100,might-probably,0.07893625978031292,5
probably,100,might-probably,0.3848505092031025,5
other,100,might-probably,0.5362132310165846,5
might,0,might-probably,0.024777146666666663,6
probably,0,might-probably,0.024777146666666663,6
other,0,might-probably,0.9504457066666666,6
might,5,might-probably,0.31011382373236573,6
probably,5,might-probably,0.02664641609169601,6
other,5,might-probably,0.6632397601759383,6
might,10,might-probably,0.5408943418978691,6
probably,10,might-probably,0.034490530648814764,6
other,10,might-probably,0.424615127453316,6
might,15,might-probably,0.6648018876692119,6
probably,15,might-probably,0.04717903106349583,6
other,15,might-probably,0.28801908126729225,6
might,20,might-probably,0.7262339552340414,6
probably,20,might-probably,0.06352144547929095,6
other,20,might-probably,0.21024459928666753,6
might,25,might-probably,0.7532622074512855,6
probably,25,might-probably,0.0833494348434609,6
other,25,might-probably,0.16338835770525356,6
might,30,might-probably,0.7594682648354311,6
probably,30,might-probably,0.107068640916199,6
other,30,might-probably,0.13346309424836983,6
might,35,might-probably,0.7512482188344443,6
probably,35,might-probably,0.1353754580514113,6
other,35,might-probably,0.11337632311414453,6
might,40,might-probably,0.7315898224525359,6
probably,40,might-probably,0.16908140429811785,6
other,40,might-probably,0.09932877324934639,6
might,45,might-probably,0.7018893824373517,6
probably,45,might-probably,0.20894331735780522,6
other,45,might-probably,0.08916730020484312,6
might,50,might-probably,0.6629235430107941,6
probably,50,might-probably,0.25545907361434406,6
other,50,might-probably,0.0816173833748618,6
might,55,might-probably,0.6154525970784539,6
probably,55,might-probably,0.3086354955162224,6
other,55,might-probably,0.07591190740532362,6
might,60,might-probably,0.5606155075723099,6
probably,60,might-probably,0.3677769333233639,6
other,60,might-probably,0.0716075591043261,6
might,65,might-probably,0.5001311985579046,6
probably,65,might-probably,0.4313714654382087,6
other,65,might-probably,0.06849733600388658,6
might,70,might-probably,0.4362752520404912,6
probably,70,might-probably,0.49714207409189604,6
other,70,might-probably,0.06658267386761269,6
might,75,might-probably,0.37163289936479516,6
probably,75,might-probably,0.5622605174333914,6
other,75,might-probably,0.06610658320181348,6
might,80,might-probably,0.30870605498686887,6
probably,80,might-probably,0.6235878296984638,6
other,80,might-probably,0.06770611531466729,6
might,85,might-probably,0.24951994144919964,6
probably,85,might-probably,0.6775655579463811,6
other,85,might-probably,0.0729145006044191,6
might,90,might-probably,0.19540285045282113,6
probably,90,might-probably,0.718537901446711,6
other,90,might-probably,0.08605924810046774,6
might,95,might-probably,0.14710633472659682,6
probably,95,might-probably,0.7278471692476519,6
other,95,might-probably,0.12504649602575119,6
might,100,might-probably,0.07592178745357095,6
probably,100,might-probably,0.3725630360228679,6
other,100,might-probably,0.5515151765235611,6
might,0,might-probably,0.024777146666666663,7
probably,0,might-probably,0.024777146666666663,7
other,0,might-probably,0.9504457066666666,7
might,5,might-probably,0.3154494611299644,7
probably,5,might-probably,0.026687964919035186,7
other,5,might-probably,0.6578625739510003,7
might,10,might-probably,0.5479981929404353,7
probably,10,might-probably,0.034668024198069,7
other,10,might-probably,0.4173337828614957,7
might,15,might-probably,0.6708981649090019,7
probably,15,might-probably,0.04751217365812091,7
other,15,might-probably,0.28158966143287717,7
might,20,might-probably,0.7309481110535673,7
probably,20,might-probably,0.06402035119925384,7
other,20,might-probably,0.20503153774717894,7
might,25,might-probably,0.7567666793158216,7
probably,25,might-probably,0.0840415278780612,7
