modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.024777146666666663,0
probably,0,might-probably,0.024777146666666663,0
other,0,might-probably,0.9504457066666666,0
might,5,might-probably,0.18879652057400997,0
probably,5,might-probably,0.07113600587314113,0
other,5,might-probably,0.7400674735528489,0
might,10,might-probably,0.4218499397166253,0
probably,10,might-probably,0.10740591627964433,0
other,10,might-probably,0.47074414400373044,0
might,15,might-probably,0.5646494037992563,0
probably,15,might-probably,0.12493511604081446,0
other,15,might-probably,0.31041548015992904,0
might,20,might-probably,0.6434982660725695,0
probably,20,might-probably,0.137789286800597,0
other,20,might-probably,0.21871244712683327,0
might,25,might-probably,0.6878162294008237,0
probably,25,might-probably,0.15183939111059538,0
other,25,might-probably,0.1603443794885809,0
might,30,might-probably,0.7107917568542919,0
probably,30,might-probably,0.16899470180561904,0
other,30,might-probably,0.12021354134008894,0
might,35,might-probably,0.7179897380860245,0
probably,35,might-probably,0.1900209996257666,0
other,35,might-probably,0.09198926228820874,0
might,40,might-probably,0.7121334915596451,0
probably,40,might-probably,0.21534533051881802,0
other,40,might-probably,0.07252117792153678,0
might,45,might-probably,0.6950298198597321,0
probably,45,might-probably,0.2452537273997794,0
other,45,might-probably,0.0597164527404883,0
might,50,might-probably,0.6682269845902358,0
probably,50,might-probably,0.2799414956542505,0
other,50,might-probably,0.05183151975551358,0
might,55,might-probably,0.6331291241281068,0
probably,55,might-probably,0.3195466293050696,0
other,55,might-probably,0.04732424656682346,0
might,60,might-probably,0.590903360915277,0
probably,60,might-probably,0.36418847564766843,0
other,60,might-probably,0.04490816343705457,0
might,65,might-probably,0.542367239460594,0
probably,65,might-probably,0.41399845170886007,0
other,65,might-probably,0.04363430883054602,0
might,70,might-probably,0.4879556997234836,0
probably,70,might-probably,0.46912811283330147,0
other,70,might-probably,0.042916187443214876,0
might,75,might-probably,0.4277917119952158,0
probably,75,might-probably,0.5297214768317062,0
other,75,might-probably,0.04248681117307794,0
might,80,might-probably,0.36185092417445053,0
probably,80,might-probably,0.5958148843982549,0
other,80,might-probably,0.04233419142729454,0
might,85,might-probably,0.2902535321945803,0
probably,85,might-probably,0.6670462833996303,0
other,85,might-probably,0.042700184405789286,0
might,90,might-probably,0.21388431827975055,0
probably,90,might-probably,0.7417772069787528,0
other,90,might-probably,0.04433847474149646,0
might,95,might-probably,0.13611398085199544,0
probably,95,might-probably,0.8135713350357958,0
other,95,might-probably,0.05031468411220875,0
might,100,might-probably,0.0495154211048217,0
probably,100,might-probably,0.3639759863400949,0
other,100,might-probably,0.5865085925550833,0
might,0,might-probably,0.024777146666666663,1
probably,0,might-probably,0.024777146666666663,1
other,0,might-probably,0.9504457066666666,1
might,5,might-probably,0.23134012785187746,1
probably,5,might-probably,0.0717808540404082,1
other,5,might-probably,0.6968790181077141,1
might,10,might-probably,0.45012940525961964,1
probably,10,might-probably,0.10480672563331946,1
other,10,might-probably,0.44506386910706086,1
might,15,might-probably,0.5751400057683392,1
probably,15,might-probably,0.12293878916750425,1
other,15,might-probably,0.30192120506415643,1
might,20,might-probably,0.6439768813349359,1
probably,20,might-probably,0.13741963819239422,1
other,20,might-probably,0.21860348047266978,1
might,25,might-probably,0.6822910455693482,1
probably,25,might-probably,0.152752634893072,1
other,25,might-probably,0.16495631953757975,1
might,30,might-probably,0.7015929566380739,1
probably,30,might-probably,0.1706396855789633,1
other,30,might-probably,0.12776735778296272,1
might,35,might-probably,0.7070523550225454,1
probably,35,might-probably,0.1918997975361079,1
other,35,might-probably,0.10104784744134669,1
might,40,might-probably,0.7011971284794593,1
probably,40,might-probably,0.2170469909600357,1
other,40,might-probably,0.08175588056050499,1
might,45,might-probably,0.6854735155416148,1
probably,45,might-probably,0.24645411685901872,1
other,45,might-probably,0.06807236759936643,1
might,50,might-probably,0.6609087377014571,1
probably,50,might-probably,0.28040076208312303,1
other,50,might-probably,0.05869050021541983,1
might,55,might-probably,0.628369887354724,1
probably,55,might-probably,0.31909945908728315,1
other,55,might-probably,0.05253065355799269,1
might,60,might-probably,0.5886195327112561,1
probably,60,might-probably,0.36272796462117446,1
other,60,might-probably,0.0486525026675693,1
might,65,might-probably,0.5422720864708718,1
probably,65,might-probably,0.4114668860983386,1
other,65,might-probably,0.04626102743078956,1
might,70,might-probably,0.48972626025204025,1
probably,70,might-probably,0.4655282242956741,1
other,70,might-probably,0.04474551545228563,1
might,75,might-probably,0.4311338264189214,1
probably,75,might-probably,0.5251528365415848,1
other,75,might-probably,0.043713337039493906,1
might,80,might-probably,0.36645436730914555,1
probably,80,might-probably,0.5905373262674954,1
other,80,might-probably,0.043008306423359004,1
might,85,might-probably,0.2956666834258006,1
probably,85,might-probably,0.6615835345254143,1
other,85,might-probably,0.0427497820487852,1
might,90,might-probably,0.21934245654844609,1
probably,90,might-probably,0.7370990226457921,1
other,90,might-probably,0.0435585208057617,1
might,95,might-probably,0.14038212967138153,1
probably,95,might-probably,0.8115211564424892,1
other,95,might-probably,0.04809671388612912,1
might,100,might-probably,0.049881710245750846,1
probably,100,might-probably,0.350847375858657,1
other,100,might-probably,0.5992709138955921,1
might,0,might-probably,0.024777146666666663,2
probably,0,might-probably,0.024777146666666663,2
other,0,might-probably,0.9504457066666666,2
might,5,might-probably,0.2151837451413832,2
probably,5,might-probably,0.07741076218460088,2
other,5,might-probably,0.7074054926740159,2
might,10,might-probably,0.4410308701640916,2
probably,10,might-probably,0.11425512245914794,2
other,10,might-probably,0.44471400737676037,2
might,15,might-probably,0.5686886612991006,2
probably,15,might-probably,0.1312034527406518,2
other,15,might-probably,0.3001078859602475,2
might,20,might-probably,0.63922405896857,2
probably,20,might-probably,0.14353570349333095,2
other,20,might-probably,0.21724023753809885,2
might,25,might-probably,0.6818120749395206,2
probably,25,might-probably,0.1570187653635463,2
other,25,might-probably,0.16116915969693316,2
might,30,might-probably,0.706784789735097,2
probably,30,might-probably,0.17328980507021047,2
other,30,might-probably,0.11992540519469246,2
might,35,might-probably,0.7169854963347091,2
probably,35,might-probably,0.19287191845309498,2
other,35,might-probably,0.0901425852121958,2
might,40,might-probably,0.7136546410708619,2
probably,40,might-probably,0.21612644696319752,2
other,40,might-probably,0.07021891196594061,2
might,45,might-probably,0.6983511950331044,2
probably,45,might-probably,0.24348474806317474,2
other,45,might-probably,0.0581640569037208,2
might,50,might-probably,0.6729565798080157,2
probably,50,might-probably,0.2754485815189076,2
other,50,might-probably,0.051594838673076494,2
might,55,might-probably,0.6391481165340107,2
probably,55,might-probably,0.31254686636452145,2
other,55,might-probably,0.048305017101467916,2
might,60,might-probably,0.5980276743184529,2
probably,60,might-probably,0.3552979271781098,2
other,60,might-probably,0.046674398503437194,2
might,65,might-probably,0.5500725425355809,2
probably,65,might-probably,0.4041830575318448,2
other,65,might-probably,0.0457443999325742,2
might,70,might-probably,0.4953034680309255,2
probably,70,might-probably,0.459631315763835,2
other,70,might-probably,0.045065216205239615,2
might,75,might-probably,0.4335181133437914,2
probably,75,might-probably,0.5219895973021115,2
other,75,might-probably,0.04449228935409697,2
might,80,might-probably,0.36454715431443663,2
probably,80,might-probably,0.5913972460360667,2
other,80,might-probably,0.04405559964949654,2
might,85,might-probably,0.2886596520313305,2
probably,85,might-probably,0.6673861019670124,2
other,85,might-probably,0.04395424600165699,2
might,90,might-probably,0.20746498070169392,2
probably,90,might-probably,0.7477537114467311,2
other,90,might-probably,0.04478130785157495,2
might,95,might-probably,0.12615304670022595,2
probably,95,might-probably,0.8248752584734019,2
other,95,might-probably,0.04897169482637192,2
might,100,might-probably,0.042453240002909655,2
probably,100,might-probably,0.35517269898172626,2
other,100,might-probably,0.6023740610153638,2
might,0,might-probably,0.024777146666666663,3
probably,0,might-probably,0.024777146666666663,3
other,0,might-probably,0.9504457066666666,3
might,5,might-probably,0.18767255320001475,3
probably,5,might-probably,0.07616427628024927,3
other,5,might-probably,0.7361631705197359,3
might,10,might-probably,0.43103897160507,3
probably,10,might-probably,0.11156281522607751,3
other,10,might-probably,0.45739821316885265,3
might,15,might-probably,0.5687324101565095,3
probably,15,might-probably,0.1250319588501396,3
other,15,might-probably,0.3062356309933508,3
might,20,might-probably,0.6391139511558371,3
probably,20,might-probably,0.13531458458441645,3
other,20,might-probably,0.22557146425974633,3
might,25,might-probably,0.6805436663177994,3
probably,25,might-probably,0.14892785266053377,3
other,25,might-probably,0.1705284810216669,3
might,30,might-probably,0.7060203890692917,3
probably,30,might-probably,0.16725006787403604,3
other,30,might-probably,0.1267295430566723,3
might,35,might-probably,0.7167609796489525,3
probably,35,might-probably,0.1901985462895434,3
other,35,might-probably,0.09304047406150401,3
might,40,might-probably,0.7121261931021349,3
probably,40,might-probably,0.21743086426701697,3
other,40,might-probably,0.07044294263084805,3
might,45,might-probably,0.6935906072462492,3
probably,45,might-probably,0.24876366817436812,3
other,45,might-probably,0.057645724579382725,3
might,50,might-probably,0.6642820309744576,3
probably,50,might-probably,0.2842236588753665,3
other,50,might-probably,0.05149431015017583,3
might,55,might-probably,0.627210409279212,3
probably,55,might-probably,0.32396497872735897,3
other,55,might-probably,0.048824611993428794,3
might,60,might-probably,0.5842656294739119,3
probably,60,might-probably,0.36817451790052036,3
other,60,might-probably,0.047559852625567584,3
might,65,might-probably,0.5362395786550971,3
probably,65,might-probably,0.4170300691459413,3
other,65,might-probably,0.04673035219896155,3
might,70,might-probably,0.4832526663343327,3
probably,70,might-probably,0.4707196543143298,3
other,70,might-probably,0.04602767935133744,3
might,75,might-probably,0.42510640154593327,3
probably,75,might-probably,0.529459862629971,3
other,75,might-probably,0.04543373582409565,3
might,80,might-probably,0.3614950932067254,3
probably,80,might-probably,0.5934296611327774,3
other,80,might-probably,0.045075245660497254,3
might,85,might-probably,0.2922310728385842,3
probably,85,might-probably,0.6624989438585919,3
other,85,might-probably,0.04526998330282378,3
might,90,might-probably,0.21777235162981906,3
probably,90,might-probably,0.7353534908129327,3
other,90,might-probably,0.04687415755724832,3
might,95,might-probably,0.14089707931256795,3
probably,95,might-probably,0.8057469029196505,3
other,95,might-probably,0.05335601776778155,3
might,100,might-probably,0.05030595081860387,3
probably,100,might-probably,0.3434800363913483,3
other,100,might-probably,0.6062140127900478,3
might,0,might-probably,0.024777146666666663,4
probably,0,might-probably,0.024777146666666663,4
other,0,might-probably,0.9504457066666666,4
might,5,might-probably,0.20229630260198528,4
probably,5,might-probably,0.06553075244213914,4
other,5,might-probably,0.7321729449558755,4
might,10,might-probably,0.4379295962788279,4
probably,10,might-probably,0.10219582611873952,4
other,10,might-probably,0.45987457760243255,4
might,15,might-probably,0.5741703084460948,4
probably,15,might-probably,0.1214054475786616,4
other,15,might-probably,0.3044242439752436,4
might,20,might-probably,0.6468626319293622,4
probably,20,might-probably,0.13576221462286542,4
other,20,might-probably,0.2173751534477724,4
might,25,might-probably,0.687409838650928,4
probably,25,might-probably,0.15104492267451863,4
other,25,might-probably,0.16154523867455334,4
might,30,might-probably,0.7086503294220359,4
probably,30,might-probably,0.16924416369053433,4
other,30,might-probably,0.12210550688742984,4
might,35,might-probably,0.7153064428599588,4
probably,35,might-probably,0.19117961721726057,4
other,35,might-probably,0.09351393992278058,4
might,40,might-probably,0.7093437272298387,4
probably,40,might-probably,0.21731639520269563,4
other,40,might-probably,0.07333987756746552,4
might,45,might-probably,0.6920922005251692,4
probably,45,might-probably,0.2479770444362934,4
other,45,might-probably,0.05993075503853731,4
might,50,might-probably,0.6649122623806714,4
probably,50,might-probably,0.28337899698845315,4
other,50,might-probably,0.05170874063087544,4
might,55,might-probably,0.6292380282571962,4
probably,55,might-probably,0.32363847615968144,4
other,55,might-probably,0.047123495583122316,4
might,60,might-probably,0.586407354721885,4
probably,60,might-probably,0.3687773546496268,4
other,60,might-probably,0.04481529062848825,4
might,65,might-probably,0.5374979769700267,4
probably,65,might-probably,0.41873027752047465,4
other,65,might-probably,0.043771745509498604,4
might,70,might-probably,0.4832672110814197,4
probably,70,might-probably,0.4733475374562722,4
other,70,might-probably,0.043385251462308136,4
might,75,might-probably,0.42419464841328736,4
probably,75,might-probably,0.532391304148385,4
other,75,might-probably,0.043414047438327684,4
might,80,might-probably,0.3605830607346979,4
probably,80,might-probably,0.5954966812137383,4
other,80,might-probably,0.04392025805156363,4
might,85,might-probably,0.2927092495015493,4
probably,85,might-probably,0.6619831022565538,4
other,85,might-probably,0.045307648241896904,4
might,90,might-probably,0.22116168869383215,4
probably,90,might-probably,0.730077193624389,4
other,90,might-probably,0.048761117681778765,4
might,95,might-probably,0.14806805165215622,4
probably,95,might-probably,0.7927735301068806,4
other,95,might-probably,0.05915841824096317,4
might,100,might-probably,0.05681886757423416,4
probably,100,might-probably,0.3541269679659397,4
other,100,might-probably,0.5890541644598262,4
might,0,might-probably,0.024777146666666663,5
probably,0,might-probably,0.024777146666666663,5
other,0,might-probably,0.9504457066666666,5
might,5,might-probably,0.18996654610166577,5
probably,5,might-probably,0.06832037340147101,5
other,5,might-probably,0.7417130804968631,5
might,10,might-probably,0.4377325280457698,5
probably,10,might-probably,0.10771753056255802,5
other,10,might-probably,0.45454994139167204,5
might,15,might-probably,0.5830144982376969,5
probably,15,might-probably,0.12606459294671682,5
other,15,might-probably,0.2909209088155862,5
might,20,might-probably,0.657871515905479,5
probably,20,might-probably,0.13841682616934634,5
other,20,might-probably,0.20371165792517446,5
might,25,might-probably,0.6974422685555456,5
probably,25,might-probably,0.15162185428555205,5
other,25,might-probably,0.15093587715890228,5
might,30,might-probably,0.716765514288056,5
probably,30,might-probably,0.16791872490530338,5
other,30,might-probably,0.1153157608066404,5
might,35,might-probably,0.7216906623301845,5
probably,35,might-probably,0.1882102355797649,5
other,35,might-probably,0.09009910209005051,5
might,40,might-probably,0.7146351607382457,5
probably,40,might-probably,0.21302731638637248,5
other,40,might-probably,0.07233752287538171,5
might,45,might-probably,0.6969157466791097,5
probably,45,might-probably,0.24276761949119205,5
other,45,might-probably,0.06031663382969823,5
might,50,might-probably,0.6696077361079722,5
probably,50,might-probably,0.27774030501894376,5
other,50,might-probably,0.052651958873083965,5
might,55,might-probably,0.6337616085160729,5
probably,55,might-probably,0.31817363566869705,5
other,55,might-probably,0.048064755815230016,5
might,60,might-probably,0.5903518321326394,5
probably,60,might-probably,0.36422389828352664,5
other,60,might-probably,0.045424269583833936,5
might,65,might-probably,0.5401670737902053,5
probably,65,might-probably,0.4159818779651576,5
other,65,might-probably,0.04385104824463698,5
might,70,might-probably,0.4837612561348168,5
probably,70,might-probably,0.473464406781707,5
other,70,might-probably,0.042774337083476194,5
might,75,might-probably,0.4215077045345108,5
probably,75,might-probably,0.5365772804377232,5
other,75,might-probably,0.04191501502776587,5
might,80,might-probably,0.35375479390094333,5
probably,80,might-probably,0.6050147893020763,5
other,80,might-probably,0.041230416796980245,5
might,85,might-probably,0.2811082001338984,5
probably,85,might-probably,0.6779929285080631,5
other,85,might-probably,0.04089887135803842,5
might,90,might-probably,0.2050002505842315,5
probably,90,might-probably,0.7534953260297912,5
other,90,might-probably,0.04150442338597726,5
might,95,might-probably,0.1291761669693502,5
probably,95,might-probably,0.8254347309408245,5
other,95,might-probably,0.04538910208982532,5
might,100,might-probably,0.04714252290425547,5
probably,100,might-probably,0.35598129372241355,5
other,100,might-probably,0.596876183373331,5
might,0,might-probably,0.024777146666666663,6
probably,0,might-probably,0.024777146666666663,6
other,0,might-probably,0.9504457066666666,6
might,5,might-probably,0.2250060127042581,6
probably,5,might-probably,0.06821428730916738,6
other,5,might-probably,0.7067796999865745,6
might,10,might-probably,0.4605171349223056,6
probably,10,might-probably,0.10487706031842978,6
other,10,might-probably,0.4346058047592647,6
might,15,might-probably,0.5891505878068909,6
probably,15,might-probably,0.12399698503262832,6
other,15,might-probably,0.28685242716048065,6
might,20,might-probably,0.6566672947124048,6
probably,20,might-probably,0.1384555798197299,6
other,20,might-probably,0.20487712546786524,6
might,25,might-probably,0.6939872118112203,6
probably,25,might-probably,0.1537195903969678,6
other,25,might-probably,0.15229319779181186,6
might,30,might-probably,0.7127635086677304,6
probably,30,might-probably,0.1716259921022866,6
other,30,might-probably,0.115610499229983,6
might,35,might-probably,0.7171486815983295,6
probably,35,might-probably,0.19294967341950886,6
other,35,might-probably,0.08990164498216172,6
might,40,might-probably,0.709122311060367,6
probably,40,might-probably,0.2182014080696908,6
other,40,might-probably,0.072676280869942,6
might,45,might-probably,0.6902855350075185,6
probably,45,might-probably,0.24782889289659168,6
other,45,might-probably,0.061885572095889727,6
might,50,might-probably,0.6621892706077104,6
probably,50,might-probably,0.2822388533935484,6
other,50,might-probably,0.055571875998741124,6
might,55,might-probably,0.6261973827339861,6
probably,55,might-probably,0.3217762826210478,6
other,55,might-probably,0.05202633464496615,6
might,60,might-probably,0.5833336878371388,6
probably,60,might-probably,0.36669569469434726,6
other,60,might-probably,0.049970617468513945,6
might,65,might-probably,0.5342614368294852,6
probably,65,might-probably,0.41713402768455066,6
other,65,might-probably,0.048604535485963975,6
might,70,might-probably,0.47937850818953576,6
probably,70,might-probably,0.47309327598789974,6
other,70,might-probably,0.04752821582256458,6
might,75,might-probably,0.41895444731729226,6
probably,75,might-probably,0.5344254068938668,6
other,75,might-probably,0.04662014578884093,6
might,80,might-probably,0.3532712786789482,6
probably,80,might-probably,0.6007727299476521,6
other,80,might-probably,0.045955991373399493,6
might,85,might-probably,0.2828208351572655,6
probably,85,might-probably,0.6713388833628118,6
other,85,might-probably,0.04584028147992257,6
might,90,might-probably,0.20876251800510798,6
probably,90,might-probably,0.7441033157620217,6
other,90,might-probably,0.047134166232870284,6
might,95,might-probably,0.13434258312079772,6
probably,95,might-probably,0.8123381676211588,6
other,95,might-probably,0.05331924925804332,6
might,100,might-probably,0.0493929960793311,6
probably,100,might-probably,0.351960748845344,6
other,100,might-probably,0.598646255075325,6
might,0,might-probably,0.024777146666666663,7
probably,0,might-probably,0.024777146666666663,7
other,0,might-probably,0.9504457066666666,7
might,5,might-probably,0.22493728332994842,7
probably,5,might-probably,0.06864705489491263,7
other,5,might-probably,0.7064156617751389,7
might,10,might-probably,0.44752536008225585,7
probably,10,might-probably,0.10430462581929764,7
other,10,might-probably,0.4481700140984465,7
might,15,might-probably,0.5745933185957891,7
probably,15,might-probably,0.12412394154831147,7
other,15,might-probably,0.30128273985589926,7
might,20,might-probably,0.6456170575711577,7
probably,20,might-probably,0.13951525456368136,7
other,20,might-probably,0.2148676878651608,7
might,25,might-probably,0.6868577700395379,7
probably,25,might-probably,0.15536825485512792,7
