modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.024777146666666663,0
probably,0,might-probably,0.024777146666666663,0
other,0,might-probably,0.9504457066666666,0
might,5,might-probably,0.18291972434637846,0
probably,5,might-probably,0.06408403656718396,0
other,5,might-probably,0.7529962390864375,0
might,10,might-probably,0.43122178578673387,0
probably,10,might-probably,0.11192289991097418,0
other,10,might-probably,0.45685531430229187,0
might,15,might-probably,0.5849548626773748,0
probably,15,might-probably,0.1376410350219975,0
other,15,might-probably,0.2774041023006276,0
might,20,might-probably,0.661437976438769,0
probably,20,might-probably,0.1522167698031992,0
other,20,might-probably,0.18634525375803157,0
might,25,might-probably,0.6975670331050169,0
probably,25,might-probably,0.16441924140415903,0
other,25,might-probably,0.1380137254908242,0
might,30,might-probably,0.7119289232669113,0
probably,30,might-probably,0.1778864614908065,0
other,30,might-probably,0.11018461524228228,0
might,35,might-probably,0.7128648535723319,0
probably,35,might-probably,0.19423913591109668,0
other,35,might-probably,0.09289601051657136,0
might,40,might-probably,0.7041368162137056,0
probably,40,might-probably,0.21443949671966706,0
other,40,might-probably,0.08142368706662731,0
might,45,might-probably,0.687399545722485,0
probably,45,might-probably,0.23925824708386662,0
other,45,might-probably,0.07334220719364827,0
might,50,might-probably,0.6632766372442269,0
probably,50,might-probably,0.26942081034647714,0
other,50,might-probably,0.06730255240929586,0
might,55,might-probably,0.6318748633042357,0
probably,55,might-probably,0.3056314835778623,0
other,55,might-probably,0.06249365311790201,0
might,60,might-probably,0.5930665245496699,0
probably,60,might-probably,0.3485432377173372,0
other,60,might-probably,0.058390237732992845,0
might,65,might-probably,0.5466687289842412,0
probably,65,might-probably,0.3987012419490984,0
other,65,might-probably,0.05463002906666034,0
might,70,might-probably,0.4925669178245621,0
probably,70,might-probably,0.456473823804472,0
other,70,might-probably,0.050959258370965814,0
might,75,might-probably,0.4307967192519909,0
probably,75,might-probably,0.5219543005902232,0
other,75,might-probably,0.04724898015778588,0
might,80,might-probably,0.3615937152185468,0
probably,80,might-probably,0.5946629103895837,0
other,80,might-probably,0.04374337439186936,0
might,85,might-probably,0.28552005967119776,0
probably,85,might-probably,0.6720403329966038,0
other,85,might-probably,0.042439607332198356,0
might,90,might-probably,0.20469469504332619,0
probably,90,might-probably,0.7410970284374521,0
other,90,might-probably,0.054208276519221665,0
might,95,might-probably,0.12738985037909895,0
probably,95,might-probably,0.7308048511510853,0
other,95,might-probably,0.1418052984698158,0
might,100,might-probably,0.05020499748238872,0
probably,100,might-probably,0.35078735637148173,0
other,100,might-probably,0.5990076461461296,0
might,0,might-probably,0.024777146666666663,1
probably,0,might-probably,0.024777146666666663,1
other,0,might-probably,0.9504457066666666,1
might,5,might-probably,0.17178472220389857,1
probably,5,might-probably,0.06063850184559513,1
other,5,might-probably,0.7675767759505062,1
might,10,might-probably,0.43772412476095446,1
probably,10,might-probably,0.1091405948991923,1
other,10,might-probably,0.4531352803398534,1
might,15,might-probably,0.6021338399764622,1
probably,15,might-probably,0.13413362458216455,1
other,15,might-probably,0.2637325354413731,1
might,20,might-probably,0.6801352181271554,1
probably,20,might-probably,0.1474725629373273,1
other,20,might-probably,0.17239221893551734,1
might,25,might-probably,0.7150175154678127,1
probably,25,might-probably,0.15887292427882505,1
other,25,might-probably,0.12610956025336234,1
might,30,might-probably,0.727520821844626,1
probably,30,might-probably,0.17207690123259264,1
other,30,might-probably,0.10040227692278135,1
might,35,might-probably,0.7264695597263361,1
probably,35,might-probably,0.18865983021188182,1
other,35,might-probably,0.08487061006178204,1
might,40,might-probably,0.7156634641345601,1
probably,40,might-probably,0.20955082935575373,1
other,40,might-probably,0.07478570650968609,1
might,45,might-probably,0.6966995786811994,1
probably,45,might-probably,0.2355056312419284,1
other,45,might-probably,0.06779479007687227,1
might,50,might-probably,0.6701503211493826,1
probably,50,might-probably,0.26723014691323366,1
other,50,might-probably,0.06261953193738393,1
might,55,might-probably,0.6361158482227381,1
probably,55,might-probably,0.30537746772798124,1
other,55,might-probably,0.05850668404928058,1
might,60,might-probably,0.5945266450192438,1
probably,60,might-probably,0.350490642627139,1
other,60,might-probably,0.0549827123536171,1
might,65,might-probably,0.5453328706943927,1
probably,65,might-probably,0.4029208962070001,1
other,65,might-probably,0.05174623309860698,1
might,70,might-probably,0.4886268361516174,1
probably,70,might-probably,0.46273302329862676,1
other,70,might-probably,0.048640140549755795,1
might,75,might-probably,0.4247208858263172,1
probably,75,might-probably,0.5295751958901979,1
other,75,might-probably,0.045703918283484954,1
might,80,might-probably,0.35423173919918305,1
probably,80,might-probably,0.6023849360601501,1
other,80,might-probably,0.04338332474066681,1
might,85,might-probably,0.2783407040125343,1
probably,85,might-probably,0.6784630764636542,1
other,85,might-probably,0.043196219523811426,1
might,90,might-probably,0.19977389707854565,1
probably,90,might-probably,0.7500624456965528,1
other,90,might-probably,0.05016365722490166,1
might,95,might-probably,0.12583818741698352,1
probably,95,might-probably,0.7869443366766725,1
other,95,might-probably,0.08721747590634399,1
might,100,might-probably,0.04910315126476449,1
probably,100,might-probably,0.3460477395579177,1
other,100,might-probably,0.6048491091773176,1
might,0,might-probably,0.024777146666666663,2
probably,0,might-probably,0.024777146666666663,2
other,0,might-probably,0.9504457066666666,2
might,5,might-probably,0.16896270613228362,2
probably,5,might-probably,0.06586076877982881,2
other,5,might-probably,0.7651765250878875,2
might,10,might-probably,0.4212291565900813,2
probably,10,might-probably,0.11592204564228882,2
other,10,might-probably,0.4628487977676299,2
might,15,might-probably,0.582306610787998,2
probably,15,might-probably,0.14097696666796705,2
other,15,might-probably,0.27671642254403483,2
might,20,might-probably,0.6621943555163001,2
probably,20,might-probably,0.1539489699059369,2
other,20,might-probably,0.1838566745777628,2
might,25,might-probably,0.6996181148331059,2
probably,25,might-probably,0.16479917145390285,2
other,25,might-probably,0.13558271371299122,2
might,30,might-probably,0.7143481076253878,2
probably,30,might-probably,0.17736270959800293,2
other,30,might-probably,0.10828918277660918,2
might,35,might-probably,0.7151868407653789,2
probably,35,might-probably,0.19321717538746608,2
other,35,might-probably,0.09159598384715495,2
might,40,might-probably,0.7060773972355936,2
probably,40,might-probably,0.21325336171827974,2
other,40,might-probably,0.08066924104612654,2
might,45,might-probably,0.6887613077627786,2
probably,45,might-probably,0.23817411370243619,2
other,45,might-probably,0.07306457853478525,2
might,50,might-probably,0.66392644621665,2
probably,50,might-probably,0.26863259068203604,2
other,50,might-probably,0.067440963101314,2
might,55,might-probably,0.631751147978018,2
probably,55,might-probably,0.3052428683251576,2
other,55,might-probably,0.06300598369682434,2
might,60,might-probably,0.5921969549091303,2
probably,60,might-probably,0.34853994901607016,2
other,60,might-probably,0.05926309607479934,2
might,65,might-probably,0.5451841363241234,2
probably,65,might-probably,0.3989207825510749,2
other,65,might-probably,0.055895081124801696,2
might,70,might-probably,0.49070110520595334,2
probably,70,might-probably,0.45658066300797806,2
other,70,might-probably,0.05271823178606863,2
might,75,might-probably,0.4288780753518576,2
probably,75,might-probably,0.5214358785675534,2
other,75,might-probably,0.049686046080588984,2
might,80,might-probably,0.3600799731998555,2
probably,80,might-probably,0.5929658690027286,2
other,80,might-probably,0.046954157797416,2
might,85,might-probably,0.2851557102644071,2
probably,85,might-probably,0.6697590300532036,2
other,85,might-probably,0.04508525968238914,2
might,90,might-probably,0.20619651178156104,2
probably,90,might-probably,0.7480357544988993,2
other,90,might-probably,0.04576773371953969,2
might,95,might-probably,0.12892943500942405,2
probably,95,might-probably,0.8150783616186522,2
other,95,might-probably,0.0559922033719235,2
might,100,might-probably,0.04889280957097995,2
probably,100,might-probably,0.3289664870390303,2
other,100,might-probably,0.6221407033899897,2
might,0,might-probably,0.024777146666666663,3
probably,0,might-probably,0.024777146666666663,3
other,0,might-probably,0.9504457066666666,3
might,5,might-probably,0.17480350013162138,3
probably,5,might-probably,0.059029385261464506,3
other,5,might-probably,0.766167114606914,3
might,10,might-probably,0.42686902217558864,3
probably,10,might-probably,0.10486441933070809,3
other,10,might-probably,0.46826655849370313,3
might,15,might-probably,0.5870949062791188,3
probably,15,might-probably,0.13062322395997705,3
other,15,might-probably,0.2822818697609041,3
might,20,might-probably,0.6667119917634575,3
probably,20,might-probably,0.14537167351714245,3
other,20,might-probably,0.18791633471940014,3
might,25,might-probably,0.7040511125977574,3
probably,25,might-probably,0.1577051069642852,3
other,25,might-probably,0.13824378043795724,3
might,30,might-probably,0.7187980719456223,3
probably,30,might-probably,0.17129680720201346,3
other,30,might-probably,0.10990512085236424,3
might,35,might-probably,0.7197461947424915,3
probably,35,might-probably,0.1878031457050382,3
other,35,might-probably,0.09245065955247031,3
might,40,might-probably,0.7108245146660398,3
probably,40,might-probably,0.20821700680261376,3
other,40,might-probably,0.0809584785313463,3
might,45,might-probably,0.693744740182348,3
probably,45,might-probably,0.23333614260625182,3
other,45,might-probably,0.07291911721140018,3
might,50,might-probably,0.6691487135389057,3
probably,50,might-probably,0.2639059561582535,3
other,50,might-probably,0.06694533030284079,3
might,55,might-probably,0.637154802252032,3
probably,55,might-probably,0.30063590811244667,3
other,55,might-probably,0.062209289635521234,3
might,60,might-probably,0.597657886712665,3
probably,60,might-probably,0.3441577315689515,3
other,60,might-probably,0.058184381718383534,3
might,65,might-probably,0.5505187146192835,3
probably,65,might-probably,0.39495351496054687,3
other,65,might-probably,0.05452777042016955,3
might,70,might-probably,0.4956899216978806,3
probably,70,might-probably,0.4532654230575843,3
other,70,might-probably,0.05104465524453504,3
might,75,might-probably,0.433297748435426,3
probably,75,might-probably,0.5189671435372084,3
other,75,might-probably,0.047735108027365504,3
might,80,might-probably,0.3637235335101298,3
probably,80,might-probably,0.5912709468143592,3
other,80,might-probably,0.04500551967551099,3
might,85,might-probably,0.2878544431595613,3
probably,85,might-probably,0.667782048177639,3
other,85,might-probably,0.044363508662799686,3
might,90,might-probably,0.20810038973663258,3
probably,90,might-probably,0.7409027615683638,3
other,90,might-probably,0.050996848695003774,3
might,95,might-probably,0.13180736310794652,3
probably,95,might-probably,0.7790614796499382,3
other,95,might-probably,0.08913115724211498,3
might,100,might-probably,0.05063422831756629,3
probably,100,might-probably,0.33241172439919237,3
other,100,might-probably,0.6169540472832413,3
might,0,might-probably,0.024777146666666663,4
probably,0,might-probably,0.024777146666666663,4
other,0,might-probably,0.9504457066666666,4
might,5,might-probably,0.17461921213702292,4
probably,5,might-probably,0.06427932159503731,4
other,5,might-probably,0.7611014662679397,4
might,10,might-probably,0.433258209619787,4
probably,10,might-probably,0.11319081617898501,4
other,10,might-probably,0.45355097420122803,4
might,15,might-probably,0.5933805173055267,4
probably,15,might-probably,0.13780284350448999,4
other,15,might-probably,0.26881663918998316,4
might,20,might-probably,0.6707736341050138,4
probably,20,might-probably,0.15098724526080112,4
other,20,might-probably,0.17823912063418504,4
might,25,might-probably,0.7060604483695334,4
probably,25,might-probably,0.16235167702484815,4
other,25,might-probably,0.13158787460561844,4
might,30,might-probably,0.7190943857939922,4
probably,30,might-probably,0.17556849384012507,4
other,30,might-probably,0.10533712036588265,4
might,35,might-probably,0.7185106945374281,4
probably,35,might-probably,0.19217644720138496,4
other,35,might-probably,0.08931285826118676,4
might,40,might-probably,0.7081088129837324,4
probably,40,might-probably,0.21307406156334482,4
other,40,might-probably,0.07881712545292267,4
might,45,might-probably,0.6895326730545419,4
probably,45,might-probably,0.2389855621721831,4
other,45,might-probably,0.07148176477327489,4
might,50,might-probably,0.6634100973980602,4
probably,50,might-probably,0.270585395203481,4
other,50,might-probably,0.06600450739845877,4
might,55,might-probably,0.6298910167917794,4
probably,55,might-probably,0.3085015372991816,4
other,55,might-probably,0.06160744590903888,4
might,60,might-probably,0.588939600344249,4
probably,60,might-probably,0.3532704973926621,4
other,60,might-probably,0.057789902263088826,4
might,65,might-probably,0.5405127004394364,4
probably,65,might-probably,0.4052747581257683,4
other,65,might-probably,0.05421254143479511,4
might,70,might-probably,0.4846723738017601,4
probably,70,might-probably,0.46467614519722855,4
other,70,might-probably,0.05065148100101135,4
might,75,might-probably,0.421654710305741,4
probably,75,might-probably,0.5313255674461893,4
other,75,might-probably,0.04701972224806964,4
might,80,might-probably,0.3519336972945033,4
probably,80,might-probably,0.6045106768145591,4
other,80,might-probably,0.04355562589093768,4
might,85,might-probably,0.2764296463999232,4
probably,85,might-probably,0.6819140902965001,4
other,85,might-probably,0.04165626330357669,4
might,90,might-probably,0.19757903005025843,4
probably,90,might-probably,0.754777110590565,4
other,90,might-probably,0.04764385935917646,4
might,95,might-probably,0.12348472533814395,4
probably,95,might-probably,0.780038698812213,4
other,95,might-probably,0.096476575849643,4
might,100,might-probably,0.04765887740876286,4
probably,100,might-probably,0.34350966436112557,4
other,100,might-probably,0.6088314582301116,4
might,0,might-probably,0.024777146666666663,5
probably,0,might-probably,0.024777146666666663,5
other,0,might-probably,0.9504457066666666,5
might,5,might-probably,0.16802839304260161,5
probably,5,might-probably,0.06820086227166783,5
other,5,might-probably,0.7637707446857305,5
might,10,might-probably,0.4352299044826825,5
probably,10,might-probably,0.12028810663295816,5
other,10,might-probably,0.4444819888843593,5
might,15,might-probably,0.6001249794817829,5
probably,15,might-probably,0.14315377350091324,5
other,15,might-probably,0.2567212470173039,5
might,20,might-probably,0.6781096321320524,5
probably,20,might-probably,0.15386941681609254,5
other,20,might-probably,0.16802095105185494,5
might,25,might-probably,0.7129417981521842,5
probably,25,might-probably,0.1633940948506972,5
other,25,might-probably,0.12366410699711854,5
might,30,might-probably,0.7253461407782161,5
probably,30,might-probably,0.17540858699436365,5
other,30,might-probably,0.09924527222742019,5
might,35,might-probably,0.7241235362083166,5
probably,35,might-probably,0.19128438575931553,5
other,35,might-probably,0.08459207803236785,5
might,40,might-probably,0.7130952443592109,5
probably,40,might-probably,0.21177757168930791,5
other,40,might-probably,0.07512718395148119,5
might,45,might-probably,0.6939191341521375,5
probably,45,might-probably,0.23749678279737604,5
other,45,might-probably,0.06858408305048647,5
might,50,might-probably,0.6672629143462725,5
probably,50,might-probably,0.2690057409488936,5
other,50,might-probably,0.06373134470483381,5
might,55,might-probably,0.633349154561606,5
probably,55,might-probably,0.3068113251216874,5
other,55,might-probably,0.05983952031670666,5
might,60,might-probably,0.592239857787143,5
probably,60,might-probably,0.3513174606582027,5
other,60,might-probably,0.05644268155465427,5
might,65,might-probably,0.5439922393145152,5
probably,65,might-probably,0.40277953893693963,5
other,65,might-probably,0.05322822174854508,5
might,70,might-probably,0.4887324297511265,5
probably,70,might-probably,0.4612736293449883,5
other,70,might-probably,0.04999394090388518,5
might,75,might-probably,0.4266710576992805,5
probably,75,might-probably,0.5266535888630434,5
other,75,might-probably,0.04667535343767603,5
might,80,might-probably,0.358100087539837,5
probably,80,might-probably,0.5983224296096987,5
other,80,might-probably,0.043577482850463964,5
might,85,might-probably,0.2835254649882654,5
probably,85,might-probably,0.6740069498656295,5
other,85,might-probably,0.04246758514610526,5
might,90,might-probably,0.20479233253194246,5
probably,90,might-probably,0.743519695134245,5
other,90,might-probably,0.05168797233381253,5
might,95,might-probably,0.12942897409475143,5
probably,95,might-probably,0.7531079252958037,5
other,95,might-probably,0.11746310060944493,5
might,100,might-probably,0.050870591753721196,5
probably,100,might-probably,0.34844762745519253,5
other,100,might-probably,0.6006817807910861,5
might,0,might-probably,0.024777146666666663,6
probably,0,might-probably,0.024777146666666663,6
other,0,might-probably,0.9504457066666666,6
might,5,might-probably,0.1724234911762605,6
probably,5,might-probably,0.057818571946714185,6
other,5,might-probably,0.7697579368770253,6
might,10,might-probably,0.42065363014728563,6
probably,10,might-probably,0.10337746044331268,6
other,10,might-probably,0.4759689094094016,6
might,15,might-probably,0.581082040497821,6
probably,15,might-probably,0.13020307663342107,6
other,15,might-probably,0.288714882868758,6
might,20,might-probably,0.6619113200491716,6
probably,20,might-probably,0.14587873235629492,6
other,20,might-probably,0.19220994759453341,6
might,25,might-probably,0.7003250773992743,6
probably,25,might-probably,0.15872873867806664,6
other,25,might-probably,0.14094618392265906,6
might,30,might-probably,0.7159487532434635,6
probably,30,might-probably,0.17251095075037104,6
other,30,might-probably,0.11154029600616532,6
might,35,might-probably,0.7176601072577745,6
probably,35,might-probably,0.18897626755001884,6
other,35,might-probably,0.09336362519220652,6
might,40,might-probably,0.7094456588269586,6
probably,40,might-probably,0.20918792177561232,6
other,40,might-probably,0.08136641939742903,6
might,45,might-probably,0.6930307937657448,6
probably,45,might-probably,0.2340060716822188,6
other,45,might-probably,0.07296313455203628,6
might,50,might-probably,0.6690279256064772,6
probably,50,might-probably,0.2642493820493674,6
other,50,might-probably,0.06672269234415552,6
might,55,might-probably,0.637483802734776,6
probably,55,might-probably,0.3007263006950364,6
other,55,might-probably,0.06178989657018746,6
might,60,might-probably,0.5981841772128756,6
probably,60,might-probably,0.3442015152211151,6
other,60,might-probably,0.05761430756600916,6
might,65,might-probably,0.5508596642264266,6
probably,65,might-probably,0.3953219078095729,6
other,65,might-probably,0.05381842796400062,6
might,70,might-probably,0.4953476851546075,6
probably,70,might-probably,0.4545118946719876,6
other,70,might-probably,0.0501404201734048,6
might,75,might-probably,0.4317242628662262,6
probably,75,might-probably,0.5218187502684527,6
other,75,might-probably,0.04645698686532102,6
might,80,might-probably,0.36040113764844894,6
probably,80,might-probably,0.596516790597147,6
other,80,might-probably,0.04308207175440402,6
might,85,might-probably,0.2822806564434238,6
probably,85,might-probably,0.6752836085891728,6
other,85,might-probably,0.042435734967403355,6
might,90,might-probably,0.20011057445648303,6
probably,90,might-probably,0.742334473423972,6
other,90,might-probably,0.057554952119545005,6
might,95,might-probably,0.12233156055774472,6
probably,95,might-probably,0.7167908586597342,6
other,95,might-probably,0.1608775807825212,6
might,100,might-probably,0.04771399898587146,6
probably,100,might-probably,0.3515728050698947,6
other,100,might-probably,0.6007131959442336,6
might,0,might-probably,0.024777146666666663,7
probably,0,might-probably,0.024777146666666663,7
other,0,might-probably,0.9504457066666666,7
might,5,might-probably,0.17882668754600642,7
probably,5,might-probably,0.05879174179580849,7
other,5,might-probably,0.762381570658185,7
might,10,might-probably,0.43495488670987825,7
probably,10,might-probably,0.1046974656600647,7
other,10,might-probably,0.460347647630057,7
might,15,might-probably,0.5940003194233275,7
probably,15,might-probably,0.13044433706281086,7
other,15,might-probably,0.27555534351386146,7
might,20,might-probably,0.6714963703727758,7
probably,20,might-probably,0.14540773895504158,7
other,20,might-probably,0.1830958906721824,7
might,25,might-probably,0.7070639061073652,7
probably,25,might-probably,0.15814313893051754,7
other,25,might-probably,0.13479295496211713,7
