modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.024777146666666663,0
probably,0,might-probably,0.024777146666666663,0
other,0,might-probably,0.9504457066666666,0
might,5,might-probably,0.12995300328665055,0
probably,5,might-probably,0.05207239474972774,0
other,5,might-probably,0.8179746019636217,0
might,10,might-probably,0.5477007841344693,0
probably,10,might-probably,0.08259327698954516,0
other,10,might-probably,0.3697059388759857,0
might,15,might-probably,0.6886489089323682,0
probably,15,might-probably,0.09729436513095507,0
other,15,might-probably,0.21405672593667674,0
might,20,might-probably,0.7005861948740492,0
probably,20,might-probably,0.12339191613385271,0
other,20,might-probably,0.17602188899209809,0
might,25,might-probably,0.677082717047059,0
probably,25,might-probably,0.16003582337511085,0
other,25,might-probably,0.16288145957783012,0
might,30,might-probably,0.6423385242366446,0
probably,30,might-probably,0.20344813355399036,0
other,30,might-probably,0.15421334220936503,0
might,35,might-probably,0.6031053758550032,0
probably,35,might-probably,0.25111609451656813,0
other,35,might-probably,0.14577852962842852,0
might,40,might-probably,0.5615058295951585,0
probably,40,might-probably,0.3014836388439779,0
other,40,might-probably,0.1370105315608635,0
might,45,might-probably,0.5187002253288324,0
probably,45,might-probably,0.3532826349497509,0
other,45,might-probably,0.12801713972141682,0
might,50,might-probably,0.4756797611549496,0
probably,50,might-probably,0.4053231571867182,0
other,50,might-probably,0.11899708165833213,0
might,55,might-probably,0.4333304758909815,0
probably,55,might-probably,0.45651916528210257,0
other,55,might-probably,0.1101503588269159,0
might,60,might-probably,0.39237850191848644,0
probably,60,might-probably,0.5059495323990496,0
other,60,might-probably,0.10167196568246391,0
might,65,might-probably,0.353335699312722,0
probably,65,might-probably,0.5528787784271995,0
other,65,might-probably,0.0937855222600785,0
might,70,might-probably,0.3164538647701838,0
probably,70,might-probably,0.5966789192229195,0
other,70,might-probably,0.0868672160068967,0
might,75,might-probably,0.2816588749637605,0
probably,75,might-probably,0.6364795306423412,0
other,75,might-probably,0.08186159439389819,0
might,80,might-probably,0.24839014119332176,0
probably,80,might-probably,0.6698655905470235,0
other,80,might-probably,0.08174426825965456,0
might,85,might-probably,0.215234622286369,0
probably,85,might-probably,0.6882199292508479,0
other,85,might-probably,0.09654544846278312,0
might,90,might-probably,0.1792378774440684,0
probably,90,might-probably,0.6637258995011358,0
other,90,might-probably,0.15703622305479575,0
might,95,might-probably,0.13504511570427907,0
probably,95,might-probably,0.542920664860746,0
other,95,might-probably,0.3220342194349749,0
might,100,might-probably,0.08140531909293658,0
probably,100,might-probably,0.31407577484421434,0
other,100,might-probably,0.6045189060628491,0
might,0,might-probably,0.024777146666666663,1
probably,0,might-probably,0.024777146666666663,1
other,0,might-probably,0.9504457066666666,1
might,5,might-probably,0.13382379063177915,1
probably,5,might-probably,0.05726667718687148,1
other,5,might-probably,0.8089095321813493,1
might,10,might-probably,0.5713438192969514,1
probably,10,might-probably,0.08635497936122631,1
other,10,might-probably,0.3423012013418222,1
might,15,might-probably,0.6966269235933604,1
probably,15,might-probably,0.1002380042388469,1
other,15,might-probably,0.20313507216779259,1
might,20,might-probably,0.6993452259492732,1
probably,20,might-probably,0.12791382430484208,1
other,20,might-probably,0.17274094974588464,1
might,25,might-probably,0.672426033449017,1
probably,25,might-probably,0.1655173029719896,1
other,25,might-probably,0.16205666357899334,1
might,30,might-probably,0.6372252295873312,1
probably,30,might-probably,0.20874363081062267,1
other,30,might-probably,0.15403113960204606,1
might,35,might-probably,0.5986705007579745,1
probably,35,might-probably,0.255476000783868,1
other,35,might-probably,0.14585349845815745,1
might,40,might-probably,0.5581766760900996,1
probably,40,might-probably,0.30451097376497777,1
other,40,might-probably,0.13731235014492252,1
might,45,might-probably,0.5166378103298462,1
probably,45,might-probably,0.3548133232168189,1
other,45,might-probably,0.1285488664533347,1
might,50,might-probably,0.4748770886786028,1
probably,50,might-probably,0.40538799726409824,1
other,50,might-probably,0.1197349140572989,1
might,55,might-probably,0.4336440410663259,1
probably,55,might-probably,0.4553249320218623,1
other,55,might-probably,0.11103102691181164,1
might,60,might-probably,0.3935646698713928,1
probably,60,might-probably,0.503858646452892,1
other,60,might-probably,0.10257668367571511,1
might,65,might-probably,0.3550974928477715,1
probably,65,might-probably,0.5504040709033684,1
other,65,might-probably,0.0944984362488601,1
might,70,might-probably,0.3184928302247596,1
probably,70,might-probably,0.5945334011816394,1
other,70,might-probably,0.08697376859360091,1
might,75,might-probably,0.28372712020010876,1
probably,75,might-probably,0.6357617910303649,1
other,75,might-probably,0.0805110887695262,1
might,80,might-probably,0.25032962709497286,1
probably,80,might-probably,0.6725235034744715,1
other,80,might-probably,0.07714686943055565,1
might,85,might-probably,0.21690149726315408,1
probably,85,might-probably,0.6974401517627273,1
other,85,might-probably,0.08565835097411853,1
might,90,might-probably,0.1798396449844045,1
probably,90,might-probably,0.6780725529635627,1
other,90,might-probably,0.1420878020520328,1
might,95,might-probably,0.12956469368730156,1
probably,95,might-probably,0.5268257088421284,1
other,95,might-probably,0.34360959747057,1
might,100,might-probably,0.07733849417276431,1
probably,100,might-probably,0.3058309476613882,1
other,100,might-probably,0.6168305581658474,1
might,0,might-probably,0.024777146666666663,2
probably,0,might-probably,0.024777146666666663,2
other,0,might-probably,0.9504457066666666,2
might,5,might-probably,0.12371245482745938,2
probably,5,might-probably,0.05694081068523824,2
other,5,might-probably,0.8193467344873022,2
might,10,might-probably,0.5697810984408064,2
probably,10,might-probably,0.08590693023800987,2
other,10,might-probably,0.34431197132118363,2
might,15,might-probably,0.6990405502483555,2
probably,15,might-probably,0.09882664601220101,2
other,15,might-probably,0.20213280373944334,2
might,20,might-probably,0.7014081131909812,2
probably,20,might-probably,0.12612212504170825,2
other,20,might-probably,0.17246976176731055,2
might,25,might-probably,0.6744196590384998,2
probably,25,might-probably,0.16332898693056802,2
other,25,might-probably,0.16225135403093222,2
might,30,might-probably,0.6395274552401391,2
probably,30,might-probably,0.2060649007719843,2
other,30,might-probably,0.1544076439878766,2
might,35,might-probably,0.6013274904189871,2
probably,35,might-probably,0.2523469474533412,2
other,35,might-probably,0.14632556212767156,2
might,40,might-probably,0.561086274602279,2
probably,40,might-probably,0.30106709415718913,2
other,40,might-probably,0.13784663124053198,2
might,45,might-probably,0.5196441806924676,2
probably,45,might-probably,0.3512392483509016,2
other,45,might-probably,0.12911657095663084,2
might,50,might-probably,0.4777993007631346,2
probably,50,might-probably,0.4018896146336718,2
other,50,might-probably,0.12031108460319358,2
might,55,might-probably,0.43628998191321633,2
probably,55,might-probably,0.452102564335397,2
other,55,might-probably,0.11160745375138668,2
might,60,might-probably,0.3957399039691122,2
probably,60,might-probably,0.5010737955189822,2
other,60,might-probably,0.1031863005119055,2
might,65,might-probably,0.35660923709022363,2
probably,65,might-probably,0.5481331540408765,2
other,65,might-probably,0.09525760886889986,2
might,70,might-probably,0.3191517074873942,2
probably,70,might-probably,0.592698605528639,2
other,70,might-probably,0.08814968698396683,2
might,75,might-probably,0.2833562541175473,2
probably,75,might-probably,0.6340327426699806,2
other,75,might-probably,0.08261100321247207,2
might,80,might-probably,0.24880883549082808,2
probably,80,might-probably,0.6702460276715811,2
other,80,might-probably,0.08094513683759075,2
might,85,might-probably,0.21435408487709187,2
probably,85,might-probably,0.6942382816553782,2
other,85,might-probably,0.09140763346752998,2
might,90,might-probably,0.177382154995738,2
probably,90,might-probably,0.679445866233917,2
other,90,might-probably,0.14317197877034502,2
might,95,might-probably,0.13167101512278,2
probably,95,might-probably,0.5577696531095222,2
other,95,might-probably,0.3105593317676977,2
might,100,might-probably,0.07599559229601605,2
probably,100,might-probably,0.30981596052733223,2
other,100,might-probably,0.6141884471766518,2
might,0,might-probably,0.024777146666666663,3
probably,0,might-probably,0.024777146666666663,3
other,0,might-probably,0.9504457066666666,3
might,5,might-probably,0.19623736260344257,3
probably,5,might-probably,0.05615584393425793,3
other,5,might-probably,0.7476067934622994,3
might,10,might-probably,0.5699079869689849,3
probably,10,might-probably,0.08465661308050203,3
other,10,might-probably,0.345435399950513,3
might,15,might-probably,0.6821858561738494,3
probably,15,might-probably,0.10209250483495554,3
other,15,might-probably,0.215721638991195,3
might,20,might-probably,0.6930557315581292,3
probably,20,might-probably,0.1286278586619011,3
other,20,might-probably,0.17831640977996976,3
might,25,might-probably,0.6718565337075748,3
probably,25,might-probably,0.16438935784785505,3
other,25,might-probably,0.1637541084445701,3
might,30,might-probably,0.6387869739222067,3
probably,30,might-probably,0.2066841185682862,3
other,30,might-probably,0.15452890750950699,3
might,35,might-probably,0.6007010734548843,3
probably,35,might-probably,0.2532130628901707,3
other,35,might-probably,0.146085863654945,3
might,40,might-probably,0.5601408023674825,3
probably,40,might-probably,0.302382980600564,3
other,40,might-probably,0.13747621703195345,3
might,45,might-probably,0.5183631375892888,3
probably,45,might-probably,0.35297394251191616,3
other,45,might-probably,0.1286629198987951,3
might,50,might-probably,0.47629092812487117,3
probably,50,might-probably,0.4039171287982888,3
other,50,might-probably,0.11979194307683995,3
might,55,might-probably,0.43471618650224253,3
probably,55,might-probably,0.4542588328135455,3
other,55,might-probably,0.11102498068421192,3
might,60,might-probably,0.39429831087818235,3
probably,60,might-probably,0.5032000862240327,3
other,60,might-probably,0.10250160289778501,3
might,65,might-probably,0.3555304674643851,3
probably,65,might-probably,0.5501414580083849,3
other,65,might-probably,0.09432807452722994,3
might,70,might-probably,0.3187113261825013,3
probably,70,might-probably,0.5947038712396039,3
other,70,might-probably,0.08658480257789472,3
might,75,might-probably,0.28389934894436286,3
probably,75,might-probably,0.6366429371867734,3
other,75,might-probably,0.07945771386886373,3
might,80,might-probably,0.2506912387249822,3
probably,80,might-probably,0.674928622955503,3
other,80,might-probably,0.07438013831951468,3
might,85,might-probably,0.21733376780136707,3
probably,85,might-probably,0.7013401409775012,3
other,85,might-probably,0.08132609122113173,3
might,90,might-probably,0.17898504164999493,3
probably,90,might-probably,0.674774093465615,3
other,90,might-probably,0.1462408648843901,3
might,95,might-probably,0.12756620567720214,3
probably,95,might-probably,0.5162137260538779,3
other,95,might-probably,0.35622006826891994,3
might,100,might-probably,0.07848015403894795,3
probably,100,might-probably,0.3125106175361525,3
other,100,might-probably,0.6090092284248997,3
might,0,might-probably,0.024777146666666663,4
probably,0,might-probably,0.024777146666666663,4
other,0,might-probably,0.9504457066666666,4
might,5,might-probably,0.1200272773854294,4
probably,5,might-probably,0.05485877603161314,4
other,5,might-probably,0.8251139465829573,4
might,10,might-probably,0.5619109019794972,4
probably,10,might-probably,0.08461711766057105,4
other,10,might-probably,0.3534719803599317,4
might,15,might-probably,0.6972575059900433,4
probably,15,might-probably,0.09782957115408984,4
other,15,might-probably,0.2049129228558668,4
might,20,might-probably,0.7019922224321561,4
probably,20,might-probably,0.12490497203171873,4
other,20,might-probably,0.1731028055361252,4
might,25,might-probably,0.6754836320837445,4
probably,25,might-probably,0.16224171144262564,4
other,25,might-probably,0.16227465647362982,4
might,30,might-probably,0.6403046223343626,4
probably,30,might-probably,0.2054653406695884,4
other,30,might-probably,0.15423003699604895,4
might,35,might-probably,0.601565029467228,4
probably,35,might-probably,0.25242097287660326,4
other,35,might-probably,0.14601399765616865,4
might,40,might-probably,0.56071556051414,4
probably,40,might-probably,0.30187229453849473,4
other,40,might-probably,0.1374121449473652,4
might,45,might-probably,0.5186916042173159,4
probably,45,might-probably,0.3527335710100229,4
other,45,might-probably,0.12857482477266122,4
might,50,might-probably,0.4763668493319768,4
probably,50,might-probably,0.40394521298530894,4
other,50,might-probably,0.11968793768271428,4
might,55,might-probably,0.43454138700006406,4
probably,55,might-probably,0.45452512260873545,4
other,55,might-probably,0.11093349039120048,4
might,60,might-probably,0.3938839983426703,4
probably,60,might-probably,0.5036306872433655,4
other,60,might-probably,0.10248531441396433,4
might,65,might-probably,0.3548824249372242,4
probably,65,might-probably,0.5505885583692184,4
other,65,might-probably,0.09452901669355736,4
might,70,might-probably,0.317800626915581,4
probably,70,might-probably,0.5948517840973543,4
other,70,might-probably,0.08734758898706459,4
might,75,might-probably,0.2826206174893756,4
probably,75,might-probably,0.6357543282067725,4
other,75,might-probably,0.08162505430385188,4
might,80,might-probably,0.2489093123362066,4
probably,80,might-probably,0.6715287241172189,4
other,80,might-probably,0.07956196354657458,4
might,85,might-probably,0.21547620150769248,4
probably,85,might-probably,0.6953114631526405,4
other,85,might-probably,0.08921233533966698,4
might,90,might-probably,0.1794366654489998,4
probably,90,might-probably,0.6798738074519896,4
other,90,might-probably,0.1406895270990105,4
might,95,might-probably,0.13273068633612578,4
probably,95,might-probably,0.5478957337773382,4
other,95,might-probably,0.319373579886536,4
might,100,might-probably,0.07633547085874122,4
probably,100,might-probably,0.3001563990802415,4
other,100,might-probably,0.6235081300610172,4
might,0,might-probably,0.024777146666666663,5
probably,0,might-probably,0.024777146666666663,5
other,0,might-probably,0.9504457066666666,5
might,5,might-probably,0.11911653223824276,5
probably,5,might-probably,0.05229601715070528,5
other,5,might-probably,0.828587450611052,5
might,10,might-probably,0.5510739986141023,5
probably,10,might-probably,0.08257861269470103,5
other,10,might-probably,0.36634738869119654,5
might,15,might-probably,0.6941127927443617,5
probably,15,might-probably,0.09623841277730719,5
other,15,might-probably,0.20964879447833112,5
might,20,might-probably,0.7032930386031906,5
probably,20,might-probably,0.12247899367111706,5
other,20,might-probably,0.17422796772569246,5
might,25,might-probably,0.6783796590961552,5
probably,25,might-probably,0.15924296466451954,5
other,25,might-probably,0.16237737623932533,5
might,30,might-probably,0.6434224107095693,5
probably,30,might-probably,0.20241385701758746,5
other,30,might-probably,0.15416373227284316,5
might,35,might-probably,0.6044057781762642,5
probably,35,might-probably,0.24966521801296587,5
other,35,might-probably,0.14592900381076984,5
might,40,might-probably,0.5630758811505483,5
probably,40,might-probably,0.2996263351022864,5
other,40,might-probably,0.1372977837471653,5
might,45,might-probably,0.5204655373297963,5
probably,45,might-probably,0.3511250149332634,5
other,45,might-probably,0.12840944773694013,5
might,50,might-probably,0.4775107707123253,5
probably,50,might-probably,0.4030198184273557,5
other,50,might-probably,0.11946941086031909,5
might,55,might-probably,0.4350616738525501,5
probably,55,might-probably,0.4542390965746871,5
other,55,might-probably,0.11069922957276292,5
might,60,might-probably,0.39381377222191016,5
probably,60,might-probably,0.5038285235358498,5
other,60,might-probably,0.10235770424224003,5
might,65,might-probably,0.35424423144377204,5
probably,65,might-probably,0.5509361947987156,5
other,65,might-probably,0.09481957375751243,5
might,70,might-probably,0.3165661097734779,5
probably,70,might-probably,0.5946771690844664,5
other,70,might-probably,0.08875672114205553,5
might,75,might-probably,0.2807057627588275,5
probably,75,might-probably,0.6337775902211233,5
other,75,might-probably,0.08551664702004912,5
might,80,might-probably,0.2462937628895998,5
probably,80,might-probably,0.6657204612392048,5
other,80,might-probably,0.08798577587119548,5
might,85,might-probably,0.21257510576287628,5
probably,85,might-probably,0.684255835912053,5
other,85,might-probably,0.1031690583250708,5
might,90,might-probably,0.17793899576594485,5
probably,90,might-probably,0.6713955749434676,5
other,90,might-probably,0.15066542929058757,5
might,95,might-probably,0.13904847822445474,5
probably,95,might-probably,0.5866432786652068,5
other,95,might-probably,0.2743082431103384,5
might,100,might-probably,0.0763351083105815,5
probably,100,might-probably,0.2977166712170448,5
other,100,might-probably,0.6259482204723738,5
might,0,might-probably,0.024777146666666663,6
probably,0,might-probably,0.024777146666666663,6
other,0,might-probably,0.9504457066666666,6
might,5,might-probably,0.13805122273974213,6
probably,5,might-probably,0.05630658939070371,6
other,5,might-probably,0.8056421878695542,6
might,10,might-probably,0.5558558006124921,6
probably,10,might-probably,0.0870244686194107,6
other,10,might-probably,0.3571197307680971,6
might,15,might-probably,0.6886443071047258,6
probably,15,might-probably,0.10145045572263377,6
other,15,might-probably,0.20990523717264029,6
might,20,might-probably,0.6977667328852637,6
probably,20,might-probably,0.12797565881543072,6
other,20,might-probably,0.1742576082993055,6
might,25,might-probably,0.673407054205033,6
probably,25,might-probably,0.16480220300246454,6
other,25,might-probably,0.1617907427925025,6
might,30,might-probably,0.6387133136679589,6
probably,30,might-probably,0.20790374498506814,6
other,30,might-probably,0.1533829413469728,6
might,35,might-probably,0.6000151232788278,6
probably,35,might-probably,0.2548262934472444,6
other,35,might-probably,0.14515858327392772,6
might,40,might-probably,0.5592389459521463,6
probably,40,might-probably,0.30414076732683604,6
other,40,might-probably,0.13662028672101767,6
might,45,might-probably,0.5174132218487656,6
probably,45,might-probably,0.35471895832513595,6
other,45,might-probably,0.1278678198260985,6
might,50,might-probably,0.4754095513113399,6
probably,50,might-probably,0.4055163244903762,6
other,50,might-probably,0.11907412419828377,6
might,55,might-probably,0.43400803100899,6
probably,55,might-probably,0.4555880546007842,6
other,55,might-probably,0.11040391439022583,6
might,60,might-probably,0.39385574974904514,6
probably,60,might-probably,0.5041462048490314,6
other,60,might-probably,0.1019980454019235,6
might,65,might-probably,0.3554231029197469,6
probably,65,might-probably,0.5505961118268942,6
other,65,might-probably,0.09398078525335903,6
might,70,might-probably,0.3189591949099715,6
probably,70,might-probably,0.5945030345561204,6
other,70,might-probably,0.08653777053390796,6
might,75,might-probably,0.2844050525079809,6
probably,75,might-probably,0.6353030556296883,6
other,75,might-probably,0.08029189186233092,6
might,80,might-probably,0.2511692111924141,6
probably,80,might-probably,0.670966980044294,6
other,80,might-probably,0.07786380876329178,6
might,85,might-probably,0.21764425747452149,6
probably,85,might-probably,0.6926664314059218,6
other,85,might-probably,0.08968931111955664,6
might,90,might-probably,0.18023861098204688,6
probably,90,might-probably,0.6676352922398999,6
other,90,might-probably,0.1521260967780532,6
might,95,might-probably,0.1308904008265219,6
probably,95,might-probably,0.5223947190567759,6
other,95,might-probably,0.3467148801167021,6
might,100,might-probably,0.08070606855244367,6
probably,100,might-probably,0.3158952201575639,6
other,100,might-probably,0.6033987112899923,6
might,0,might-probably,0.024777146666666663,7
probably,0,might-probably,0.024777146666666663,7
other,0,might-probably,0.9504457066666666,7
might,5,might-probably,0.12738936832227382,7
probably,5,might-probably,0.05547242190796213,7
other,5,might-probably,0.817138209769764,7
might,10,might-probably,0.5598604546221384,7
probably,10,might-probably,0.08563135757119927,7
other,10,might-probably,0.35450818780666216,7
might,15,might-probably,0.694018939583276,7
probably,15,might-probably,0.09933020708461135,7
other,15,might-probably,0.20665085333211264,7
might,20,might-probably,0.7004132133599928,7
probably,20,might-probably,0.1262198705188926,7
other,20,might-probably,0.17336691612111446,7
might,25,might-probably,0.6746174844851213,7
probably,25,might-probably,0.1634327171271735,7
