modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.024777146666666663,0
probably,0,might-probably,0.024777146666666663,0
other,0,might-probably,0.9504457066666666,0
might,5,might-probably,0.1490344783242456,0
probably,5,might-probably,0.057262380520587096,0
other,5,might-probably,0.7937031411551673,0
might,10,might-probably,0.5625618635100672,0
probably,10,might-probably,0.08713965914950322,0
other,10,might-probably,0.3502984773404296,0
might,15,might-probably,0.6888581623048442,0
probably,15,might-probably,0.1019443038714017,0
other,15,might-probably,0.20919753382375408,0
might,20,might-probably,0.6969142429954209,0
probably,20,might-probably,0.1286216638331737,0
other,20,might-probably,0.17446409317140527,0
might,25,might-probably,0.6725929182888023,0
probably,25,might-probably,0.16532465790782835,0
other,25,might-probably,0.1620824238033692,0
might,30,might-probably,0.6381289463245806,0
probably,30,might-probably,0.20817765040047043,0
other,30,might-probably,0.15369340327494896,0
might,35,might-probably,0.5996933962451728,0
probably,35,might-probably,0.2548004417704307,0
other,35,might-probably,0.14550616198439642,0
might,40,might-probably,0.5591846840130148,0
probably,40,might-probably,0.30380265311147236,0
other,40,might-probably,0.13701266287551273,0
might,45,might-probably,0.5176053081895184,0
probably,45,might-probably,0.3540932655726436,0
other,45,might-probably,0.12830142623783786,0
might,50,might-probably,0.475798212538487,0
probably,50,might-probably,0.40466341558773933,0
other,50,might-probably,0.1195383718737736,0
might,55,might-probably,0.43451839649854695,0
probably,55,might-probably,0.45459570376716774,0
other,55,might-probably,0.11088589973428543,0
might,60,might-probably,0.3943923497339018,0
probably,60,might-probably,0.5031140110136847,0
other,60,might-probably,0.10249363925241359,0
might,65,might-probably,0.35586962717300724,0
probably,65,might-probably,0.5496050878361014,0
other,65,might-probably,0.09452528499089136,0
might,70,might-probably,0.31916957364516113,0
probably,70,might-probably,0.5935473220935487,0
other,70,might-probably,0.08728310426129024,0
might,75,might-probably,0.2841985160762184,0
probably,75,might-probably,0.6341564657996006,0
other,75,might-probably,0.08164501812418097,0
might,80,might-probably,0.2504088155725178,0
probably,80,might-probably,0.6691168852238614,0
other,80,might-probably,0.08047429920362076,0
might,85,might-probably,0.2166145097305344,0
probably,85,might-probably,0.6903914579729398,0
other,85,might-probably,0.09299403229652567,0
might,90,might-probably,0.1804167926567969,0
probably,90,might-probably,0.671392096150318,0
other,90,might-probably,0.14819111119288494,0
might,95,might-probably,0.13400617523976868,0
probably,95,might-probably,0.5432257295572283,0
other,95,might-probably,0.3227680952030031,0
might,100,might-probably,0.07987657846493497,0
probably,100,might-probably,0.3163590246443414,0
other,100,might-probably,0.6037643968907236,0
might,0,might-probably,0.024777146666666663,1
probably,0,might-probably,0.024777146666666663,1
other,0,might-probably,0.9504457066666666,1
might,5,might-probably,0.17238832681634805,1
probably,5,might-probably,0.05671605704966489,1
other,5,might-probably,0.7708956161339869,1
might,10,might-probably,0.5522424248673697,1
probably,10,might-probably,0.08791997587118441,1
other,10,might-probably,0.35983759926144576,1
might,15,might-probably,0.6767777008988561,1
probably,15,might-probably,0.10495628700230361,1
other,15,might-probably,0.21826601209884008,1
might,20,might-probably,0.6911318659272917,1
probably,20,might-probably,0.1311747297845283,1
other,20,might-probably,0.17769340428818012,1
might,25,might-probably,0.6705784020765894,1
probably,25,might-probably,0.16712248728303375,1
other,25,might-probably,0.16229911064037686,1
might,30,might-probably,0.6372659625767613,1
probably,30,might-probably,0.20985277023863871,1
other,30,might-probably,0.15288126718459982,1
might,35,might-probably,0.5987777380853722,1
probably,35,might-probably,0.25680029028839846,1
other,35,might-probably,0.14442197162622947,1
might,40,might-probably,0.5579266110123244,1
probably,40,might-probably,0.30620942398885787,1
other,40,might-probably,0.1358639649988176,1
might,45,might-probably,0.5160639553350476,1
probably,45,might-probably,0.35678133461733774,1
other,45,might-probably,0.12715471004761472,1
might,50,might-probably,0.47414363861686293,1
probably,50,might-probably,0.40741719032684764,1
other,50,might-probably,0.11843917105628934,1
might,55,might-probably,0.4329588923440755,1
probably,55,might-probably,0.45716550151801016,1
other,55,might-probably,0.10987560613791439,1
might,60,might-probably,0.3931493285396629,1
probably,60,might-probably,0.5052519194693992,1
other,60,might-probably,0.10159875199093776,1
might,65,might-probably,0.3551704830748773,1
probably,65,might-probably,0.5511087193272123,1
other,65,might-probably,0.09372079759791035,1
might,70,might-probably,0.3192619096032764,1
probably,70,might-probably,0.5943545951231161,1
other,70,might-probably,0.0863834952736074,1
might,75,might-probably,0.28538808787341174,1
probably,75,might-probably,0.6345914583943535,1
other,75,might-probably,0.08002045373223467,1
might,80,might-probably,0.25307625251069144,1
probably,80,might-probably,0.6704214414931494,1
other,80,might-probably,0.07650230599615902,1
might,85,might-probably,0.22105666234990592,1
probably,85,might-probably,0.6952390963413352,1
other,85,might-probably,0.08370424130875893,1
might,90,might-probably,0.1863814723874641,1
probably,90,might-probably,0.6812645320257517,1
other,90,might-probably,0.1323539955867841,1
might,95,might-probably,0.13855412703639458,1
probably,95,might-probably,0.5435711078248765,1
other,95,might-probably,0.3178747651387289,1
might,100,might-probably,0.0813205935681723,1
probably,100,might-probably,0.3072837105632472,1
other,100,might-probably,0.6113956958685806,1
might,0,might-probably,0.024777146666666663,2
probably,0,might-probably,0.024777146666666663,2
other,0,might-probably,0.9504457066666666,2
might,5,might-probably,0.14049985921166921,2
probably,5,might-probably,0.053280793241941814,2
other,5,might-probably,0.8062193475463888,2
might,10,might-probably,0.5723527376911974,2
probably,10,might-probably,0.081966107806182,2
other,10,might-probably,0.34568115450262044,2
might,15,might-probably,0.6971251948285594,2
probably,15,might-probably,0.09721190770256591,2
other,15,might-probably,0.2056628974688747,2
might,20,might-probably,0.7009439396860192,2
probably,20,might-probably,0.1252776600657932,2
other,20,might-probably,0.17377840024818747,2
might,25,might-probably,0.6740059496505437,2
probably,25,might-probably,0.16356840059150138,2
other,25,might-probably,0.16242564975795493,2
might,30,might-probably,0.6378824266383415,2
probably,30,might-probably,0.20804784085728303,2
other,30,might-probably,0.15406973250437545,2
might,35,might-probably,0.5980025791156925,2
probably,35,might-probably,0.25638809737439966,2
other,35,might-probably,0.14560932350990785,2
might,40,might-probably,0.5560845088688683,2
probably,40,might-probably,0.30713045234395076,2
other,40,might-probably,0.13678503878718087,2
might,45,might-probably,0.5132244251280544,2
probably,45,might-probably,0.35901273832889846,2
other,45,might-probably,0.12776283654304707,2
might,50,might-probably,0.47040783773563777,2
probably,50,might-probably,0.4108453493954771,2
other,50,might-probably,0.1187468128688851,2
might,55,might-probably,0.42850761183799824,2
probably,55,might-probably,0.46156985172718945,2
other,55,might-probably,0.10992253643481226,2
might,60,might-probably,0.3882283284965884,2
probably,60,might-probably,0.510330686245566,2
other,60,might-probably,0.10144098525784567,2
might,65,might-probably,0.3500681281692252,2
probably,65,might-probably,0.5565204386608208,2
other,65,might-probably,0.09341143316995391,2
might,70,might-probably,0.3143008597720098,2
probably,70,might-probably,0.5997887225112218,2
other,70,might-probably,0.08591041771676827,2
might,75,might-probably,0.2809496278100122,2
probably,75,might-probably,0.6399480891561539,2
other,75,might-probably,0.07910228303383393,2
might,80,might-probably,0.24962144851808532,2
probably,80,might-probably,0.6761641361865367,2
other,80,might-probably,0.07421441529537792,2
might,85,might-probably,0.21881378967115986,2
probably,85,might-probably,0.7014352503364227,2
other,85,might-probably,0.07975095999241735,2
might,90,might-probably,0.18372283732922098,2
probably,90,might-probably,0.6756292687037132,2
other,90,might-probably,0.14064789396706576,2
might,95,might-probably,0.12888099969808636,2
probably,95,might-probably,0.49315063211854293,2
other,95,might-probably,0.37796836818337076,2
might,100,might-probably,0.08426870510159731,2
probably,100,might-probably,0.3195974264938499,2
other,100,might-probably,0.5961338684045527,2
might,0,might-probably,0.024777146666666663,3
probably,0,might-probably,0.024777146666666663,3
other,0,might-probably,0.9504457066666666,3
might,5,might-probably,0.1260628650163253,3
probably,5,might-probably,0.04900459975501741,3
other,5,might-probably,0.8249325352286572,3
might,10,might-probably,0.5675054026229602,3
probably,10,might-probably,0.07755975016828331,3
other,10,might-probably,0.35493484720875645,3
might,15,might-probably,0.7005699309982156,3
probably,15,might-probably,0.09280432812952404,3
other,15,might-probably,0.2066257408722602,3
might,20,might-probably,0.7049184228027154,3
probably,20,might-probably,0.12100244308299053,3
other,20,might-probably,0.17407913411429396,3
might,25,might-probably,0.6773321582140888,3
probably,25,might-probably,0.15989997676535384,3
other,25,might-probably,0.1627678650205573,3
might,30,might-probably,0.6402458324204079,3
probably,30,might-probably,0.2054401602534068,3
other,30,might-probably,0.15431400732618514,3
might,35,might-probably,0.5991531730361411,3
probably,35,might-probably,0.255201172960978,3
other,35,might-probably,0.14564565400288076,3
might,40,might-probably,0.5558729110573323,3
probably,40,might-probably,0.3075563028689051,3
other,40,might-probably,0.13657078607376247,3
might,45,might-probably,0.511666113230852,3
probably,45,might-probably,0.36103254748728897,3
other,45,might-probably,0.12730133928185897,3
might,50,might-probably,0.46768500758538745,3
probably,50,might-probably,0.4142358135101265,3
other,50,might-probably,0.11807917890448603,3
might,55,might-probably,0.4249361711258587,3
probably,55,might-probably,0.46594350317264244,3
other,55,might-probably,0.10912032570149872,3
might,60,might-probably,0.3842095299926772,3
probably,60,might-probably,0.5151911773572365,3
other,60,might-probably,0.1005992926500862,3
might,65,might-probably,0.34603580493228747,3
probably,65,might-probably,0.5613100108759395,3
other,65,might-probably,0.09265418419177304,3
might,70,might-probably,0.3106663295370941,3
probably,70,might-probably,0.6038862451831951,3
other,70,might-probably,0.08544742527971096,3
might,75,might-probably,0.2780411818534299,3
probably,75,might-probably,0.6425258728725967,3
other,75,might-probably,0.07943294527397333,3
might,80,might-probably,0.24767769633529435,3
probably,80,might-probably,0.6759088042469558,3
other,80,might-probably,0.07641349941774993,3
might,85,might-probably,0.21837936496861435,3
probably,85,might-probably,0.6980820841135293,3
other,85,might-probably,0.08353855091785638,3
might,90,might-probably,0.18735442411311518,3
probably,90,might-probably,0.6846226120999914,3
other,90,might-probably,0.12802296378689326,3
might,95,might-probably,0.14419748205878546,3
probably,95,might-probably,0.5562911334625953,3
other,95,might-probably,0.29951138447861914,3
might,100,might-probably,0.08430557128031374,3
probably,100,might-probably,0.30441331425136564,3
other,100,might-probably,0.6112811144683206,3
might,0,might-probably,0.024777146666666663,4
probably,0,might-probably,0.024777146666666663,4
other,0,might-probably,0.9504457066666666,4
might,5,might-probably,0.1574834592708637,4
probably,5,might-probably,0.05515762153697868,4
other,5,might-probably,0.7873589191921575,4
might,10,might-probably,0.5656336284984493,4
probably,10,might-probably,0.08438475301276203,4
other,10,might-probably,0.3499816184887885,4
might,15,might-probably,0.6892844288186315,4
probably,15,might-probably,0.10007165522493747,4
other,15,might-probably,0.21064391595643092,4
might,20,might-probably,0.6977270048830158,4
probably,20,might-probably,0.1269419010147708,4
other,20,might-probably,0.17533109410221337,4
might,25,might-probably,0.6736862234157538,4
probably,25,might-probably,0.1637899354454583,4
other,25,might-probably,0.16252384113878787,4
might,30,might-probably,0.6390345475195333,4
probably,30,might-probably,0.20703988025724157,4
other,30,might-probably,0.15392557222322512,4
might,35,might-probably,0.6001257324355125,4
probably,35,might-probably,0.25428355571825434,4
other,35,might-probably,0.14559071184623307,4
might,40,might-probably,0.5590266508857618,4
probably,40,might-probably,0.3040220154201768,4
other,40,might-probably,0.1369513336940614,4
might,45,might-probably,0.5168425790078602,4
probably,45,might-probably,0.3550624220869245,4
other,45,might-probably,0.12809499890521522,4
might,50,might-probably,0.4744910701583046,4
probably,50,might-probably,0.406307618776931,4
other,50,might-probably,0.11920131106476425,4
might,55,might-probably,0.4327857261758292,4
probably,55,might-probably,0.4567667478321332,4
other,55,might-probably,0.11044752599203744,4
might,60,might-probably,0.39239354822196837,4
probably,60,might-probably,0.5056071774049654,4
other,60,might-probably,0.10199927437306616,4
might,65,might-probably,0.35378386281258106,4
probably,65,might-probably,0.5521717217239389,4
other,65,might-probably,0.09404441546347994,4
might,70,might-probably,0.3171775929453826,4
probably,70,might-probably,0.5958948268369492,4
other,70,might-probably,0.08692758021766818,4
might,75,might-probably,0.28247937155368663,4
probably,75,might-probably,0.6359468168890472,4
other,75,might-probably,0.08157381155726613,4
might,80,might-probably,0.249174299772667,4
probably,80,might-probably,0.6700759494151864,4
other,80,might-probably,0.08074975081214657,4
might,85,might-probably,0.21619632571533628,4
probably,85,might-probably,0.6910005720732472,4
other,85,might-probably,0.09280310221141642,4
might,90,might-probably,0.18144867711238719,4
probably,90,might-probably,0.6754285154057934,4
other,90,might-probably,0.1431228074818194,4
might,95,might-probably,0.13790907961444016,4
probably,95,might-probably,0.5596216817999974,4
other,95,might-probably,0.30246923858556246,4
might,100,might-probably,0.08242305827848846,4
probably,100,might-probably,0.32338527963449826,4
other,100,might-probably,0.5941916620870132,4
might,0,might-probably,0.024777146666666663,5
probably,0,might-probably,0.024777146666666663,5
other,0,might-probably,0.9504457066666666,5
might,5,might-probably,0.1625940651032463,5
probably,5,might-probably,0.05466477445696401,5
other,5,might-probably,0.7827411604397896,5
might,10,might-probably,0.5653564679312895,5
probably,10,might-probably,0.08468416532094136,5
other,10,might-probably,0.34995936674776906,5
might,15,might-probably,0.6869994822103269,5
probably,15,might-probably,0.10160923747283733,5
other,15,might-probably,0.21139128031683568,5
might,20,might-probably,0.6950860788085572,5
probably,20,might-probably,0.1295438290263666,5
other,20,might-probably,0.1753700921650761,5
might,25,might-probably,0.670345812895244,5
probably,25,might-probably,0.16763663687521888,5
other,25,might-probably,0.16201755022953723,5
might,30,might-probably,0.6346446489195225,5
probably,30,might-probably,0.21228452077408394,5
other,30,might-probably,0.15307083030639337,5
might,35,might-probably,0.5946549236528733,5
probably,35,might-probably,0.26085784647633103,5
other,35,might-probably,0.14448722987079554,5
might,40,might-probably,0.5526926434767258,5
probably,40,might-probably,0.3116370119643258,5
other,40,might-probably,0.13567034455894833,5
might,45,might-probably,0.5100127245090142,5
probably,45,might-probably,0.3632691096141505,5
other,45,might-probably,0.1267181658768351,5
might,50,might-probably,0.467615029163741,5
probably,50,might-probably,0.4145608258903454,5
other,50,might-probably,0.11782414494591348,5
might,55,might-probably,0.42634300660797075,5
probably,55,might-probably,0.46448609248158823,5
other,55,might-probably,0.109170900910441,5
might,60,might-probably,0.3868501151786582,5
probably,60,might-probably,0.5122311748901044,5
other,60,might-probably,0.1009187099312374,5
might,65,might-probably,0.349561243249517,5
probably,65,might-probably,0.5571994369538701,5
other,65,might-probably,0.09323931979661292,5
might,70,might-probably,0.3146361857038412,5
probably,70,might-probably,0.5989113647365882,5
other,70,might-probably,0.08645244955957038,5
might,75,might-probably,0.28190973536806097,5
probably,75,might-probably,0.6366250154307169,5
other,75,might-probably,0.08146524920122197,5
might,80,might-probably,0.2507734269729256,5
probably,80,might-probably,0.6681132572525088,5
other,80,might-probably,0.08111331577456539,5
might,85,might-probably,0.21996666924547614,5
probably,85,might-probably,0.6858322835357952,5
other,85,might-probably,0.09420104721872866,5
might,90,might-probably,0.18683634268160793,5
probably,90,might-probably,0.6654025435368366,5
other,90,might-probably,0.14776111378155535,5
might,95,might-probably,0.14296298582598457,5
probably,95,might-probably,0.5430327169494426,5
other,95,might-probably,0.314004297224573,5
might,100,might-probably,0.08694125439903114,5
probably,100,might-probably,0.3166816244495828,5
other,100,might-probably,0.596377121151386,5
might,0,might-probably,0.024777146666666663,6
probably,0,might-probably,0.024777146666666663,6
other,0,might-probably,0.9504457066666666,6
might,5,might-probably,0.18858914196676727,6
probably,5,might-probably,0.05275898878265617,6
other,5,might-probably,0.7586518692505765,6
might,10,might-probably,0.561146000537636,6
probably,10,might-probably,0.0817562965727094,6
other,10,might-probably,0.3570977028896544,6
might,15,might-probably,0.6802802046413927,6
probably,15,might-probably,0.09962355025406548,6
other,15,might-probably,0.22009624510454173,6
might,20,might-probably,0.6945483557907614,6
probably,20,might-probably,0.12586916930166026,6
other,20,might-probably,0.17958247490757825,6
might,25,might-probably,0.6746494241296974,6
probably,25,might-probably,0.16151976932424209,6
other,25,might-probably,0.16383080654606036,6
might,30,might-probably,0.6416077624005394,6
probably,30,might-probably,0.20420588854044813,6
other,30,might-probably,0.15418634905901246,6
might,35,might-probably,0.6028695020160666,6
probably,35,might-probably,0.2515636274151739,6
other,35,might-probably,0.14556687056875933,6
might,40,might-probably,0.5613658486745128,6
probably,40,might-probably,0.301805618165748,6
other,40,might-probably,0.13682853315973897,6
might,45,might-probably,0.5185814989413594,6
probably,45,might-probably,0.3535237462055021,6
other,45,might-probably,0.1278947548531384,6
might,50,might-probably,0.47558585679687015,6
probably,50,might-probably,0.4054924434347419,6
other,50,might-probably,0.11892169976838812,6
might,55,might-probably,0.43327681865973566,6
probably,55,might-probably,0.456633148825361,6
other,55,might-probably,0.11009003251490333,6
might,60,might-probably,0.3923868158520005,6
probably,60,might-probably,0.5060553816655764,6
other,60,might-probably,0.1015578024824231,6
might,65,might-probably,0.3534461485491972,6
probably,65,might-probably,0.5530946462474664,6
other,65,might-probably,0.09345920520333648,6
might,70,might-probably,0.31674596462646254,6
probably,70,might-probably,0.5972907669740753,6
other,70,might-probably,0.08596326839946211,6
might,75,might-probably,0.282281063298982,6
probably,75,might-probably,0.6381708281188033,6
other,75,might-probably,0.07954810858221444,6
might,80,might-probably,0.24961433589069207,6
probably,80,might-probably,0.6742892851961202,6
other,80,might-probably,0.07609637891318767,6
might,85,might-probably,0.21760488947387474,6
probably,85,might-probably,0.6994048520411118,6
other,85,might-probably,0.08299025848501343,6
might,90,might-probably,0.18374650740750115,6
probably,90,might-probably,0.6884005979383571,6
other,90,might-probably,0.12785289465414165,6
might,95,might-probably,0.1389652832157811,6
probably,95,might-probably,0.5618467120382641,6
other,95,might-probably,0.29918800474595464,6
might,100,might-probably,0.08173542118080351,6
probably,100,might-probably,0.3158790250339715,6
other,100,might-probably,0.602385553785225,6
might,0,might-probably,0.024777146666666663,7
probably,0,might-probably,0.024777146666666663,7
other,0,might-probably,0.9504457066666666,7
might,5,might-probably,0.12746880745735056,7
probably,5,might-probably,0.04993316233094228,7
other,5,might-probably,0.8225980302117071,7
might,10,might-probably,0.5748395506888286,7
probably,10,might-probably,0.07776357267079372,7
other,10,might-probably,0.34739687664037755,7
might,15,might-probably,0.7032449808659911,7
probably,15,might-probably,0.09269679588438154,7
other,15,might-probably,0.20405822324962733,7
might,20,might-probably,0.7053475444002026,7
probably,20,might-probably,0.12103346802583818,7
other,20,might-probably,0.17361898757395913,7
might,25,might-probably,0.6772934672860013,7
probably,25,might-probably,0.15977261291507106,7
