modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.024777146666666663,0
probably,0,might-probably,0.024777146666666663,0
other,0,might-probably,0.9504457066666666,0
might,5,might-probably,0.07102637955373498,0
probably,5,might-probably,0.04958595984947449,0
other,5,might-probably,0.8793876605967904,0
might,10,might-probably,0.5664892990295587,0
probably,10,might-probably,0.09682669508494941,0
other,10,might-probably,0.33668400588549185,0
might,15,might-probably,0.7506530928015058,0
probably,15,might-probably,0.10340978587047746,0
other,15,might-probably,0.1459371213280167,0
might,20,might-probably,0.7587961025613973,0
probably,20,might-probably,0.1289123724468705,0
other,20,might-probably,0.11229152499173212,0
might,25,might-probably,0.7262015736681721,0
probably,25,might-probably,0.17042773350694596,0
other,25,might-probably,0.10337069282488186,0
might,30,might-probably,0.6812872486483684,0
probably,30,might-probably,0.2205506907299638,0
other,30,might-probably,0.09816206062166767,0
might,35,might-probably,0.6321361014420829,0
probably,35,might-probably,0.2746861577751665,0
other,35,might-probably,0.09317774078275069,0
might,40,might-probably,0.5817606695675718,0
probably,40,might-probably,0.3300952614367473,0
other,40,might-probably,0.08814406899568088,0
might,45,might-probably,0.5320812866919986,0
probably,45,might-probably,0.3846919002310294,0
other,45,might-probably,0.08322681307697194,0
might,50,might-probably,0.4845966980286487,0
probably,50,might-probably,0.4367936476556038,0
other,50,might-probably,0.07860965431574747,0
might,55,might-probably,0.4403890162174765,0
probably,55,might-probably,0.48516288403309404,0
other,55,might-probably,0.07444809974942952,0
might,60,might-probably,0.4001151194297041,0
probably,60,might-probably,0.529012340172904,0
other,60,might-probably,0.07087254039739176,0
might,65,might-probably,0.3640533358521688,0
probably,65,might-probably,0.5679389171869452,0
other,65,might-probably,0.06800774696088609,0
might,70,might-probably,0.3321806322819726,0
probably,70,might-probably,0.6018081193924056,0
other,70,might-probably,0.06601124832562172,0
might,75,might-probably,0.3042517933759388,0
probably,75,might-probably,0.6306002997764065,0
other,75,might-probably,0.06514790684765467,0
might,80,might-probably,0.279859304793856,0
probably,80,might-probably,0.6541847876782789,0
other,80,might-probably,0.0659559075278651,0
might,85,might-probably,0.2584533942934314,0
probably,85,might-probably,0.6718592033813432,0
other,85,might-probably,0.06968740232522531,0
might,90,might-probably,0.23927068835614457,0
probably,90,might-probably,0.6809923706499896,0
other,90,might-probably,0.07973694099386572,0
might,95,might-probably,0.22089828953662805,0
probably,95,might-probably,0.6715004307224279,0
other,95,might-probably,0.10760127974094394,0
might,100,might-probably,0.12799916610734732,0
probably,100,might-probably,0.3511371275304295,0
other,100,might-probably,0.5208637063622231,0
might,0,might-probably,0.024777146666666663,1
probably,0,might-probably,0.024777146666666663,1
other,0,might-probably,0.9504457066666666,1
might,5,might-probably,0.08067606605244464,1
probably,5,might-probably,0.044792488708989074,1
other,5,might-probably,0.8745314452385662,1
might,10,might-probably,0.5929764424132975,1
probably,10,might-probably,0.08595755831031114,1
other,10,might-probably,0.32106599927639146,1
might,15,might-probably,0.7641382862460074,1
probably,15,might-probably,0.09488901346454658,1
other,15,might-probably,0.14097270028944592,1
might,20,might-probably,0.7707109056361076,1
probably,20,might-probably,0.1205153261953925,1
other,20,might-probably,0.10877376816849976,1
might,25,might-probably,0.7382983357651103,1
probably,25,might-probably,0.16157167431986053,1
other,25,might-probably,0.10012998991502912,1
might,30,might-probably,0.6928609584040566,1
probably,30,might-probably,0.21198183163948317,1
other,30,might-probably,0.09515720995646021,1
might,35,might-probably,0.642288661905226,1
probably,35,might-probably,0.26732132824463045,1
other,35,might-probably,0.09039000985014331,1
might,40,might-probably,0.5898760273380443,1
probably,40,might-probably,0.3245967782004151,1
other,40,might-probably,0.08552719446154043,1
might,45,might-probably,0.5378683588451401,1
probably,45,might-probably,0.3813868881712803,1
other,45,might-probably,0.08074475298357967,1
might,50,might-probably,0.48806386619087627,1
probably,50,might-probably,0.43568922400274646,1
other,50,might-probably,0.07624690980637726,1
might,55,might-probably,0.44177827267179026,1
probably,55,might-probably,0.4860133527814624,1
other,55,might-probably,0.07220837454674726,1
might,60,might-probably,0.39981563009791077,1
probably,60,might-probably,0.5314098554468979,1
other,60,might-probably,0.06877451445519123,1
might,65,might-probably,0.36252024794364557,1
probably,65,might-probably,0.5713981173451491,1
other,65,might-probably,0.06608163471120526,1
might,70,might-probably,0.3298746621173505,1
probably,70,might-probably,0.605826742472541,1
other,70,might-probably,0.0642985954101084,1
might,75,might-probably,0.30160324567711816,1
probably,75,might-probably,0.6346895194454854,1
other,75,might-probably,0.06370723487739641,1
might,80,might-probably,0.2772524972399374,1
probably,80,might-probably,0.6578679342761795,1
other,80,might-probably,0.06487956848388311,1
might,85,might-probably,0.2562228376016266,1
probably,85,might-probably,0.6746317833454303,1
other,85,might-probably,0.06914537905294305,1
might,90,might-probably,0.23768930020611553,1
probably,90,might-probably,0.6822085912984371,1
other,90,might-probably,0.0801021084954473,1
might,95,might-probably,0.22006021517236932,1
probably,95,might-probably,0.6700609130006064,1
other,95,might-probably,0.10987887182702417,1
might,100,might-probably,0.12887398409611708,1
probably,100,might-probably,0.3548086840669936,1
other,100,might-probably,0.5163173318368891,1
might,0,might-probably,0.024777146666666663,2
probably,0,might-probably,0.024777146666666663,2
other,0,might-probably,0.9504457066666666,2
might,5,might-probably,0.07953421362727132,2
probably,5,might-probably,0.04519650775880128,2
other,5,might-probably,0.8752692786139273,2
might,10,might-probably,0.5865283791399275,2
probably,10,might-probably,0.08703415682589297,2
other,10,might-probably,0.32643746403417945,2
might,15,might-probably,0.7621615663910585,2
probably,15,might-probably,0.09545236392701888,2
other,15,might-probably,0.14238606968192247,2
might,20,might-probably,0.7708384313062309,2
probably,20,might-probably,0.12015649852459666,2
other,20,might-probably,0.10900507016917244,2
might,25,might-probably,0.7396830937595004,2
probably,25,might-probably,0.16024349512976657,2
other,25,might-probably,0.10007341111073292,2
might,30,might-probably,0.6951548190275764,2
probably,30,might-probably,0.2097518431400148,2
other,30,might-probably,0.09509333783240884,2
might,35,might-probably,0.6453100352351288,2
probably,35,might-probably,0.2643118136349053,2
other,35,might-probably,0.09037815112996578,2
might,40,might-probably,0.5934322567346434,2
probably,40,might-probably,0.3210081278942767,2
other,40,might-probably,0.08555961537107981,2
might,45,might-probably,0.5417054514389158,2
probably,45,might-probably,0.3774996720147601,2
other,45,might-probably,0.08079487654632402,2
might,50,might-probably,0.49189494231814335,2
probably,50,might-probably,0.43182408258773697,2
other,50,might-probably,0.07628097509411971,2
might,55,might-probably,0.445326369803278,2
probably,55,might-probably,0.4824838034570924,2
other,55,might-probably,0.07218982673962952,2
might,60,might-probably,0.40284490396380424,2
probably,60,might-probably,0.5284893863281405,2
other,60,might-probably,0.06866570970805515,2
might,65,might-probably,0.3648502298896924,2
probably,65,might-probably,0.5693072459543151,2
other,65,might-probably,0.06584252415599225,2
might,70,might-probably,0.33138058360995304,2
probably,70,might-probably,0.6047380651466705,2
other,70,might-probably,0.06388135124337653,2
might,75,might-probably,0.3022083752244135,2
probably,75,might-probably,0.6347474236144421,2
other,75,might-probably,0.06304420116114431,2
might,80,might-probably,0.2769189642507742,2
probably,80,might-probably,0.6592241872663329,2
other,80,might-probably,0.06385684848289291,2
might,85,might-probably,0.25494934545706166,2
probably,85,might-probably,0.6775124410432228,2
other,85,might-probably,0.06753821349971542,2
might,90,might-probably,0.2355389952674009,2
probably,90,might-probably,0.6870721598536038,2
other,90,might-probably,0.07738884487899525,2
might,95,might-probably,0.21734056872933036,2
probably,95,might-probably,0.6780673839024741,2
other,95,might-probably,0.10459204736819547,2
might,100,might-probably,0.1296283662879796,2
probably,100,might-probably,0.3660049643769357,2
other,100,might-probably,0.5043666693350848,2
might,0,might-probably,0.024777146666666663,3
probably,0,might-probably,0.024777146666666663,3
other,0,might-probably,0.9504457066666666,3
might,5,might-probably,0.062391937259729864,3
probably,5,might-probably,0.04657096108505126,3
other,5,might-probably,0.8910371016552189,3
might,10,might-probably,0.5730650533280367,3
probably,10,might-probably,0.09452816985900411,3
other,10,might-probably,0.33240677681295916,3
might,15,might-probably,0.7680611859721919,3
probably,15,might-probably,0.09823977243705266,3
other,15,might-probably,0.1336990415907554,3
might,20,might-probably,0.7770681542657911,3
probably,20,might-probably,0.12150282347872964,3
other,20,might-probably,0.10142902225547924,3
might,25,might-probably,0.7450908116296138,3
probably,25,might-probably,0.1613569030349549,3
other,25,might-probably,0.09355228533543117,3
might,30,might-probably,0.7003351699667009,3
probably,30,might-probably,0.21044322005979735,3
other,30,might-probably,0.0892216099735018,3
might,35,might-probably,0.650694635721617,3
probably,35,might-probably,0.264244515932172,3
other,35,might-probably,0.085060848346211,3
might,40,might-probably,0.5991650264836508,3
probably,40,might-probably,0.3200347411869535,3
other,40,might-probably,0.08080023232939568,3
might,45,might-probably,0.5477732949958334,3
probably,45,might-probably,0.37563622454296397,3
other,45,might-probably,0.07659048046120258,3
might,50,might-probably,0.4981911091437089,3
probably,50,might-probably,0.4292024183719856,3
other,50,might-probably,0.07260647248430557,3
might,55,might-probably,0.451689458219269,3
probably,55,might-probably,0.4793073581491867,3
other,55,might-probably,0.06900318363154438,3
might,60,might-probably,0.40909394033651947,3
probably,60,might-probably,0.5249899943420083,3
other,60,might-probably,0.06591606532147215,3
might,65,might-probably,0.3708121268622413,3
probably,65,might-probably,0.5657102054114737,3
other,65,might-probably,0.06347766772628498,3
might,70,might-probably,0.33690652594974546,3
probably,70,might-probably,0.6012398379928564,3
other,70,might-probably,0.061853636057398145,3
might,75,might-probably,0.30717955472360225,3
probably,75,might-probably,0.6315056049448605,3
other,75,might-probably,0.06131484033153713,3
might,80,might-probably,0.28124405586332335,3
probably,80,might-probably,0.6563572307394695,3
other,80,might-probably,0.06239871339720729,3
might,85,might-probably,0.2585561929968519,3
probably,85,might-probably,0.6751079744926108,3
other,85,might-probably,0.06633583251053711,3
might,90,might-probably,0.23836304932025743,3
probably,90,might-probably,0.6852108526379872,3
other,90,might-probably,0.07642609804175517,3
might,95,might-probably,0.21932233454311323,3
probably,95,might-probably,0.6768969816633982,3
other,95,might-probably,0.10378068379348855,3
might,100,might-probably,0.12961476277391376,3
probably,100,might-probably,0.3630878606608556,3
other,100,might-probably,0.5072973765652307,3
might,0,might-probably,0.024777146666666663,4
probably,0,might-probably,0.024777146666666663,4
other,0,might-probably,0.9504457066666666,4
might,5,might-probably,0.06952461267313374,4
probably,5,might-probably,0.047667233088989194,4
other,5,might-probably,0.882808154237877,4
might,10,might-probably,0.5794408223919859,4
probably,10,might-probably,0.09406101729073162,4
other,10,might-probably,0.32649816031728235,4
might,15,might-probably,0.7631864774549193,4
probably,15,might-probably,0.09954493191359226,4
other,15,might-probably,0.13726859063148852,4
might,20,might-probably,0.7707218291338267,4
probably,20,might-probably,0.12404377848341125,4
other,20,might-probably,0.10523439238276185,4
might,25,might-probably,0.738260289092111,4
probably,25,might-probably,0.16467228335337877,4
other,25,might-probably,0.09706742755451013,4
might,30,might-probably,0.6932634134836314,4
probably,30,might-probably,0.21428362488409605,4
other,30,might-probably,0.09245296163227254,4
might,35,might-probably,0.643601081797125,4
probably,35,might-probably,0.268367915395156,4
other,35,might-probably,0.08803100280771899,4
might,40,might-probably,0.5923043342002836,4
probably,40,might-probably,0.32416456447797604,4
other,40,might-probably,0.08353110132174041,4
might,45,might-probably,0.5413878737058737,4
probably,45,might-probably,0.37950078708076485,4
other,45,might-probably,0.0791113392133613,4
might,50,might-probably,0.4924743744601965,4
probably,50,might-probably,0.4325724119623323,4
other,50,might-probably,0.07495321357747119,4
might,55,might-probably,0.44676925937471235,4
probably,55,might-probably,0.4820146750590717,4
other,55,might-probably,0.07121606556621601,4
might,60,might-probably,0.4050317625779499,4
probably,60,might-probably,0.5269291530272603,4
other,60,might-probably,0.06803908439478987,4
might,65,might-probably,0.36761255670047904,4
probably,65,might-probably,0.5668268689532013,4
other,65,might-probably,0.06556057434631964,4
might,70,might-probably,0.3345310028613512,4
probably,70,might-probably,0.601511087543577,4
other,70,might-probably,0.06395790959507193,4
might,75,might-probably,0.305559369524785,4
probably,75,might-probably,0.6309136335880682,4
other,75,might-probably,0.0635269968871468,4
might,80,might-probably,0.2802886023469381,4
probably,80,might-probably,0.654850914101292,4
other,80,might-probably,0.06486048355176985,4
might,85,might-probably,0.258150997052392,4
probably,85,might-probably,0.6725282986767211,4
other,85,might-probably,0.06932070427088681,4
might,90,might-probably,0.23833917328612841,4
probably,90,might-probably,0.6810920187408701,4
other,90,might-probably,0.08056880797300135,4
might,95,might-probably,0.21929391893711772,4
probably,95,might-probably,0.6697688670438492,4
other,95,might-probably,0.11093721401903295,4
might,100,might-probably,0.13052807921676252,4
probably,100,might-probably,0.3625739398470025,4
other,100,might-probably,0.506897980936235,4
might,0,might-probably,0.024777146666666663,5
probably,0,might-probably,0.024777146666666663,5
other,0,might-probably,0.9504457066666666,5
might,5,might-probably,0.07586911689830882,5
probably,5,might-probably,0.04578886288709617,5
other,5,might-probably,0.878342020214595,5
might,10,might-probably,0.582429399160829,5
probably,10,might-probably,0.08913731413341293,5
other,10,might-probably,0.328433286705758,5
might,15,might-probably,0.76048712202992,5
probably,15,might-probably,0.09724901727008206,5
other,15,might-probably,0.14226386069999786,5
might,20,might-probably,0.7682235617824011,5
probably,20,might-probably,0.12258597615966679,5
other,20,might-probably,0.109190462057932,5
might,25,might-probably,0.7359486034900977,5
probably,25,might-probably,0.16364660897746844,5
other,25,might-probably,0.10040478753243383,5
might,30,might-probably,0.6906504257763387,5
probably,30,might-probably,0.21396050230723845,5
other,30,might-probably,0.09538907191642261,5
might,35,might-probably,0.6404012095823826,5
probably,35,might-probably,0.2689997538630958,5
other,35,might-probably,0.09059903655452163,5
might,40,might-probably,0.5884612487853591,5
probably,40,might-probably,0.32581202443846957,5
other,40,might-probably,0.08572672677617126,5
might,45,might-probably,0.5370013558539019,5
probably,45,might-probably,0.382055678917096,5
other,45,might-probably,0.08094296522900198,5
might,50,might-probably,0.4877460003610189,5
probably,50,might-probably,0.4358085707956414,5
other,50,might-probably,0.0764454288433397,5
might,55,might-probably,0.4419527941075724,5
probably,55,might-probably,0.4856444420855328,5
other,55,might-probably,0.07240276380689475,5
might,60,might-probably,0.4003894475751938,5
probably,60,might-probably,0.5306551699087907,5
other,60,might-probably,0.06895538251601545,5
might,65,might-probably,0.3633846129433892,5
probably,65,might-probably,0.5703800428525295,5
other,65,might-probably,0.06623534420408117,5
might,70,might-probably,0.3309206037222475,5
probably,70,might-probably,0.604672690567509,5
other,70,might-probably,0.06440670571024341,5
might,75,might-probably,0.3027308407024677,5
probably,75,might-probably,0.6335256309119895,5
other,75,might-probably,0.06374352838554263,5
might,80,might-probably,0.278375212073675,5
probably,80,might-probably,0.6568227430816757,5
other,80,might-probably,0.06480204484464934,5
might,85,might-probably,0.257269691847017,5
probably,85,might-probably,0.6738549466216738,5
other,85,might-probably,0.06887536153130916,5
might,90,might-probably,0.2386117172516192,5
probably,90,might-probably,0.6819260578071488,5
other,90,might-probably,0.07946222494123205,5
might,95,might-probably,0.22087834375828777,5
probably,95,might-probably,0.6707582352763699,5
other,95,might-probably,0.10836342096534225,5
might,100,might-probably,0.12870687969514338,5
probably,100,might-probably,0.3531374981570989,5
other,100,might-probably,0.5181556221477577,5
might,0,might-probably,0.024777146666666663,6
probably,0,might-probably,0.024777146666666663,6
other,0,might-probably,0.9504457066666666,6
might,5,might-probably,0.0704407941000866,6
probably,5,might-probably,0.046980766088081674,6
other,5,might-probably,0.8825784398118316,6
might,10,might-probably,0.590708001044006,6
probably,10,might-probably,0.09269613298655108,6
other,10,might-probably,0.3165958659694429,6
might,15,might-probably,0.7686224280727745,6
probably,15,might-probably,0.09845787122054474,6
other,15,might-probably,0.13291970070668058,6
might,20,might-probably,0.7736226382927812,6
probably,20,might-probably,0.12378235353991145,6
other,20,might-probably,0.10259500816730724,6
might,25,might-probably,0.7398223829023524,6
probably,25,might-probably,0.16531416530810047,6
other,25,might-probably,0.09486345178954705,6
might,30,might-probably,0.693804872656604,6
probably,30,might-probably,0.21583035472511902,6
other,30,might-probably,0.0903647726182769,6
might,35,might-probably,0.6432238118444645,6
probably,35,might-probably,0.27077064297870185,6
other,35,might-probably,0.08600554517683355,6
might,40,might-probably,0.5911479906103705,6
probably,40,might-probably,0.32727746450446094,6
other,40,might-probably,0.08157454488516849,6
might,45,might-probably,0.5396826104804843,6
probably,45,might-probably,0.38307680696266544,6
other,45,might-probably,0.07724058255685026,6
might,50,might-probably,0.49050858771755135,6
probably,50,might-probably,0.4363052513168343,6
other,50,might-probably,0.07318616096561432,6
might,55,might-probably,0.4448430521307769,6
probably,55,might-probably,0.4855893749592427,6
other,55,might-probably,0.06956757290998036,6
might,60,might-probably,0.4034207501874839,6
probably,60,might-probably,0.5300609398774612,6
other,60,might-probably,0.06651830993505503,6
might,65,might-probably,0.3665482715251621,6
probably,65,might-probably,0.5692823489624114,6
other,65,might-probably,0.06416937951242642,6
might,70,might-probably,0.33419640993766464,6
probably,70,might-probably,0.603113953449099,6
other,70,might-probably,0.0626896366132362,6
might,75,might-probably,0.30609489328480144,6
probably,75,might-probably,0.6315409591409376,6
other,75,might-probably,0.06236414757426083,6
might,80,might-probably,0.28180384772229455,6
probably,80,might-probably,0.6544282457544991,6
other,80,might-probably,0.06376790652320617,6
might,85,might-probably,0.260738132653373,6
probably,85,might-probably,0.6710382507031927,6
other,85,might-probably,0.06822361664343427,6
might,90,might-probably,0.2420826894219802,6
probably,90,might-probably,0.6786488451185935,6
other,90,might-probably,0.07926846545942626,6
might,95,might-probably,0.2242638901605656,6
probably,95,might-probably,0.6670824349307537,6
other,95,might-probably,0.10865367490868051,6
might,100,might-probably,0.13212554662094902,6
probably,100,might-probably,0.35717703028163206,6
other,100,might-probably,0.510697423097419,6
might,0,might-probably,0.024777146666666663,7
probably,0,might-probably,0.024777146666666663,7
other,0,might-probably,0.9504457066666666,7
might,5,might-probably,0.06840279983915833,7
probably,5,might-probably,0.04415272273993974,7
other,5,might-probably,0.8874444774209018,7
might,10,might-probably,0.578045530250659,7
probably,10,might-probably,0.087223522970432,7
other,10,might-probably,0.3347309467789089,7
might,15,might-probably,0.7651853141940961,7
probably,15,might-probably,0.09421959972057047,7
other,15,might-probably,0.14059508608533342,7
might,20,might-probably,0.7735748232149102,7
probably,20,might-probably,0.11876364444490506,7
other,20,might-probably,0.10766153234018479,7
might,25,might-probably,0.7415425845733441,7
probably,25,might-probably,0.1591852912803561,7
other,25,might-probably,0.09927212414629973,7
