modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.024777146666666663,0
probably,0,might-probably,0.024777146666666663,0
other,0,might-probably,0.9504457066666666,0
might,5,might-probably,0.37458492986489844,0
probably,5,might-probably,0.027361628100000656,0
other,5,might-probably,0.5980534420351008,0
might,10,might-probably,0.6151296324548415,0
probably,10,might-probably,0.03802179072301285,0
other,10,might-probably,0.3468485768221457,0
might,15,might-probably,0.7190230377667735,0
probably,15,might-probably,0.055255095805527246,0
other,15,might-probably,0.2257218664276993,0
might,20,might-probably,0.7575892111670877,0
probably,20,might-probably,0.0782422167176069,0
other,20,might-probably,0.1641685721153054,0
might,25,might-probably,0.7624333686500139,0
probably,25,might-probably,0.10756593391423074,0
other,25,might-probably,0.13000069743575543,0
might,30,might-probably,0.7460169073200948,0
probably,30,might-probably,0.14438460979066514,0
other,30,might-probably,0.10959848288923993,0
might,35,might-probably,0.7134815011213371,0
probably,35,might-probably,0.18982749910552213,0
other,35,might-probably,0.09669099977314072,0
might,40,might-probably,0.6674573646581774,0
probably,40,might-probably,0.2444310041296906,0
other,40,might-probably,0.088111631212132,0
might,45,might-probably,0.6102235022280743,0
probably,45,might-probably,0.3076327742791611,0
other,45,might-probably,0.08214372349276457,0
might,50,might-probably,0.5446747214089763,0
probably,50,might-probably,0.3774978796949021,0
other,50,might-probably,0.07782739889612152,0
might,55,might-probably,0.4744961369168962,0
probably,55,might-probably,0.450857061266846,0
other,55,might-probably,0.07464680181625777,0
might,60,might-probably,0.4037510691876095,0
probably,60,might-probably,0.523872190584227,0
other,60,might-probably,0.07237674022816352,0
might,65,might-probably,0.33618885134046095,0
probably,65,might-probably,0.5928071312538369,0
other,65,might-probably,0.07100401740570213,0
might,70,might-probably,0.27463806141732594,0
probably,70,might-probably,0.6546604397361914,0
other,70,might-probably,0.07070149884648258,0
might,75,might-probably,0.22072886064241082,0
probably,75,might-probably,0.7073970941092651,0
other,75,might-probably,0.07187404524832403,0
might,80,might-probably,0.17497035618250945,0
probably,80,might-probably,0.7496721887552629,0
other,80,might-probably,0.07535745506222766,0
might,85,might-probably,0.13705763198908555,0
probably,85,might-probably,0.7798801519601326,0
other,85,might-probably,0.08306221605078178,0
might,90,might-probably,0.10626504714433894,0
probably,90,might-probably,0.7933198084086109,0
other,90,might-probably,0.10041514444705,0
might,95,might-probably,0.0817062164831096,0
probably,95,might-probably,0.7679570101197125,0
other,95,might-probably,0.15033677339717788,0
might,100,might-probably,0.04460451347963628,0
probably,100,might-probably,0.32768081786824044,0
other,100,might-probably,0.6277146686521232,0
might,0,might-probably,0.024777146666666663,1
probably,0,might-probably,0.024777146666666663,1
other,0,might-probably,0.9504457066666666,1
might,5,might-probably,0.37420768353992406,1
probably,5,might-probably,0.027359176864833322,1
other,5,might-probably,0.5984331395952425,1
might,10,might-probably,0.6148177463999043,1
probably,10,might-probably,0.03801672536634267,1
other,10,might-probably,0.347165528233753,1
might,15,might-probably,0.718836514658558,1
probably,15,might-probably,0.05525197439639055,1
other,15,might-probably,0.22591151094505138,1
might,20,might-probably,0.757483815778195,1
probably,20,might-probably,0.07824482639573672,1
other,20,might-probably,0.16427135782606814,1
might,25,might-probably,0.7623749980906989,1
probably,25,might-probably,0.10757805554526913,1
other,25,might-probably,0.1300469463640319,1
might,30,might-probably,0.74598417554049,1
probably,30,might-probably,0.14441076836786584,1
other,30,might-probably,0.10960505609164406,1
might,35,might-probably,0.7134602479704628,1
probably,35,might-probably,0.18987295395053905,1
other,35,might-probably,0.09666679807899813,1
might,40,might-probably,0.6674376102897387,1
probably,40,might-probably,0.2445010609165612,1
other,40,might-probably,0.08806132879370028,1
might,45,might-probably,0.6101984684764876,1
probably,45,might-probably,0.30773162823168426,1
other,45,might-probably,0.0820699032918282,1
might,50,might-probably,0.5446408191075067,1
probably,50,might-probably,0.3776274574662879,1
other,50,might-probably,0.07773172342620531,1
might,55,might-probably,0.4744529675311342,1
probably,55,might-probably,0.45101649021397083,1
other,55,might-probably,0.07453054225489487,1
might,60,might-probably,0.4037008605912159,1
probably,60,might-probably,0.5240583247489405,1
other,60,might-probably,0.07224081465984357,1
might,65,might-probably,0.33613530536346137,1
probably,65,might-probably,0.5930160596636942,1
other,65,might-probably,0.07084863497284437,1
might,70,might-probably,0.27458503170343085,1
probably,70,might-probably,0.6548895122093176,1
other,70,might-probably,0.07052545608725147,1
might,75,might-probably,0.2206793297890246,1
probably,75,might-probably,0.7076471161834671,1
other,75,might-probably,0.07167355402750838,1
might,80,might-probably,0.1749259186335493,1
probably,80,might-probably,0.7499501761585771,1
other,80,might-probably,0.07512390520787363,1
might,85,might-probably,0.1370184405096686,1
probably,85,might-probably,0.7802047994117299,1
other,85,might-probably,0.08277676007860121,1
might,90,might-probably,0.10623046751593683,1
probably,90,might-probably,0.7937380236079288,1
other,90,might-probably,0.10003150887613443,1
might,95,might-probably,0.08168074170245812,1
probably,95,might-probably,0.7686151160236304,1
other,95,might-probably,0.14970414227391154,1
might,100,might-probably,0.044674716936873346,1
probably,100,might-probably,0.3289291000638891,1
other,100,might-probably,0.6263961829992376,1
might,0,might-probably,0.024777146666666663,2
probably,0,might-probably,0.024777146666666663,2
other,0,might-probably,0.9504457066666666,2
might,5,might-probably,0.38297839565032665,2
probably,5,might-probably,0.027405549603664252,2
other,5,might-probably,0.5896160547460091,2
might,10,might-probably,0.6238451174028918,2
probably,10,might-probably,0.03808427873702185,2
other,10,might-probably,0.3380706038600862,2
might,15,might-probably,0.7257423825816813,2
probably,15,might-probably,0.055148774931665846,2
other,15,might-probably,0.21910884248665258,2
might,20,might-probably,0.7630061133961886,2
probably,20,might-probably,0.07774787140876152,2
other,20,might-probably,0.1592460151950498,2
might,25,might-probably,0.7673881072880826,2
probably,25,might-probably,0.1064246553562167,2
other,25,might-probably,0.12618723735570073,2
might,30,might-probably,0.7511883955792813,2
probably,30,might-probably,0.14229371523610274,2
other,30,might-probably,0.10651788918461595,2
might,35,might-probably,0.719397309202796,2
probably,35,might-probably,0.18647649940211783,2
other,35,might-probably,0.09412619139508625,2
might,40,might-probably,0.6744774911830475,2
probably,40,might-probably,0.23957792119640542,2
other,40,might-probably,0.08594458762054714,2
might,45,might-probably,0.6184865874301203,2
probably,45,might-probably,0.3012001122937873,2
other,45,might-probably,0.08031330027609229,2
might,50,might-probably,0.5540530649645661,2
probably,50,might-probably,0.3696460635402995,2
other,50,might-probably,0.07630087149513441,2
might,55,might-probably,0.4846088803549231,2
probably,55,might-probably,0.44199002530876863,2
other,55,might-probably,0.0734010943363081,2
might,60,might-probably,0.4140529782428439,2
probably,60,might-probably,0.5145592305199496,2
other,60,might-probably,0.07138779123720654,2
might,65,might-probably,0.34610472984594637,2
probably,65,might-probably,0.5836520889311556,2
other,65,might-probably,0.07024318122289792,2
might,70,might-probably,0.2836863814750262,2
probably,70,might-probably,0.6461766653721551,2
other,70,might-probably,0.0701369531528186,2
might,75,might-probably,0.22859144427028225,2
probably,75,might-probably,0.6999340284105701,2
other,75,might-probably,0.07147452731914762,2
might,80,might-probably,0.1815003834949606,2
probably,80,might-probably,0.7434035684639225,2
other,80,might-probably,0.07509604804111668,2
might,85,might-probably,0.14224609872084612,2
probably,85,might-probably,0.7748353290786184,2
other,85,might-probably,0.08291857220053538,2
might,90,might-probably,0.11019366609782248,2
probably,90,might-probably,0.7894341034265101,2
other,90,might-probably,0.10037223047566739,2
might,95,might-probably,0.08450534013281882,2
probably,95,might-probably,0.7651516210453262,2
other,95,might-probably,0.15034303882185493,2
might,100,might-probably,0.045594662532617,2
probably,100,might-probably,0.3270517805288733,2
other,100,might-probably,0.6273535569385097,2
might,0,might-probably,0.024777146666666663,3
probably,0,might-probably,0.024777146666666663,3
other,0,might-probably,0.9504457066666666,3
might,5,might-probably,0.3709271056762259,3
probably,5,might-probably,0.02734235835286781,3
other,5,might-probably,0.6017305359709062,3
might,10,might-probably,0.6114982197188498,3
probably,10,might-probably,0.03799710858254351,3
other,10,might-probably,0.3505046716986066,3
might,15,might-probably,0.7165278206627818,3
probably,15,might-probably,0.05531669668219985,3
other,15,might-probably,0.22815548265501828,3
might,20,might-probably,0.7558875931885836,3
probably,20,might-probably,0.07849816421990702,3
other,20,might-probably,0.1656142425915094,3
might,25,might-probably,0.7611068234276869,3
probably,25,might-probably,0.10814555844638502,3
other,25,might-probably,0.13074761812592808,3
might,30,might-probably,0.7447260820328683,3
probably,30,might-probably,0.14544338682592153,3
other,30,might-probably,0.1098305311412102,3
might,35,might-probably,0.7119563805973419,3
probably,35,might-probably,0.1915326837217288,3
other,35,might-probably,0.09651093568092936,3
might,40,might-probably,0.6654987946569463,3
probably,40,might-probably,0.24692670212658582,3
other,40,might-probably,0.08757450321646779,3
might,45,might-probably,0.6077258123618232,3
probably,45,might-probably,0.3109934344949121,3
other,45,might-probably,0.0812807531432646,3
might,50,might-probably,0.5416488044621101,3
probably,50,might-probably,0.3816902349340654,3
other,50,might-probably,0.07666096060382446,3
might,55,might-probably,0.4710690130233104,3
probably,55,might-probably,0.4557332296402171,3
other,55,might-probably,0.07319775733647241,3
might,60,might-probably,0.40013153983397776,3
probably,60,might-probably,0.5292035239179452,3
other,60,might-probably,0.07066493624807692,3
might,65,might-probably,0.33261063925772066,3
probably,65,might-probably,0.5983462718544156,3
other,65,might-probably,0.06904308888786359,3
might,70,might-probably,0.27130486497075534,3
probably,70,might-probably,0.6602059526868754,3
other,70,might-probably,0.06848918234236918,3
might,75,might-probably,0.2177808723176983,3
probably,75,might-probably,0.7128416719247539,3
other,75,might-probably,0.06937745575754775,3
might,80,might-probably,0.17247658188593334,3
probably,80,might-probably,0.7550362488343031,3
other,80,might-probably,0.07248716927976358,3
might,85,might-probably,0.13502652327982279,3
probably,85,might-probably,0.7853615786749906,3
other,85,might-probably,0.07961189804518667,3
might,90,might-probably,0.10466675566328594,3
probably,90,might-probably,0.7994610661847698,3
other,90,might-probably,0.0958721781519442,3
might,95,might-probably,0.08054948742845701,3
probably,95,might-probably,0.7764171413540787,3
other,95,might-probably,0.1430333712174644,3
might,100,might-probably,0.04509353822149198,3
probably,100,might-probably,0.3424318576698662,3
other,100,might-probably,0.6124746041086417,3
might,0,might-probably,0.024777146666666663,4
probably,0,might-probably,0.024777146666666663,4
other,0,might-probably,0.9504457066666666,4
might,5,might-probably,0.3745798529254313,4
probably,5,might-probably,0.0273603625719476,4
other,5,might-probably,0.598059784502621,4
might,10,might-probably,0.6151558399710704,4
probably,10,might-probably,0.038012317774766574,4
other,10,might-probably,0.34683184225416297,4
might,15,might-probably,0.7191072101532449,4
probably,15,might-probably,0.055226376183384954,4
other,15,might-probably,0.22566641366337017,4
might,20,might-probably,0.7577462534576138,4
probably,20,might-probably,0.07817849440105941,4
other,20,might-probably,0.16407525214132665,4
might,25,might-probably,0.762681127294143,4
probably,25,might-probably,0.10744573327139621,4
other,25,might-probably,0.12987313943446083,4
might,30,might-probably,0.7463777929444896,4
probably,30,might-probably,0.1441819626936498,4
other,30,might-probably,0.10944024436186059,4
might,35,might-probably,0.7139779899530634,4
probably,35,might-probably,0.18951648246024694,4
other,35,might-probably,0.09650552758668968,4
might,40,might-probably,0.6681038868846166,4
probably,40,might-probably,0.24399354519371588,4
other,40,might-probably,0.08790256792166745,4
might,45,might-probably,0.6110173836227364,4
probably,45,might-probably,0.3070676306900613,4
other,45,might-probably,0.08191498568720222,4
might,50,might-probably,0.5455903779679635,4
probably,50,might-probably,0.3768267156244086,4
other,50,might-probably,0.0775829064076277,4
might,55,might-probably,0.475486442386279,4
probably,55,might-probably,0.45012363213538,4
other,55,might-probably,0.07438992547834092,4
might,60,might-probably,0.40475649096985744,4
probably,60,might-probably,0.5231338742898888,4
other,60,might-probably,0.07210963474025366,4
might,65,might-probably,0.33715051327183015,4
probably,65,might-probably,0.5921225161974571,4
other,65,might-probably,0.07072697053071267,4
might,70,might-probably,0.27550894708392226,4
probably,70,might-probably,0.654078804163835,4
other,70,might-probably,0.07041224875224265,4
might,75,might-probably,0.22147929333601332,4
probably,75,might-probably,0.7069539882564391,4
other,75,might-probably,0.07156671840754748,4
might,80,might-probably,0.17558753779493483,4
probably,80,might-probably,0.7493922636386726,4
other,80,might-probably,0.0750201985663926,4
might,85,might-probably,0.13754157611283738,4
probably,85,might-probably,0.77978765820922,4
other,85,might-probably,0.08267076567794258,4
might,90,might-probably,0.10662424195604929,4
probably,90,might-probably,0.7934644395186157,4
other,90,might-probably,0.09991131852533512,4
might,95,might-probably,0.08196060399304247,4
probably,95,might-probably,0.768509857732401,4
other,95,might-probably,0.14952953827455645,4
might,100,might-probably,0.04479440329380347,4
probably,100,might-probably,0.32918669072586654,4
other,100,might-probably,0.6260189059803299,4
might,0,might-probably,0.024777146666666663,5
probably,0,might-probably,0.024777146666666663,5
other,0,might-probably,0.9504457066666666,5
might,5,might-probably,0.373721769745615,5
probably,5,might-probably,0.027358430356271245,5
other,5,might-probably,0.5989197998981137,5
might,10,might-probably,0.6142831875131347,5
probably,10,might-probably,0.038027082762426445,5
other,10,might-probably,0.34768972972443873,5
might,15,might-probably,0.718424558421905,5
probably,15,might-probably,0.05530392371110592,5
other,15,might-probably,0.22627151786698904,5
might,20,might-probably,0.7571301098896753,5
probably,20,might-probably,0.0783785340066152,5
other,20,might-probably,0.16449135610370946,5
might,25,might-probably,0.7619877692336997,5
probably,25,might-probably,0.10784534162466661,5
other,25,might-probably,0.13016688914163355,5
might,30,might-probably,0.745475180960521,5
probably,30,might-probably,0.14487473632456932,5
other,30,might-probably,0.10965008271490966,5
might,35,might-probably,0.712750737121264,5
probably,35,might-probably,0.19060009837303415,5
other,35,might-probably,0.09664916450570174,5
might,40,might-probably,0.6664692260414536,5
probably,40,might-probably,0.2455453414973181,5
other,40,might-probably,0.08798543246122825,5
might,45,might-probably,0.6089490233470916,5
probably,45,might-probably,0.30911451710973525,5
other,45,might-probably,0.08193645954317298,5
might,50,might-probably,0.543136605916498,5
probably,50,might-probably,0.37932263663818,5
other,50,might-probably,0.07754075744532188,5
might,55,might-probably,0.4727683589583408,5
probably,55,might-probably,0.452948568723618,5
other,55,might-probably,0.07428307231804106,5
might,60,might-probably,0.4019420994175136,5
probably,60,might-probably,0.5261188062824409,5
other,60,might-probably,0.07193909430004546,5
might,65,might-probably,0.3344147737088789,5
probably,65,might-probably,0.5950901858097813,5
other,65,might-probably,0.07049504048133955,5
might,70,might-probably,0.2729973670410167,5
probably,70,might-probably,0.656882319312676,5
other,70,might-probably,0.07012031364630716,5
might,75,might-probably,0.21928788720489753,5
probably,75,might-probably,0.7095001154393048,5
other,75,might-probably,0.0712119973557976,5
might,80,might-probably,0.1737610094124997,5
probably,80,might-probably,0.7516481537088352,5
other,80,might-probably,0.07459083687866512,5
might,85,might-probably,0.1360834994305149,5
probably,85,might-probably,0.7817805840510587,5
other,85,might-probably,0.08213591651842646,5
might,90,might-probably,0.10551173448968053,5
probably,90,might-probably,0.795295908426406,5
other,90,might-probably,0.0991923570839134,5
might,95,might-probably,0.08116621302391111,5
probably,95,might-probably,0.7704567019882518,5
other,95,might-probably,0.14837708498783708,5
might,100,might-probably,0.04465094774694041,5
probably,100,might-probably,0.33157472544598376,5
other,100,might-probably,0.6237743268070758,5
might,0,might-probably,0.024777146666666663,6
probably,0,might-probably,0.024777146666666663,6
other,0,might-probably,0.9504457066666666,6
might,5,might-probably,0.37185157004169145,6
probably,5,might-probably,0.027348169293364376,6
other,5,might-probably,0.6008002606649442,6
might,10,might-probably,0.6124736299011554,6
probably,10,might-probably,0.038012067516225115,6
other,10,might-probably,0.3495143025826194,6
might,15,might-probably,0.7172466913856617,6
probably,15,might-probably,0.055328427684942755,6
other,15,might-probably,0.22742488092939533,6
might,20,might-probably,0.7564043157500953,6
probably,20,might-probably,0.07849360604238532,6
other,20,might-probably,0.16510207820751918,6
might,25,might-probably,0.7615001182056627,6
probably,25,might-probably,0.10811138522859887,6
other,25,might-probably,0.13038849656573837,6
might,30,might-probably,0.7450556895260578,6
probably,30,might-probably,0.14536482977921694,6
other,30,might-probably,0.10957948069472513,6
might,35,might-probably,0.7122651486603505,6
probably,35,might-probably,0.19139442382789024,6
other,35,might-probably,0.09634042751175916,6
might,40,might-probably,0.6658161459104509,6
probably,40,might-probably,0.24671590461988852,6
other,40,might-probably,0.0874679494696605,6
might,45,might-probably,0.6080683038463051,6
probably,45,might-probably,0.3107039479774881,6
other,45,might-probably,0.0812277481762069,6
might,50,might-probably,0.542019739267034,6
probably,50,might-probably,0.38132601172023484,6
other,50,might-probably,0.07665424901273095,6
might,55,might-probably,0.4714596316799078,6
probably,55,might-probably,0.45530884039207553,6
other,55,might-probably,0.07323152792801663,6
might,60,might-probably,0.4005249247461169,6
probably,60,might-probably,0.5287409236299616,6
other,60,might-probably,0.07073415162392124,6
might,65,might-probably,0.33298735386323286,6
probably,65,might-probably,0.5978690571906112,6
other,65,might-probably,0.06914358894615584,6
might,70,might-probably,0.2716481429326167,6
probably,70,might-probably,0.6597335413696155,6
other,70,might-probably,0.06861831569776772,6
might,75,might-probably,0.2180796583408693,6
probably,75,might-probably,0.7123851942867319,6
other,75,might-probably,0.06953514737239887,6
might,80,might-probably,0.17272613607834034,6
probably,80,might-probably,0.7545960848877964,6
other,80,might-probably,0.07267777903386313,6
might,85,might-probably,0.1352273681137173,6
probably,85,might-probably,0.7849241501453114,6
other,85,might-probably,0.07984848174097119,6
might,90,might-probably,0.10482274271796849,6
probably,90,might-probably,0.7989874317874497,6
other,90,might-probably,0.09618982549458183,6
might,95,might-probably,0.08066225410387522,6
probably,95,might-probably,0.7757883540764553,6
other,95,might-probably,0.14354939181966947,6
might,100,might-probably,0.045069574010592035,6
probably,100,might-probably,0.3413436111705679,6
other,100,might-probably,0.61358681481884,6
might,0,might-probably,0.024777146666666663,7
probably,0,might-probably,0.024777146666666663,7
other,0,might-probably,0.9504457066666666,7
might,5,might-probably,0.37815918791408165,7
probably,5,might-probably,0.02738167916101133,7
other,5,might-probably,0.5944591329249069,7
might,10,might-probably,0.6191364658986033,7
probably,10,might-probably,0.038064552306330046,7
other,10,might-probably,0.34279898179506674,7
might,15,might-probably,0.7224521972856736,7
probably,15,might-probably,0.05526197773555334,7
other,15,might-probably,0.22228582497877297,7
might,20,might-probably,0.7606409794238973,7
probably,20,might-probably,0.07814438181944647,7
other,20,might-probably,0.1612146387566563,7
might,25,might-probably,0.765391541528866,7
probably,25,might-probably,0.10728544598040968,7
