modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.024777146666666663,0
probably,0,might-probably,0.024777146666666663,0
other,0,might-probably,0.9504457066666666,0
might,5,might-probably,0.1748420147290772,0
probably,5,might-probably,0.0465773977544053,0
other,5,might-probably,0.7785805875165175,0
might,10,might-probably,0.5705624832329426,0
probably,10,might-probably,0.09787965169753522,0
other,10,might-probably,0.3315578650695221,0
might,15,might-probably,0.7214126488576023,0
probably,15,might-probably,0.12519865529017848,0
other,15,might-probably,0.15338869585221912,0
might,20,might-probably,0.7540150879006093,0
probably,20,might-probably,0.14896270232540781,0
other,20,might-probably,0.09702220977398278,0
might,25,might-probably,0.7459697022238378,0
probably,25,might-probably,0.1791580833665899,0
other,25,might-probably,0.07487221440957235,0
might,30,might-probably,0.7172538444143897,0
probably,30,might-probably,0.21836106584897527,0
other,30,might-probably,0.06438508973663498,0
might,35,might-probably,0.6745377690522228,0
probably,35,might-probably,0.2667451687712391,0
other,35,might-probably,0.05871706217653817,0
might,40,might-probably,0.6217810199164943,0
probably,40,might-probably,0.322849105094804,0
other,40,might-probably,0.05536987498870165,0
might,45,might-probably,0.5627430066143182,0
probably,45,might-probably,0.3839113631564882,0
other,45,might-probably,0.05334563022919363,0
might,50,might-probably,0.5012265539792864,0
probably,50,might-probably,0.44649717124274824,0
other,50,might-probably,0.05227627477796533,0
might,55,might-probably,0.44062992352085784,0
probably,55,might-probably,0.5072673993480526,0
other,55,might-probably,0.05210267713108933,0
might,60,might-probably,0.3835063909968852,0
probably,60,might-probably,0.5635445278378081,0
other,60,might-probably,0.052949081165306756,0
might,65,might-probably,0.3314079794670399,0
probably,65,might-probably,0.6134916518431255,0
other,65,might-probably,0.05510036868983449,0
might,70,might-probably,0.2849924332689267,0
probably,70,might-probably,0.6559390518614802,0
other,70,might-probably,0.05906851486959319,0
might,75,might-probably,0.24425412480068345,0
probably,75,might-probably,0.6899560415551367,0
other,75,might-probably,0.06578983364417977,0
might,80,might-probably,0.20875816877222958,0
probably,80,might-probably,0.7141289585541294,0
other,80,might-probably,0.077112872673641,0
might,85,might-probably,0.1778053011921996,0
probably,85,might-probably,0.725069982127898,0
other,85,might-probably,0.09712471667990245,0
might,90,might-probably,0.15039335011170574,0
probably,90,might-probably,0.7131026444794962,0
other,90,might-probably,0.13650400540879798,0
might,95,might-probably,0.12381737456737063,0
probably,95,might-probably,0.6447546731152408,0
other,95,might-probably,0.23142795231738847,0
might,100,might-probably,0.0719506228958081,0
probably,100,might-probably,0.33316497695130987,0
other,100,might-probably,0.594884400152882,0
might,0,might-probably,0.024777146666666663,1
probably,0,might-probably,0.024777146666666663,1
other,0,might-probably,0.9504457066666666,1
might,5,might-probably,0.14297010894706216,1
probably,5,might-probably,0.04769074392571461,1
other,5,might-probably,0.8093391471272232,1
might,10,might-probably,0.5612082135973693,1
probably,10,might-probably,0.09916177867467373,1
other,10,might-probably,0.33963000772795693,1
might,15,might-probably,0.7283947508971168,1
probably,15,might-probably,0.11998395393805392,1
other,15,might-probably,0.15162129516482922,1
might,20,might-probably,0.763043928812999,1
probably,20,might-probably,0.1396619576794988,1
other,20,might-probably,0.09729411350750215,1
might,25,might-probably,0.7541077132963644,1
probably,25,might-probably,0.16845324066874925,1
other,25,might-probably,0.07743904603488631,1
might,30,might-probably,0.7235723604805756,1
probably,30,might-probably,0.2079068335137185,1
other,30,might-probably,0.06852080600570581,1
might,35,might-probably,0.6790670010610177,1
probably,35,might-probably,0.25720193346480225,1
other,35,might-probably,0.06373106547418007,1
might,40,might-probably,0.6253257677062987,1
probably,40,might-probably,0.31399609861925004,1
other,40,might-probably,0.060678133674451254,1
might,45,might-probably,0.5664429694941708,1
probably,45,might-probably,0.3750513107331519,1
other,45,might-probably,0.05850571977267719,1
might,50,might-probably,0.505996634145398,1
probably,50,might-probably,0.4369987794793576,1
other,50,might-probably,0.05700458637524447,1
might,55,might-probably,0.4468276727887708,1
probably,55,might-probably,0.49691382046548993,1
other,55,might-probably,0.056258506745739255,1
might,60,might-probably,0.3909428364565447,1
probably,60,might-probably,0.5525562191647712,1
other,60,might-probably,0.056500944378684095,1
might,65,might-probably,0.3395635124078433,1
probably,65,might-probably,0.6023422370203645,1
other,65,might-probably,0.05809425057179195,1
might,70,might-probably,0.2932494181776503,1
probably,70,might-probably,0.6451424329408475,1
other,70,might-probably,0.061608148881502074,1
might,75,might-probably,0.25204705637439107,1
probably,75,might-probably,0.679919917914625,1
other,75,might-probably,0.06803302571098388,1
might,80,might-probably,0.2156334839590572,1
probably,80,might-probably,0.7050761706574611,1
other,80,might-probably,0.07929034538348158,1
might,85,might-probably,0.18341980839646033,1
probably,85,might-probably,0.7169766938983223,1
other,85,might-probably,0.09960349770521724,1
might,90,might-probably,0.1544672669836466,1
probably,90,might-probably,0.7055594898463382,1
other,90,might-probably,0.13997324317001508,1
might,95,might-probably,0.1259761485824687,1
probably,95,might-probably,0.6365866563012735,1
other,95,might-probably,0.23743719511625774,1
might,100,might-probably,0.07191826643343817,1
probably,100,might-probably,0.32644326302885995,1
other,100,might-probably,0.6016384705377018,1
might,0,might-probably,0.024777146666666663,2
probably,0,might-probably,0.024777146666666663,2
other,0,might-probably,0.9504457066666666,2
might,5,might-probably,0.20313019283147615,2
probably,5,might-probably,0.05145971918358457,2
other,5,might-probably,0.7454100879849392,2
might,10,might-probably,0.5873316388300384,2
probably,10,might-probably,0.10721731465206828,2
other,10,might-probably,0.3054510465178933,2
might,15,might-probably,0.7210652108486658,2
probably,15,might-probably,0.13587454458791456,2
other,15,might-probably,0.1430602445634195,2
might,20,might-probably,0.7490295963964473,2
probably,20,might-probably,0.1597987007467325,2
other,20,might-probably,0.09117170285682005,2
might,25,might-probably,0.7406665586668406,2
probably,25,might-probably,0.1887961951378492,2
other,25,might-probably,0.07053724619531011,2
might,30,might-probably,0.7137738567759102,2
probably,30,might-probably,0.22543742661680322,2
other,30,might-probably,0.06078871660728647,2
might,35,might-probably,0.6742483633598391,2
probably,35,might-probably,0.2700946176908222,2
other,35,might-probably,0.0556570189493387,2
might,40,might-probably,0.6253940437632908,2
probably,40,might-probably,0.32179173120702964,2
other,40,might-probably,0.052814225029679654,2
might,45,might-probably,0.5702642635309558,2
probably,45,might-probably,0.3784392861777216,2
other,45,might-probably,0.0512964502913226,2
might,50,might-probably,0.5120593987123389,2
probably,50,might-probably,0.4372247327977975,2
other,50,might-probably,0.0507158684898637,2
might,55,might-probably,0.45383837976641594,2
probably,55,might-probably,0.4951828217515175,2
other,55,might-probably,0.0509787984820665,2
might,60,might-probably,0.3980984801431944,2
probably,60,might-probably,0.5497222773161757,2
other,60,might-probably,0.05217924254062987,2
might,65,might-probably,0.3465208850011164,2
probably,65,might-probably,0.5988992356828969,2
other,65,might-probably,0.05457987931598668,2
might,70,might-probably,0.29995704720850636,2
probably,70,might-probably,0.6413712753132068,2
other,70,might-probably,0.05867167747828677,2
might,75,might-probably,0.2585808243226261,2
probably,75,might-probably,0.6760622903382707,2
other,75,might-probably,0.0653568853391031,2
might,80,might-probably,0.22209210429700618,2
probably,80,might-probably,0.7014971362329133,2
other,80,might-probably,0.07641075947008039,2
might,85,might-probably,0.18987961659305677,2
probably,85,might-probably,0.7143734665818402,2
other,85,might-probably,0.095746916825103,2
might,90,might-probably,0.16099623796446486,2
probably,90,might-probably,0.7053986962433517,2
other,90,might-probably,0.13360506579218337,2
might,95,might-probably,0.13275532172928475,2
probably,95,might-probably,0.6420230214879201,2
other,95,might-probably,0.2252216567827949,2
might,100,might-probably,0.07532053023084181,2
probably,100,might-probably,0.3266365066089799,2
other,100,might-probably,0.5980429631601782,2
might,0,might-probably,0.024777146666666663,3
probably,0,might-probably,0.024777146666666663,3
other,0,might-probably,0.9504457066666666,3
might,5,might-probably,0.18519948235761127,3
probably,5,might-probably,0.045901031277108074,3
other,5,might-probably,0.7688994863652806,3
might,10,might-probably,0.57019239551847,3
probably,10,might-probably,0.09643209818184281,3
other,10,might-probably,0.3333755062996872,3
might,15,might-probably,0.7180541270658705,3
probably,15,might-probably,0.12552077473292136,3
other,15,might-probably,0.15642509820120806,3
might,20,might-probably,0.7515545876633857,3
probably,20,might-probably,0.15006003413283128,3
other,20,might-probably,0.09838537820378294,3
might,25,might-probably,0.7452291500390064,3
probably,25,might-probably,0.1797203012552742,3
other,25,might-probably,0.07505054870571934,3
might,30,might-probably,0.7188396866594585,3
probably,30,might-probably,0.21736062112636562,3
other,30,might-probably,0.06379969221417585,3
might,35,might-probably,0.6788405760765964,3
probably,35,might-probably,0.26356828823458783,3
other,35,might-probably,0.05759113568881574,3
might,40,might-probably,0.6287506864284932,3
probably,40,might-probably,0.31744625600591153,3
other,40,might-probably,0.053803057565595266,3
might,45,might-probably,0.5718192171310862,3
probably,45,might-probably,0.3768227225074494,3
other,45,might-probably,0.05135806036146433,3
might,50,might-probably,0.5114942778370758,3
probably,50,might-probably,0.4386700065938878,3
other,50,might-probably,0.04983571556903635,3
might,55,might-probably,0.45110195455488844,3
probably,55,might-probably,0.4997522414339083,3
other,55,might-probably,0.049145804011203297,3
might,60,might-probably,0.393367747643634,3
probably,60,might-probably,0.5572366631864524,3
other,60,might-probably,0.049395589169913504,3
might,65,might-probably,0.3401252509450332,3
probably,65,might-probably,0.6090188291039693,3
other,65,might-probably,0.05085591995099738,3
might,70,might-probably,0.29229937789909965,3
probably,70,might-probably,0.6536850344925441,3
other,70,might-probably,0.05401558760835626,3
might,75,might-probably,0.25007798064146836,3
probably,75,might-probably,0.6901543584849714,3
other,75,might-probably,0.05976766087356015,3
might,80,might-probably,0.21314314371445825,3
probably,80,might-probably,0.7169690278886678,3
other,80,might-probably,0.06988782839687387,3
might,85,might-probably,0.18086322943650626,3
probably,85,might-probably,0.7307741519096987,3
other,85,might-probably,0.08836261865379495,3
might,90,might-probably,0.15229926395970872,3
probably,90,might-probably,0.7218339982052162,3
other,90,might-probably,0.12586673783507504,3
might,95,might-probably,0.12482568334666218,3
probably,95,might-probably,0.6551749838533715,3
other,95,might-probably,0.2199993327999662,3
might,100,might-probably,0.07042959766641337,3
probably,100,might-probably,0.325199962094881,3
other,100,might-probably,0.6043704402387056,3
might,0,might-probably,0.024777146666666663,4
probably,0,might-probably,0.024777146666666663,4
other,0,might-probably,0.9504457066666666,4
might,5,might-probably,0.15667203955717696,4
probably,5,might-probably,0.04665646937161525,4
other,5,might-probably,0.7966714910712077,4
might,10,might-probably,0.5609910655305128,4
probably,10,might-probably,0.10003666249959685,4
other,10,might-probably,0.3389722719698902,4
might,15,might-probably,0.7225921719527262,4
probably,15,might-probably,0.12558201750797637,4
other,15,might-probably,0.15182581053929736,4
might,20,might-probably,0.7584157424705154,4
probably,20,might-probably,0.1467915090198253,4
other,20,might-probably,0.09479274850965928,4
might,25,might-probably,0.7521432266356672,4
probably,25,might-probably,0.174678071686661,4
other,25,might-probably,0.07317870167767149,4
might,30,might-probably,0.7248966906066343,4
probably,30,might-probably,0.2118275355967853,4
other,30,might-probably,0.06327577379658034,4
might,35,might-probably,0.6834947696460131,4
probably,35,might-probably,0.25843195151970866,4
other,35,might-probably,0.05807327883427812,4
might,40,might-probably,0.6318351466687369,4
probably,40,might-probably,0.31312035534606286,4
other,40,might-probably,0.05504449798520027,4
might,45,might-probably,0.573560771081444,4
probably,45,might-probably,0.3732497062024501,4
other,45,might-probably,0.05318952271610586,4
might,50,might-probably,0.512363016958082,4
probably,50,might-probably,0.43548290239944376,4
other,50,might-probably,0.05215408064247428,4
might,55,might-probably,0.4515772868331517,4
probably,55,might-probably,0.49651829439786255,4
other,55,might-probably,0.051904418768985584,4
might,60,might-probably,0.3937679366131407,4
probably,60,might-probably,0.5536388070936947,4
other,60,might-probably,0.05259325629316449,4
might,65,might-probably,0.3405679465117555,4
probably,65,might-probably,0.6049038541785203,4
other,65,might-probably,0.0545281993097241,4
might,70,might-probably,0.2927575072155647,4
probably,70,might-probably,0.6490102625001571,4
other,70,might-probably,0.058232230284278104,4
might,75,might-probably,0.250460197574348,4
probably,75,might-probably,0.6849021134056946,4
other,75,might-probably,0.06463768901995734,4
might,80,might-probably,0.2133522724209526,4
probably,80,might-probably,0.7110753948515399,4
other,80,might-probably,0.0755723327275074,4
might,85,might-probably,0.18081977937569577,4
probably,85,might-probably,0.7240888861063866,4
other,85,might-probably,0.09509133451791767,4
might,90,might-probably,0.1519283782604495,4
probably,90,might-probably,0.7141553717850343,4
other,90,might-probably,0.13391624995451618,4
might,95,might-probably,0.12399960066882248,4
probably,95,might-probably,0.6467570842008392,4
other,95,might-probably,0.22924331513033838,4
might,100,might-probably,0.06928356247765126,4
probably,100,might-probably,0.31967564289342865,4
other,100,might-probably,0.61104079462892,4
might,0,might-probably,0.024777146666666663,5
probably,0,might-probably,0.024777146666666663,5
other,0,might-probably,0.9504457066666666,5
might,5,might-probably,0.1573369184335204,5
probably,5,might-probably,0.04742415468883672,5
other,5,might-probably,0.7952389268776429,5
might,10,might-probably,0.5661188668281557,5
probably,10,might-probably,0.10217600224328942,5
other,10,might-probably,0.33170513092855486,5
might,15,might-probably,0.7247017858397341,5
probably,15,might-probably,0.1278025729678335,5
other,15,might-probably,0.14749564119243233,5
might,20,might-probably,0.7579686044197068,5
probably,20,might-probably,0.14958651399536177,5
other,20,might-probably,0.09244488158493128,5
might,25,might-probably,0.7495914103185917,5
probably,25,might-probably,0.17858894817844795,5
other,25,might-probably,0.07181964150296034,5
might,30,might-probably,0.7202602755469583,5
probably,30,might-probably,0.21725481614220654,5
other,30,might-probably,0.06248490831083505,5
might,35,might-probably,0.6767692354280189,5
probably,35,might-probably,0.2655555097270623,5
other,35,might-probably,0.057675254844918665,5
might,40,might-probably,0.6232153064031619,5
probably,40,might-probably,0.3218138631790437,5
other,40,might-probably,0.054970830417794284,5
might,45,might-probably,0.5634988027837918,5
probably,45,might-probably,0.3830768376130228,5
other,45,might-probably,0.05342435960318532,5
might,50,might-probably,0.501490463532617,5
probably,50,might-probably,0.4458013212550286,5
other,50,might-probably,0.05270821521235446,5
might,55,might-probably,0.4405634449294482,5
probably,55,might-probably,0.506636515866402,5
other,55,might-probably,0.05280003920414974,5
might,60,might-probably,0.38319635510387184,5
probably,60,might-probably,0.5629477737386852,5
other,60,might-probably,0.05385587115744295,5
might,65,might-probably,0.33087242022594304,5
probably,65,might-probably,0.6129423445478689,5
other,65,might-probably,0.056185235226187936,5
might,70,might-probably,0.2842139198310132,5
probably,70,might-probably,0.6554686842573112,5
other,70,might-probably,0.060317395911675585,5
might,75,might-probably,0.24321116850610933,5
probably,75,might-probably,0.6895885379048015,5
other,75,might-probably,0.06720029358908923,5
might,80,might-probably,0.20744314639131528,5
probably,80,might-probably,0.7138646745281189,5
other,80,might-probably,0.07869217908056589,5
might,85,might-probably,0.17623148666686894,5
probably,85,might-probably,0.7248678196419466,5
other,85,might-probably,0.09890069369118457,5
might,90,might-probably,0.14859469424707616,5
probably,90,might-probably,0.7127910394737277,5
other,90,might-probably,0.13861426627919604,5
might,95,might-probably,0.12179063318056937,5
probably,95,might-probably,0.6433149417084151,5
other,95,might-probably,0.23489442511101558,5
might,100,might-probably,0.0680924161830884,5
probably,100,might-probably,0.31610952691916405,5
other,100,might-probably,0.6157980568977475,5
might,0,might-probably,0.024777146666666663,6
probably,0,might-probably,0.024777146666666663,6
other,0,might-probably,0.9504457066666666,6
might,5,might-probably,0.2119970384047172,6
probably,5,might-probably,0.046829087148647905,6
other,5,might-probably,0.7411738744466347,6
might,10,might-probably,0.5754492099882476,6
probably,10,might-probably,0.09336261883219227,6
other,10,might-probably,0.3311881711795601,6
might,15,might-probably,0.7117892028364916,6
probably,15,might-probably,0.12250647889491272,6
other,15,might-probably,0.16570431826859566,6
might,20,might-probably,0.7436816270437046,6
probably,20,might-probably,0.1485453085765301,6
other,20,might-probably,0.10777306437976522,6
might,25,might-probably,0.7372001480205607,6
probably,25,might-probably,0.17956692718997622,6
other,25,might-probably,0.08323292478946315,6
might,30,might-probably,0.7109523778225346,6
probably,30,might-probably,0.21813180167254106,6
other,30,might-probably,0.07091582050492434,6
might,35,might-probably,0.6714060513894441,6
probably,35,might-probably,0.2647193605470381,6
other,35,might-probably,0.0638745880635178,6
might,40,might-probably,0.6221635195605352,6
probably,40,might-probably,0.31840321953002226,6
other,40,might-probably,0.05943326090944248,6
might,45,might-probably,0.5664352722720859,6
probably,45,might-probably,0.37708635609793995,6
other,45,might-probably,0.05647837162997399,6
might,50,might-probably,0.5075052830406737,6
probably,50,might-probably,0.4379099703233613,6
other,50,might-probably,0.05458474663596508,6
might,55,might-probably,0.4484819545472649,6
probably,55,might-probably,0.49783678745867366,6
other,55,might-probably,0.05368125799406132,6
might,60,might-probably,0.39190359009256837,6
probably,60,might-probably,0.5541840642852633,6
other,60,might-probably,0.053912345622168185,6
might,65,might-probably,0.33949542895723994,6
probably,65,might-probably,0.6048996302800348,6
other,65,might-probably,0.055604940762725194,6
might,70,might-probably,0.29215523956020995,6
probably,70,might-probably,0.64851199793931,6
other,70,might-probably,0.05933276250048003,6
might,75,might-probably,0.25010002245706653,6
probably,75,might-probably,0.6837731259534566,6
other,75,might-probably,0.06612685158947672,6
might,80,might-probably,0.2130660530784356,6
probably,80,might-probably,0.7089280693866643,6
other,80,might-probably,0.07800587753489989,6
might,85,might-probably,0.18046648845600205,6
probably,85,might-probably,0.720116222704987,6
other,85,might-probably,0.09941728883901087,6
might,90,might-probably,0.15132300712703817,6
probably,90,might-probably,0.7067482702131137,6
other,90,might-probably,0.14192872265984813,6
might,95,might-probably,0.1226814141328743,6
probably,95,might-probably,0.6333461163110061,6
other,95,might-probably,0.2439724695561195,6
might,100,might-probably,0.06999479005115335,6
probably,100,might-probably,0.3235266180729298,6
other,100,might-probably,0.6064785918759167,6
might,0,might-probably,0.024777146666666663,7
probably,0,might-probably,0.024777146666666663,7
other,0,might-probably,0.9504457066666666,7
might,5,might-probably,0.18107991985981212,7
probably,5,might-probably,0.04774249765770784,7
other,5,might-probably,0.77117758248248,7
might,10,might-probably,0.5572847285033918,7
probably,10,might-probably,0.10005208931996312,7
other,10,might-probably,0.34266318217664493,7
might,15,might-probably,0.7070248494642675,7
probably,15,might-probably,0.1296376967891773,7
other,15,might-probably,0.16333745374655503,7
might,20,might-probably,0.7422580945581346,7
probably,20,might-probably,0.15429456148371978,7
other,20,might-probably,0.10344734395814557,7
might,25,might-probably,0.7366933490948373,7
probably,25,might-probably,0.184036318221056,7
