modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.024777146666666663,0
probably,0,might-probably,0.024777146666666663,0
other,0,might-probably,0.9504457066666666,0
might,5,might-probably,0.1897050277656548,0
probably,5,might-probably,0.05277499010088667,0
other,5,might-probably,0.7575199821334584,0
might,10,might-probably,0.5707308516016054,0
probably,10,might-probably,0.10241615021746728,0
other,10,might-probably,0.3268529981809273,0
might,15,might-probably,0.7136300198182125,0
probably,15,might-probably,0.1258427415154037,0
other,15,might-probably,0.16052723866638366,0
might,20,might-probably,0.7459978812369599,0
probably,20,might-probably,0.1478400267822344,0
other,20,might-probably,0.10616209198080567,0
might,25,might-probably,0.7386990284625026,0
probably,25,might-probably,0.17722563921982742,0
other,25,might-probably,0.08407533231766995,0
might,30,might-probably,0.7110527207701953,0
probably,30,might-probably,0.21583104184100227,0
other,30,might-probably,0.07311623738880241,0
might,35,might-probably,0.6700511115049593,0
probably,35,might-probably,0.2633774922744593,0
other,35,might-probably,0.06657139622058128,0
might,40,might-probably,0.6198890269216473,0
probably,40,might-probably,0.31824073508023276,0
other,40,might-probably,0.06187023799811981,0
might,45,might-probably,0.5641960315568616,0
probably,45,might-probably,0.3778758388516068,0
other,45,might-probably,0.05792812959153152,0
might,50,might-probably,0.5062718260557006,0
probably,50,might-probably,0.4393935741185485,0
other,50,might-probably,0.05433459982575083,0
might,55,might-probably,0.44884303309884344,0
probably,55,might-probably,0.5001015863736528,0
other,55,might-probably,0.05105538052750374,0
might,60,might-probably,0.39389156627567723,0
probably,60,might-probably,0.5578248202595746,0
other,60,might-probably,0.04828361346474823,0
might,65,might-probably,0.3426443927926561,0
probably,65,might-probably,0.6109512756760322,0
other,65,might-probably,0.04640433153131159,0
might,70,might-probably,0.29566811801648507,0
probably,70,might-probably,0.658213472800122,0
other,70,might-probably,0.04611840918339285,0
might,75,might-probably,0.25301922452008413,0
probably,75,might-probably,0.6981736391200016,0
other,75,might-probably,0.04880713635991416,0
might,80,might-probably,0.21442560810867983,0
probably,80,might-probably,0.7281502356338839,0
other,80,might-probably,0.057424156257436215,0
might,85,might-probably,0.179469422082003,0
probably,85,might-probably,0.7416055199014816,0
other,85,might-probably,0.07892505801651524,0
might,90,might-probably,0.14742471497244947,0
probably,90,might-probably,0.7205098965683866,0
other,90,might-probably,0.13206538845916385,0
might,95,might-probably,0.11449599689222895,0
probably,95,might-probably,0.6125108851744573,0
other,95,might-probably,0.2729931179333137,0
might,100,might-probably,0.06871106290089832,0
probably,100,might-probably,0.3339398582329456,0
other,100,might-probably,0.597349078866156,0
might,0,might-probably,0.024777146666666663,1
probably,0,might-probably,0.024777146666666663,1
other,0,might-probably,0.9504457066666666,1
might,5,might-probably,0.18855037725200646,1
probably,5,might-probably,0.05397759313322835,1
other,5,might-probably,0.7574720296147651,1
might,10,might-probably,0.5599058457795328,1
probably,10,might-probably,0.10482855155115396,1
other,10,might-probably,0.33526560266931316,1
might,15,might-probably,0.7048643016202398,1
probably,15,might-probably,0.12884622367226584,1
other,15,might-probably,0.1662894747074944,1
might,20,might-probably,0.7401341903234973,1
probably,20,might-probably,0.15036389731662192,1
other,20,might-probably,0.10950191235988066,1
might,25,might-probably,0.7353458729529132,1
probably,25,might-probably,0.17854949850260018,1
other,25,might-probably,0.08610462854448654,1
might,30,might-probably,0.710122741090015,1
probably,30,might-probably,0.21542288100751905,1
other,30,might-probably,0.07445437790246592,1
might,35,might-probably,0.6714998275020111,1
probably,35,might-probably,0.2609191743907203,1
other,35,might-probably,0.06758099810726842,1
might,40,might-probably,0.6234823407518358,1
probably,40,might-probably,0.31369947663889486,1
other,40,might-probably,0.06281818260926915,1
might,45,might-probably,0.5694379933642296,1
probably,45,might-probably,0.3714872799519622,1
other,45,might-probably,0.059074726683808074,1
might,50,might-probably,0.5125006471651976,1
probably,50,might-probably,0.4315540168916129,1
other,50,might-probably,0.05594533594318945,1
might,55,might-probably,0.45539738216637293,1
probably,55,might-probably,0.49125072073059883,1
other,55,might-probably,0.053351897103028345,1
might,60,might-probably,0.4002235663098711,1
probably,60,might-probably,0.5483713694089807,1
other,60,might-probably,0.05140506428114818,1
might,65,might-probably,0.34835146808162853,1
probably,65,might-probably,0.6012400312984774,1
other,65,might-probably,0.050408500619894145,1
might,70,might-probably,0.30048522591934956,1
probably,70,might-probably,0.648532076625161,1
other,70,might-probably,0.050982697455489195,1
might,75,might-probably,0.25680666348635195,1
probably,75,might-probably,0.6888414799996684,1
other,75,might-probably,0.05435185651397964,1
might,80,might-probably,0.21715580248214783,1
probably,80,might-probably,0.7198168589577157,1
other,80,might-probably,0.06302733856013648,1
might,85,might-probably,0.18120639912079137,1
probably,85,might-probably,0.7360931866527218,1
other,85,might-probably,0.08270041422648672,1
might,90,might-probably,0.14843590367385567,1
probably,90,might-probably,0.723097315016271,1
other,90,might-probably,0.12846678130987338,1
might,95,might-probably,0.1161597968871821,1
probably,95,might-probably,0.6345861090962605,1
other,95,might-probably,0.24925409401655735,1
might,100,might-probably,0.06646264858314642,1
probably,100,might-probably,0.3241964302745107,1
other,100,might-probably,0.6093409211423427,1
might,0,might-probably,0.024777146666666663,2
probably,0,might-probably,0.024777146666666663,2
other,0,might-probably,0.9504457066666666,2
might,5,might-probably,0.16272129081744813,2
probably,5,might-probably,0.05594048502513729,2
other,5,might-probably,0.7813382241574146,2
might,10,might-probably,0.5631231907542784,2
probably,10,might-probably,0.10848241766482539,2
other,10,might-probably,0.3283943915808962,2
might,15,might-probably,0.71757325447128,2
probably,15,might-probably,0.12701857134759809,2
other,15,might-probably,0.15540817418112193,2
might,20,might-probably,0.7515059318947737,2
probably,20,might-probably,0.14557003538980207,2
other,20,might-probably,0.10292403271542423,2
might,25,might-probably,0.7438565354985798,2
probably,25,might-probably,0.17328132125311022,2
other,25,might-probably,0.08286214324830987,2
might,30,might-probably,0.7154480978398327,2
probably,30,might-probably,0.21116587617266286,2
other,30,might-probably,0.07338602598750445,2
might,35,might-probably,0.67388909475177,2
probably,35,might-probably,0.25826066765670264,2
other,35,might-probably,0.0678502375915274,2
might,40,might-probably,0.6237331731201227,2
probably,40,might-probably,0.31245883720918,2
other,40,might-probably,0.06380798967069727,2
might,45,might-probably,0.5686262462874675,2
probably,45,might-probably,0.37104084043687036,2
other,45,might-probably,0.060332913275662,2
might,50,might-probably,0.5115888420402775,2
probably,50,might-probably,0.43124199465441604,2
other,50,might-probably,0.05716916330530644,2
might,55,might-probably,0.45497425306351724,2
probably,55,might-probably,0.49063733125493614,2
other,55,might-probably,0.05438841568154651,2
might,60,might-probably,0.4004704977668372,2
probably,60,might-probably,0.5472743426049932,2
other,60,might-probably,0.05225515962816946,2
might,65,might-probably,0.3491626686127502,2
probably,65,might-probably,0.5996132011842461,2
other,65,might-probably,0.0512241302030036,2
might,70,might-probably,0.3016208448752058,2
probably,70,might-probably,0.646315367409241,2
other,70,might-probably,0.05206378771555317,2
might,75,might-probably,0.2580041708309707,2
probably,75,might-probably,0.6858186656654164,2
other,75,might-probably,0.0561771635036128,2
might,80,might-probably,0.21818572176075177,2
probably,80,might-probably,0.7154369660112967,2
other,80,might-probably,0.06637731222795144,2
might,85,might-probably,0.18187413976246658,2
probably,85,might-probably,0.7291407421412031,2
other,85,might-probably,0.08898511809633033,2
might,90,might-probably,0.14845206038878056,2
probably,90,might-probably,0.7110305186477096,2
other,90,might-probably,0.14051742096350964,2
might,95,might-probably,0.11477735844531838,2
probably,95,might-probably,0.6143481434051714,2
other,95,might-probably,0.2708744981495099,2
might,100,might-probably,0.0660826225020022,2
probably,100,might-probably,0.32060346249006455,2
other,100,might-probably,0.6133139150079332,2
might,0,might-probably,0.024777146666666663,3
probably,0,might-probably,0.024777146666666663,3
other,0,might-probably,0.9504457066666666,3
might,5,might-probably,0.16980385608497106,3
probably,5,might-probably,0.05158401925110032,3
other,5,might-probably,0.7786121246639287,3
might,10,might-probably,0.5646245509604116,3
probably,10,might-probably,0.10426703446894336,3
other,10,might-probably,0.331108414570645,3
might,15,might-probably,0.7170093833976564,3
probably,15,might-probably,0.12740230227856977,3
other,15,might-probably,0.1555883143237736,3
might,20,might-probably,0.7509203738488164,3
probably,20,might-probably,0.14836633727470278,3
other,20,might-probably,0.10071328887648075,3
might,25,might-probably,0.743718460786766,3
probably,25,might-probably,0.1770530078566323,3
other,25,might-probably,0.07922853135660174,3
might,30,might-probably,0.7157424752105467,3
probably,30,might-probably,0.21535737972275598,3
other,30,might-probably,0.06890014506669727,3
might,35,might-probably,0.674142308057008,3
probably,35,might-probably,0.2629266773734939,3
other,35,might-probably,0.0629310145694981,3
might,40,might-probably,0.623197955707526,3
probably,40,might-probably,0.3179848367858471,3
other,40,might-probably,0.05881720750662692,3
might,45,might-probably,0.5666379112684076,3
probably,45,might-probably,0.37776944260174306,3
other,45,might-probably,0.05559264612984931,3
might,50,might-probably,0.5078714506770686,3
probably,50,might-probably,0.43915507140865107,3
other,50,might-probably,0.052973477914280205,3
might,55,might-probably,0.4497317999891328,3
probably,55,might-probably,0.4992469986408016,3
other,55,might-probably,0.05102120137006545,3
might,60,might-probably,0.39428143444733954,3
probably,60,might-probably,0.5557164473202456,3
other,60,might-probably,0.050002118232414766,3
might,65,might-probably,0.3427989290032786,3
probably,65,might-probably,0.6068325154809274,3
other,65,might-probably,0.05036855551579397,3
might,70,might-probably,0.29589149852230767,3
probably,70,might-probably,0.6512493820220716,3
other,70,might-probably,0.052859119455620635,3
might,75,might-probably,0.25365586494782544,3
probably,75,might-probably,0.6875629243607859,3
other,75,might-probably,0.058781210691388634,3
might,80,might-probably,0.2158389190786036,3
probably,80,might-probably,0.7134571109178586,3
other,80,might-probably,0.07070397000353773,3
might,85,might-probably,0.18194970815436684,3
probably,85,might-probably,0.7237148023322527,3
other,85,might-probably,0.09433548951338039,3
might,90,might-probably,0.1510768035100932,3
probably,90,might-probably,0.7044035955669272,3
other,90,might-probably,0.14451960092297944,3
might,95,might-probably,0.11973547891358834,3
probably,95,might-probably,0.6127882431493074,3
other,95,might-probably,0.26747627793710427,3
might,100,might-probably,0.06923316056826007,3
probably,100,might-probably,0.3192084538207147,3
other,100,might-probably,0.611558385611025,3
might,0,might-probably,0.024777146666666663,4
probably,0,might-probably,0.024777146666666663,4
other,0,might-probably,0.9504457066666666,4
might,5,might-probably,0.22751629930962206,4
probably,5,might-probably,0.051687096937729944,4
other,5,might-probably,0.7207966037526479,4
might,10,might-probably,0.5778632905932408,4
probably,10,might-probably,0.09652037169204283,4
other,10,might-probably,0.3256163377147163,4
might,15,might-probably,0.7063916825241923,4
probably,15,might-probably,0.12238223461953833,4
other,15,might-probably,0.17122608285626945,4
might,20,might-probably,0.7373600487175889,4
probably,20,might-probably,0.14673993466976265,4
other,20,might-probably,0.11590001661264836,4
might,25,might-probably,0.7312679884135603,4
probably,25,might-probably,0.17693908633411887,4
other,25,might-probably,0.0917929252523208,4
might,30,might-probably,0.7057466437124782,4
probably,30,might-probably,0.21502505400459776,4
other,30,might-probably,0.07922830228292403,4
might,35,might-probably,0.6673266677873041,4
probably,35,might-probably,0.2611572208247683,4
other,35,might-probably,0.07151611138792756,4
might,40,might-probably,0.6197762708783146,4
probably,40,might-probably,0.31424989477672305,4
other,40,might-probably,0.06597383434496233,4
might,45,might-probably,0.5662949144646795,4
probably,45,might-probably,0.3722594503258093,4
other,45,might-probably,0.061445635209511094,4
might,50,might-probably,0.509908179459748,4
probably,50,might-probably,0.43260561362190153,4
other,50,might-probably,0.05748620691835048,4
might,55,might-probably,0.4532952431793892,4
probably,55,might-probably,0.49266383498188526,4
other,55,might-probably,0.054040921838725484,4
might,60,might-probably,0.39854472912246164,4
probably,60,might-probably,0.5501371671220412,4
other,60,might-probably,0.05131810375549705,4
might,65,might-probably,0.3470382243762861,4
probably,65,might-probably,0.6031752889809624,4
other,65,might-probably,0.04978648664275119,4
might,70,might-probably,0.29948631434561157,4
probably,70,might-probably,0.6501971322388583,4
other,70,might-probably,0.05031655341553005,4
might,75,might-probably,0.2560671908338682,4
probably,75,might-probably,0.6893646986925316,4
other,75,might-probably,0.054568110473600086,4
might,80,might-probably,0.21661344069963606,4
probably,80,might-probably,0.7174468015314487,4
other,80,might-probably,0.06593975776891518,4
might,85,might-probably,0.1807656914044302,4
probably,85,might-probably,0.7271199089155113,4
other,85,might-probably,0.09211439968005852,4
might,90,might-probably,0.14763884223985685,4
probably,90,might-probably,0.6995253422150911,4
other,90,might-probably,0.15283581554505188,4
might,95,might-probably,0.1129833090553516,4
probably,95,might-probably,0.5848155757775253,4
other,95,might-probably,0.30220111516712284,4
might,100,might-probably,0.06633323528859897,4
probably,100,might-probably,0.31437169729074366,4
other,100,might-probably,0.6192950674206572,4
might,0,might-probably,0.024777146666666663,5
probably,0,might-probably,0.024777146666666663,5
other,0,might-probably,0.9504457066666666,5
might,5,might-probably,0.16255784410424254,5
probably,5,might-probably,0.052659887121481896,5
other,5,might-probably,0.7847822687742754,5
might,10,might-probably,0.560110349869377,5
probably,10,might-probably,0.10410024369687386,5
other,10,might-probably,0.3357894064337491,5
might,15,might-probably,0.7170592690179254,5
probably,15,might-probably,0.124646873934853,5
other,15,might-probably,0.15829385704722151,5
might,20,might-probably,0.7525482076649557,5
probably,20,might-probably,0.14404745723665208,5
other,20,might-probably,0.10340433509839227,5
might,25,might-probably,0.7459693863867151,5
probably,25,might-probably,0.17188265432043826,5
other,25,might-probably,0.08214795929284666,5
might,30,might-probably,0.7183179581750802,5
probably,30,might-probably,0.20970295277392745,5
other,30,might-probably,0.07197908905099233,5
might,35,might-probably,0.6770370976248583,5
probably,35,might-probably,0.2569619137709503,5
other,35,might-probably,0.0660009886041914,5
might,40,might-probably,0.6265201182931979,5
probably,40,might-probably,0.31182364002468255,5
other,40,might-probably,0.0616562416821194,5
might,45,might-probably,0.5704257866666057,5
probably,45,might-probably,0.371624860799428,5
other,45,might-probably,0.0579493525339661,5
might,50,might-probably,0.5119627397989885,5
probably,50,might-probably,0.43346020479841985,5
other,50,might-probably,0.054577055402591584,5
might,55,might-probably,0.453748547054189,5
probably,55,might-probably,0.4946693153377536,5
other,55,might-probably,0.05158213760805745,5
might,60,might-probably,0.3977112504452165,5
probably,60,might-probably,0.5530734218162252,5
other,60,might-probably,0.04921532773855826,5
might,65,might-probably,0.34510200275108266,5
probably,65,might-probably,0.6069660260359334,5
other,65,might-probably,0.047931971212984,5
might,70,might-probably,0.2965796526274631,5
probably,70,might-probably,0.6548958433446228,5
other,70,might-probably,0.04852450402791404,5
might,75,might-probably,0.25233577613766944,5
probably,75,might-probably,0.6951924760515249,5
other,75,might-probably,0.052471747810805484,5
might,80,might-probably,0.21225029928483405,5
probably,80,might-probably,0.7249613081483589,5
other,80,might-probably,0.06278839256680702,5
might,85,might-probably,0.17604109158319567,5
probably,85,might-probably,0.7376173685456128,5
other,85,might-probably,0.08634153987119147,5
might,90,might-probably,0.14304798976906202,5
probably,90,might-probably,0.7156515854909392,5
other,90,might-probably,0.14130042473999876,5
might,95,might-probably,0.10961086364963687,5
probably,95,might-probably,0.6082359556532803,5
other,95,might-probably,0.28215318069708273,5
might,100,might-probably,0.06332458891774567,5
probably,100,might-probably,0.31825215717564503,5
other,100,might-probably,0.6184232539066092,5
might,0,might-probably,0.024777146666666663,6
probably,0,might-probably,0.024777146666666663,6
other,0,might-probably,0.9504457066666666,6
might,5,might-probably,0.2064043884828229,6
probably,5,might-probably,0.05239077854446396,6
other,5,might-probably,0.741204832972713,6
might,10,might-probably,0.587774659429424,6
probably,10,might-probably,0.09945383627085744,6
other,10,might-probably,0.31277150429971856,6
might,15,might-probably,0.7227049866695222,6
probably,15,might-probably,0.12230274699208893,6
other,15,might-probably,0.15499226633838883,6
might,20,might-probably,0.7521975929349922,6
probably,20,might-probably,0.14437683233073084,6
other,20,might-probably,0.10342557473427688,6
might,25,might-probably,0.7439933979906813,6
probably,25,might-probably,0.17368484071458468,6
other,25,might-probably,0.082321761294734,6
might,30,might-probably,0.7162144828111956,6
probably,30,might-probably,0.21200862099328371,6
other,30,might-probably,0.07177689619552065,6
might,35,might-probably,0.6753810852447562,6
probably,35,might-probably,0.2591793127812352,6
other,35,might-probably,0.06543960197400847,6
might,40,might-probably,0.6253997549363518,6
probably,40,might-probably,0.3137220585318701,6
other,40,might-probably,0.060878186531778074,6
might,45,might-probably,0.5696833290208628,6
probably,45,might-probably,0.3732083640532309,6
other,45,might-probably,0.05710830692590616,6
might,50,might-probably,0.5114150166076215,6
probably,50,might-probably,0.43478027516592976,6
other,50,might-probably,0.05380470822644871,6
might,55,might-probably,0.4533251138190182,6
probably,55,might-probably,0.49568818072306065,6
other,55,might-probably,0.05098670545792114,6
might,60,might-probably,0.3974789951621649,6
probably,60,might-probably,0.5536362743998792,6
other,60,might-probably,0.04888473043795595,6
might,65,might-probably,0.34521825475621293,6
probably,65,might-probably,0.6068598941945056,6
other,65,might-probably,0.047921851049281275,6
might,70,might-probably,0.2972323430781044,6
probably,70,might-probably,0.6539530890389335,6
other,70,might-probably,0.04881456788296218,6
might,75,might-probably,0.25369955755450113,6
probably,75,might-probably,0.6934362433453013,6
other,75,might-probably,0.05286419910019754,6
might,80,might-probably,0.21445449823666207,6
probably,80,might-probably,0.7228615074494917,6
other,80,might-probably,0.062683994313846,6
might,85,might-probably,0.17914194219327267,6
probably,85,might-probably,0.7366520274611231,6
other,85,might-probably,0.08420603034560417,6
might,90,might-probably,0.1471013942372179,6
probably,90,might-probably,0.7196261488456384,6
other,90,might-probably,0.13327245691714362,6
might,95,might-probably,0.11513096918962734,6
probably,95,might-probably,0.6245986471570781,6
other,95,might-probably,0.2602703836532944,6
might,100,might-probably,0.06704089723981091,6
probably,100,might-probably,0.327188200426794,6
other,100,might-probably,0.6057709023333951,6
might,0,might-probably,0.024777146666666663,7
probably,0,might-probably,0.024777146666666663,7
other,0,might-probably,0.9504457066666666,7
might,5,might-probably,0.1898005303885354,7
probably,5,might-probably,0.05185845484989042,7
other,5,might-probably,0.7583410147615741,7
might,10,might-probably,0.5540400631019589,7
probably,10,might-probably,0.10288131703538218,7
other,10,might-probably,0.3430786198626591,7
might,15,might-probably,0.6973956863112448,7
probably,15,might-probably,0.13035166473570003,7
other,15,might-probably,0.1722526489530552,7
might,20,might-probably,0.731594484149416,7
probably,20,might-probably,0.15496997343042554,7
other,20,might-probably,0.11343554242015848,7
might,25,might-probably,0.7253049971035942,7
probably,25,might-probably,0.18590725607100309,7
