modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.024777146666666663,0
probably,0,might-probably,0.024777146666666663,0
other,0,might-probably,0.9504457066666666,0
might,5,might-probably,0.5028524637985793,0
probably,5,might-probably,0.09141853497985587,0
other,5,might-probably,0.40572900122156486,0
might,10,might-probably,0.5383940696041173,0
probably,10,might-probably,0.12247694612256367,0
other,10,might-probably,0.33912898427331883,0
might,15,might-probably,0.5534972766147715,0
probably,15,might-probably,0.14766262158244337,0
other,15,might-probably,0.29884010180278514,0
might,20,might-probably,0.5602594521999309,0
probably,20,might-probably,0.1703002402538259,0
other,20,might-probably,0.26944030754624315,0
might,25,might-probably,0.5622858390324548,0
probably,25,might-probably,0.19171916945898246,0
other,25,might-probably,0.24599499150856274,0
might,30,might-probably,0.5610493695676362,0
probably,30,might-probably,0.21264827037539477,0
other,30,might-probably,0.22630236005696897,0
might,35,might-probably,0.5572224848679358,0
probably,35,might-probably,0.23357605006691007,0
other,35,might-probably,0.209201465065154,0
might,40,might-probably,0.55109450950759,0
probably,40,might-probably,0.25488615659643377,0
other,40,might-probably,0.19401933389597603,0
might,45,might-probably,0.5427298607081131,0
probably,45,might-probably,0.27692256236466584,0
other,45,might-probably,0.18034757692722098,0
might,50,might-probably,0.5320306791421158,0
probably,50,might-probably,0.3000285081137366,0
other,50,might-probably,0.1679408127441475,0
might,55,might-probably,0.518755676114945,0
probably,55,might-probably,0.32457503675816435,0
other,55,might-probably,0.1566692871268905,0
might,60,might-probably,0.502513943159395,0
probably,60,might-probably,0.350985346266408,0
other,60,might-probably,0.14650071057419708,0
might,65,might-probably,0.48274129414865574,0
probably,65,might-probably,0.3797563390910459,0
other,65,might-probably,0.13750236676029828,0
might,70,might-probably,0.4586639604745958,0
probably,70,might-probably,0.4114738930601507,0
other,70,might-probably,0.12986214646525357,0
might,75,might-probably,0.4292577234978856,0
probably,75,might-probably,0.4468102834833316,0
other,75,might-probably,0.12393199301878273,0
might,80,might-probably,0.3932214512252783,0
probably,80,might-probably,0.4864775847573557,0
other,80,might-probably,0.12030096401736606,0
might,85,might-probably,0.34900253604464143,0
probably,85,might-probably,0.5310912764485224,0
other,85,might-probably,0.11990618750683615,0
might,90,might-probably,0.2949070605171912,0
probably,90,might-probably,0.5809194061801696,0
other,90,might-probably,0.12417353330263935,0
might,95,might-probably,0.229007779247977,0
probably,95,might-probably,0.636023847618735,0
other,95,might-probably,0.13496837313328786,0
might,100,might-probably,0.13018954018020626,0
probably,100,might-probably,0.7353000574437695,0
other,100,might-probably,0.1345104023760241,0
might,0,might-probably,0.024777146666666663,1
probably,0,might-probably,0.024777146666666663,1
other,0,might-probably,0.9504457066666666,1
might,5,might-probably,0.5083673356105579,1
probably,5,might-probably,0.09895456361457518,1
other,5,might-probably,0.39267810077486665,1
might,10,might-probably,0.5362991973140154,1
probably,10,might-probably,0.13209681590388034,1
other,10,might-probably,0.3316039867821041,1
might,15,might-probably,0.5469066926872191,1
probably,15,might-probably,0.15881181302157243,1
other,15,might-probably,0.2942814942912084,1
might,20,might-probably,0.5505750010000617,1
probably,20,might-probably,0.1827166176733383,1
other,20,might-probably,0.2667083813265999,1
might,25,might-probably,0.5503517588239568,1
probably,25,might-probably,0.2052422608675245,1
other,25,might-probably,0.24440598030851862,1
might,30,might-probably,0.5474710408105843,1
probably,30,might-probably,0.22716677255387904,1
other,30,might-probably,0.2253621866355367,1
might,35,might-probably,0.5424921303315785,1
probably,35,might-probably,0.24900668788001232,1
other,35,might-probably,0.20850118178840926,1
might,40,might-probably,0.5356518090990573,1
probably,40,might-probably,0.2711628037917032,1
other,40,might-probably,0.19318538710923933,1
might,45,might-probably,0.5269954328540636,1
probably,45,might-probably,0.2939890324149764,1
other,45,might-probably,0.17901553473096007,1
might,50,might-probably,0.5164265084754704,1
probably,50,might-probably,0.3178320699669749,1
other,50,might-probably,0.16574142155755447,1
might,55,might-probably,0.5037185862365449,1
probably,55,might-probably,0.3430586214997792,1
other,55,might-probably,0.15322279226367574,1
might,60,might-probably,0.48850520211563053,1
probably,60,might-probably,0.3700761919200726,1
other,60,might-probably,0.14141860596429698,1
might,65,might-probably,0.47025446378755953,1
probably,65,might-probably,0.3993476224729673,1
other,65,might-probably,0.13039791373947301,1
might,70,might-probably,0.44823356111185675,1
probably,70,might-probably,0.43139317085126616,1
other,70,might-probably,0.12037326803687692,1
might,75,might-probably,0.421473938659061,1
probably,75,might-probably,0.46676298360884283,1
other,75,might-probably,0.11176307773209615,1
might,80,might-probably,0.3887636728176268,1
probably,80,might-probably,0.5059431240986879,1
other,80,might-probably,0.10529320308368542,1
might,85,might-probably,0.34872421319109215,1
probably,85,might-probably,0.5491321656121774,1
other,85,might-probably,0.1021436211967305,1
might,90,might-probably,0.30005803306527445,1
probably,90,might-probably,0.595851006382561,1
other,90,might-probably,0.10409096055216437,1
might,95,might-probably,0.24190027689132323,1
probably,95,might-probably,0.6449457943593494,1
other,95,might-probably,0.11315392874932725,1
might,100,might-probably,0.15909806751035874,1
probably,100,might-probably,0.7094590013225852,1
other,100,might-probably,0.13144293116705588,1
might,0,might-probably,0.024777146666666663,2
probably,0,might-probably,0.024777146666666663,2
other,0,might-probably,0.9504457066666666,2
might,5,might-probably,0.47245250923093873,2
probably,5,might-probably,0.08459058253690176,2
other,5,might-probably,0.4429569082321595,2
might,10,might-probably,0.5169946325777749,2
probably,10,might-probably,0.11923041166884796,2
other,10,might-probably,0.36377495575337715,2
might,15,might-probably,0.5360278754841946,2
probably,15,might-probably,0.1483813282001895,2
other,15,might-probably,0.3155907963156158,2
might,20,might-probably,0.5443708185260089,2
probably,20,might-probably,0.17498425417763894,2
other,20,might-probably,0.28064492729635204,2
might,25,might-probably,0.5466444873193596,2
probably,25,might-probably,0.20028666193770517,2
other,25,might-probably,0.25306885074293517,2
might,30,might-probably,0.5448248711787624,2
probably,30,might-probably,0.22499028209239516,2
other,30,might-probably,0.23018484672884246,2
might,35,might-probably,0.5398844608065172,2
probably,35,might-probably,0.24956589531067286,2
other,35,might-probably,0.2105496438828098,2
might,40,might-probably,0.5323228339058381,2
probably,40,might-probably,0.2743753865698637,2
other,40,might-probably,0.19330177952429817,2
might,45,might-probably,0.5223772632999669,2
probably,45,might-probably,0.29973048724908513,2
other,45,might-probably,0.1778922494509478,2
might,50,might-probably,0.5101158868036952,2
probably,50,might-probably,0.3259265148612723,2
other,50,might-probably,0.1639575983350325,2
might,55,might-probably,0.49547952163428133,2
probably,55,might-probably,0.3532651847564371,2
other,55,might-probably,0.1512552936092816,2
might,60,might-probably,0.47829721669622904,2
probably,60,might-probably,0.3820722419266165,2
other,60,might-probably,0.13963054137715447,2
might,65,might-probably,0.45828601411346004,2
probably,65,might-probably,0.4127118012700701,2
other,65,might-probably,0.1290021846164698,2
might,70,might-probably,0.43503958860576686,2
probably,70,might-probably,0.4455961372763245,2
other,70,might-probably,0.11936427411790859,2
might,75,might-probably,0.40800812106561635,2
probably,75,might-probably,0.4811847095713613,2
other,75,might-probably,0.11080716936302243,2
might,80,might-probably,0.37647068062928235,2
probably,80,might-probably,0.5199552002695743,2
other,80,might-probably,0.10357411910114325,2
might,85,might-probably,0.33949725452661195,2
probably,85,might-probably,0.5623005289107428,2
other,85,might-probably,0.09820221656264523,2
might,90,might-probably,0.2958657907051425,2
probably,90,might-probably,0.6082150117410083,2
other,90,might-probably,0.095919197553849,2
might,95,might-probably,0.24364079114590487,2
probably,95,might-probably,0.65623741412195,2
other,95,might-probably,0.10012179473214498,2
might,100,might-probably,0.16888599525798684,2
probably,100,might-probably,0.6996030587037808,2
other,100,might-probably,0.13151094603823235,2
might,0,might-probably,0.024777146666666663,3
probably,0,might-probably,0.024777146666666663,3
other,0,might-probably,0.9504457066666666,3
might,5,might-probably,0.5231628433450984,3
probably,5,might-probably,0.0909034458611844,3
other,5,might-probably,0.3859337107937172,3
might,10,might-probably,0.54762982826583,3
probably,10,might-probably,0.12366804895021433,3
other,10,might-probably,0.3287021227839557,3
might,15,might-probably,0.5560181837709803,3
probably,15,might-probably,0.15088131097144203,3
other,15,might-probably,0.2931005052575776,3
might,20,might-probably,0.5579005278171878,3
probably,20,might-probably,0.17568770299746755,3
other,20,might-probably,0.2664117691853447,3
might,25,might-probably,0.5560771369199421,3
probably,25,might-probably,0.19936389788263043,3
other,25,might-probably,0.24455896519742737,3
might,30,might-probably,0.5516748185982879,3
probably,30,might-probably,0.22261952121420642,3
other,30,might-probably,0.22570566018750562,3
might,35,might-probably,0.5451966158064437,3
probably,35,might-probably,0.24593518116300794,3
other,35,might-probably,0.2088682030305483,3
might,40,might-probably,0.5368469853167374,3
probably,40,might-probably,0.26968998361815244,3
other,40,might-probably,0.1934630310651101,3
might,45,might-probably,0.5266536096104695,3
probably,45,might-probably,0.29422236707664773,3
other,45,might-probably,0.1791240233128828,3
might,50,might-probably,0.5145148143434188,3
probably,50,might-probably,0.3198651709403513,3
other,50,might-probably,0.1656200147162299,3
might,55,might-probably,0.5002134908712055,3
probably,55,might-probably,0.3469690930398271,3
other,55,might-probably,0.15281741608896754,3
might,60,might-probably,0.48341307936070255,3
probably,60,might-probably,0.3759190866679468,3
other,60,might-probably,0.14066783397135058,3
might,65,might-probably,0.46364353876571307,3
probably,65,might-probably,0.4071425434639855,3
other,65,might-probably,0.12921391777030145,3
might,70,might-probably,0.44028487256370097,3
probably,70,might-probably,0.4411009767350984,3
other,70,might-probably,0.11861415070120071,3
might,75,might-probably,0.41256121831601533,3
probably,75,might-probably,0.47824268736644826,3
other,75,might-probably,0.10919609431753641,3
might,80,might-probably,0.3795729508769964,3
probably,80,might-probably,0.5188617569309475,3
other,80,might-probably,0.10156529219205615,3
might,85,might-probably,0.34042550103845165,3
probably,85,might-probably,0.5627360574391258,3
other,85,might-probably,0.0968384415224225,3
might,90,might-probably,0.29456775396266033,3
probably,90,might-probably,0.6082562676059203,3
other,90,might-probably,0.09717597843141926,3
might,95,might-probably,0.24249927998426687,3
probably,95,might-probably,0.6504157995058902,3
other,95,might-probably,0.10708492050984285,3
might,100,might-probably,0.1837449321926133,3
probably,100,might-probably,0.6897143955752721,3
other,100,might-probably,0.12654067223211454,3
might,0,might-probably,0.024777146666666663,4
probably,0,might-probably,0.024777146666666663,4
other,0,might-probably,0.9504457066666666,4
might,5,might-probably,0.5063565525529646,4
probably,5,might-probably,0.0785612981193498,4
other,5,might-probably,0.4150821493276856,4
might,10,might-probably,0.5425649803758829,4
probably,10,might-probably,0.11071447353959796,4
other,10,might-probably,0.346720546084519,4
might,15,might-probably,0.5568379133253523,4
probably,15,might-probably,0.13845603517719635,4
other,15,might-probably,0.30470605149745134,4
might,20,might-probably,0.5619469158460288,4
probably,20,might-probably,0.16428184143896876,4
other,20,might-probably,0.2737712427150024,4
might,25,might-probably,0.5617693938112913,4
probably,25,might-probably,0.18925887877147785,4
other,25,might-probably,0.2489717274172308,4
might,30,might-probably,0.5579204726594241,4
probably,30,might-probably,0.21399813300630213,4
other,30,might-probably,0.22808139433427368,4
might,35,might-probably,0.5511626600111134,4
probably,35,might-probably,0.23891953694086218,4
other,35,might-probably,0.2099178030480245,4
might,40,might-probably,0.5418550309381598,4
probably,40,might-probably,0.2643543559054298,4
other,40,might-probably,0.19379061315641033,4
might,45,might-probably,0.5301292353109244,4
probably,45,might-probably,0.29059418364237133,4
other,45,might-probably,0.17927658104670424,4
might,50,might-probably,0.515966225924172,4
probably,50,might-probably,0.31791847864767026,4
other,50,might-probably,0.16611529542815778,4
might,55,might-probably,0.4992302700230331,4
probably,55,might-probably,0.34661193424657494,4
other,55,might-probably,0.15415779573039184,4
might,60,might-probably,0.47968223097984897,4
probably,60,might-probably,0.37697559609593934,4
other,60,might-probably,0.1433421729242119,4
might,65,might-probably,0.4569824864283568,4
probably,65,might-probably,0.4093317769177738,4
other,65,might-probably,0.13368573665386943,4
might,70,might-probably,0.4306903667131572,4
probably,70,might-probably,0.44401928459981643,4
other,70,might-probably,0.1252903486870263,4
might,75,might-probably,0.40026752072911553,4
probably,75,might-probably,0.4813704857195298,4
other,75,might-probably,0.11836199355135463,4
might,80,might-probably,0.36509577721705305,4
probably,80,might-probably,0.521653642217496,4
other,80,might-probably,0.11325058056545081,4
might,85,might-probably,0.3245229571515693,4
probably,85,might-probably,0.5649520804524059,4
other,85,might-probably,0.1105249623960248,4
might,90,might-probably,0.27793532099194374,4
probably,90,might-probably,0.610946373551532,4
other,90,might-probably,0.11111830545652424,4
might,95,might-probably,0.22469831788878716,4
probably,95,might-probably,0.6587176366814927,4
other,95,might-probably,0.11658404542971997,4
might,100,might-probably,0.15526967689781088,4
probably,100,might-probably,0.711225904090748,4
other,100,might-probably,0.13350441901144114,4
might,0,might-probably,0.024777146666666663,5
probably,0,might-probably,0.024777146666666663,5
other,0,might-probably,0.9504457066666666,5
might,5,might-probably,0.5339230157076928,5
probably,5,might-probably,0.08026860359866408,5
other,5,might-probably,0.3858083806936431,5
might,10,might-probably,0.5607071836938963,5
probably,10,might-probably,0.114030274774878,5
other,10,might-probably,0.3252625415312257,5
might,15,might-probably,0.5687849679764749,5
probably,15,might-probably,0.14347297029458367,5
other,15,might-probably,0.28774206172894135,5
might,20,might-probably,0.5691010580536073,5
probably,20,might-probably,0.17105046803424412,5
other,20,might-probably,0.25984847391214844,5
might,25,might-probably,0.5649155607812022,5
probably,25,might-probably,0.19780437233774484,5
other,25,might-probably,0.23728006688105288,5
might,30,might-probably,0.5575692469836444,5
probably,30,might-probably,0.2243252080006561,5
other,30,might-probably,0.21810554501569926,5
might,35,might-probably,0.5476883313080259,5
probably,35,might-probably,0.25101242978466287,5
other,35,might-probably,0.20129923890731136,5
might,40,might-probably,0.535564617405467,5
probably,40,might-probably,0.2781739489843349,5
other,40,might-probably,0.18626143361019812,5
might,45,might-probably,0.5213037238700285,5
probably,45,might-probably,0.306072748544733,5
other,45,might-probably,0.1726235275852384,5
might,50,might-probably,0.5048898942761462,5
probably,50,might-probably,0.3349518034629949,5
other,50,might-probably,0.16015830226085892,5
might,55,might-probably,0.4862154389637301,5
probably,55,might-probably,0.36504807333148115,5
other,55,might-probably,0.1487364877047888,5
might,60,might-probably,0.46509354520797586,5
probably,60,might-probably,0.3965988398369408,5
other,60,might-probably,0.1383076149550833,5
might,65,might-probably,0.44126352391393087,5
probably,65,might-probably,0.4298393648602491,5
other,65,might-probably,0.12889711122582,5
might,70,might-probably,0.414394945257892,5
probably,70,might-probably,0.46498619087149684,5
other,70,might-probably,0.12061886387061116,5
might,75,might-probably,0.38409829904433324,5
probably,75,might-probably,0.5021923629117946,5
other,75,might-probably,0.11370933804387227,5
might,80,might-probably,0.34995449149188773,5
probably,80,might-probably,0.5414435538510505,5
other,80,might-probably,0.10860195465706166,5
might,85,might-probably,0.31158427156493385,5
probably,85,might-probably,0.5823204656234882,5
other,85,might-probably,0.1060952628115779,5
might,90,might-probably,0.26879050650077035,5
probably,90,might-probably,0.6234155380817519,5
other,90,might-probably,0.10779395541747772,5
might,95,might-probably,0.22181148476118762,5
probably,95,might-probably,0.6605720315812781,5
other,95,might-probably,0.11761648365753419,5
might,100,might-probably,0.17072927774578017,5
probably,100,might-probably,0.6789865469442887,5
other,100,might-probably,0.15028417530993107,5
might,0,might-probably,0.024777146666666663,6
probably,0,might-probably,0.024777146666666663,6
other,0,might-probably,0.9504457066666666,6
might,5,might-probably,0.5138260986128991,6
probably,5,might-probably,0.09778828534164435,6
other,5,might-probably,0.3883856160454565,6
might,10,might-probably,0.5404167037685889,6
probably,10,might-probably,0.13165216303951763,6
other,10,might-probably,0.3279311331918934,6
might,15,might-probably,0.549782623663035,6
probably,15,might-probably,0.1591763345317106,6
other,15,might-probably,0.29104104180525436,6
might,20,might-probably,0.5522569656924489,6
probably,20,might-probably,0.18391173295707325,6
other,20,might-probably,0.2638313013504777,6
might,25,might-probably,0.5508623430665573,6
probably,25,might-probably,0.2072726746103561,6
other,25,might-probably,0.24186498232308645,6
might,30,might-probably,0.5468195362204108,6
probably,30,might-probably,0.2300301109032081,6
other,30,might-probably,0.22315035287638127,6
might,35,might-probably,0.5406810909978416,6
probably,35,might-probably,0.2526952712747321,6
other,35,might-probably,0.2066236377274263,6
might,40,might-probably,0.532682280151531,6
probably,40,might-probably,0.2756628872500998,6
other,40,might-probably,0.19165483259836907,6
might,45,might-probably,0.5228729687564379,6
probably,45,might-probably,0.2992789377230045,6
other,45,might-probably,0.1778480935205576,6
might,50,might-probably,0.5111698747487515,6
probably,50,might-probably,0.32387994949305665,6
other,50,might-probably,0.1649501757581916,6
might,55,might-probably,0.4973734121404879,6
probably,55,might-probably,0.34982090530918386,6
other,55,might-probably,0.15280568255032823,6
might,60,might-probably,0.48116550939177916,6
probably,60,might-probably,0.3774990214013231,6
other,60,might-probably,0.14133546920689763,6
might,65,might-probably,0.4620955643760005,6
probably,65,might-probably,0.4073765679263589,6
other,65,might-probably,0.13052786769764052,6
might,70,might-probably,0.4395593170456791,6
probably,70,might-probably,0.4400032160813947,6
other,70,might-probably,0.12043746687292618,6
might,75,might-probably,0.41277725160684586,6
probably,75,might-probably,0.4760350838320607,6
other,75,might-probably,0.11118766456109344,6
might,80,might-probably,0.3807854920562782,6
probably,80,might-probably,0.5162419431573482,6
other,80,might-probably,0.10297256478637355,6
might,85,might-probably,0.3424628714518401,6
probably,85,might-probably,0.5614832913912341,6
other,85,might-probably,0.09605383715692581,6
might,90,might-probably,0.29661755985227695,6
probably,90,might-probably,0.6126068598516868,6
other,90,might-probably,0.09077558029603605,6
might,95,might-probably,0.2419787408512116,6
probably,95,might-probably,0.6700453636272347,6
other,95,might-probably,0.08797589552155365,6
might,100,might-probably,0.1620420876665017,6
probably,100,might-probably,0.718831863017077,6
other,100,might-probably,0.11912604931642116,6
might,0,might-probably,0.024777146666666663,7
probably,0,might-probably,0.024777146666666663,7
other,0,might-probably,0.9504457066666666,7
might,5,might-probably,0.5387236588673666,7
probably,5,might-probably,0.08653375974565497,7
other,5,might-probably,0.37474258138697847,7
might,10,might-probably,0.5596178541580115,7
probably,10,might-probably,0.11576894608173544,7
other,10,might-probably,0.32461319976025305,7
might,15,might-probably,0.5668816314474989,7
probably,15,might-probably,0.1400461144860009,7
other,15,might-probably,0.29307225406650006,7
might,20,might-probably,0.5686228319394174,7
probably,20,might-probably,0.16226207624498043,7
other,20,might-probably,0.26911509181560206,7
might,25,might-probably,0.5671831410463236,7
probably,25,might-probably,0.18359267846964913,7
