modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.024777146666666663,0
probably,0,might-probably,0.024777146666666663,0
other,0,might-probably,0.9504457066666666,0
might,5,might-probably,0.547471166630828,0
probably,5,might-probably,0.09319001358579085,0
other,5,might-probably,0.3593388197833812,0
might,10,might-probably,0.574908126609827,0
probably,10,might-probably,0.12361345619057593,0
other,10,might-probably,0.301478417199597,0
might,15,might-probably,0.5854099196172675,0
probably,15,might-probably,0.14836295529940205,0
other,15,might-probably,0.26622712508333024,0
might,20,might-probably,0.5890663387667776,0
probably,20,might-probably,0.1707594048017395,0
other,20,might-probably,0.24017425643148282,0
might,25,might-probably,0.5887562324755538,0
probably,25,might-probably,0.192125424678386,0
other,25,might-probably,0.2191183428460602,0
might,30,might-probably,0.5855826583761912,0
probably,30,might-probably,0.21319614805210457,0
other,30,might-probably,0.20122119357170412,0
might,35,might-probably,0.5799763742185191,0
probably,35,might-probably,0.2344793152423951,0
other,35,might-probably,0.18554431053908563,0
might,40,might-probably,0.5720316328850514,0
probably,40,might-probably,0.2563906941951494,0
other,40,might-probably,0.17157767291979906,0
might,45,might-probably,0.5616286138241272,0
probably,45,might-probably,0.27931911711403895,0
other,45,might-probably,0.15905226906183367,0
might,50,might-probably,0.5484808509691829,0
probably,50,might-probably,0.30366317540270127,0
other,50,might-probably,0.14785597362811576,0
might,55,might-probably,0.5321555181648583,0
probably,55,might-probably,0.32985134116834625,0
other,55,might-probably,0.13799314066679552,0
might,60,might-probably,0.5120925432925161,0
probably,60,might-probably,0.3583440422607884,0
other,60,might-probably,0.12956341444669556,0
might,65,might-probably,0.48764847373596687,0
probably,65,might-probably,0.3896056687012043,0
other,65,might-probably,0.12274585756282881,0
might,70,might-probably,0.4582014812856694,0
probably,70,might-probably,0.42402361035088965,0
other,70,might-probably,0.1177749083634409,0
might,75,might-probably,0.4233668694858794,0
probably,75,might-probably,0.46174608177625254,0
other,75,might-probably,0.11488704873786793,0
might,80,might-probably,0.38336833891823274,0
probably,80,might-probably,0.5024343824245179,0
other,80,might-probably,0.11419727865724931,0
might,85,might-probably,0.3395495953309324,0
probably,85,might-probably,0.54503317124407,0
other,85,might-probably,0.11541723342499748,0
might,90,might-probably,0.29485937029504006,0
probably,90,might-probably,0.5879498759337161,0
other,90,might-probably,0.11719075377124392,0
might,95,might-probably,0.25391970456207424,0
probably,95,might-probably,0.6308496410495028,0
other,95,might-probably,0.11523065438842277,0
might,100,might-probably,0.19679576604177795,0
probably,100,might-probably,0.6694275712057083,0
other,100,might-probably,0.13377666275251357,0
might,0,might-probably,0.024777146666666663,1
probably,0,might-probably,0.024777146666666663,1
other,0,might-probably,0.9504457066666666,1
might,5,might-probably,0.4601606184397392,1
probably,5,might-probably,0.08007711362082072,1
other,5,might-probably,0.45976226793943986,1
might,10,might-probably,0.5206374346733303,1
probably,10,might-probably,0.11431028131629233,1
other,10,might-probably,0.3650522840103773,1
might,15,might-probably,0.5490191573966507,1
probably,15,might-probably,0.143251578700416,1
other,15,might-probably,0.3077292639029333,1
might,20,might-probably,0.5636282533805039,1
probably,20,might-probably,0.16974301906204045,1
other,20,might-probably,0.2666287275574556,1
might,25,might-probably,0.5703263688646121,1
probably,25,might-probably,0.19505368870551856,1
other,25,might-probably,0.23461994242986917,1
might,30,might-probably,0.5716392012799189,1
probably,30,might-probably,0.21993213542083023,1
other,30,might-probably,0.20842866329925103,1
might,35,might-probably,0.568800496383815,1
probably,35,might-probably,0.24490913954878935,1
other,35,might-probably,0.18629036406739558,1
might,40,might-probably,0.5624238194869573,1
probably,40,might-probably,0.27041880856425377,1
other,40,might-probably,0.16715737194878885,1
might,45,might-probably,0.552772840335321,1
probably,45,might-probably,0.29685698901027746,1
other,45,might-probably,0.15037017065440147,1
might,50,might-probably,0.5398794391886031,1
probably,50,might-probably,0.3246087575441209,1
other,50,might-probably,0.1355118032672758,1
might,55,might-probably,0.5235596354217326,1
probably,55,might-probably,0.3540316070392705,1
other,55,might-probably,0.1224087575389968,1
might,60,might-probably,0.5032499750590617,1
probably,60,might-probably,0.3852905194983922,1
other,60,might-probably,0.11145950544254604,1
might,65,might-probably,0.4776882830346991,1
probably,65,might-probably,0.41787756896345984,1
other,65,might-probably,0.1044341480018409,1
might,70,might-probably,0.44541186283362777,1
probably,70,might-probably,0.4502954188913134,1
other,70,might-probably,0.10429271827505879,1
might,75,might-probably,0.4074064200805687,1
probably,75,might-probably,0.48195148911227803,1
other,75,might-probably,0.11064209080715316,1
might,80,might-probably,0.368424923402477,1
probably,80,might-probably,0.5168161041227832,1
other,80,might-probably,0.11475897247473994,1
might,85,might-probably,0.331422128434243,1
probably,85,might-probably,0.5603644652821542,1
other,85,might-probably,0.1082134062836027,1
might,90,might-probably,0.2936409086739233,1
probably,90,might-probably,0.610339524108767,1
other,90,might-probably,0.09601956721730977,1
might,95,might-probably,0.2523453478795601,1
probably,95,might-probably,0.6595995319604311,1
other,95,might-probably,0.08805512016000878,1
might,100,might-probably,0.18526231867960988,1
probably,100,might-probably,0.692973918427551,1
other,100,might-probably,0.12176376289283919,1
might,0,might-probably,0.024777146666666663,2
probably,0,might-probably,0.024777146666666663,2
other,0,might-probably,0.9504457066666666,2
might,5,might-probably,0.4935274505437398,2
probably,5,might-probably,0.10070318251768612,2
other,5,might-probably,0.4057693669385741,2
might,10,might-probably,0.5369570226998461,2
probably,10,might-probably,0.13548562614693077,2
other,10,might-probably,0.3275573511532229,2
might,15,might-probably,0.5558271223202572,2
probably,15,might-probably,0.16316232581036058,2
other,15,might-probably,0.2810105518693822,2
might,20,might-probably,0.5646938825779368,2
probably,20,might-probably,0.18773172818061226,2
other,20,might-probably,0.24757438924145073,2
might,25,might-probably,0.5679190420172737,2
probably,25,might-probably,0.21078556011995478,2
other,25,might-probably,0.2212953978627715,2
might,30,might-probably,0.5672790361235378,2
probably,30,might-probably,0.2331902828691647,2
other,30,might-probably,0.19953068100729743,2
might,35,might-probably,0.5635711332387567,2
probably,35,might-probably,0.2555213599371877,2
other,35,might-probably,0.1809075068240556,2
might,40,might-probably,0.5571183748679209,2
probably,40,might-probably,0.2782247902229022,2
other,40,might-probably,0.16465683490917676,2
might,45,might-probably,0.5479638026812653,2
probably,45,might-probably,0.3016916808199722,2
other,45,might-probably,0.1503445164987624,2
might,50,might-probably,0.5359548796920035,2
probably,50,might-probably,0.32629755339742716,2
other,50,might-probably,0.13774756691056933,2
might,55,might-probably,0.5207863475988479,2
probably,55,might-probably,0.3524226861608346,2
other,55,might-probably,0.12679096624031738,2
might,60,might-probably,0.5020333833810114,2
probably,60,might-probably,0.38045666658502386,2
other,60,might-probably,0.11750995003396468,2
might,65,might-probably,0.47919807705277717,2
probably,65,might-probably,0.4107836123827875,2
other,65,might-probably,0.11001831056443538,2
might,70,might-probably,0.45179257525034744,2
probably,70,might-probably,0.4437418580334854,2
other,70,might-probably,0.10446556671616701,2
might,75,might-probably,0.41948180041758854,2
probably,75,might-probably,0.4795583458193122,2
other,75,might-probably,0.10095985376309931,2
might,80,might-probably,0.3822935765454647,2
probably,80,might-probably,0.5182881810061787,2
other,80,might-probably,0.09941824244835673,2
might,85,might-probably,0.34085122289256675,2
probably,85,might-probably,0.5598736381598184,2
other,85,might-probably,0.09927513894761476,2
might,90,might-probably,0.2964522747383269,2
probably,90,might-probably,0.604648441015967,2
other,90,might-probably,0.09889928424570589,2
might,95,might-probably,0.25035511840064406,2
probably,95,might-probably,0.6554392438136957,2
other,95,might-probably,0.09420563778566021,2
might,100,might-probably,0.17038597306078215,2
probably,100,might-probably,0.7049040242057126,2
other,100,might-probably,0.12471000273350508,2
might,0,might-probably,0.024777146666666663,3
probably,0,might-probably,0.024777146666666663,3
other,0,might-probably,0.9504457066666666,3
might,5,might-probably,0.5021212762245111,3
probably,5,might-probably,0.08656478237560021,3
other,5,might-probably,0.4113139413998885,3
might,10,might-probably,0.5510012880171156,3
probably,10,might-probably,0.11957798729092192,3
other,10,might-probably,0.3294207246919625,3
might,15,might-probably,0.5720610768182824,3
probably,15,might-probably,0.1466236440103097,3
other,15,might-probably,0.28131527917140775,3
might,20,might-probably,0.5816460325206911,3
probably,20,might-probably,0.17097952375448125,3
other,20,might-probably,0.2473744437248275,3
might,25,might-probably,0.5847191740391788,3
probably,25,might-probably,0.1940106934677759,3
other,25,might-probably,0.2212701324930452,3
might,30,might-probably,0.5833334861054587,3
probably,30,might-probably,0.21648304151435685,3
other,30,might-probably,0.20018347238018436,3
might,35,might-probably,0.5784437636413597,3
probably,35,might-probably,0.23891788120646734,3
other,35,might-probably,0.1826383551521728,3
might,40,might-probably,0.5704831997546859,3
probably,40,might-probably,0.2617278447051833,3
other,40,might-probably,0.16778895554013076,3
might,45,might-probably,0.5595890559146264,3
probably,45,might-probably,0.2852808056618634,3
other,45,might-probably,0.1551301384235103,3
might,50,might-probably,0.5457030430170278,3
probably,50,might-probably,0.3099333163232486,3
other,50,might-probably,0.14436364065972357,3
might,55,might-probably,0.528622097811691,3
probably,55,might-probably,0.33604612230722863,3
other,55,might-probably,0.13533177988108022,3
might,60,might-probably,0.5080328067494463,3
probably,60,might-probably,0.36398262446885765,3
other,60,might-probably,0.12798456878169603,3
might,65,might-probably,0.4835508992414763,3
probably,65,might-probably,0.3940835931666875,3
other,65,might-probably,0.12236550759183608,3
might,70,might-probably,0.4547861589051576,3
probably,70,might-probably,0.4266049234103281,3
other,70,might-probably,0.11860891768451433,3
might,75,might-probably,0.4214542301149832,3
probably,75,might-probably,0.4616018568278343,3
other,75,might-probably,0.11694391305718264,3
might,80,might-probably,0.3835498840816909,3
probably,80,might-probably,0.498753269162168,3
other,80,might-probably,0.11769684675614112,3
might,85,might-probably,0.34156267532087214,3
probably,85,might-probably,0.5371731688551673,3
other,85,might-probably,0.12126415582396051,3
might,90,might-probably,0.29662270089432863,3
probably,90,might-probably,0.5754542677069905,3
other,90,might-probably,0.1279230313986809,3
might,95,might-probably,0.2501793561426289,3
probably,95,might-probably,0.6132091364102773,3
other,95,might-probably,0.1366115074470936,3
might,100,might-probably,0.1822259594171691,3
probably,100,might-probably,0.6762081301283627,3
other,100,might-probably,0.14156591045446823,3
might,0,might-probably,0.024777146666666663,4
probably,0,might-probably,0.024777146666666663,4
other,0,might-probably,0.9504457066666666,4
might,5,might-probably,0.5319148731323596,4
probably,5,might-probably,0.0902186163324083,4
other,5,might-probably,0.3778665105352321,4
might,10,might-probably,0.559769212947702,4
probably,10,might-probably,0.1192936314217331,4
other,10,might-probably,0.3209371556305648,4
might,15,might-probably,0.5711754843540465,4
probably,15,might-probably,0.14312370581939104,4
other,15,might-probably,0.2857008098265623,4
might,20,might-probably,0.5758739106872047,4
probably,20,might-probably,0.16485321301015637,4
other,20,might-probably,0.2592728763026388,4
might,25,might-probably,0.576691132001836,4
probably,25,might-probably,0.18574822272652788,4
other,25,might-probably,0.23756064527163612,4
might,30,might-probably,0.5747409154413846,4
probably,30,might-probably,0.2065307747529274,4
other,30,might-probably,0.21872830980568794,4
might,35,might-probably,0.5704874901006924,4
probably,35,might-probably,0.22772177524390363,4
other,35,might-probably,0.20179073465540395,4
might,40,might-probably,0.5640695578598626,4
probably,40,might-probably,0.24977402120303746,4
other,40,might-probably,0.18615642093709972,4
might,45,might-probably,0.5554153191908443,4
probably,45,might-probably,0.27314166810064716,4
other,45,might-probably,0.17144301270850842,4
might,50,might-probably,0.5442763037824195,4
probably,50,might-probably,0.2983253395537431,4
other,50,might-probably,0.15739835666383736,4
might,55,might-probably,0.5302014166793788,4
probably,55,might-probably,0.3258929801838125,4
other,55,might-probably,0.1439056031368086,4
might,60,might-probably,0.5123920297348669,4
probably,60,might-probably,0.3564147710072524,4
other,60,might-probably,0.1311931992578809,4
might,65,might-probably,0.4893197170500009,4
probably,65,might-probably,0.39010787075522846,4
other,65,might-probably,0.12057241219477076,4
might,70,might-probably,0.4583237659662712,4
probably,70,might-probably,0.42590683696305975,4
other,70,might-probably,0.11576939707066912,4
might,75,might-probably,0.4167345033977575,4
probably,75,might-probably,0.4606277272194991,4
other,75,might-probably,0.12263776938274334,4
might,80,might-probably,0.3664237355511011,4
probably,80,might-probably,0.4919816087492441,4
other,80,might-probably,0.1415946556996548,4
might,85,might-probably,0.316907765707544,4
probably,85,might-probably,0.5277812219087654,4
other,85,might-probably,0.1553110123836905,4
might,90,might-probably,0.27650007458671955,4
probably,90,might-probably,0.5857213049765507,4
other,90,might-probably,0.13777862043672973,4
might,95,might-probably,0.24075660236032662,4
probably,95,might-probably,0.6655731661708436,4
other,95,might-probably,0.09367023146882973,4
might,100,might-probably,0.16735931589118466,4
probably,100,might-probably,0.6991776048151237,4
other,100,might-probably,0.1334630792936917,4
might,0,might-probably,0.024777146666666663,5
probably,0,might-probably,0.024777146666666663,5
other,0,might-probably,0.9504457066666666,5
might,5,might-probably,0.4480060252121788,5
probably,5,might-probably,0.09169395280005563,5
other,5,might-probably,0.46030002198776554,5
might,10,might-probably,0.5062353920950461,5
probably,10,might-probably,0.12519024930283895,5
other,10,might-probably,0.36857435860211496,5
might,15,might-probably,0.5348567668371503,5
probably,15,might-probably,0.1519561253582313,5
other,15,might-probably,0.3131871078046182,5
might,20,might-probably,0.550851339200497,5
probably,20,might-probably,0.17565993058079785,5
other,20,might-probably,0.27348873021870523,5
might,25,might-probably,0.559583514964621,5
probably,25,might-probably,0.19780198891842163,5
other,25,might-probably,0.24261449611695735,5
might,30,might-probably,0.5633377655894211,5
probably,30,might-probably,0.21920719363451566,5
other,30,might-probably,0.21745504077606337,5
might,35,might-probably,0.5632087796426752,5
probably,35,might-probably,0.24042538661670437,5
other,35,might-probably,0.19636583374062036,5
might,40,might-probably,0.5597161848599428,5
probably,40,might-probably,0.2618846329791904,5
other,40,might-probably,0.17839918216086664,5
might,45,might-probably,0.5530480326789672,5
probably,45,might-probably,0.28396445721295616,5
other,45,might-probably,0.16298751010807658,5
might,50,might-probably,0.5431682753554198,5
probably,50,might-probably,0.30703673674968474,5
other,50,might-probably,0.1497949878948954,5
might,55,might-probably,0.5298677148467803,5
probably,55,might-probably,0.33148969688854724,5
other,55,might-probably,0.1386425882646724,5
might,60,might-probably,0.512792800435413,5
probably,60,might-probably,0.35773800670199846,5
other,60,might-probably,0.12946919286258862,5
might,65,might-probably,0.491473578362974,5
probably,65,might-probably,0.3862144928230844,5
other,65,might-probably,0.12231192881394157,5
might,70,might-probably,0.4653706600661517,5
probably,70,might-probably,0.4173329089095913,5
other,70,might-probably,0.11729643102425702,5
might,75,might-probably,0.4339626121326573,5
probably,75,might-probably,0.4514086638246405,5
other,75,might-probably,0.11462872404270219,5
might,80,might-probably,0.39688848104129515,5
probably,80,might-probably,0.48853689355792007,5
other,80,might-probably,0.11457462540078485,5
might,85,might-probably,0.3541200257481806,5
probably,85,might-probably,0.5284891621988703,5
other,85,might-probably,0.11739081205294902,5
might,90,might-probably,0.30599744617824953,5
probably,90,might-probably,0.5709177689629471,5
other,90,might-probably,0.12308478485880328,5
might,95,might-probably,0.25236715959457534,5
probably,95,might-probably,0.6173110373602093,5
other,95,might-probably,0.13032180304521523,5
might,100,might-probably,0.16392979148489556,5
probably,100,might-probably,0.7110168410763282,5
other,100,might-probably,0.12505336743877618,5
might,0,might-probably,0.024777146666666663,6
probably,0,might-probably,0.024777146666666663,6
other,0,might-probably,0.9504457066666666,6
might,5,might-probably,0.5029520829887776,6
probably,5,might-probably,0.0878926664060805,6
other,5,might-probably,0.4091552506051417,6
might,10,might-probably,0.5474488226153246,6
probably,10,might-probably,0.12055807564030507,6
other,10,might-probably,0.33199310174437036,6
might,15,might-probably,0.5659107000680641,6
probably,15,might-probably,0.1472624893150032,6
other,15,might-probably,0.2868268106169327,6
might,20,might-probably,0.5736162349404873,6
probably,20,might-probably,0.17130708736802108,6
other,20,might-probably,0.25507667769149156,6
might,25,might-probably,0.5751996453542573,6
probably,25,might-probably,0.19404878072040957,6
other,25,might-probably,0.23075157392533308,6
might,30,might-probably,0.5725865593531838,6
probably,30,might-probably,0.21624197873083498,6
other,30,might-probably,0.2111714619159811,6
might,35,might-probably,0.5666845194947498,6
probably,35,might-probably,0.23839661561052217,6
other,35,might-probably,0.1949188648947278,6
might,40,might-probably,0.557920424148586,6
probably,40,might-probably,0.260915082521343,6
other,40,might-probably,0.18116449333007098,6
might,45,might-probably,0.5464507585093601,6
probably,45,might-probably,0.28415784305797764,6
other,45,might-probably,0.16939139843266232,6
might,50,might-probably,0.5322543717927962,6
probably,50,might-probably,0.30848056242645705,6
other,50,might-probably,0.1592650657807467,6
might,55,might-probably,0.515177253061838,6
probably,55,might-probably,0.3342570259819252,6
other,55,might-probably,0.1505657209562366,6
might,60,might-probably,0.4949585002725244,6
probably,60,might-probably,0.36189145955696345,6
other,60,might-probably,0.14315004017051217,6
might,65,might-probably,0.4712546891967475,6
probably,65,might-probably,0.39181770563748997,6
other,65,might-probably,0.1369276051657627,6
might,70,might-probably,0.4436781019842667,6
probably,70,might-probably,0.42447726522210083,6
other,70,might-probably,0.13184463279363245,6
might,75,might-probably,0.4118663563245356,6
probably,75,might-probably,0.46026329382550746,6
other,75,might-probably,0.12787034984995693,6
might,80,might-probably,0.3756005690948887,6
probably,80,might-probably,0.4994178302930986,6
other,80,might-probably,0.12498160061201267,6
might,85,might-probably,0.3349715167783265,6
probably,85,might-probably,0.5418916133369835,6
other,85,might-probably,0.12313686988468987,6
might,90,might-probably,0.2905134634292076,6
probably,90,might-probably,0.5872762825268298,6
other,90,might-probably,0.12221025404396245,6
might,95,might-probably,0.24283243620897504,6
probably,95,might-probably,0.6353827053873143,6
other,95,might-probably,0.12178485840371052,6
might,100,might-probably,0.1716961567941545,6
probably,100,might-probably,0.6770769492984711,6
other,100,might-probably,0.1512268939073744,6
might,0,might-probably,0.024777146666666663,7
probably,0,might-probably,0.024777146666666663,7
other,0,might-probably,0.9504457066666666,7
might,5,might-probably,0.4617521896193417,7
probably,5,might-probably,0.07960615986315646,7
other,5,might-probably,0.45864165051750183,7
might,10,might-probably,0.522178754277214,7
probably,10,might-probably,0.11249022707562133,7
other,10,might-probably,0.3653310186471644,7
might,15,might-probably,0.5510960980474608,7
probably,15,might-probably,0.14008212668533204,7
other,15,might-probably,0.30882177526720694,7
might,20,might-probably,0.5665251152402296,7
probably,20,might-probably,0.16524270488159482,7
other,20,might-probably,0.2682321798781754,7
might,25,might-probably,0.5741928041398775,7
probably,25,might-probably,0.18922894147453467,7
