modal,percentage_blue,cond,rating_pred,run
might,0,might-probably,0.024777146666666663,0
probably,0,might-probably,0.024777146666666663,0
other,0,might-probably,0.9504457066666666,0
might,5,might-probably,0.32768135614324884,0
probably,5,might-probably,0.07110334012125524,0
other,5,might-probably,0.6012153037354959,0
might,10,might-probably,0.4560902580861206,0
probably,10,might-probably,0.1278360273392224,0
other,10,might-probably,0.4160737145746569,0
might,15,might-probably,0.5117131095950507,0
probably,15,might-probably,0.182373156834221,0
other,15,might-probably,0.30591373357072826,0
might,20,might-probably,0.5302887066792926,0
probably,20,might-probably,0.2342202322284555,0
other,20,might-probably,0.23549106109225187,0
might,25,might-probably,0.5284428956604632,0
probably,25,might-probably,0.28407067961717947,0
other,25,might-probably,0.18748642472235735,0
might,30,might-probably,0.5144943189525851,0
probably,30,might-probably,0.33248525395135725,0
other,30,might-probably,0.15302042709605748,0
might,35,might-probably,0.49297198545590404,0
probably,35,might-probably,0.3797890417092594,0
other,35,might-probably,0.12723897283483648,0
might,40,might-probably,0.46654374143777644,0
probably,40,might-probably,0.4261339114728917,0
other,40,might-probably,0.10732234708933175,0
might,45,might-probably,0.4368923704390947,0
probably,45,might-probably,0.47156354592606464,0
other,45,might-probably,0.0915440836348405,0
might,50,might-probably,0.405139595048969,0
probably,50,might-probably,0.5160608276581801,0
other,50,might-probably,0.07879957729285089,0
might,55,might-probably,0.3720624815761565,0
probably,55,might-probably,0.5595794779167234,0
other,55,might-probably,0.06835804050712024,0
might,60,might-probably,0.33820799656697464,0
probably,60,might-probably,0.6020626744216394,0
other,60,might-probably,0.05972932901138577,0
might,65,might-probably,0.30395415983564844,0
probably,65,might-probably,0.6434475175859642,0
other,65,might-probably,0.0525983225783874,0
might,70,might-probably,0.2695414049657531,0
probably,70,might-probably,0.68364641947074,0
other,70,might-probably,0.046812175563506676,0
might,75,might-probably,0.23508759712409588,0
probably,75,might-probably,0.7224789360879634,0
other,75,might-probably,0.04243346678794071,0
might,80,might-probably,0.20059964496715635,0
probably,80,might-probably,0.759481764906936,0
other,80,might-probably,0.039918590125907615,0
might,85,might-probably,0.16600694743346608,0
probably,85,might-probably,0.7933863318656689,0
other,85,might-probably,0.040606720700865,0
might,90,might-probably,0.13127358249130758,0
probably,90,might-probably,0.820532898896813,0
other,90,might-probably,0.04819351861187934,0
might,95,might-probably,0.0965817963042752,0
probably,95,might-probably,0.8285890190174593,0
other,95,might-probably,0.07482918467826552,0
might,100,might-probably,0.05963138431608719,0
probably,100,might-probably,0.735936410528151,0
other,100,might-probably,0.2044322051557618,0
might,0,might-probably,0.024777146666666663,1
probably,0,might-probably,0.024777146666666663,1
other,0,might-probably,0.9504457066666666,1
might,5,might-probably,0.36256817182081785,1
probably,5,might-probably,0.08390007060797512,1
other,5,might-probably,0.5535317575712069,1
might,10,might-probably,0.47198977675925546,1
probably,10,might-probably,0.14292194359471136,1
other,10,might-probably,0.3850882796460332,1
might,15,might-probably,0.5145553978455236,1
probably,15,might-probably,0.19676527852222597,1
other,15,might-probably,0.28867932363225046,1
might,20,might-probably,0.5262277960656635,1
probably,20,might-probably,0.24704513571774867,1
other,20,might-probably,0.2267270682165878,1
might,25,might-probably,0.5213110226207164,1
probably,25,might-probably,0.295025331529344,1
other,25,might-probably,0.18366364584993958,1
might,30,might-probably,0.5065147585296127,1
probably,30,might-probably,0.3414806053714554,1
other,30,might-probably,0.15200463609893178,1
might,35,might-probably,0.48537740669599116,1
probably,35,might-probably,0.386870341152479,1
other,35,might-probably,0.12775225215153,1
might,40,might-probably,0.4599408354891493,1
probably,40,might-probably,0.4314613378895932,1
other,40,might-probably,0.10859782662125746,1
might,45,might-probably,0.4314718057742124,1
probably,45,might-probably,0.47539977354982643,1
other,45,might-probably,0.09312842067596108,1
might,50,might-probably,0.4008045173835766,1
probably,50,might-probably,0.5187521146151447,1
other,50,might-probably,0.08044336800127873,1
might,55,might-probably,0.36851619284167436,1
probably,55,might-probably,0.5615272768986757,1
other,55,might-probably,0.06995653025965001,1
might,60,might-probably,0.3350229793433568,1
probably,60,might-probably,0.6036859593904403,1
other,60,might-probably,0.06129106126620289,1
might,65,might-probably,0.3006355976098395,1
probably,65,might-probably,0.6451385939526384,1
other,65,might-probably,0.05422580843752209,1
might,70,might-probably,0.2655942886588294,1
probably,70,might-probably,0.6857289467100912,1
other,70,might-probably,0.04867676463107925,1
might,75,might-probably,0.23009421745313222,1
probably,75,might-probably,0.7251930186115068,1
other,75,might-probably,0.04471276393536102,1
might,80,might-probably,0.19430988945079064,1
probably,80,might-probably,0.7630644892836508,1
other,80,might-probably,0.04262562126555863,1
might,85,might-probably,0.15842923321508323,1
probably,85,might-probably,0.7984379110543887,1
other,85,might-probably,0.04313285573052814,1
might,90,might-probably,0.12271547072543228,1
probably,90,might-probably,0.8292384198585608,1
other,90,might-probably,0.04804610941600676,1
might,95,might-probably,0.0875852739680872,1
probably,95,might-probably,0.8488287794297967,1
other,95,might-probably,0.06358594660211596,1
might,100,might-probably,0.04957845763615302,1
probably,100,might-probably,0.729919483485023,1
other,100,might-probably,0.22050205887882393,1
might,0,might-probably,0.024777146666666663,2
probably,0,might-probably,0.024777146666666663,2
other,0,might-probably,0.9504457066666666,2
might,5,might-probably,0.3752048013745476,2
probably,5,might-probably,0.07423974997518712,2
other,5,might-probably,0.5505554486502653,2
might,10,might-probably,0.46543817271622845,2
probably,10,might-probably,0.12439682686991088,2
other,10,might-probably,0.4101650004138605,2
might,15,might-probably,0.5022612067597241,2
probably,15,might-probably,0.17350234041554202,2
other,15,might-probably,0.32423645282473373,2
might,20,might-probably,0.5134266517628159,2
probably,20,might-probably,0.22193897589547212,2
other,20,might-probably,0.26463437234171194,2
might,25,might-probably,0.5097823779736286,2
probably,25,might-probably,0.270009735712919,2
other,25,might-probably,0.2202078863134523,2
might,30,might-probably,0.49664785194273553,2
probably,30,might-probably,0.3178656222483922,2
other,30,might-probably,0.1854865258088721,2
might,35,might-probably,0.4770138677586946,2
probably,35,might-probably,0.36554498419449355,2
other,35,might-probably,0.15744114804681195,2
might,40,might-probably,0.4527393877873399,2
probably,40,might-probably,0.41300859411731783,2
other,40,might-probably,0.13425201809534226,2
might,45,might-probably,0.42507747125020623,2
probably,45,might-probably,0.460163530629506,2
other,45,might-probably,0.11475899812028777,2
might,50,might-probably,0.39493272266599555,2
probably,50,might-probably,0.5068791084547235,2
other,50,might-probably,0.09818816887928096,2
might,55,might-probably,0.36299748707600155,2
probably,55,might-probably,0.5529978215758792,2
other,55,might-probably,0.08400469134811922,2
might,60,might-probably,0.32982807762831035,2
probably,60,might-probably,0.5983432082782479,2
other,60,might-probably,0.07182871409344158,2
might,65,might-probably,0.295888826166107,2
probably,65,might-probably,0.6427254571620132,2
other,65,might-probably,0.06138571667187959,2
might,70,might-probably,0.2615759135508661,2
probably,70,might-probably,0.6859408646995143,2
other,70,might-probably,0.05248322174961954,2
might,75,might-probably,0.22721901408731102,2
probably,75,might-probably,0.7277246546569741,2
other,75,might-probably,0.045056331255714795,2
might,80,might-probably,0.19303633654997943,2
probably,80,might-probably,0.7673717509577845,2
other,80,might-probably,0.039591912492236016,2
might,85,might-probably,0.15905436629053427,2
probably,85,might-probably,0.8014417246130927,2
other,85,might-probably,0.039503909096372976,2
might,90,might-probably,0.1254996660187418,2
probably,90,might-probably,0.813117352780743,2
other,90,might-probably,0.061382981200515045,2
might,95,might-probably,0.09264262399938118,2
probably,95,might-probably,0.7450436628134259,2
other,95,might-probably,0.16231371318719298,2
might,100,might-probably,0.05369301372131271,2
probably,100,might-probably,0.7313938781842965,2
other,100,might-probably,0.21491310809439074,2
might,0,might-probably,0.024777146666666663,3
probably,0,might-probably,0.024777146666666663,3
other,0,might-probably,0.9504457066666666,3
might,5,might-probably,0.4072119596032917,3
probably,5,might-probably,0.07424883226278634,3
other,5,might-probably,0.5185392081339218,3
might,10,might-probably,0.4941886042788921,3
probably,10,might-probably,0.124280341807844,3
other,10,might-probably,0.3815310539132637,3
might,15,might-probably,0.5271554780574442,3
probably,15,might-probably,0.17318271707145944,3
other,15,might-probably,0.2996618048710963,3
might,20,might-probably,0.5349195305185397,3
probably,20,might-probably,0.2214158268445587,3
other,20,might-probably,0.24366464263690157,3
might,25,might-probably,0.5283475074646751,3
probably,25,might-probably,0.26928982005735136,3
other,25,might-probably,0.20236267247797346,3
might,30,might-probably,0.5126836861570679,3
probably,30,might-probably,0.3169376811436735,3
other,30,might-probably,0.17037863269925857,3
might,35,might-probably,0.4908623614870894,3
probably,35,might-probably,0.36436802761202036,3
other,35,might-probably,0.14476961090089013,3
might,40,might-probably,0.4647134884050096,3
probably,40,might-probably,0.4115056330511302,3
other,40,might-probably,0.12378087854386022,3
might,45,might-probably,0.4354822766844205,3
probably,45,might-probably,0.4582183877660443,3
other,45,might-probably,0.10629933554953515,3
might,50,might-probably,0.4040793952527093,3
probably,50,might-probably,0.5043354207851475,3
other,50,might-probably,0.09158518396214324,3
might,55,might-probably,0.37121139969129047,3
probably,55,might-probably,0.5496599497440964,3
other,55,might-probably,0.0791286505646131,3
might,60,might-probably,0.3374528285524824,3
probably,60,might-probably,0.593979254380469,3
other,60,might-probably,0.06856791706704879,3
might,65,might-probably,0.3032873640769996,3
probably,65,might-probably,0.6370730480799937,3
other,65,might-probably,0.0596395878430068,3
might,70,might-probably,0.2691307417045431,3
probably,70,might-probably,0.6787199033638955,3
other,70,might-probably,0.05214935493156143,3
might,75,might-probably,0.2353415237234576,3
probably,75,might-probably,0.7186992473760159,3
other,75,might-probably,0.04595922890052652,3
might,80,might-probably,0.20222271797556512,3
probably,80,might-probably,0.7567843347085906,3
other,80,might-probably,0.040992947315844075,3
might,85,might-probably,0.17001288949074364,3
probably,85,might-probably,0.7927186233909165,3
other,85,might-probably,0.03726848711833989,3
might,90,might-probably,0.13884676058673567,3
probably,90,might-probably,0.8261495518831063,3
other,90,might-probably,0.03500368753015795,3
might,95,might-probably,0.10854007854038637,3
probably,95,might-probably,0.8563215164507376,3
other,95,might-probably,0.035138405008875905,3
might,100,might-probably,0.069124596487673,3
probably,100,might-probably,0.7384644373368554,3
other,100,might-probably,0.19241096617547152,3
might,0,might-probably,0.024777146666666663,4
probably,0,might-probably,0.024777146666666663,4
other,0,might-probably,0.9504457066666666,4
might,5,might-probably,0.41084243690819444,4
probably,5,might-probably,0.07869057147774457,4
other,5,might-probably,0.5104669916140611,4
might,10,might-probably,0.4943831556570878,4
probably,10,might-probably,0.12782732235702085,4
other,10,might-probably,0.37778952198589133,4
might,15,might-probably,0.526371282385741,4
probably,15,might-probably,0.17398941770000542,4
other,15,might-probably,0.2996392999142536,4
might,20,might-probably,0.5348872416001541,4
probably,20,might-probably,0.21869704019528008,4
other,20,might-probably,0.2464157182045657,4
might,25,might-probably,0.530090366589086,4
probably,25,might-probably,0.26280577293253504,4
other,25,might-probably,0.20710386047837887,4
might,30,might-probably,0.5167081742449819,4
probably,30,might-probably,0.30681143009899836,4
other,30,might-probably,0.17648039565601964,4
might,35,might-probably,0.4972854231189252,4
probably,35,might-probably,0.35100188022654066,4
other,35,might-probably,0.15171269665453418,4
might,40,might-probably,0.4733430810402375,4
probably,40,might-probably,0.3955326795820454,4
other,40,might-probably,0.131124239377717,4
might,45,might-probably,0.4458730264541796,4
probably,45,might-probably,0.4404666711028412,4
other,45,might-probably,0.11366030244297896,4
might,50,might-probably,0.4155765470982957,4
probably,50,might-probably,0.48579550792264004,4
other,50,might-probably,0.09862794497906434,4
might,55,might-probably,0.38299013311495,4
probably,55,might-probably,0.531451374295096,4
other,55,might-probably,0.0855584925899539,4
might,60,might-probably,0.34855625134588,4
probably,60,might-probably,0.5773122234685184,4
other,60,might-probably,0.07413152518560155,4
might,65,might-probably,0.31266384748436993,4
probably,65,might-probably,0.6231984499707873,4
other,65,might-probably,0.06413770254484256,4
might,70,might-probably,0.2756682616610786,4
probably,70,might-probably,0.6688438466197114,4
other,70,might-probably,0.055487891719209974,4
might,75,might-probably,0.2378941324555738,4
probably,75,might-probably,0.7137715484321947,4
other,75,might-probably,0.04833431911223141,4
might,80,might-probably,0.1996383019115274,4
probably,80,might-probably,0.7568360792299231,4
other,80,might-probably,0.043525618858549366,4
might,85,might-probably,0.1612693159932758,4
probably,85,might-probably,0.7947031743904783,4
other,85,might-probably,0.044027509616245734,4
might,90,might-probably,0.12366741201526922,4
probably,90,might-probably,0.8173464280729905,4
other,90,might-probably,0.05898615991174013,4
might,95,might-probably,0.0882682561802748,4
probably,95,might-probably,0.7971233928983829,4
other,95,might-probably,0.1146083509213423,4
might,100,might-probably,0.05039871662967341,4
probably,100,might-probably,0.7390572298647212,4
other,100,might-probably,0.21054405350560526,4
might,0,might-probably,0.024777146666666663,5
probably,0,might-probably,0.024777146666666663,5
other,0,might-probably,0.9504457066666666,5
might,5,might-probably,0.40965399097926347,5
probably,5,might-probably,0.06924333561415394,5
other,5,might-probably,0.5211026734065826,5
might,10,might-probably,0.5019677337228562,5
probably,10,might-probably,0.11825663795706684,5
other,10,might-probably,0.37977562832007683,5
might,15,might-probably,0.5362522468531683,5
probably,15,might-probably,0.167788493265587,5
other,15,might-probably,0.2959592598812446,5
might,20,might-probably,0.5431364786848543,5
probably,20,might-probably,0.21769299123774727,5
other,20,might-probably,0.23917053007739847,5
might,25,might-probably,0.5344298890447254,5
probably,25,might-probably,0.2679469978324968,5
other,25,might-probably,0.19762311312277772,5
might,30,might-probably,0.5159158800995417,5
probably,30,might-probably,0.3184265876541875,5
other,30,might-probably,0.1656575322462706,5
might,35,might-probably,0.4908856067425077,5
probably,35,might-probably,0.36891441285805904,5
other,35,might-probably,0.14019998039943316,5
might,40,might-probably,0.46143477812960776,5
probably,40,might-probably,0.41913104917829935,5
other,40,might-probably,0.11943417269209293,5
might,45,might-probably,0.429020261867195,5
probably,45,might-probably,0.4687638830278472,5
other,45,might-probably,0.10221585510495784,5
might,50,might-probably,0.3947242222382853,5
probably,50,might-probably,0.5174908108209496,5
other,50,might-probably,0.08778496694076497,5
might,55,might-probably,0.3593882356790541,5
probably,55,might-probably,0.5649993066637997,5
other,55,might-probably,0.07561245765714608,5
might,60,might-probably,0.32368455296401066,5
probably,60,might-probably,0.6110015329518885,5
other,60,might-probably,0.06531391408410074,5
might,65,might-probably,0.2881547652446155,5
probably,65,might-probably,0.6552454021200306,5
other,65,might-probably,0.056599832635353925,5
might,70,might-probably,0.25322895834998155,5
probably,70,might-probably,0.6975163538214305,5
other,70,might-probably,0.04925468782858776,5
might,75,might-probably,0.21922561471300286,5
probably,75,might-probably,0.7375898008893025,5
other,75,might-probably,0.04318458439769466,5
might,80,might-probably,0.1863186780534221,5
probably,80,might-probably,0.7748944100655792,5
other,80,might-probably,0.03878691188099849,5
might,85,might-probably,0.15449627452289053,5
probably,85,might-probably,0.8067022189875999,5
other,85,might-probably,0.038801506489509426,5
might,90,might-probably,0.12388190090267806,5
probably,90,might-probably,0.8202947238988721,5
other,90,might-probably,0.055823375198449654,5
might,95,might-probably,0.09489482381902607,5
probably,95,might-probably,0.771007977228905,5
other,95,might-probably,0.13409719895206873,5
might,100,might-probably,0.06126676723483883,5
probably,100,might-probably,0.7199812460953355,5
other,100,might-probably,0.21875198666982543,5
might,0,might-probably,0.024777146666666663,6
probably,0,might-probably,0.024777146666666663,6
other,0,might-probably,0.9504457066666666,6
might,5,might-probably,0.37230119089833646,6
probably,5,might-probably,0.06562145130929835,6
other,5,might-probably,0.5620773577923649,6
might,10,might-probably,0.4850206415515035,6
probably,10,might-probably,0.11709666147061823,6
other,10,might-probably,0.39788269697787837,6
might,15,might-probably,0.530759302810937,6
probably,15,might-probably,0.16940240962454764,6
other,15,might-probably,0.29983828756451536,6
might,20,might-probably,0.5433093752991899,6
probably,20,might-probably,0.22146000735835128,6
other,20,might-probably,0.23523061734245876,6
might,25,might-probably,0.5371544302465247,6
probably,25,might-probably,0.27314123473540064,6
other,25,might-probably,0.18970433501807465,6
might,30,might-probably,0.5196221680709754,6
probably,30,might-probably,0.32435953326260214,6
other,30,might-probably,0.15601829866642264,6
might,35,might-probably,0.4948837383146567,6
probably,35,might-probably,0.374943387611527,6
other,35,might-probably,0.130172874073816,6
might,40,might-probably,0.4655470304040922,6
probably,40,might-probably,0.424651568252994,6
other,40,might-probably,0.10980140134291377,6
might,45,might-probably,0.43336598422252803,6
probably,45,might-probably,0.4732108914153216,6
other,45,might-probably,0.0934231243621503,6
might,50,might-probably,0.39958209365818675,6
probably,50,might-probably,0.5203510390082557,6
other,50,might-probably,0.0800668673335574,6
might,55,might-probably,0.365098942409268,6
probably,55,might-probably,0.5658309653189051,6
other,55,might-probably,0.06907009227182687,6
might,60,might-probably,0.33057523169945213,6
probably,60,might-probably,0.6094546944276013,6
other,60,might-probably,0.05997007387294642,6
might,65,might-probably,0.296474155142721,6
probably,65,might-probably,0.651069966695342,6
other,65,might-probably,0.05245587816193691,6
might,70,might-probably,0.2630855108051259,6
probably,70,might-probably,0.6905262948630745,6
other,70,might-probably,0.04638819433179963,6
might,75,might-probably,0.2305294273921233,6
probably,75,might-probably,0.7275211454319686,6
other,75,might-probably,0.04194942717590817,6
might,80,might-probably,0.19876037815751788,6
probably,80,might-probably,0.7611413716397416,6
other,80,might-probably,0.04009825020274042,6
might,85,might-probably,0.16763036638581835,6
probably,85,might-probably,0.7886301293283294,6
other,85,might-probably,0.04373950428585221,6
might,90,might-probably,0.13708360672869108,6
probably,90,might-probably,0.8024054969420026,6
other,90,might-probably,0.060510896329306306,6
might,95,might-probably,0.10695967659632417,6
probably,95,might-probably,0.7848316713389445,6
other,95,might-probably,0.10820865206473121,6
might,100,might-probably,0.0738475075014081,6
probably,100,might-probably,0.7391681444274306,6
other,100,might-probably,0.18698434807116124,6
might,0,might-probably,0.024777146666666663,7
probably,0,might-probably,0.024777146666666663,7
other,0,might-probably,0.9504457066666666,7
might,5,might-probably,0.4118063129865265,7
probably,5,might-probably,0.08046770743822514,7
other,5,might-probably,0.5077259795752482,7
might,10,might-probably,0.5048835133705816,7
probably,10,might-probably,0.13400600748639743,7
other,10,might-probably,0.36111047914302086,7
might,15,might-probably,0.5384708161393472,7
probably,15,might-probably,0.18394127558736534,7
other,15,might-probably,0.2775879082732873,7
might,20,might-probably,0.5454490863063466,7
probably,20,might-probably,0.231700860790674,7
other,20,might-probably,0.22285005290297932,7
might,25,might-probably,0.5379131645668997,7
probably,25,might-probably,0.27817931132333484,7
other,25,might-probably,0.18390752410976535,7
