modal,percentage_blue,cond,rating_pred,run
bare,0,all,0.0,0
might,0,all,0.0,0
probably,0,all,0.0,0
bare_not,0,all,1.0,0
bare,5,all,4.126103727092397e-14,0
might,5,all,0.0033902561969419752,0
probably,5,all,1.1415467513357376e-07,0
bare_not,5,all,0.9966096296483415,0
bare,10,all,7.070029374192722e-11,0
might,10,all,0.06200731735612841,0
probably,10,all,1.147893319138892e-05,0
bare_not,10,all,0.9379812036399798,0
bare,15,all,5.296368092102166e-09,0
might,15,all,0.28261618708571445,0
probably,15,all,0.00015788747440105663,0
bare_not,15,all,0.7172259201435163,0
bare,20,all,8.838262811236172e-08,0
might,20,all,0.5908901478541462,0
probably,20,all,0.0007694466357436405,0
bare_not,20,all,0.40834031712748203,0
bare,25,all,6.536773890685287e-07,0
might,25,all,0.7983000025611713,0
probably,25,all,0.0021364907655758427,0
bare_not,25,all,0.19956285299586382,0
bare,30,all,3.248589962505219e-06,0
might,30,all,0.8967436978287796,0
probably,30,all,0.004668327017676032,0
bare_not,30,all,0.0985847265635817,0
bare,35,all,1.3282152681931958e-05,0
might,35,all,0.9382925231426926,0
probably,35,all,0.00936646116901116,0
bare_not,35,all,0.05232773353561422,0
bare,40,all,4.933113513046122e-05,0
might,40,all,0.9512514549568184,0
probably,40,all,0.018535812691766816,0
bare_not,40,all,0.03016340121628437,0
bare,45,all,0.00017825599016713122,0
might,45,all,0.9426632615542778,0
probably,45,all,0.038111973881573086,0
bare_not,45,all,0.019046508573982143,0
bare,50,all,0.0006582981737277228,0
might,50,all,0.9014035172284965,0
probably,50,all,0.0846807317738445,0
bare_not,50,all,0.013257452823931157,0
bare,55,all,0.0024419326974185252,0
might,55,all,0.7892563999142479,0
probably,55,all,0.19861855147878915,0
bare_not,55,all,0.00968311590954456,0
bare,60,all,0.00800672945979096,0
might,60,all,0.555496414744735,0
probably,60,all,0.4301338906443374,0
bare_not,60,all,0.006362965151136629,0
bare,65,all,0.01953977117177211,0
might,65,all,0.26465731752351707,0
probably,65,all,0.7127230606017749,0
bare_not,65,all,0.0030798507029359892,0
bare,70,all,0.03608754316344039,0
might,70,all,0.08495081809719773,0
probably,70,all,0.8778888612430079,0
bare_not,70,all,0.0010727774963538962,0
bare,75,all,0.0616767874953189,0
might,75,all,0.02135764165202087,0
probably,75,all,0.9166557649148321,0
bare_not,75,all,0.0003098059378281427,0
bare,80,all,0.10984165846825159,0
might,80,all,0.004344331839770543,0
probably,80,all,0.885737764295279,0
bare_not,80,all,7.624539669896697e-05,0
bare,85,all,0.20616784481412886,0
might,85,all,0.0006243333554658242,0
probably,85,all,0.7931940213276937,0
bare_not,85,all,1.38005027117576e-05,0
bare,90,all,0.39322744974872026,0
might,90,all,4.6204968465598285e-05,0
probably,90,all,0.6067250884028687,0
bare_not,90,all,1.2568799455793673e-06,0
bare,95,all,0.6788294520570797,0
might,95,all,8.25248655169021e-07,0
probably,95,all,0.3211697052464095,0
bare_not,95,all,1.744785561887415e-08,0
bare,100,all,0.9497795319629313,0
might,100,all,3.030092962825206e-10,0
probably,100,all,0.05022046773405922,0
bare_not,100,all,0.0,0
