modal,percentage_blue,cond,rating_pred,run
bare,0,all,0.0,0
might,0,all,0.0,0
probably,0,all,0.0,0
bare_not,0,all,1.0,0
bare,5,all,4.654822145145608e-27,0
might,5,all,0.03057995086438407,0
probably,5,all,1.5809186837338925e-12,0
bare_not,5,all,0.969420049134035,0
bare,10,all,8.173856792745473e-21,0
might,10,all,0.299556453632414,0
probably,10,all,2.542120042999629e-09,0
bare_not,10,all,0.7004435438254659,0
bare,15,all,2.5043813400546196e-17,0
might,15,all,0.6983272576296122,0
probably,15,all,1.2592437513327348e-07,0
bare_not,15,all,0.3016726164460126,0
bare,20,all,5.765150631499398e-15,0
might,20,all,0.8939815173393505,0
probably,20,all,1.5095169685863169e-06,0
bare_not,20,all,0.10601697314367514,0
bare,25,all,3.850241129760345e-13,0
might,25,all,0.9608479624700694,0
probably,25,all,9.936062710921125e-06,0
bare_not,25,all,0.03914210146683461,0
bare,30,all,1.2654896414486364e-11,0
might,30,all,0.9842632003797098,0
probably,30,all,4.81489034259066e-05,0
bare_not,30,all,0.015688650704209318,0
bare,35,all,2.5922016327902144e-10,0
might,35,all,0.9931983689400252,0
probably,35,all,0.00019198935111982554,0
bare_not,35,all,0.006609641449634682,0
bare,40,all,3.7555425154444195e-09,0
might,40,all,0.9965184126115373,0
probably,40,all,0.0006636202182883154,0
bare_not,40,all,0.0028179634146318537,0
bare,45,all,4.2407599857234486e-08,0
might,45,all,0.9967129803862221,0
probably,45,all,0.002088111683518885,0
bare_not,45,all,0.0011988655226591468,0
bare,50,all,4.309494336997933e-07,0
might,50,all,0.9927778537919434,0
probably,50,all,0.006680167746675839,0
bare_not,50,all,0.0005415475119470666,0
bare,55,all,4.707268917746372e-06,0
might,55,all,0.9743631681301643,0
probably,55,all,0.025341500029041848,0
bare_not,55,all,0.0002906245718759355,0
bare,60,all,5.558724741943321e-05,0
might,60,all,0.8870323099539583,0
probably,60,all,0.11273608995802453,0
bare_not,60,all,0.00017601284059781618,0
bare,65,all,0.0005233165069455693,0
might,65,all,0.5706100881795588,0
probably,65,all,0.4287827311096593,0
bare_not,65,all,8.386420383636362e-05,0
bare,70,all,0.0023811344545479297,0
might,70,all,0.16080188208061916,0
probably,70,all,0.8367991298742229,0
bare_not,70,all,1.78535906100645e-05,0
bare,75,all,0.00622184793684028,0
might,75,all,0.02317153239140994,0
probably,75,all,0.9706047770858475,0
bare_not,75,all,1.8425859023035415e-06,0
bare,80,all,0.014835108062518435,0
might,80,all,0.002538326927015323,0
probably,80,all,0.9826264382114732,0
bare_not,80,all,1.2679899301746817e-07,0
bare,85,all,0.03957634586240412,0
might,85,all,0.0002254672738514189,0
probably,85,all,0.96019818136703,0
bare_not,85,all,5.496714525772732e-09,0
bare,90,all,0.12570720838092064,0
might,90,all,1.2946132393735826e-05,0
probably,90,all,0.8742798453964938,0
bare_not,90,all,9.019173540916348e-11,0
bare,95,all,0.4220021848453421,0
might,95,all,2.138564901368415e-07,0
probably,95,all,0.577997601298085,0
bare_not,95,all,8.285912021778104e-14,0
bare,100,all,0.923236666249772,0
might,100,all,4.9739031517190824e-11,0
probably,100,all,0.07676333370048899,0
bare_not,100,all,0.0,0
