modal,percentage_blue,cond,rating_pred,run
bare,0,all,0.0,0
might,0,all,0.0,0
probably,0,all,0.0,0
bare_not,0,all,1.0,0
bare,5,all,5.22544977531e-14,0
might,5,all,0.150670433462,0
probably,5,all,0.000664796471156,0
bare_not,5,all,0.848664770067,0
bare,10,all,6.27809452445e-11,0
might,10,all,0.563929020994,0
probably,10,all,0.00578361891559,0
bare_not,10,all,0.430287360028,0
bare,15,all,2.99744488558e-09,0
might,15,all,0.81607692595,0
probably,15,all,0.0147234042934,0
bare_not,15,all,0.16919966676,0
bare,20,all,4.49042052318e-08,0
might,20,all,0.903469054983,0
probably,20,all,0.0267604251845,0
bare_not,20,all,0.0697704749278,0
bare,25,all,3.93688366949e-07,0
might,25,all,0.923190585044,0
probably,25,all,0.0449181158182,0
bare_not,25,all,0.0318909054491,0
bare,30,all,2.5849527211e-06,0
might,30,all,0.908253681749,0
probably,30,all,0.0757710953397,0
bare_not,30,all,0.0159726379584,0
bare,35,all,1.42859114249e-05,0
might,35,all,0.859041468223,0
probably,35,all,0.132387741348,0
bare_not,35,all,0.0085565045176,0
bare,40,all,6.89316602651e-05,0
might,40,all,0.759515029324,0
probably,40,all,0.235755051064,0
bare_not,40,all,0.00466098795168,0
bare,45,all,0.000283324360988,0
might,45,all,0.594497673038,0
probably,45,all,0.402846095754,0
bare_not,45,all,0.00237290684727,0
bare,50,all,0.000944750611912,0
might,50,all,0.385596606966,0
probably,50,all,0.612431613999,0
bare_not,50,all,0.00102702842295,0
bare,55,all,0.00251729764051,0
might,55,all,0.200322331919,0
probably,55,all,0.796802968874,0
bare_not,55,all,0.000357401566122,0
bare,60,all,0.00566045534983,0
might,60,all,0.0858507695135,0
probably,60,all,0.908387460567,0
bare_not,60,all,0.000101314569462,0
bare,65,all,0.012018618899,0
might,65,all,0.0328396126281,0
probably,65,all,0.955116817309,0
bare_not,65,all,2.49511636908e-05,0
bare,70,all,0.026847489215,0
might,70,all,0.011933068616,0
probably,70,all,0.961213847717,0
bare_not,70,all,5.59445168641e-06,0
bare,75,all,0.0635863150091,0
might,75,all,0.00388344127417,0
probably,75,all,0.93252918841,0
bare_not,75,all,1.05530707336e-06,0
bare,80,all,0.151971324597,0
might,80,all,0.000970769557796,0
probably,80,all,0.847057766895,0
bare_not,80,all,1.38949369213e-07,0
bare,85,all,0.338887860193,0
might,85,all,0.000145196339784,0
probably,85,all,0.660966934264,0
bare_not,85,all,9.20296487858e-09,0
bare,90,all,0.624217054644,0
might,90,all,8.5231934304e-06,0
probably,90,all,0.375774422006,0
bare_not,90,all,1.56682839216e-10,0
bare,95,all,0.867867915971,0
might,95,all,9.6431687129e-08,0
probably,95,all,0.132131987598,0
bare_not,95,all,1.10221178563e-13,0
bare,100,all,0.984280517231,0
might,100,all,2.33661867088e-11,0
probably,100,all,0.0157194827458,0
bare_not,100,all,0.0,0
